Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,20.50,20.50,20.50,20.50,20.50,-1,-1
2016-01-05,20.62,20.62,20.62,20.62,20.62,-1,-1
2016-01-06,20.74,20.74,20.74,20.74,20.74,-1,-1
2016-01-07,20.68,20.68,20.68,20.68,20.68,-1,-1
2016-01-08,20.54,20.54,20.54,20.54,20.54,-1,-1
2016-01-11,20.40,20.40,20.40,20.40,20.40,-1,-1
2016-01-12,20.36,20.36,20.36,20.36,20.36,-1,-1
2016-01-13,20.22,20.25,20.25,20.25,20.25,-1,-1
2016-01-14,20.06,20.19,20.19,20.19,20.19,-1,-1
2016-01-15,19.87,20.13,20.13,20.13,20.13,-1,-1
2016-01-19,19.70,20.05,20.05,20.05,20.05,-1,-1
2016-01-20,19.64,20.01,20.01,20.01,20.01,-1,-1
2016-01-21,19.61,19.98,19.98,19.98,19.98,-1,-1
2016-01-22,19.53,19.94,19.94,19.94,19.94,-1,-1
2016-01-25,19.50,19.86,19.90,19.90,19.90,-1,-1
2016-01-26,19.49,19.78,19.88,19.88,19.88,-1,-1
2016-01-27,19.41,19.64,19.83,19.83,19.83,-1,-1
2016-01-28,19.34,19.52,19.78,19.78,19.78,-1,-1
2016-01-29,19.35,19.49,19.77,19.77,19.77,-1,-1
2016-02-01,19.39,19.50,19.77,19.77,19.77,-1,-1
2016-02-02,19.41,19.47,19.77,19.77,19.77,-1,-1
2016-02-03,19.40,19.45,19.74,19.74,19.74,-1,-1
2016-02-04,19.34,19.42,19.72,19.72,19.72,-1,-1
2016-02-05,19.26,19.34,19.67,19.67,19.67,-1,-1
2016-02-08,19.18,19.26,19.61,19.61,19.61,-1,-1
2016-02-09,18.96,19.16,19.55,19.55,19.55,-1,-1
2016-02-10,18.71,19.05,19.50,19.50,19.50,-1,-1
2016-02-11,18.44,18.92,19.43,19.43,19.43,-1,-1
2016-02-12,18.23,18.82,19.38,19.38,19.38,-1,-1
2016-02-16,18.08,18.71,19.34,19.34,19.34,-1,-1
2016-02-17,18.07,18.67,19.27,19.31,19.31,-1,-1
2016-02-18,18.07,18.62,19.18,19.27,19.27,-1,-1
2016-02-19,18.14,18.55,19.10,19.25,19.25,-1,-1
2016-02-22,18.17,18.44,19.03,19.22,19.22,-1,-1
2016-02-23,18.23,18.33,18.97,19.19,19.19,-1,-1
2016-02-24,18.31,18.27,18.92,19.17,19.17,1,-1
2016-02-25,18.44,18.26,18.89,19.17,19.17,1,-1
2016-02-26,18.49,18.28,18.87,19.16,19.16,1,-1
2016-02-29,18.53,18.30,18.82,19.14,19.14,1,-1
2016-03-01,18.58,18.36,18.80,19.13,19.13,1,-1
2016-03-02,18.71,18.44,18.80,19.14,19.14,1,-1
2016-03-03,18.89,18.56,18.79,19.14,19.14,1,-1
2016-03-04,19.09,18.70,18.80,19.16,19.16,1,-1
2016-03-07,19.19,18.81,18.81,19.17,19.17,1,-1
2016-03-08,19.22,18.86,18.80,19.17,19.17,1,-1
2016-03-09,19.34,18.93,18.79,19.17,19.17,1,-1
2016-03-10,19.38,18.98,18.79,19.17,19.17,1,-1
2016-03-11,19.43,19.07,18.82,19.18,19.18,1,-1
2016-03-14,19.46,19.18,18.82,19.19,19.19,1,-1
2016-03-15,19.32,19.20,18.78,19.18,19.18,1,-1
2016-03-16,19.17,19.18,18.75,19.14,19.17,-1,-1
2016-03-17,19.22,19.22,18.76,19.12,19.17,-1,-1
2016-03-18,19.21,19.27,18.76,19.08,19.17,-1,-1
2016-03-21,19.23,19.30,18.79,19.06,19.18,-1,-1
2016-03-22,19.23,19.33,18.83,19.05,19.19,-1,-1
2016-03-23,18.89,19.18,18.80,19.00,19.15,-1,-1
2016-03-24,18.61,18.96,18.76,18.93,19.11,-1,-1
2016-03-28,18.34,18.76,18.73,18.88,19.07,-1,-1
2016-03-29,18.18,18.70,18.74,18.85,19.06,-1,-1
2016-03-30,18.11,18.66,18.77,18.83,19.05,-1,-1
2016-03-31,18.05,18.64,18.78,18.83,19.05,-1,-1
2016-04-01,17.87,18.55,18.79,18.80,19.04,-1,-1
2016-04-04,18.00,18.45,18.77,18.78,19.02,-1,-1
2016-04-05,18.12,18.36,18.75,18.74,19.00,-1,-1
2016-04-06,18.26,18.30,18.74,18.71,18.98,-1,-1
2016-04-07,18.18,18.18,18.71,18.67,18.96,-1,-1
2016-04-08,18.08,18.10,18.68,18.65,18.95,-1,-1
2016-04-11,17.90,17.98,18.64,18.62,18.93,-1,-1
2016-04-12,17.84,17.86,18.62,18.59,18.92,-1,-1
2016-04-13,17.87,17.94,18.61,18.56,18.91,-1,-1
2016-04-14,17.99,18.05,18.58,18.54,18.90,-1,-1
2016-04-15,18.00,18.13,18.53,18.51,18.89,-1,-1
2016-04-18,18.04,18.11,18.47,18.49,18.87,-1,-1
2016-04-19,18.00,18.04,18.40,18.47,18.86,-1,-1
2016-04-20,18.02,17.96,18.36,18.46,18.85,1,-1
2016-04-21,18.02,17.93,18.32,18.46,18.83,1,-1
2016-04-22,17.98,17.93,18.28,18.46,18.82,1,-1
2016-04-25,17.90,17.94,18.22,18.46,18.81,-1,-1
2016-04-26,17.90,17.95,18.17,18.47,18.80,-1,-1
2016-04-27,17.93,17.99,18.15,18.47,18.79,-1,-1
2016-04-28,17.95,17.98,18.12,18.45,18.78,-1,-1
2016-04-29,17.94,17.98,18.06,18.44,18.77,-1,-1
2016-05-02,17.95,17.98,18.02,18.43,18.76,-1,-1
2016-05-03,17.88,17.93,17.97,18.42,18.75,-1,-1
2016-05-04,17.84,17.87,17.90,18.41,18.73,-1,-1
2016-05-05,17.83,17.87,17.92,18.40,18.72,-1,-1
2016-05-06,17.83,17.88,17.97,18.38,18.71,-1,-1
2016-05-09,17.91,17.93,18.02,18.37,18.71,-1,-1
2016-05-10,18.03,17.98,18.03,18.37,18.71,1,-1
2016-05-11,18.04,17.99,18.00,18.36,18.70,1,-1
2016-05-12,18.05,17.97,17.97,18.33,18.69,1,-1
2016-05-13,18.08,17.96,17.95,18.29,18.68,1,-1
2016-05-16,18.15,17.99,17.95,18.27,18.68,1,-1
2016-05-17,18.14,17.99,17.97,18.23,18.67,1,-1
2016-05-18,18.11,18.01,17.98,18.22,18.67,1,-1
2016-05-19,18.03,18.03,17.99,18.19,18.66,-1,-1
2016-05-20,18.05,18.04,18.00,18.17,18.65,1,-1
2016-05-23,18.08,18.07,18.01,18.14,18.65,1,-1
2016-05-24,18.20,18.14,18.03,18.12,18.65,1,-1
2016-05-25,18.21,18.18,18.03,18.11,18.65,1,-1
2016-05-26,18.23,18.19,18.03,18.10,18.64,1,-1
2016-05-27,18.27,18.19,18.04,18.08,18.64,1,-1
2016-05-31,18.34,18.18,18.06,18.07,18.64,1,-1
2016-06-01,18.46,18.25,18.10,18.06,18.64,1,-1
2016-06-02,18.64,18.36,18.16,18.06,18.65,1,-1
2016-06-03,18.73,18.46,18.20,18.09,18.65,1,-1
