Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2026-03-09,10.03,10.03,10.03,10.03,10.03,-1,-1
2026-03-10,10.03,10.03,10.03,10.03,10.03,-1,-1
2026-03-11,10.03,10.03,10.03,10.03,10.03,-1,-1
2026-03-12,10.02,10.02,10.02,10.02,10.02,-1,-1
2026-03-13,10.02,10.02,10.02,10.02,10.02,-1,-1
2026-03-16,10.02,10.02,10.02,10.02,10.02,-1,-1
2026-03-17,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-18,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-19,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-20,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-23,10.00,10.01,10.01,10.01,10.01,-1,-1
2026-03-24,10.00,10.01,10.01,10.01,10.01,-1,-1
2026-03-25,10.00,10.01,10.01,10.01,10.01,-1,-1
2026-03-26,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-27,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-30,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-03-31,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-04-01,9.99,10.00,10.00,10.00,10.00,-1,-1
2026-04-02,9.99,10.00,10.00,10.00,10.00,-1,-1
2026-04-06,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-04-07,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-04-08,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-04-09,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-04-10,10.01,10.00,10.01,10.01,10.01,1,-1
2026-04-13,10.02,10.01,10.01,10.01,10.01,1,-1
2026-04-14,10.02,10.01,10.01,10.01,10.01,1,-1
2026-04-15,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-04-16,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-04-17,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-04-20,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-04-21,10.01,10.01,10.01,10.01,10.01,-1,-1
2026-04-22,10.01,10.02,10.01,10.01,10.01,-1,-1
2026-04-23,10.01,10.02,10.01,10.01,10.01,-1,-1
2026-04-24,10.02,10.02,10.01,10.01,10.01,-1,-1
2026-04-27,10.02,10.02,10.01,10.01,10.01,-1,-1
2026-04-28,10.03,10.02,10.01,10.01,10.01,1,-1
2026-04-29,10.03,10.02,10.01,10.01,10.01,1,-1
2026-04-30,10.04,10.02,10.01,10.01,10.01,1,-1
2026-05-01,10.04,10.02,10.01,10.01,10.01,1,-1
2026-05-04,10.04,10.03,10.02,10.02,10.02,1,-1
2026-05-05,10.04,10.03,10.02,10.02,10.02,1,-1
2026-05-06,10.04,10.03,10.02,10.02,10.02,1,-1
2026-05-07,10.04,10.03,10.02,10.02,10.02,1,-1
2026-05-08,10.03,10.03,10.02,10.02,10.02,-1,-1
2026-05-11,10.02,10.03,10.02,10.01,10.01,-1,-1
2026-05-12,10.01,10.02,10.02,10.01,10.01,-1,-1
2026-05-13,10.00,10.02,10.02,10.01,10.01,-1,-1
2026-05-14,10.00,10.02,10.02,10.01,10.01,-1,-1
2026-05-15,9.99,10.01,10.02,10.01,10.01,-1,-1
2026-05-18,9.99,10.01,10.02,10.01,10.01,-1,-1
2026-05-19,9.99,10.01,10.02,10.01,10.01,-1,-1
2026-05-20,9.99,10.01,10.02,10.01,10.01,-1,-1
2026-05-21,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-05-22,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-05-26,10.00,10.00,10.01,10.01,10.01,-1,-1
2026-05-27,10.01,10.00,10.01,10.01,10.01,1,-1
2026-05-28,10.01,10.00,10.01,10.01,10.01,1,-1
2026-05-29,10.01,10.00,10.01,10.01,10.01,1,-1
2026-06-01,10.02,10.01,10.02,10.01,10.01,1,-1
2026-06-02,10.03,10.01,10.02,10.01,10.01,1,-1
2026-06-03,10.03,10.02,10.02,10.01,10.01,1,-1
