Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2006-01-31,18.59,18.59,18.59,18.59,18.59,-1,-1
2006-02-01,18.73,18.73,18.73,18.73,18.73,-1,-1
2006-02-02,18.79,18.79,18.79,18.79,18.79,-1,-1
2006-02-03,18.64,18.64,18.64,18.64,18.64,-1,-1
2006-02-06,18.45,18.45,18.45,18.45,18.45,-1,-1
2006-02-07,18.24,18.24,18.24,18.24,18.24,-1,-1
2006-02-08,18.22,18.22,18.22,18.22,18.22,-1,-1
2006-02-09,18.14,18.20,18.20,18.20,18.20,-1,-1
2006-02-10,17.98,18.15,18.15,18.15,18.15,-1,-1
2006-02-13,17.86,18.14,18.14,18.14,18.14,-1,-1
2006-02-14,17.89,18.17,18.17,18.17,18.17,-1,-1
2006-02-15,18.03,18.20,18.20,18.20,18.20,-1,-1
2006-02-16,18.18,18.21,18.21,18.21,18.21,-1,-1
2006-02-17,18.17,18.19,18.19,18.19,18.19,-1,-1
2006-02-21,18.10,18.12,18.15,18.15,18.15,-1,-1
2006-02-22,18.06,18.02,18.11,18.11,18.11,1,-1
2006-02-23,17.93,17.89,18.05,18.05,18.05,1,-1
2006-02-24,17.75,17.82,18.00,18.00,18.00,-1,-1
2006-02-27,17.53,17.78,17.95,17.95,17.95,-1,-1
2006-02-28,17.36,17.77,17.91,17.91,17.91,-1,-1
2006-03-01,17.23,17.70,17.87,17.87,17.87,-1,-1
2006-03-02,17.17,17.64,17.84,17.84,17.84,-1,-1
2006-03-03,17.16,17.61,17.82,17.82,17.82,-1,-1
2006-03-06,17.18,17.55,17.79,17.79,17.79,-1,-1
2006-03-07,17.16,17.46,17.77,17.77,17.77,-1,-1
2006-03-08,17.16,17.35,17.74,17.74,17.74,-1,-1
2006-03-09,17.15,17.26,17.72,17.72,17.72,-1,-1
2006-03-10,17.16,17.20,17.70,17.70,17.70,-1,-1
2006-03-13,17.15,17.16,17.67,17.67,17.67,-1,-1
2006-03-14,17.08,17.12,17.65,17.65,17.65,-1,-1
2006-03-15,17.03,17.10,17.59,17.62,17.62,-1,-1
2006-03-16,17.15,17.16,17.56,17.63,17.63,-1,-1
2006-03-17,17.30,17.23,17.54,17.65,17.65,1,-1
2006-03-20,17.40,17.27,17.52,17.65,17.65,1,-1
2006-03-21,17.44,17.30,17.51,17.65,17.65,1,-1
2006-03-22,17.54,17.34,17.53,17.65,17.65,1,-1
2006-03-23,17.76,17.42,17.54,17.67,17.67,1,-1
2006-03-24,18.04,17.53,17.57,17.70,17.70,1,-1
2006-03-27,18.02,17.59,17.57,17.70,17.70,1,-1
2006-03-28,18.00,17.65,17.57,17.71,17.71,1,-1
2006-03-29,18.05,17.72,17.56,17.72,17.72,1,-1
2006-03-30,18.01,17.73,17.51,17.71,17.71,1,-1
2006-03-31,18.04,17.79,17.49,17.71,17.71,1,-1
2006-04-03,18.05,17.90,17.51,17.73,17.73,1,-1
2006-04-04,17.56,17.80,17.44,17.68,17.68,-1,-1
2006-04-05,17.25,17.63,17.38,17.63,17.63,-1,-1
2006-04-06,16.93,17.46,17.34,17.59,17.59,-1,-1
2006-04-07,16.61,17.33,17.29,17.56,17.56,-1,-1
2006-04-10,16.42,17.21,17.25,17.52,17.52,-1,-1
2006-04-11,16.04,17.04,17.19,17.48,17.48,-1,-1
2006-04-12,15.54,16.80,17.12,17.41,17.43,-1,-1
2006-04-13,15.54,16.55,17.06,17.34,17.39,-1,-1
2006-04-17,15.48,16.36,16.99,17.26,17.35,-1,-1
2006-04-18,15.34,16.13,16.91,17.19,17.30,-1,-1
2006-04-19,15.19,15.90,16.83,17.14,17.26,-1,-1
2006-04-20,15.06,15.74,16.76,17.09,17.21,-1,-1
2006-04-21,15.03,15.54,16.69,17.03,17.18,-1,-1
2006-04-24,14.95,15.25,16.60,16.96,17.13,-1,-1
2006-04-25,14.78,15.16,16.51,16.89,17.08,-1,-1
2006-04-26,14.72,15.10,16.44,16.82,17.04,-1,-1
2006-04-27,14.71,15.02,16.36,16.75,17.00,-1,-1
2006-04-28,14.77,14.98,16.27,16.68,16.98,-1,-1
2006-05-01,14.76,14.91,16.16,16.61,16.94,-1,-1
2006-05-02,14.69,14.86,16.06,16.54,16.90,-1,-1
2006-05-03,14.68,14.82,15.96,16.48,16.87,-1,-1
2006-05-04,14.83,14.81,15.87,16.43,16.84,1,-1
2006-05-05,14.88,14.80,15.77,16.40,16.82,1,-1
2006-05-08,14.94,14.82,15.64,16.35,16.79,1,-1
2006-05-09,14.84,14.81,15.53,16.30,16.76,1,-1
2006-05-10,14.82,14.79,15.42,16.26,16.73,1,-1
2006-05-11,14.84,14.76,15.31,16.21,16.70,1,-1
2006-05-12,14.85,14.77,15.22,16.16,16.67,1,-1
2006-05-15,14.77,14.80,15.11,16.10,16.64,-1,-1
2006-05-16,14.65,14.76,14.97,16.04,16.61,-1,-1
2006-05-17,14.47,14.71,14.92,15.98,16.57,-1,-1
2006-05-18,14.26,14.55,14.84,15.90,16.53,-1,-1
2006-05-19,13.99,14.40,14.74,15.81,16.48,-1,-1
2006-05-22,13.70,14.27,14.63,15.72,16.43,-1,-1
2006-05-23,13.50,14.18,14.54,15.65,16.39,-1,-1
2006-05-24,13.22,14.00,14.45,15.56,16.34,-1,-1
2006-05-25,12.97,13.81,14.37,15.48,16.30,-1,-1
2006-05-26,12.80,13.63,14.28,15.37,16.25,-1,-1
2006-05-30,12.76,13.51,14.20,15.26,16.21,-1,-1
2006-05-31,12.85,13.42,14.15,15.18,16.18,-1,-1
2006-06-01,12.91,13.30,14.10,15.09,16.14,-1,-1
2006-06-02,12.86,13.18,14.03,14.99,16.10,-1,-1
2006-06-05,12.81,13.02,13.94,14.87,16.06,-1,-1
2006-06-06,12.68,12.82,13.84,14.73,16.01,-1,-1
2006-06-07,12.51,12.66,13.75,14.60,15.96,-1,-1
2006-06-08,12.31,12.54,13.64,14.47,15.91,-1,-1
2006-06-09,12.06,12.45,13.54,14.34,15.86,-1,-1
2006-06-12,11.80,12.36,13.40,14.22,15.81,-1,-1
2006-06-13,11.46,12.16,13.26,14.07,15.75,-1,-1
2006-06-14,11.10,11.96,13.10,13.90,15.69,-1,-1
2006-06-15,10.96,11.82,12.97,13.80,15.64,-1,-1
2006-06-16,10.77,11.64,12.81,13.69,15.58,-1,-1
2006-06-19,10.59,11.45,12.64,13.58,15.52,-1,-1
2006-06-20,10.56,11.31,12.51,13.49,15.48,-1,-1
2006-06-21,10.50,11.15,12.39,13.39,15.44,-1,-1
2006-06-22,10.57,11.02,12.27,13.30,15.39,-1,-1
2006-06-23,10.73,10.91,12.14,13.22,15.35,-1,-1
2006-06-26,10.77,10.86,12.02,13.13,15.30,-1,-1
2006-06-27,10.91,10.84,11.90,13.05,15.26,1,-1
2006-06-28,11.03,10.81,11.79,12.98,15.22,1,-1
2006-06-29,10.97,10.76,11.70,12.90,15.18,1,-1
2006-06-30,10.97,10.74,11.62,12.82,15.14,1,-1
2006-07-03,10.97,10.77,11.56,12.74,15.10,1,-1
2006-07-05,10.88,10.80,11.48,12.65,15.06,1,-1
2006-07-06,10.82,10.80,11.40,12.58,15.02,1,-1
2006-07-07,10.80,10.85,11.34,12.50,14.98,-1,-1
2006-07-10,10.71,10.87,11.27,12.42,14.94,-1,-1
2006-07-11,10.52,10.74,11.16,12.30,14.89,-1,-1
2006-07-12,10.30,10.64,11.05,12.19,14.84,-1,-1
2006-07-13,10.17,10.57,10.94,12.10,14.80,-1,-1
2006-07-14,10.00,10.44,10.80,12.00,14.75,-1,-1
2006-07-17,9.95,10.39,10.72,11.90,14.71,-1,-1
2006-07-18,9.64,10.22,10.60,11.77,14.66,-1,-1
2006-07-19,9.42,10.07,10.50,11.64,14.61,-1,-1
2006-07-20,9.31,9.91,10.42,11.53,14.56,-1,-1
2006-07-21,9.22,9.76,10.33,11.41,14.51,-1,-1
2006-07-24,9.15,9.66,10.26,11.31,14.47,-1,-1
2006-07-25,9.11,9.56,10.18,11.19,14.43,-1,-1
2006-07-26,9.07,9.51,10.16,11.10,14.39,-1,-1
2006-07-27,9.21,9.43,10.16,11.01,14.35,-1,-1
2006-07-28,9.27,9.35,10.11,10.92,14.31,-1,-1
2006-07-31,9.46,9.39,10.11,10.86,14.28,1,-1
2006-08-01,9.71,9.46,10.12,10.81,14.25,1,-1
2006-08-02,9.91,9.53,10.11,10.78,14.22,1,-1
2006-08-03,10.22,9.67,10.11,10.73,14.20,1,-1
2006-08-04,10.37,9.72,10.11,10.70,14.17,1,-1
2006-08-07,10.56,9.89,10.12,10.67,14.15,1,-1
2006-08-08,10.81,10.04,10.12,10.64,14.13,1,-1
2006-08-09,10.89,10.17,10.11,10.59,14.10,1,-1
2006-08-10,10.93,10.32,10.10,10.54,14.08,1,-1
2006-08-11,10.91,10.41,10.10,10.50,14.05,1,-1
2006-08-14,10.95,10.59,10.11,10.47,14.03,1,-1
2006-08-15,10.97,10.67,10.11,10.44,14.01,1,-1
2006-08-16,10.98,10.77,10.14,10.43,13.99,1,-1
2006-08-17,10.99,10.90,10.16,10.42,13.97,1,-1
2006-08-18,11.08,10.98,10.17,10.42,13.95,1,-1
2006-08-21,11.22,11.08,10.22,10.43,13.93,1,-1
2006-08-22,11.36,11.14,10.29,10.44,13.92,1,-1
2006-08-23,11.44,11.20,10.37,10.46,13.90,1,-1
2006-08-24,11.48,11.22,10.42,10.49,13.89,1,-1
2006-08-25,11.49,11.23,10.49,10.51,13.87,1,-1
2006-08-28,11.50,11.25,10.52,10.53,13.85,1,-1
2006-08-29,11.47,11.28,10.60,10.55,13.83,1,-1
2006-08-30,11.38,11.30,10.68,10.54,13.81,1,-1
2006-08-31,11.33,11.35,10.76,10.55,13.80,-1,-1
2006-09-01,11.29,11.36,10.86,10.56,13.78,-1,-1
2006-09-05,11.30,11.39,10.92,10.57,13.77,-1,-1
2006-09-06,11.33,11.41,11.00,10.58,13.75,-1,-1
2006-09-07,11.30,11.40,11.04,10.58,13.73,-1,-1
2006-09-08,11.30,11.38,11.09,10.58,13.72,-1,-1
2006-09-11,11.31,11.34,11.15,10.59,13.70,-1,-1
2006-09-12,11.32,11.33,11.20,10.60,13.69,-1,-1
2006-09-13,11.35,11.32,11.24,10.62,13.67,1,-1
2006-09-14,11.40,11.35,11.27,10.65,13.66,1,-1
2006-09-15,11.48,11.40,11.30,10.68,13.65,1,-1
2006-09-18,11.73,11.51,11.36,10.71,13.64,1,-1
2006-09-19,11.94,11.62,11.41,10.76,13.64,1,-1
2006-09-20,12.12,11.72,11.46,10.81,13.63,1,-1
2006-09-21,12.25,11.78,11.52,10.87,13.62,1,-1
2006-09-22,12.39,11.87,11.58,10.93,13.62,1,-1
2006-09-25,12.54,11.97,11.65,11.00,13.61,1,-1
2006-09-26,12.68,12.08,11.70,11.06,13.61,1,-1
2006-09-27,12.69,12.21,11.76,11.14,13.61,1,-1
2006-09-28,12.73,12.33,11.82,11.22,13.60,1,-1
2006-09-29,12.87,12.49,11.90,11.31,13.60,1,-1
2006-10-02,13.02,12.63,11.97,11.41,13.60,1,-1
2006-10-03,13.13,12.76,12.02,11.49,13.60,1,-1
2006-10-04,13.24,12.89,12.08,11.58,13.60,1,-1
2006-10-05,13.37,13.02,12.15,11.66,13.60,1,-1
2006-10-06,13.56,13.12,12.25,11.75,13.60,1,-1
2006-10-09,13.80,13.26,12.36,11.85,13.61,1,-1
2006-10-10,13.94,13.40,12.47,11.94,13.61,1,-1
2006-10-11,14.07,13.54,12.58,12.02,13.62,1,-1
2006-10-12,14.23,13.68,12.69,12.09,13.62,1,-1
2006-10-13,14.30,13.77,12.78,12.15,13.63,1,-1
2006-10-16,14.41,13.89,12.88,12.22,13.63,1,-1
2006-10-17,14.45,14.00,12.98,12.29,13.64,1,-1
2006-10-18,14.49,14.14,13.09,12.37,13.64,1,-1
2006-10-19,14.50,14.22,13.21,12.44,13.65,1,-1
2006-10-20,14.46,14.26,13.31,12.51,13.65,1,-1
2006-10-23,14.47,14.35,13.43,12.59,13.66,1,-1
2006-10-24,14.65,14.47,13.55,12.67,13.66,1,-1
2006-10-25,14.77,14.59,13.68,12.76,13.67,1,-1
2006-10-26,14.94,14.70,13.81,12.85,13.68,1,-1
2006-10-27,15.02,14.75,13.92,12.93,13.69,1,-1
2006-10-30,15.11,14.81,14.00,13.01,13.70,1,-1
2006-10-31,15.31,14.88,14.10,13.08,13.71,1,-1
2006-11-01,15.46,14.97,14.21,13.16,13.72,1,-1
2006-11-02,15.50,15.07,14.31,13.24,13.73,1,-1
2006-11-03,15.49,15.13,14.40,13.32,13.74,1,-1
2006-11-06,15.49,15.22,14.50,13.41,13.75,1,-1
2006-11-07,15.54,15.28,14.59,13.50,13.76,1,-1
2006-11-08,15.54,15.33,14.67,13.58,13.77,1,-1
2006-11-09,15.54,15.42,14.76,13.67,13.78,1,-1
2006-11-10,15.54,15.50,14.83,13.75,13.79,1,-1
2006-11-13,15.60,15.55,14.91,13.84,13.80,1,1
2006-11-14,15.72,15.60,15.00,13.94,13.78,1,1
2006-11-15,15.75,15.62,15.08,14.03,13.77,1,1
2006-11-16,15.83,15.68,15.16,14.13,13.76,1,1
2006-11-17,15.89,15.72,15.21,14.22,13.74,1,1
2006-11-20,15.92,15.73,15.25,14.31,13.73,1,1
2006-11-21,15.90,15.72,15.29,14.39,13.73,1,1
2006-11-22,15.85,15.72,15.33,14.47,13.71,1,1
2006-11-24,15.75,15.74,15.36,14.54,13.70,1,1
2006-11-27,15.66,15.71,15.40,14.61,13.69,-1,1
2006-11-28,15.63,15.73,15.45,14.68,13.68,-1,1
2006-11-29,15.72,15.80,15.51,14.75,13.67,-1,1
2006-11-30,15.92,15.92,15.59,14.84,13.66,-1,1
2006-12-01,16.18,16.04,15.68,14.94,13.66,1,1
2006-12-04,16.54,16.20,15.81,15.05,13.66,1,1
2006-12-05,16.99,16.37,15.94,15.17,13.66,1,1
2006-12-06,17.36,16.51,16.03,15.27,13.66,1,1
2006-12-07,17.60,16.61,16.11,15.36,13.67,1,1
2006-12-08,17.84,16.78,16.18,15.47,13.67,1,1
2006-12-11,17.99,16.96,16.28,15.56,13.68,1,1
2006-12-12,18.07,17.12,16.37,15.65,13.68,1,1
2006-12-13,18.01,17.27,16.44,15.73,13.68,1,1
2006-12-14,17.92,17.45,16.52,15.82,13.69,1,1
2006-12-15,17.89,17.62,16.59,15.90,13.69,1,1
2006-12-18,17.94,17.77,16.68,15.98,13.69,1,1
2006-12-19,17.93,17.88,16.75,16.04,13.70,1,1
2006-12-20,17.91,17.95,16.83,16.12,13.70,-1,1
2006-12-21,17.90,17.99,16.92,16.18,13.71,-1,1
2006-12-22,17.97,17.99,17.01,16.26,13.71,-1,1
2006-12-26,18.01,17.96,17.09,16.34,13.72,1,1
2006-12-27,18.08,17.99,17.17,16.42,13.72,1,1
2006-12-28,18.11,18.02,17.24,16.49,13.73,1,1
2006-12-29,18.13,18.03,17.30,16.55,13.73,1,1
2007-01-03,18.07,17.99,17.36,16.62,13.73,1,1
2007-01-04,18.08,17.99,17.43,16.69,13.73,1,1
2007-01-05,18.01,17.99,17.50,16.75,13.73,1,1
2007-01-08,17.97,17.99,17.58,16.81,13.73,-1,1
2007-01-09,17.91,17.99,17.65,16.85,13.73,-1,1
2007-01-10,17.88,17.99,17.73,16.90,13.73,-1,1
2007-01-11,17.85,17.99,17.81,16.95,13.73,-1,1
2007-01-12,17.82,17.94,17.87,16.99,13.72,-1,1
2007-01-16,17.69,17.88,17.89,17.02,13.72,-1,1
2007-01-17,17.55,17.78,17.88,17.04,13.72,-1,1
2007-01-18,17.35,17.66,17.85,17.06,13.71,-1,1
2007-01-19,17.14,17.52,17.79,17.09,13.70,-1,1
2007-01-22,16.85,17.36,17.70,17.09,13.70,-1,1
2007-01-23,16.57,17.21,17.63,17.09,13.70,-1,1
2007-01-24,16.40,17.11,17.59,17.11,13.70,-1,1
2007-01-25,16.33,17.01,17.54,17.13,13.71,-1,1
2007-01-26,16.29,16.92,17.48,17.15,13.71,-1,1
2007-01-29,16.19,16.77,17.41,17.15,13.71,-1,1
2007-01-30,16.09,16.61,17.34,17.14,13.72,-1,1
2007-01-31,15.86,16.35,17.22,17.10,13.71,-1,1
2007-02-01,15.69,16.13,17.12,17.07,13.71,-1,1
2007-02-02,15.41,15.90,17.00,17.05,13.71,-1,1
2007-02-05,15.12,15.72,16.88,17.02,13.70,-1,1
2007-02-06,14.79,15.54,16.75,16.99,13.70,-1,1
2007-02-07,14.59,15.39,16.64,16.97,13.70,-1,1
2007-02-08,14.41,15.25,16.51,16.95,13.70,-1,1
2007-02-09,14.55,15.20,16.41,16.95,13.70,-1,1
2007-02-12,14.59,15.14,16.30,16.93,13.70,-1,1
2007-02-13,14.73,15.07,16.21,16.91,13.71,-1,1
2007-02-14,14.78,14.95,16.10,16.86,13.70,-1,1
2007-02-15,14.87,14.83,16.00,16.81,13.70,1,1
2007-02-16,14.98,14.78,15.92,16.75,13.71,1,1
2007-02-20,15.14,14.77,15.84,16.69,13.71,1,1
2007-02-21,15.20,14.87,15.76,16.65,13.72,1,1
2007-02-22,15.26,14.93,15.68,16.60,13.72,1,1
2007-02-23,15.35,15.04,15.62,16.56,13.72,1,1
2007-02-26,15.52,15.15,15.55,16.51,13.73,1,1
2007-02-27,15.62,15.24,15.49,16.47,13.73,1,1
2007-02-28,15.67,15.32,15.44,16.42,13.74,1,1
2007-03-01,15.76,15.45,15.43,16.39,13.75,1,1
2007-03-02,15.81,15.51,15.41,16.35,13.75,1,1
2007-03-05,15.87,15.56,15.39,16.31,13.76,1,1
2007-03-06,15.88,15.61,15.39,16.27,13.77,1,1
2007-03-07,15.85,15.68,15.39,16.23,13.78,1,1
2007-03-08,15.90,15.76,15.37,16.19,13.80,1,1
2007-03-09,15.98,15.82,15.36,16.15,13.82,1,1
2007-03-12,16.12,15.94,15.39,16.12,13.84,1,1
2007-03-13,16.31,16.06,15.43,16.11,13.86,1,1
2007-03-14,16.47,16.17,15.48,16.08,13.88,1,1
2007-03-15,16.63,16.26,15.57,16.06,13.91,1,1
2007-03-16,16.78,16.31,15.64,16.05,13.92,1,1
2007-03-19,16.87,16.39,15.72,16.02,13.94,1,1
2007-03-20,16.98,16.48,15.80,16.00,13.96,1,1
2007-03-21,16.95,16.53,15.89,15.98,13.98,1,1
2007-03-22,16.90,16.61,15.97,15.97,14.00,1,1
2007-03-23,17.05,16.76,16.09,15.97,14.04,1,1
2007-03-26,17.18,16.91,16.19,15.97,14.07,1,1
2007-03-27,17.34,17.06,16.28,15.98,14.10,1,1
2007-03-28,17.50,17.19,16.36,15.99,14.13,1,1
2007-03-29,17.60,17.29,16.46,16.01,14.16,1,1
2007-03-30,17.70,17.33,16.55,16.03,14.20,1,1
2007-04-02,17.78,17.34,16.63,16.06,14.24,1,1
2007-04-03,17.71,17.38,16.69,16.09,14.27,1,1
2007-04-04,17.69,17.44,16.77,16.13,14.31,1,1
2007-04-05,17.67,17.50,16.84,16.16,14.35,1,1
2007-04-09,17.64,17.57,16.90,16.18,14.38,1,1
2007-04-10,17.61,17.60,16.95,16.20,14.41,1,1
2007-04-11,17.61,17.66,17.02,16.23,14.45,-1,1
2007-04-12,17.63,17.70,17.08,16.27,14.48,-1,1
2007-04-13,17.66,17.69,17.14,16.34,14.51,-1,1
2007-04-16,17.61,17.65,17.19,16.40,14.55,-1,1
2007-04-17,17.59,17.63,17.24,16.46,14.58,-1,1
2007-04-18,17.56,17.60,17.29,16.52,14.61,-1,1
2007-04-19,17.50,17.56,17.33,16.58,14.64,-1,1
2007-04-20,17.37,17.49,17.36,16.62,14.67,-1,1
2007-04-23,17.13,17.38,17.35,16.65,14.70,-1,1
2007-04-24,16.84,17.25,17.31,16.66,14.72,-1,1
2007-04-25,16.61,17.11,17.26,16.68,14.75,-1,1
2007-04-26,16.41,17.00,17.23,16.70,14.78,-1,1
2007-04-27,16.26,16.91,17.20,16.73,14.81,-1,1
2007-04-30,16.18,16.84,17.19,16.76,14.85,-1,1
2007-05-01,16.13,16.75,17.18,16.78,14.88,-1,1
2007-05-02,16.19,16.66,17.17,16.80,14.91,-1,1
2007-05-03,16.31,16.58,17.16,16.82,14.95,-1,1
2007-05-04,16.42,16.51,17.14,16.84,14.99,-1,1
2007-05-07,16.50,16.46,17.10,16.86,15.03,1,1
2007-05-08,16.56,16.41,17.06,16.87,15.06,1,1
2007-05-09,16.81,16.49,17.07,16.93,15.11,1,1
2007-05-10,16.97,16.55,17.06,16.96,15.15,1,1
2007-05-11,17.09,16.64,17.05,16.98,15.19,1,1
2007-05-14,17.19,16.75,17.04,17.01,15.23,1,1
2007-05-15,17.25,16.83,17.02,17.03,15.27,1,1
2007-05-16,17.29,16.90,17.00,17.06,15.31,1,1
2007-05-17,17.41,16.99,16.99,17.09,15.34,1,1
2007-05-18,17.31,17.06,16.98,17.12,15.38,1,1
2007-05-21,17.30,17.14,16.98,17.15,15.41,1,1
2007-05-22,17.33,17.21,16.98,17.15,15.44,1,1
2007-05-23,17.39,17.29,16.98,17.16,15.48,1,1
2007-05-24,17.46,17.36,16.98,17.17,15.51,1,1
2007-05-25,17.57,17.43,16.98,17.19,15.54,1,1
2007-05-29,17.69,17.55,17.01,17.22,15.58,1,1
2007-05-30,17.83,17.57,17.04,17.25,15.62,1,1
2007-05-31,17.93,17.62,17.07,17.28,15.66,1,1
2007-06-01,18.06,17.70,17.11,17.31,15.69,1,1
2007-06-04,18.17,17.78,17.17,17.34,15.73,1,1
2007-06-05,18.31,17.89,17.26,17.35,15.77,1,1
2007-06-06,18.39,17.98,17.35,17.36,15.80,1,1
2007-06-07,18.37,18.03,17.42,17.36,15.84,1,1
2007-06-08,18.36,18.09,17.49,17.38,15.87,1,1
2007-06-11,18.34,18.14,17.56,17.39,15.90,1,1
2007-06-12,18.28,18.17,17.60,17.39,15.93,1,1
2007-06-13,18.16,18.17,17.65,17.39,15.96,-1,1
2007-06-14,18.01,18.16,17.68,17.39,15.99,-1,1
2007-06-15,17.86,18.13,17.71,17.38,16.02,-1,1
2007-06-18,17.67,18.02,17.71,17.36,16.05,-1,1
2007-06-19,17.41,17.88,17.70,17.34,16.08,-1,1
2007-06-20,17.19,17.76,17.70,17.33,16.11,-1,1
2007-06-21,16.98,17.63,17.64,17.30,16.13,-1,1
2007-06-22,16.85,17.51,17.62,17.28,16.16,-1,1
2007-06-25,16.66,17.34,17.58,17.25,16.18,-1,1
2007-06-26,16.60,17.23,17.57,17.24,16.21,-1,1
2007-06-27,16.63,17.15,17.57,17.23,16.24,-1,1
2007-06-28,16.67,17.04,17.56,17.22,16.27,-1,1
2007-06-29,16.73,16.96,17.55,17.22,16.29,-1,1
2007-07-02,16.76,16.87,17.52,17.22,16.32,-1,1
2007-07-03,16.70,16.78,17.48,17.22,16.34,-1,1
2007-07-05,16.73,16.70,17.44,17.24,16.36,1,1
2007-07-06,16.70,16.65,17.41,17.25,16.38,1,1
2007-07-09,16.62,16.63,17.37,17.26,16.40,-1,1
2007-07-10,16.55,16.61,17.32,17.26,16.42,-1,1
2007-07-11,16.49,16.61,17.27,17.26,16.44,-1,1
2007-07-12,16.53,16.64,17.21,17.27,16.46,-1,1
2007-07-13,16.65,16.67,17.18,17.29,16.49,-1,1
2007-07-16,16.92,16.83,17.18,17.32,16.51,1,1
2007-07-17,17.49,17.09,17.25,17.40,16.55,1,1
2007-07-18,18.02,17.32,17.30,17.47,16.59,1,1
2007-07-19,18.65,17.60,17.38,17.55,16.62,1,1
2007-07-20,19.18,17.84,17.45,17.59,16.66,1,1
2007-07-23,19.71,18.12,17.53,17.65,16.69,1,1
2007-07-24,20.36,18.51,17.65,17.75,16.74,1,1
2007-07-25,20.81,18.87,17.77,17.83,16.77,1,1
2007-07-26,20.96,19.22,17.90,17.92,16.81,1,1
2007-07-27,21.11,19.57,18.03,18.01,16.84,1,1
2007-07-30,21.15,19.90,18.15,18.08,16.88,1,1
2007-07-31,21.33,20.25,18.31,18.16,16.91,1,1
2007-08-01,21.39,20.55,18.46,18.23,16.94,1,1
2007-08-02,21.16,20.76,18.58,18.28,16.98,1,1
2007-08-03,20.95,20.88,18.70,18.33,17.00,1,1
2007-08-06,20.53,20.74,18.76,18.35,17.02,-1,1
2007-08-07,20.09,20.60,18.83,18.36,17.04,-1,1
2007-08-08,19.79,20.47,18.89,18.37,17.06,-1,1
2007-08-09,19.36,20.34,18.94,18.37,17.08,-1,1
2007-08-10,18.97,20.18,18.99,18.37,17.10,-1,1
2007-08-13,18.69,19.92,19.03,18.37,17.12,-1,1
2007-08-14,18.18,19.56,19.03,18.33,17.12,-1,1
2007-08-15,17.75,19.14,19.00,18.27,17.12,-1,1
2007-08-16,17.23,18.66,18.94,18.20,17.12,-1,1
2007-08-17,16.72,18.25,18.90,18.14,17.12,-1,1
2007-08-20,16.62,17.99,18.94,18.13,17.13,-1,1
2007-08-21,16.49,17.73,18.98,18.11,17.14,-1,1
2007-08-22,16.37,17.53,19.00,18.10,17.15,-1,1
2007-08-23,16.57,17.37,19.04,18.11,17.16,-1,1
2007-08-24,16.86,17.30,19.05,18.11,17.17,-1,1
2007-08-27,17.18,17.21,19.00,18.10,17.18,-1,1
2007-08-28,17.50,17.11,18.90,18.11,17.19,1,1
2007-08-29,17.39,17.01,18.80,18.13,17.19,1,1
2007-08-30,17.48,16.98,18.70,18.15,17.21,1,1
