Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2025-08-08,10.73,10.73,10.73,10.73,10.73,-1,-1
2025-08-11,11.11,11.11,11.11,11.11,11.11,-1,-1
2025-08-12,10.68,10.68,10.68,10.68,10.68,-1,-1
2025-08-13,10.48,10.48,10.48,10.48,10.48,-1,-1
2025-08-14,10.41,10.41,10.41,10.41,10.41,-1,-1
2025-08-15,10.44,10.44,10.44,10.44,10.44,-1,-1
2025-08-18,10.51,10.51,10.51,10.51,10.51,-1,-1
2025-08-19,10.54,10.56,10.56,10.56,10.56,-1,-1
2025-08-20,10.56,10.68,10.68,10.68,10.68,-1,-1
2025-08-21,10.80,10.77,10.77,10.77,10.77,1,-1
2025-08-22,11.00,10.81,10.81,10.81,10.81,1,-1
2025-08-25,10.91,10.70,10.70,10.70,10.70,1,-1
2025-08-26,10.78,10.62,10.62,10.62,10.62,1,-1
2025-08-27,10.55,10.53,10.53,10.53,10.53,1,-1
2025-08-28,10.41,10.48,10.49,10.49,10.49,-1,-1
2025-08-29,10.17,10.37,10.46,10.46,10.46,-1,-1
2025-09-02,9.95,10.38,10.43,10.43,10.43,-1,-1
2025-09-03,9.72,10.36,10.39,10.39,10.39,-1,-1
2025-09-04,9.86,10.38,10.39,10.39,10.39,-1,-1
2025-09-05,9.99,10.38,10.40,10.40,10.40,-1,-1
2025-09-08,10.11,10.33,10.39,10.39,10.39,-1,-1
2025-09-09,10.09,10.25,10.36,10.36,10.36,-1,-1
2025-09-10,10.05,10.11,10.34,10.34,10.34,-1,-1
2025-09-11,9.98,9.97,10.30,10.30,10.30,1,-1
2025-09-12,9.99,9.85,10.27,10.27,10.27,1,-1
2025-09-15,9.90,9.88,10.26,10.26,10.26,1,-1
2025-09-16,9.79,9.89,10.24,10.24,10.24,-1,-1
2025-09-17,9.66,9.89,10.21,10.21,10.21,-1,-1
2025-09-18,9.60,9.84,10.18,10.18,10.18,-1,-1
2025-09-19,9.50,9.77,10.14,10.14,10.14,-1,-1
2025-09-22,9.37,9.68,10.07,10.09,10.09,-1,-1
2025-09-23,9.13,9.56,9.95,10.02,10.02,-1,-1
2025-09-24,8.93,9.41,9.91,9.98,9.98,-1,-1
2025-09-25,8.64,9.21,9.84,9.91,9.91,-1,-1
