Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2025-01-15,10.04,10.04,10.04,10.04,10.04,-1,-1
2025-01-16,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-17,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-21,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-22,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-23,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-24,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-27,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-28,10.03,10.03,10.03,10.03,10.03,-1,-1
2025-01-29,10.04,10.03,10.03,10.03,10.03,1,-1
2025-01-30,10.04,10.03,10.03,10.03,10.03,1,-1
2025-01-31,10.04,10.03,10.03,10.03,10.03,1,-1
2025-02-03,10.04,10.04,10.04,10.04,10.04,-1,-1
2025-02-04,10.04,10.04,10.04,10.04,10.04,-1,-1
2025-02-05,10.04,10.04,10.04,10.04,10.04,-1,-1
2025-02-06,10.04,10.04,10.04,10.04,10.04,-1,-1
2025-02-07,10.05,10.04,10.04,10.04,10.04,1,-1
2025-02-10,10.05,10.04,10.04,10.04,10.04,1,-1
2025-02-11,10.05,10.04,10.04,10.04,10.04,1,-1
2025-02-12,10.05,10.05,10.04,10.04,10.04,-1,-1
2025-02-13,10.05,10.05,10.04,10.04,10.04,-1,-1
2025-02-14,10.05,10.05,10.04,10.04,10.04,-1,-1
2025-02-18,10.06,10.05,10.04,10.04,10.04,1,-1
2025-02-19,10.06,10.05,10.04,10.04,10.04,1,-1
2025-02-20,10.06,10.05,10.04,10.04,10.04,1,-1
2025-02-21,10.07,10.06,10.05,10.05,10.05,1,-1
2025-02-24,10.08,10.06,10.05,10.05,10.05,1,-1
2025-02-25,10.08,10.07,10.05,10.05,10.05,1,-1
2025-02-26,10.09,10.07,10.05,10.05,10.05,1,-1
2025-02-27,10.09,10.07,10.06,10.06,10.06,1,-1
2025-02-28,10.10,10.08,10.06,10.06,10.06,1,-1
2025-03-03,10.11,10.08,10.06,10.06,10.06,1,-1
2025-03-04,10.10,10.08,10.06,10.06,10.06,1,-1
2025-03-05,10.10,10.09,10.06,10.06,10.06,1,-1
2025-03-06,10.10,10.09,10.07,10.06,10.06,1,-1
2025-03-07,10.09,10.09,10.07,10.06,10.06,-1,-1
2025-03-10,10.10,10.09,10.07,10.06,10.06,1,-1
2025-03-11,10.09,10.10,10.07,10.06,10.06,-1,-1
2025-03-12,10.10,10.10,10.07,10.07,10.07,-1,-1
2025-03-13,10.10,10.10,10.08,10.07,10.07,-1,-1
2025-03-14,10.10,10.10,10.08,10.07,10.07,-1,-1
2025-03-17,10.11,10.10,10.08,10.07,10.07,1,-1
2025-03-18,10.10,10.10,10.08,10.07,10.07,-1,-1
2025-03-19,10.10,10.10,10.08,10.07,10.07,-1,-1
2025-03-20,10.10,10.10,10.09,10.07,10.07,-1,-1
2025-03-21,10.10,10.10,10.09,10.07,10.07,-1,-1
