Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,34.28,34.28,34.28,34.28,34.28,-1,-1
2016-01-05,34.30,34.30,34.30,34.30,34.30,-1,-1
2016-01-06,34.14,34.14,34.14,34.14,34.14,-1,-1
2016-01-07,33.88,33.88,33.88,33.88,33.88,-1,-1
2016-01-08,33.55,33.55,33.55,33.55,33.55,-1,-1
2016-01-11,33.34,33.34,33.34,33.34,33.34,-1,-1
2016-01-12,32.99,32.99,32.99,32.99,32.99,-1,-1
2016-01-13,32.25,32.50,32.50,32.50,32.50,-1,-1
2016-01-14,31.38,32.03,32.03,32.03,32.03,-1,-1
2016-01-15,30.69,31.72,31.72,31.72,31.72,-1,-1
2016-01-19,29.96,31.38,31.38,31.38,31.38,-1,-1
2016-01-20,29.33,31.09,31.09,31.09,31.09,-1,-1
2016-01-21,29.11,31.06,31.06,31.06,31.06,-1,-1
2016-01-22,29.04,31.01,31.01,31.01,31.01,-1,-1
2016-01-25,29.17,30.71,30.95,30.95,30.95,-1,-1
2016-01-26,29.56,30.47,30.95,30.95,30.95,-1,-1
2016-01-27,29.71,30.20,30.90,30.90,30.90,-1,-1
2016-01-28,30.01,29.99,30.85,30.85,30.85,1,-1
2016-01-29,30.28,29.81,30.79,30.79,30.79,1,-1
2016-02-01,30.08,29.59,30.72,30.72,30.72,1,-1
2016-02-02,29.71,29.37,30.58,30.58,30.58,1,-1
2016-02-03,29.33,29.25,30.44,30.44,30.44,1,-1
2016-02-04,28.94,29.25,30.34,30.34,30.34,-1,-1
2016-02-05,28.63,29.17,30.24,30.24,30.24,-1,-1
2016-02-08,28.14,29.08,30.09,30.09,30.09,-1,-1
2016-02-09,27.65,28.96,29.95,29.95,29.95,-1,-1
2016-02-10,27.21,28.64,29.81,29.81,29.81,-1,-1
2016-02-11,26.93,28.32,29.67,29.67,29.67,-1,-1
2016-02-12,26.76,28.04,29.55,29.55,29.55,-1,-1
2016-02-16,26.61,27.78,29.47,29.47,29.47,-1,-1
2016-02-17,26.61,27.62,29.26,29.42,29.42,-1,-1
2016-02-18,26.71,27.43,29.02,29.35,29.35,-1,-1
2016-02-19,26.84,27.24,28.80,29.29,29.29,-1,-1
2016-02-22,27.01,27.11,28.61,29.23,29.23,-1,-1
2016-02-23,27.05,26.99,28.41,29.14,29.14,1,-1
2016-02-24,27.15,26.95,28.23,29.08,29.08,1,-1
2016-02-25,27.12,26.86,28.10,29.02,29.02,1,-1
2016-02-26,26.36,26.48,27.88,28.85,28.85,-1,-1
2016-02-29,25.94,26.32,27.75,28.74,28.74,-1,-1
2016-03-01,25.61,26.22,27.62,28.64,28.64,-1,-1
2016-03-02,25.38,26.19,27.54,28.57,28.57,-1,-1
2016-03-03,25.53,26.29,27.52,28.54,28.54,-1,-1
2016-03-04,25.65,26.40,27.42,28.52,28.52,-1,-1
2016-03-07,26.22,26.67,27.44,28.58,28.58,-1,-1
2016-03-08,27.19,26.77,27.42,28.60,28.60,1,-1
2016-03-09,27.94,26.94,27.38,28.62,28.62,1,-1
2016-03-10,28.55,27.08,27.34,28.63,28.63,1,-1
2016-03-11,29.17,27.28,27.35,28.66,28.66,1,-1
2016-03-14,29.51,27.52,27.34,28.68,28.68,1,-1
2016-03-15,29.60,27.62,27.31,28.67,28.67,1,-1
2016-03-16,29.27,27.74,27.34,28.56,28.67,1,-1
2016-03-17,29.32,28.26,27.42,28.47,28.69,1,-1
2016-03-18,29.41,28.68,27.49,28.40,28.72,1,-1
2016-03-21,29.62,29.09,27.58,28.35,28.76,1,-1
2016-03-22,29.71,29.44,27.71,28.32,28.79,1,-1
2016-03-23,29.53,29.52,27.78,28.24,28.79,1,-1
2016-03-24,29.52,29.56,27.85,28.19,28.78,-1,-1
2016-03-28,29.50,29.38,27.94,28.17,28.77,1,-1
2016-03-29,29.43,29.38,28.04,28.20,28.78,1,-1
2016-03-30,29.23,29.32,28.10,28.19,28.78,-1,-1
2016-03-31,29.05,29.34,28.14,28.22,28.79,-1,-1
2016-04-01,28.79,29.25,28.20,28.24,28.79,-1,-1
2016-04-04,28.92,29.23,28.27,28.21,28.80,-1,-1
2016-04-05,29.11,29.32,28.34,28.20,28.81,-1,-1
2016-04-06,29.33,29.41,28.47,28.19,28.83,-1,-1
2016-04-07,29.24,29.33,28.53,28.15,28.83,-1,-1
2016-04-08,29.31,29.27,28.61,28.14,28.84,1,-1
2016-04-11,29.28,29.17,28.83,28.12,28.84,1,-1
2016-04-12,29.45,29.12,29.02,28.13,28.86,1,-1
2016-04-13,29.80,29.36,29.25,28.18,28.90,1,-1
2016-04-14,30.09,29.60,29.44,28.25,28.94,1,-1
2016-04-15,30.31,29.82,29.58,28.33,28.97,1,-1
2016-04-18,30.72,29.98,29.71,28.40,29.01,1,-1
2016-04-19,31.08,30.20,29.74,28.48,29.05,1,-1
2016-04-20,31.55,30.42,29.85,28.60,29.10,1,-1
2016-04-21,31.83,30.64,29.92,28.71,29.13,1,-1
2016-04-22,31.90,30.85,30.03,28.83,29.17,1,-1
2016-04-25,31.88,30.98,30.07,28.94,29.20,1,-1
2016-04-26,32.10,31.21,30.18,29.08,29.25,1,-1
2016-04-27,32.40,31.56,30.36,29.21,29.31,1,-1
2016-04-28,32.61,31.85,30.52,29.32,29.36,1,-1
2016-04-29,32.71,32.13,30.64,29.44,29.40,1,1
2016-05-02,32.73,32.28,30.70,29.54,29.44,1,1
2016-05-03,32.61,32.26,30.73,29.62,29.46,1,1
2016-05-04,32.56,32.22,30.74,29.72,29.48,1,1
2016-05-05,32.24,32.17,30.82,29.79,29.50,1,1
2016-05-06,31.94,32.17,30.93,29.89,29.52,-1,1
2016-05-09,31.57,32.09,31.01,30.05,29.53,-1,1
2016-05-10,30.41,31.56,30.87,30.06,29.48,-1,1
2016-05-11,29.45,31.09,30.75,30.07,29.44,-1,1
2016-05-12,28.62,30.62,30.63,30.07,29.40,-1,1
2016-05-13,27.92,30.24,30.53,30.05,29.36,-1,1
2016-05-16,27.33,29.78,30.44,30.03,29.33,-1,1
2016-05-17,26.57,29.26,30.34,29.94,29.30,-1,1
2016-05-18,25.96,28.77,30.22,29.88,29.27,-1,1
2016-05-19,26.03,28.22,30.12,29.80,29.23,-1,1
2016-05-20,26.17,27.81,30.02,29.74,29.20,-1,1
2016-05-23,26.27,27.45,29.92,29.67,29.17,-1,1
2016-05-24,26.38,27.15,29.82,29.61,29.15,-1,1
2016-05-25,26.46,26.89,29.67,29.59,29.13,-1,1
2016-05-26,26.49,26.53,29.50,29.55,29.11,-1,1
2016-05-27,26.64,26.30,29.37,29.50,29.09,1,1
2016-05-31,26.92,26.48,29.23,29.45,29.07,1,1
2016-06-01,27.03,26.60,29.07,29.38,29.06,1,1
2016-06-02,27.19,26.73,28.91,29.31,29.04,1,1
2016-06-03,27.11,26.75,28.72,29.27,29.02,1,1
2016-06-06,27.15,26.81,28.56,29.26,29.00,1,1
2016-06-07,27.06,26.78,28.37,29.21,28.97,1,1
2016-06-08,26.90,26.77,28.15,29.15,28.95,1,1
2016-06-09,26.51,26.71,27.85,29.07,28.91,-1,1
2016-06-10,26.08,26.55,27.55,28.96,28.87,-1,1
2016-06-13,25.57,26.38,27.24,28.86,28.82,-1,1
2016-06-14,25.18,26.15,26.96,28.75,28.78,-1,-1
2016-06-15,24.71,25.93,26.71,28.64,28.74,-1,-1
2016-06-16,24.51,25.78,26.49,28.53,28.70,-1,-1
2016-06-17,24.31,25.60,26.30,28.46,28.67,-1,-1
2016-06-20,24.36,25.43,26.09,28.37,28.64,-1,-1
2016-06-21,24.43,25.25,25.88,28.28,28.60,-1,-1
2016-06-22,24.47,25.02,25.85,28.17,28.57,-1,-1
2016-06-23,24.79,24.99,25.87,28.05,28.55,-1,-1
2016-06-24,24.94,24.83,25.86,27.92,28.52,1,-1
2016-06-27,24.71,24.61,25.74,27.75,28.47,1,-1
2016-06-28,24.47,24.39,25.64,27.58,28.43,1,-1
2016-06-29,24.31,24.34,25.56,27.42,28.39,-1,-1
2016-06-30,24.24,24.34,25.48,27.26,28.36,-1,-1
2016-07-01,24.24,24.36,25.44,27.10,28.33,-1,-1
2016-07-05,23.88,24.34,25.33,26.92,28.29,-1,-1
2016-07-06,23.67,24.30,25.25,26.77,28.25,-1,-1
2016-07-07,23.85,24.28,25.15,26.59,28.22,-1,-1
2016-07-08,24.13,24.30,25.09,26.42,28.20,-1,-1
2016-07-11,24.37,24.34,25.06,26.27,28.18,1,-1
2016-07-12,24.76,24.50,25.04,26.14,28.17,1,-1
2016-07-13,25.13,24.69,25.02,26.04,28.16,1,-1
2016-07-14,25.71,24.79,25.03,25.96,28.15,1,-1
2016-07-15,26.23,24.95,25.02,25.89,28.15,1,-1
2016-07-18,26.76,25.30,25.07,25.82,28.15,1,-1
2016-07-19,27.09,25.61,25.07,25.74,28.14,1,-1
2016-07-20,27.42,25.90,25.15,25.69,28.14,1,-1
2016-07-21,27.58,26.17,25.20,25.75,28.14,1,-1
2016-07-22,27.73,26.43,25.31,25.80,28.14,1,-1
2016-07-25,27.71,26.71,25.41,25.83,28.13,1,-1
2016-07-26,27.80,27.02,25.54,25.87,28.13,1,-1
2016-07-27,27.83,27.29,25.69,25.90,28.13,1,-1
2016-07-28,27.89,27.49,25.82,25.93,28.13,1,-1
2016-07-29,27.86,27.64,25.93,25.96,28.13,1,-1
2016-08-01,27.79,27.68,26.01,25.99,28.12,1,-1
2016-08-02,27.67,27.70,26.08,26.01,28.12,-1,-1
2016-08-03,27.70,27.71,26.17,26.03,28.11,-1,-1
2016-08-04,27.60,27.70,26.27,26.04,28.11,-1,-1
2016-08-05,27.47,27.65,26.31,26.04,28.10,-1,-1
2016-08-08,27.39,27.64,26.39,26.05,28.10,-1,-1
2016-08-09,27.53,27.70,26.59,26.08,28.10,-1,-1
2016-08-10,27.48,27.63,26.71,26.07,28.09,-1,-1
2016-08-11,27.48,27.58,26.82,26.07,28.09,-1,-1
2016-08-12,27.46,27.58,26.92,26.07,28.08,-1,-1
2016-08-15,27.64,27.62,27.07,26.11,28.09,1,-1
2016-08-16,27.87,27.67,27.25,26.14,28.09,1,-1
2016-08-17,28.04,27.72,27.41,26.19,28.09,1,-1
2016-08-18,28.02,27.78,27.56,26.24,28.10,1,-1
2016-08-19,28.27,27.87,27.68,26.32,28.10,1,-1
2016-08-22,28.57,28.03,27.80,26.42,28.11,1,-1
2016-08-23,28.93,28.19,27.89,26.54,28.12,1,-1
2016-08-24,29.03,28.34,27.98,26.65,28.13,1,-1
2016-08-25,29.17,28.52,28.05,26.76,28.14,1,-1
2016-08-26,29.33,28.69,28.13,26.87,28.15,1,-1
2016-08-29,29.55,28.78,28.21,26.97,28.16,1,-1
2016-08-30,29.91,29.09,28.34,27.10,28.18,1,-1
2016-08-31,30.29,29.43,28.47,27.24,28.20,1,-1
2016-09-01,30.47,29.70,28.57,27.38,28.22,1,-1
2016-09-02,30.84,29.94,28.70,27.50,28.24,1,-1
2016-09-06,31.18,30.17,28.86,27.63,28.26,1,-1
2016-09-07,31.59,30.46,29.02,27.83,28.29,1,-1
2016-09-08,31.97,30.76,29.18,28.02,28.31,1,-1
2016-09-09,32.06,30.99,29.31,28.18,28.33,1,-1
2016-09-12,32.20,31.25,29.48,28.36,28.36,1,-1
2016-09-13,32.38,31.43,29.64,28.52,28.38,1,1
2016-09-14,32.37,31.60,29.80,28.69,28.40,1,1
2016-09-15,32.55,31.87,29.99,28.88,28.43,1,1
2016-09-16,32.72,32.15,30.21,29.07,28.46,1,1
2016-09-19,32.92,32.44,30.45,29.25,28.49,1,1
2016-09-20,33.14,32.60,30.65,29.41,28.52,1,1
2016-09-21,33.25,32.73,30.82,29.55,28.55,1,1
2016-09-22,33.51,32.94,31.05,29.69,28.58,1,1
