Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2024-12-06,24.22,24.22,24.22,24.22,24.22,-1,-1
2024-12-09,24.10,24.10,24.10,24.10,24.10,-1,-1
2024-12-10,24.08,24.08,24.08,24.08,24.08,-1,-1
2024-12-11,24.07,24.07,24.07,24.07,24.07,-1,-1
2024-12-12,24.05,24.05,24.05,24.05,24.05,-1,-1
2024-12-13,24.01,24.01,24.01,24.01,24.01,-1,-1
2024-12-16,23.97,23.97,23.97,23.97,23.97,-1,-1
2024-12-17,23.88,23.92,23.92,23.92,23.92,-1,-1
2024-12-18,23.76,23.83,23.83,23.83,23.83,-1,-1
2024-12-19,23.59,23.74,23.74,23.74,23.74,-1,-1
2024-12-20,23.45,23.68,23.68,23.68,23.68,-1,-1
2024-12-23,23.33,23.63,23.63,23.63,23.63,-1,-1
2024-12-24,23.24,23.60,23.60,23.60,23.60,-1,-1
2024-12-26,23.17,23.57,23.57,23.57,23.57,-1,-1
2024-12-27,23.10,23.49,23.54,23.54,23.54,-1,-1
2024-12-30,23.07,23.42,23.50,23.50,23.50,-1,-1
2024-12-31,23.08,23.34,23.47,23.47,23.47,-1,-1
2025-01-02,23.05,23.25,23.43,23.43,23.43,-1,-1
2025-01-03,23.03,23.18,23.41,23.41,23.41,-1,-1
2025-01-06,22.96,23.10,23.37,23.37,23.37,-1,-1
2025-01-07,22.88,23.03,23.34,23.34,23.34,-1,-1
2025-01-08,22.85,22.97,23.32,23.32,23.32,-1,-1
2025-01-10,22.79,22.93,23.28,23.28,23.28,-1,-1
2025-01-13,22.75,22.91,23.26,23.26,23.26,-1,-1
2025-01-14,22.72,22.89,23.23,23.23,23.23,-1,-1
2025-01-15,22.71,22.87,23.22,23.22,23.22,-1,-1
2025-01-16,22.75,22.86,23.21,23.21,23.21,-1,-1
2025-01-17,22.82,22.85,23.21,23.21,23.21,-1,-1
2025-01-21,22.88,22.86,23.21,23.21,23.21,1,-1
2025-01-22,22.99,22.89,23.21,23.21,23.21,1,-1
2025-01-23,23.06,22.90,23.18,23.21,23.21,1,-1
2025-01-24,23.12,22.92,23.15,23.21,23.21,1,-1
2025-01-27,23.21,22.96,23.13,23.22,23.22,1,-1
2025-01-28,23.24,23.00,23.10,23.22,23.22,1,-1
2025-01-29,23.27,23.04,23.08,23.22,23.22,1,-1
2025-01-30,23.31,23.09,23.08,23.23,23.23,1,-1
2025-01-31,23.35,23.17,23.07,23.24,23.24,1,-1
2025-02-03,23.42,23.24,23.07,23.25,23.25,1,-1
2025-02-04,23.48,23.30,23.08,23.26,23.26,1,-1
2025-02-05,23.53,23.37,23.12,23.27,23.27,1,-1
2025-02-06,23.62,23.43,23.14,23.29,23.29,1,-1
2025-02-07,23.68,23.47,23.17,23.30,23.30,1,-1
2025-02-10,23.72,23.51,23.19,23.31,23.31,1,-1
2025-02-11,23.78,23.57,23.21,23.33,23.33,1,-1
2025-02-12,23.83,23.62,23.24,23.34,23.34,1,-1
2025-02-13,23.92,23.70,23.28,23.36,23.36,1,-1
2025-02-14,23.96,23.75,23.32,23.37,23.37,1,-1
2025-02-18,24.00,23.81,23.37,23.39,23.39,1,-1
2025-02-19,24.08,23.88,23.41,23.41,23.41,1,-1
2025-02-20,24.15,23.93,23.47,23.43,23.43,1,-1
2025-02-21,24.21,24.00,23.52,23.43,23.45,1,-1
2025-02-24,24.29,24.06,23.58,23.44,23.47,1,-1
2025-02-25,24.38,24.15,23.65,23.46,23.49,1,-1
2025-02-26,24.41,24.19,23.71,23.46,23.51,1,-1
2025-02-27,24.44,24.22,23.77,23.47,23.52,1,-1
2025-02-28,24.48,24.28,23.82,23.49,23.54,1,-1
2025-03-03,24.52,24.34,23.88,23.51,23.56,1,-1
2025-03-04,24.52,24.37,23.92,23.52,23.58,1,-1
2025-03-05,24.52,24.41,23.96,23.55,23.59,1,-1
2025-03-06,24.47,24.42,24.00,23.58,23.61,1,-1
2025-03-07,24.49,24.45,24.04,23.61,23.62,1,-1
2025-03-10,24.50,24.47,24.09,23.64,23.63,1,1
2025-03-11,24.40,24.44,24.10,23.65,23.64,-1,1
2025-03-12,24.26,24.39,24.12,23.66,23.64,-1,1
2025-03-13,24.14,24.33,24.12,23.67,23.64,-1,1
2025-03-14,24.04,24.28,24.13,23.68,23.64,-1,1
2025-03-17,23.99,24.23,24.15,23.71,23.65,-1,1
2025-03-18,23.90,24.20,24.16,23.73,23.65,-1,1
2025-03-19,23.84,24.17,24.17,23.75,23.65,-1,1
2025-03-20,23.83,24.12,24.17,23.77,23.66,-1,1
2025-03-21,23.83,24.05,24.17,23.79,23.66,-1,1
2025-03-24,23.88,24.01,24.17,23.81,23.66,-1,1
2025-03-25,23.88,23.96,24.17,23.84,23.66,-1,1
2025-03-26,23.89,23.94,24.17,23.87,23.67,-1,1
2025-03-27,23.94,23.92,24.18,23.90,23.68,1,1
2025-03-28,23.96,23.90,24.18,23.92,23.68,1,1
2025-03-31,24.04,23.93,24.19,23.95,23.69,1,1
2025-04-01,24.14,23.99,24.20,23.98,23.70,1,1
2025-04-02,24.23,24.06,24.21,24.00,23.71,1,1
2025-04-03,24.31,24.10,24.21,24.02,23.72,1,1
2025-04-04,24.18,24.03,24.16,24.02,23.71,1,1
