Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2021-10-28,24.75,24.75,24.75,24.75,24.75,-1,-1
2021-10-29,24.84,24.84,24.84,24.84,24.84,-1,-1
2021-11-01,24.88,24.88,24.88,24.88,24.88,-1,-1
2021-11-02,24.94,24.94,24.94,24.94,24.94,-1,-1
2021-11-03,25.02,25.02,25.02,25.02,25.02,-1,-1
2021-11-04,25.14,25.14,25.14,25.14,25.14,-1,-1
2021-11-05,25.22,25.22,25.22,25.22,25.22,-1,-1
2021-11-08,25.37,25.30,25.30,25.30,25.30,1,-1
2021-11-09,25.48,25.34,25.34,25.34,25.34,1,-1
2021-11-10,25.53,25.33,25.33,25.33,25.33,1,-1
2021-11-11,25.56,25.34,25.34,25.34,25.34,1,-1
2021-11-12,25.60,25.36,25.36,25.36,25.36,1,-1
2021-11-15,25.59,25.38,25.38,25.38,25.38,1,-1
2021-11-16,25.60,25.41,25.41,25.41,25.41,1,-1
2021-11-17,25.60,25.49,25.44,25.44,25.44,1,-1
2021-11-18,25.66,25.57,25.48,25.48,25.48,1,-1
2021-11-19,25.79,25.66,25.52,25.52,25.52,1,-1
2021-11-22,25.88,25.72,25.55,25.55,25.55,1,-1
2021-11-23,25.90,25.75,25.56,25.56,25.56,1,-1
2021-11-24,25.94,25.77,25.58,25.58,25.58,1,-1
2021-11-26,25.87,25.74,25.57,25.57,25.57,1,-1
2021-11-29,25.90,25.75,25.58,25.58,25.58,1,-1
2021-11-30,25.92,25.79,25.61,25.61,25.61,1,-1
2021-12-01,25.77,25.78,25.60,25.60,25.60,-1,-1
2021-12-02,25.69,25.78,25.59,25.59,25.59,-1,-1
2021-12-03,25.56,25.73,25.56,25.56,25.56,-1,-1
2021-12-06,25.46,25.70,25.55,25.55,25.55,-1,-1
2021-12-07,25.55,25.71,25.56,25.56,25.56,-1,-1
2021-12-08,25.56,25.73,25.58,25.58,25.58,-1,-1
2021-12-09,25.49,25.70,25.58,25.58,25.58,-1,-1
2021-12-10,25.61,25.69,25.63,25.60,25.60,-1,-1
2021-12-13,25.65,25.67,25.65,25.60,25.60,-1,-1
2021-12-14,25.70,25.63,25.66,25.59,25.59,1,-1
2021-12-15,25.80,25.63,25.69,25.60,25.60,1,-1
2021-12-16,25.69,25.62,25.68,25.59,25.59,1,-1
2021-12-17,25.56,25.56,25.66,25.57,25.57,-1,-1
2021-12-20,25.43,25.46,25.63,25.56,25.56,-1,-1
2021-12-21,25.35,25.48,25.62,25.55,25.55,-1,-1
2021-12-22,25.36,25.50,25.62,25.56,25.56,-1,-1
2021-12-23,25.46,25.58,25.65,25.57,25.57,-1,-1
2021-12-27,25.54,25.67,25.68,25.59,25.59,-1,-1
2021-12-28,25.68,25.69,25.70,25.60,25.60,-1,-1
2021-12-29,25.85,25.70,25.72,25.62,25.62,1,-1
2021-12-30,26.03,25.73,25.73,25.63,25.63,1,-1
2021-12-31,26.11,25.73,25.74,25.64,25.64,1,-1
2022-01-03,26.18,25.77,25.74,25.65,25.65,1,-1
2022-01-04,26.16,25.81,25.73,25.66,25.66,1,-1
2022-01-05,25.99,25.76,25.71,25.65,25.65,1,-1
2022-01-06,25.81,25.74,25.68,25.63,25.63,1,-1
2022-01-07,25.59,25.72,25.64,25.61,25.61,-1,-1
2022-01-10,25.39,25.71,25.62,25.62,25.60,-1,1
2022-01-11,25.26,25.68,25.59,25.62,25.59,-1,1
2022-01-12,25.12,25.65,25.56,25.62,25.58,-1,1
2022-01-13,24.93,25.55,25.54,25.61,25.56,-1,1
2022-01-14,24.88,25.43,25.52,25.60,25.55,-1,1
2022-01-18,24.75,25.28,25.49,25.57,25.52,-1,1
2022-01-19,24.63,25.11,25.45,25.53,25.49,-1,1
2022-01-20,24.46,24.92,25.37,25.49,25.46,-1,1
2022-01-21,24.16,24.71,25.26,25.43,25.42,-1,1
2022-01-24,23.85,24.48,25.17,25.39,25.38,-1,1
2022-01-25,23.54,24.24,25.05,25.33,25.33,-1,-1
2022-01-26,23.22,24.05,24.95,25.27,25.28,-1,-1
2022-01-27,22.96,23.85,24.85,25.20,25.24,-1,-1
2022-01-28,22.83,23.73,24.75,25.14,25.20,-1,-1
2022-01-31,22.86,23.66,24.70,25.10,25.18,-1,-1
2022-02-01,22.99,23.57,24.66,25.06,25.16,-1,-1
2022-02-02,23.12,23.48,24.63,25.01,25.14,-1,-1
2022-02-03,23.25,23.40,24.56,24.96,25.12,-1,-1
2022-02-04,23.39,23.30,24.49,24.91,25.09,1,-1
2022-02-07,23.52,23.24,24.40,24.86,25.07,1,-1
2022-02-08,23.59,23.21,24.30,24.82,25.04,1,-1
2022-02-09,23.63,23.24,24.23,24.78,25.03,1,-1
2022-02-10,23.57,23.28,24.13,24.73,25.01,1,-1
2022-02-11,23.39,23.26,24.02,24.68,24.98,1,-1
2022-02-14,23.30,23.28,23.91,24.63,24.95,1,-1
2022-02-15,23.28,23.33,23.81,24.60,24.93,-1,-1
2022-02-16,23.29,23.40,23.73,24.56,24.90,-1,-1
2022-02-17,23.16,23.37,23.64,24.49,24.87,-1,-1
2022-02-18,22.91,23.27,23.55,24.41,24.84,-1,-1
2022-02-22,22.71,23.14,23.46,24.34,24.81,-1,-1
2022-02-23,22.54,22.97,23.35,24.25,24.77,-1,-1
2022-02-24,22.48,22.89,23.26,24.18,24.74,-1,-1
2022-02-25,22.39,22.84,23.18,24.13,24.71,-1,-1
2022-02-28,22.30,22.80,23.11,24.07,24.69,-1,-1
2022-03-01,22.26,22.71,23.03,24.01,24.66,-1,-1
2022-03-02,22.33,22.62,22.98,23.96,24.64,-1,-1
2022-03-03,22.40,22.56,22.94,23.92,24.61,-1,-1
2022-03-04,22.46,22.50,22.89,23.85,24.58,-1,-1
2022-03-07,22.32,22.40,22.83,23.76,24.55,-1,-1
2022-03-08,22.11,22.25,22.77,23.66,24.51,-1,-1
2022-03-09,22.00,22.15,22.75,23.57,24.48,-1,-1
2022-03-10,21.91,22.09,22.72,23.48,24.45,-1,-1
2022-03-11,21.68,22.01,22.69,23.38,24.41,-1,-1
2022-03-14,21.42,21.91,22.61,23.27,24.38,-1,-1
2022-03-15,21.34,21.90,22.53,23.18,24.34,-1,-1
2022-03-16,21.47,21.90,22.48,23.10,24.32,-1,-1
2022-03-17,21.65,21.88,22.43,23.03,24.30,-1,-1
2022-03-18,21.80,21.90,22.41,22.99,24.29,-1,-1
2022-03-21,21.96,21.93,22.39,22.94,24.27,1,-1
2022-03-22,22.26,21.97,22.39,22.91,24.26,1,-1
2022-03-23,22.56,21.99,22.37,22.88,24.25,1,-1
2022-03-24,22.85,22.09,22.35,22.84,24.24,1,-1
2022-03-25,23.02,22.24,22.35,22.81,24.23,1,-1
2022-03-28,23.20,22.43,22.38,22.79,24.23,1,-1
2022-03-29,23.38,22.59,22.43,22.78,24.23,1,-1
2022-03-30,23.54,22.75,22.45,22.77,24.23,1,-1
2022-03-31,23.59,22.92,22.46,22.77,24.22,1,-1
2022-04-01,23.68,23.12,22.49,22.77,24.21,1,-1
2022-04-04,23.76,23.30,22.55,22.79,24.21,1,-1
2022-04-05,23.76,23.39,22.59,22.79,24.20,1,-1
2022-04-06,23.65,23.43,22.64,22.80,24.19,1,-1
2022-04-07,23.48,23.43,22.67,22.81,24.18,1,-1
2022-04-08,23.31,23.42,22.67,22.82,24.17,-1,-1
2022-04-11,23.10,23.34,22.65,22.80,24.15,-1,-1
2022-04-12,22.89,23.28,22.64,22.77,24.13,-1,-1
2022-04-13,22.67,23.21,22.63,22.74,24.12,-1,-1
2022-04-14,22.46,23.11,22.61,22.70,24.10,-1,-1
2022-04-18,22.31,22.98,22.61,22.67,24.08,-1,-1
2022-04-19,22.23,22.86,22.64,22.65,24.07,-1,-1
2022-04-20,22.15,22.73,22.68,22.63,24.05,-1,-1
2022-04-21,22.09,22.59,22.67,22.59,24.03,-1,-1
2022-04-22,21.95,22.42,22.65,22.53,24.01,-1,-1
2022-04-25,21.79,22.23,22.66,22.49,23.99,-1,-1
2022-04-26,21.60,22.03,22.65,22.45,23.96,-1,-1
2022-04-27,21.42,21.86,22.62,22.41,23.93,-1,-1
2022-04-28,21.25,21.74,22.59,22.37,23.91,-1,-1
2022-04-29,21.00,21.58,22.52,22.31,23.88,-1,-1
2022-05-02,20.87,21.48,22.45,22.27,23.86,-1,-1
