Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2021-08-26,14.17,14.17,14.17,14.17,14.17,-1,-1
2021-08-27,14.20,14.20,14.20,14.20,14.20,-1,-1
2021-08-30,14.21,14.21,14.21,14.21,14.21,-1,-1
2021-08-31,14.22,14.22,14.22,14.22,14.22,-1,-1
2021-09-01,14.23,14.23,14.23,14.23,14.23,-1,-1
2021-09-02,14.23,14.23,14.23,14.23,14.23,-1,-1
2021-09-03,14.23,14.23,14.23,14.23,14.23,-1,-1
2021-09-07,14.24,14.24,14.24,14.24,14.24,-1,-1
2021-09-08,14.25,14.24,14.24,14.24,14.24,1,-1
2021-09-09,14.25,14.24,14.24,14.24,14.24,1,-1
2021-09-10,14.25,14.24,14.24,14.24,14.24,1,-1
2021-09-13,14.25,14.24,14.24,14.24,14.24,1,-1
2021-09-14,14.25,14.24,14.24,14.24,14.24,1,-1
2021-09-15,14.25,14.24,14.24,14.24,14.24,1,-1
2021-09-16,14.25,14.25,14.24,14.24,14.24,-1,-1
2021-09-17,14.24,14.25,14.24,14.24,14.24,-1,-1
2021-09-20,14.20,14.23,14.22,14.22,14.22,-1,-1
2021-09-21,14.18,14.21,14.22,14.22,14.22,-1,-1
2021-09-22,14.16,14.20,14.21,14.21,14.21,-1,-1
2021-09-23,14.15,14.20,14.21,14.21,14.21,-1,-1
2021-09-24,14.14,14.19,14.21,14.21,14.21,-1,-1
2021-09-27,14.12,14.19,14.20,14.20,14.20,-1,-1
2021-09-28,14.08,14.16,14.19,14.19,14.19,-1,-1
2021-09-29,14.07,14.14,14.18,14.18,14.18,-1,-1
2021-09-30,14.04,14.11,14.17,14.17,14.17,-1,-1
2021-10-01,14.01,14.08,14.16,14.16,14.16,-1,-1
2021-10-04,13.94,14.05,14.14,14.14,14.14,-1,-1
2021-10-05,13.89,14.02,14.13,14.13,14.13,-1,-1
2021-10-06,13.85,13.98,14.12,14.12,14.12,-1,-1
2021-10-07,13.84,13.96,14.11,14.11,14.11,-1,-1
2021-10-08,13.83,13.95,14.10,14.10,14.10,-1,-1
2021-10-11,13.82,13.93,14.08,14.09,14.09,-1,-1
2021-10-12,13.80,13.90,14.07,14.08,14.08,-1,-1
2021-10-13,13.80,13.87,14.05,14.07,14.07,-1,-1
2021-10-14,13.81,13.85,14.04,14.06,14.06,-1,-1
2021-10-15,13.83,13.84,14.03,14.06,14.06,-1,-1
2021-10-18,13.85,13.84,14.02,14.06,14.06,1,-1
2021-10-19,13.88,13.85,14.01,14.06,14.06,1,-1
2021-10-20,13.91,13.86,14.00,14.06,14.06,1,-1
2021-10-21,13.95,13.88,14.00,14.06,14.06,1,-1
2021-10-22,14.00,13.90,13.99,14.06,14.06,1,-1
2021-10-25,14.02,13.92,13.98,14.06,14.06,1,-1
2021-10-26,14.04,13.93,13.98,14.06,14.06,1,-1
2021-10-27,14.05,13.95,13.97,14.06,14.06,1,-1
2021-10-28,14.06,13.97,13.97,14.06,14.06,1,-1
2021-10-29,14.06,13.98,13.96,14.06,14.06,1,-1
2021-11-01,14.07,14.01,13.97,14.06,14.06,1,-1
2021-11-02,14.08,14.04,13.97,14.06,14.06,1,-1
2021-11-03,14.09,14.06,13.97,14.06,14.06,1,-1
2021-11-04,14.10,14.07,13.97,14.06,14.06,1,-1
2021-11-05,14.12,14.08,13.97,14.06,14.07,1,-1
2021-11-08,14.12,14.09,13.97,14.06,14.07,1,-1
2021-11-09,14.13,14.10,13.98,14.06,14.07,1,-1
2021-11-10,14.14,14.10,13.98,14.06,14.07,1,-1
2021-11-11,14.14,14.11,13.99,14.06,14.07,1,-1
2021-11-12,14.14,14.12,14.00,14.05,14.07,1,-1
2021-11-15,14.14,14.12,14.01,14.05,14.07,1,-1
2021-11-16,14.14,14.13,14.03,14.05,14.08,1,-1
2021-11-17,14.15,14.14,14.04,14.05,14.08,1,-1
2021-11-18,14.15,14.14,14.05,14.05,14.08,1,-1
2021-11-19,14.15,14.15,14.06,14.04,14.08,-1,-1
2021-11-22,14.15,14.15,14.07,14.04,14.08,-1,-1
2021-11-23,14.15,14.15,14.08,14.04,14.08,-1,-1
2021-11-24,14.15,14.14,14.10,14.04,14.08,1,-1
2021-11-26,14.13,14.14,14.10,14.03,14.08,-1,-1
2021-11-29,14.13,14.14,14.11,14.03,14.08,-1,-1
2021-11-30,14.12,14.13,14.11,14.03,14.08,-1,-1
2021-12-01,14.09,14.12,14.11,14.03,14.08,-1,-1
2021-12-02,14.07,14.11,14.11,14.03,14.08,-1,-1
2021-12-03,14.05,14.10,14.10,14.03,14.08,-1,-1
2021-12-06,14.02,14.09,14.10,14.02,14.08,-1,-1
2021-12-07,14.04,14.08,14.10,14.02,14.08,-1,-1
2021-12-08,14.04,14.08,14.11,14.03,14.08,-1,-1
2021-12-09,14.04,14.08,14.11,14.03,14.08,-1,-1
2021-12-10,14.06,14.08,14.11,14.04,14.08,-1,-1
2021-12-13,14.06,14.07,14.11,14.04,14.08,-1,-1
2021-12-14,14.05,14.05,14.10,14.04,14.08,-1,-1
