Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2017-07-26,18.50,18.50,18.50,18.50,18.50,-1,-1
2017-07-27,18.37,18.37,18.37,18.37,18.37,-1,-1
2017-07-28,18.44,18.44,18.44,18.44,18.44,-1,-1
2017-07-31,18.45,18.45,18.45,18.45,18.45,-1,-1
2017-08-01,18.44,18.44,18.44,18.44,18.44,-1,-1
2017-08-02,18.40,18.40,18.40,18.40,18.40,-1,-1
2017-08-03,18.38,18.38,18.38,18.38,18.38,-1,-1
2017-08-04,18.34,18.36,18.36,18.36,18.36,-1,-1
2017-08-07,18.34,18.34,18.34,18.34,18.34,-1,-1
2017-08-08,18.28,18.32,18.32,18.32,18.32,-1,-1
2017-08-09,18.18,18.28,18.28,18.28,18.28,-1,-1
2017-08-10,18.05,18.21,18.21,18.21,18.21,-1,-1
2017-08-11,17.96,18.16,18.16,18.16,18.16,-1,-1
2017-08-14,17.87,18.13,18.13,18.13,18.13,-1,-1
2017-08-15,17.76,18.05,18.08,18.08,18.08,-1,-1
2017-08-16,17.64,17.99,18.04,18.04,18.04,-1,-1
2017-08-17,17.53,17.90,18.00,18.00,18.00,-1,-1
2017-08-18,17.50,17.84,17.98,17.98,17.98,-1,-1
2017-08-21,17.56,17.80,17.97,17.97,17.97,-1,-1
2017-08-22,17.61,17.78,17.97,17.97,17.97,-1,-1
2017-08-23,17.65,17.76,17.97,17.97,17.97,-1,-1
2017-08-24,17.73,17.74,17.97,17.97,17.97,-1,-1
2017-08-25,17.84,17.74,17.98,17.98,17.98,1,-1
2017-08-28,17.91,17.72,17.97,17.97,17.97,1,-1
2017-08-29,17.95,17.73,17.97,17.97,17.97,1,-1
2017-08-30,17.98,17.77,17.97,17.97,17.97,1,-1
2017-08-31,17.98,17.79,17.97,17.97,17.97,1,-1
2017-09-01,17.98,17.82,17.97,17.97,17.97,1,-1
2017-09-05,18.02,17.87,17.98,17.98,17.98,1,-1
2017-09-06,18.04,17.94,17.99,17.99,17.99,1,-1
2017-09-07,18.01,17.96,17.96,17.98,17.98,1,-1
2017-09-08,17.99,17.97,17.95,17.97,17.97,1,-1
2017-09-11,17.96,17.97,17.92,17.97,17.97,-1,-1
2017-09-12,17.92,17.95,17.90,17.96,17.96,-1,-1
2017-09-13,17.87,17.92,17.87,17.95,17.95,-1,-1
2017-09-14,17.74,17.88,17.84,17.94,17.94,-1,-1
2017-09-15,17.57,17.80,17.80,17.91,17.91,-1,-1
2017-09-18,17.49,17.75,17.76,17.89,17.89,-1,-1
2017-09-19,17.39,17.69,17.73,17.87,17.87,-1,-1
2017-09-20,17.34,17.65,17.70,17.86,17.86,-1,-1
2017-09-21,17.31,17.62,17.69,17.85,17.85,-1,-1
2017-09-22,17.31,17.59,17.70,17.84,17.84,-1,-1
2017-09-25,17.34,17.54,17.70,17.84,17.84,-1,-1
2017-09-26,17.45,17.51,17.70,17.84,17.84,-1,-1
2017-09-27,17.62,17.55,17.73,17.85,17.85,1,-1
2017-09-28,17.77,17.58,17.76,17.85,17.85,1,-1
2017-09-29,17.86,17.60,17.78,17.86,17.86,1,-1
2017-10-02,17.97,17.64,17.80,17.87,17.87,1,-1
2017-10-03,18.06,17.69,17.81,17.87,17.87,1,-1
2017-10-04,18.13,17.74,17.82,17.88,17.88,1,-1
2017-10-05,18.19,17.82,17.83,17.87,17.89,1,-1
2017-10-06,18.19,17.90,17.84,17.87,17.89,1,-1
2017-10-09,18.18,17.97,17.84,17.87,17.90,1,-1
2017-10-10,18.20,18.03,17.85,17.86,17.90,1,-1
2017-10-11,18.21,18.09,17.86,17.86,17.91,1,-1
2017-10-12,18.22,18.14,17.87,17.86,17.92,1,-1
2017-10-13,18.26,18.20,17.89,17.86,17.93,1,-1
2017-10-16,18.29,18.24,17.90,17.87,17.93,1,-1
2017-10-17,18.32,18.25,17.91,17.87,17.94,1,-1
2017-10-18,18.35,18.27,17.91,17.88,17.95,1,-1
2017-10-19,18.39,18.29,17.94,17.89,17.96,1,-1
2017-10-20,18.41,18.31,17.96,17.91,17.97,1,-1
2017-10-23,18.46,18.34,17.99,17.93,17.98,1,-1
2017-10-24,18.51,18.38,18.02,17.95,17.99,1,-1
2017-10-25,18.58,18.43,18.07,17.98,18.00,1,-1
2017-10-26,18.70,18.51,18.13,18.02,18.02,1,-1
2017-10-27,18.82,18.59,18.20,18.06,18.04,1,1
2017-10-30,18.97,18.68,18.29,18.10,18.06,1,1
2017-10-31,19.17,18.79,18.38,18.14,18.09,1,1
2017-11-01,19.34,18.90,18.45,18.17,18.11,1,1
2017-11-02,19.46,18.99,18.52,18.21,18.14,1,1
2017-11-03,19.50,19.04,18.58,18.23,18.15,1,1
2017-11-06,19.51,19.11,18.64,18.25,18.17,1,1
2017-11-07,19.45,19.14,18.67,18.27,18.17,1,1
2017-11-08,19.30,19.14,18.68,18.28,18.18,1,1
