Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2025-04-08,4.51,4.51,4.51,4.51,4.51,-1,-1
2025-04-09,4.38,4.38,4.38,4.38,4.38,-1,-1
2025-04-10,4.39,4.39,4.39,4.39,4.39,-1,-1
2025-04-11,4.48,4.48,4.48,4.48,4.48,-1,-1
2025-04-14,4.63,4.63,4.63,4.63,4.63,-1,-1
2025-04-15,5.03,5.03,5.03,5.03,5.03,-1,-1
2025-04-16,5.17,5.17,5.17,5.17,5.17,-1,-1
2025-04-17,5.63,5.49,5.49,5.49,5.49,1,-1
2025-04-21,6.09,5.71,5.71,5.71,5.71,1,-1
2025-04-22,6.57,5.92,5.92,5.92,5.92,1,-1
2025-04-23,6.85,5.99,5.99,5.99,5.99,1,-1
2025-04-24,6.94,5.98,5.98,5.98,5.98,1,-1
2025-04-25,6.76,5.96,5.96,5.96,5.96,1,-1
2025-04-28,6.61,5.89,5.89,5.89,5.89,1,-1
2025-04-29,6.23,5.93,5.84,5.84,5.84,1,-1
2025-04-30,6.35,6.22,5.99,5.99,5.99,1,-1
2025-05-01,6.38,6.48,6.11,6.11,6.11,-1,-1
2025-05-02,6.38,6.62,6.14,6.14,6.14,-1,-1
2025-05-05,6.59,6.76,6.20,6.20,6.20,-1,-1
2025-05-06,6.80,6.78,6.25,6.25,6.25,1,-1
2025-05-07,6.96,6.79,6.25,6.25,6.25,1,-1
2025-05-08,7.35,6.79,6.32,6.32,6.32,1,-1
2025-05-09,7.53,6.94,6.46,6.46,6.46,1,-1
2025-05-12,8.22,7.30,6.72,6.72,6.72,1,-1
2025-05-13,9.32,7.85,7.03,7.03,7.03,1,-1
2025-05-14,9.64,8.12,7.13,7.13,7.13,1,-1
2025-05-15,9.73,8.26,7.15,7.15,7.15,1,-1
2025-05-16,10.30,8.63,7.26,7.26,7.26,1,-1
2025-05-19,10.95,9.15,7.44,7.44,7.44,1,-1
2025-05-20,11.51,9.52,7.63,7.63,7.63,1,-1
2025-05-21,11.61,9.91,7.94,7.83,7.83,1,-1
2025-05-22,11.51,10.41,8.25,8.01,8.01,1,-1
2025-05-23,12.05,10.85,8.55,8.17,8.17,1,-1
2025-05-27,12.95,11.34,8.86,8.35,8.35,1,-1
2025-05-28,13.28,11.79,9.10,8.46,8.46,1,-1
2025-05-29,13.05,12.00,9.23,8.53,8.53,1,-1
2025-05-30,12.93,12.22,9.45,8.64,8.64,1,-1
2025-06-02,12.36,11.99,9.51,8.66,8.66,1,-1
2025-06-03,11.66,11.59,9.56,8.67,8.67,1,-1
2025-06-04,11.06,11.55,9.60,8.68,8.68,-1,-1
2025-06-05,10.14,11.55,9.63,8.66,8.66,-1,-1
2025-06-06,9.47,11.37,9.69,8.63,8.63,-1,-1
2025-06-09,9.21,11.13,9.80,8.64,8.64,-1,-1
2025-06-10,8.61,10.77,9.91,8.63,8.63,-1,-1
2025-06-11,8.35,10.36,10.00,8.61,8.61,-1,-1
2025-06-12,8.09,9.88,9.96,8.58,8.58,-1,-1
2025-06-13,7.82,9.44,9.93,8.55,8.55,-1,-1
2025-06-16,7.82,8.98,9.97,8.53,8.53,-1,-1
2025-06-17,7.99,8.73,10.02,8.54,8.54,-1,-1
2025-06-18,7.86,8.53,10.04,8.53,8.53,-1,-1
2025-06-20,7.75,8.18,10.10,8.59,8.51,-1,1
2025-06-23,7.78,8.07,10.10,8.67,8.50,-1,1
2025-06-24,7.86,7.98,10.04,8.73,8.49,-1,1
2025-06-25,7.67,7.74,9.81,8.75,8.44,-1,1
2025-06-26,7.50,7.66,9.54,8.78,8.40,-1,1
2025-06-27,7.11,7.55,9.43,8.76,8.36,-1,1
2025-06-30,7.14,7.50,9.44,8.80,8.36,-1,1
2025-07-01,7.14,7.44,9.36,8.80,8.35,-1,1
2025-07-02,7.35,7.57,9.26,8.84,8.37,-1,1
2025-07-03,7.68,7.77,9.15,8.89,8.39,-1,1
2025-07-07,8.24,7.95,9.02,8.95,8.41,1,1
2025-07-08,8.72,8.11,8.89,9.03,8.44,1,1
2025-07-09,9.44,8.28,8.82,9.14,8.48,1,1
2025-07-10,10.47,8.81,8.86,9.34,8.59,1,1
2025-07-11,12.27,9.70,9.12,9.65,8.77,1,1
2025-07-14,11.18,9.26,8.83,9.52,8.66,1,1
2025-07-15,10.04,8.86,8.47,9.40,8.56,1,1
2025-07-16,8.96,8.60,8.22,9.31,8.47,1,1
2025-07-17,7.90,8.31,8.01,9.21,8.38,-1,1
2025-07-18,6.65,8.04,7.79,9.12,8.30,-1,1
2025-07-21,4.76,7.61,7.60,9.04,8.21,-1,1
2025-07-22,2.15,7.21,7.42,8.92,8.12,-1,1
2025-07-23,2.18,6.68,7.19,8.77,8.04,-1,1
2025-07-24,2.19,6.12,6.98,8.56,7.96,-1,1
2025-07-25,2.17,5.56,6.78,8.31,7.88,-1,1
2025-07-28,2.08,4.99,6.61,8.15,7.80,-1,1
2025-07-29,1.99,4.32,6.43,8.03,7.72,-1,1
2025-07-30,1.92,3.34,6.23,7.86,7.65,-1,1
2025-07-31,1.88,2.02,5.99,7.65,7.57,-1,1
2025-08-01,1.81,2.00,5.78,7.41,7.50,-1,-1
2025-08-04,1.75,1.97,5.58,7.17,7.42,-1,-1
2025-08-05,1.70,1.93,5.36,6.93,7.35,-1,-1
2025-08-06,1.65,1.86,5.16,6.70,7.28,-1,-1
2025-08-07,1.62,1.80,5.02,6.44,7.22,-1,-1
2025-08-08,1.60,1.76,4.85,6.23,7.15,-1,-1
2025-08-11,1.58,1.73,4.70,6.04,7.08,-1,-1
2025-08-12,1.57,1.69,4.48,5.82,7.02,-1,-1
2025-08-13,1.57,1.66,4.28,5.66,6.96,-1,-1
2025-08-14,1.58,1.64,4.01,5.52,6.90,-1,-1
2025-08-15,1.58,1.61,3.74,5.37,6.84,-1,-1
2025-08-18,1.59,1.60,3.47,5.25,6.78,-1,-1
2025-08-19,1.59,1.59,3.19,5.12,6.73,-1,-1
2025-08-20,1.57,1.57,2.86,4.97,6.67,-1,-1
2025-08-21,1.54,1.56,2.40,4.83,6.61,-1,-1
2025-08-22,1.52,1.55,1.77,4.71,6.56,-1,-1
2025-08-25,1.50,1.54,1.76,4.60,6.51,-1,-1
2025-08-26,1.48,1.53,1.74,4.48,6.45,-1,-1
2025-08-27,1.46,1.52,1.72,4.36,6.40,-1,-1
2025-08-28,1.45,1.52,1.68,4.21,6.35,-1,-1
2025-08-29,1.45,1.51,1.65,4.08,6.30,-1,-1
2025-09-02,1.45,1.50,1.62,3.95,6.25,-1,-1
2025-09-03,1.43,1.48,1.60,3.82,6.21,-1,-1
2025-09-04,1.42,1.46,1.58,3.69,6.16,-1,-1
2025-09-05,1.40,1.44,1.56,3.61,6.11,-1,-1
2025-09-08,1.39,1.43,1.54,3.50,6.07,-1,-1
