Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,8.12,8.12,8.12,8.12,8.12,-1,-1
2016-01-05,8.26,8.26,8.26,8.26,8.26,-1,-1
2016-01-06,8.33,8.33,8.33,8.33,8.33,-1,-1
2016-01-07,8.35,8.35,8.35,8.35,8.35,-1,-1
2016-01-08,8.36,8.36,8.36,8.36,8.36,-1,-1
2016-01-11,8.34,8.34,8.34,8.34,8.34,-1,-1
2016-01-12,8.33,8.33,8.33,8.33,8.33,-1,-1
2016-01-13,8.35,8.32,8.32,8.32,8.32,1,-1
2016-01-14,8.31,8.30,8.30,8.30,8.30,1,-1
2016-01-15,8.25,8.27,8.27,8.27,8.27,-1,-1
2016-01-19,8.22,8.26,8.26,8.26,8.26,-1,-1
2016-01-20,8.18,8.25,8.25,8.25,8.25,-1,-1
2016-01-21,8.14,8.23,8.23,8.23,8.23,-1,-1
2016-01-22,8.11,8.22,8.22,8.22,8.22,-1,-1
2016-01-25,8.08,8.21,8.21,8.21,8.21,-1,-1
2016-01-26,8.08,8.19,8.20,8.20,8.20,-1,-1
2016-01-27,8.11,8.18,8.21,8.21,8.21,-1,-1
2016-01-28,8.14,8.18,8.22,8.22,8.22,-1,-1
2016-01-29,8.21,8.19,8.24,8.24,8.24,1,-1
2016-02-01,8.30,8.22,8.26,8.26,8.26,1,-1
2016-02-02,8.38,8.25,8.27,8.27,8.27,1,-1
2016-02-03,8.46,8.27,8.29,8.29,8.29,1,-1
2016-02-04,8.52,8.30,8.30,8.30,8.30,1,-1
2016-02-05,8.56,8.34,8.31,8.31,8.31,1,-1
2016-02-08,8.59,8.36,8.32,8.32,8.32,1,-1
2016-02-09,8.57,8.39,8.33,8.33,8.33,1,-1
2016-02-10,8.55,8.42,8.33,8.33,8.33,1,-1
2016-02-11,8.52,8.45,8.33,8.33,8.33,1,-1
2016-02-12,8.51,8.48,8.34,8.34,8.34,1,-1
2016-02-16,8.50,8.51,8.35,8.35,8.35,-1,-1
2016-02-17,8.49,8.53,8.36,8.35,8.35,-1,-1
2016-02-18,8.44,8.51,8.35,8.35,8.35,-1,-1
2016-02-19,8.40,8.48,8.34,8.34,8.34,-1,-1
2016-02-22,8.41,8.48,8.35,8.35,8.35,-1,-1
2016-02-23,8.43,8.47,8.35,8.35,8.35,-1,-1
2016-02-24,8.40,8.46,8.36,8.35,8.35,-1,-1
2016-02-25,8.41,8.46,8.37,8.36,8.36,-1,-1
2016-02-26,8.42,8.45,8.37,8.36,8.36,-1,-1
2016-02-29,8.45,8.45,8.39,8.37,8.37,-1,-1
2016-03-01,8.51,8.46,8.40,8.37,8.37,1,-1
2016-03-02,8.51,8.46,8.42,8.38,8.38,1,-1
2016-03-03,8.52,8.47,8.43,8.38,8.38,1,-1
2016-03-04,8.52,8.46,8.44,8.38,8.38,1,-1
2016-03-07,8.52,8.46,8.46,8.38,8.38,1,-1
2016-03-08,8.52,8.47,8.48,8.39,8.39,1,-1
2016-03-09,8.53,8.49,8.49,8.39,8.39,1,-1
2016-03-10,8.61,8.56,8.52,8.41,8.41,1,-1
2016-03-11,8.69,8.60,8.54,8.42,8.42,1,-1
2016-03-14,8.76,8.64,8.56,8.44,8.44,1,-1
2016-03-15,8.87,8.69,8.57,8.45,8.45,1,-1
2016-03-16,8.94,8.73,8.59,8.47,8.46,1,1
2016-03-17,8.96,8.74,8.59,8.47,8.46,1,1
2016-03-18,9.03,8.78,8.61,8.48,8.47,1,1
2016-03-21,9.02,8.81,8.63,8.50,8.49,1,1
2016-03-22,9.00,8.84,8.64,8.51,8.50,1,1
2016-03-23,8.99,8.88,8.66,8.52,8.50,1,1
2016-03-24,8.98,8.93,8.68,8.54,8.51,1,1
2016-03-28,8.98,8.96,8.70,8.56,8.52,1,1
2016-03-29,9.04,9.00,8.72,8.57,8.53,1,1
2016-03-30,9.04,9.04,8.74,8.60,8.54,-1,1
2016-03-31,9.04,9.03,8.75,8.61,8.55,1,1
2016-04-01,9.06,9.03,8.79,8.63,8.56,1,1
2016-04-04,9.11,9.05,8.82,8.66,8.57,1,1
2016-04-05,9.15,9.07,8.85,8.69,8.58,1,1
2016-04-06,9.20,9.09,8.88,8.71,8.60,1,1
2016-04-07,9.24,9.14,8.91,8.74,8.61,1,1
2016-04-08,9.27,9.16,8.94,8.76,8.62,1,1
2016-04-11,9.31,9.18,8.96,8.78,8.63,1,1
2016-04-12,9.33,9.20,8.99,8.79,8.64,1,1
2016-04-13,9.32,9.21,9.01,8.80,8.65,1,1
2016-04-14,9.30,9.23,9.03,8.82,8.65,1,1
2016-04-15,9.28,9.24,9.06,8.83,8.66,1,1
2016-04-18,9.24,9.24,9.08,8.84,8.67,-1,1
