Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,52512.00,52512.00,52512.00,52512.00,52512.00,-1,-1
2016-01-05,50640.00,50640.00,50640.00,50640.00,50640.00,-1,-1
2016-01-06,49728.00,49728.00,49728.00,49728.00,49728.00,-1,-1
2016-01-07,48936.00,48936.00,48936.00,48936.00,48936.00,-1,-1
2016-01-08,48940.80,48940.80,48940.80,48940.80,48940.80,-1,-1
2016-01-11,48688.00,48688.00,48688.00,48688.00,48688.00,-1,-1
2016-01-12,48096.00,48096.00,48096.00,48096.00,48096.00,-1,-1
2016-01-13,46765.71,47484.00,47484.00,47484.00,47484.00,-1,-1
2016-01-14,45778.29,46858.67,46858.67,46858.67,46858.67,-1,-1
2016-01-15,45257.14,46598.40,46598.40,46598.40,46598.40,-1,-1
2016-01-19,45291.43,46616.73,46616.73,46616.73,46616.73,-1,-1
2016-01-20,44564.57,46388.00,46388.00,46388.00,46388.00,-1,-1
2016-01-21,44098.29,46216.62,46216.62,46216.62,46216.62,-1,-1
2016-01-22,44084.57,46090.29,46090.29,46090.29,46090.29,-1,-1
2016-01-25,44537.14,45651.43,46108.80,46108.80,46108.80,-1,-1
2016-01-26,45401.14,45589.71,46221.00,46221.00,46221.00,-1,-1
2016-01-27,46004.57,45630.86,46353.88,46353.88,46353.88,1,-1
2016-01-28,46724.57,46008.00,46658.67,46658.67,46658.67,1,-1
2016-01-29,47794.29,46179.43,46906.11,46906.11,46906.11,1,-1
2016-02-01,48356.57,46227.43,46965.60,46965.60,46965.60,1,-1
2016-02-02,49220.57,46652.57,47133.71,47133.71,47133.71,1,-1
2016-02-03,49618.29,47077.71,47225.45,47225.45,47225.45,1,-1
2016-02-04,49508.57,47454.86,47221.57,47221.57,47221.57,1,-1
2016-02-05,49330.29,47667.43,47222.00,47222.00,47222.00,1,-1
2016-02-08,48548.57,47636.57,47187.84,47187.84,47187.84,1,-1
2016-02-09,47989.03,47891.66,47197.66,47197.66,47197.66,1,-1
2016-02-10,48304.46,48330.51,47312.71,47312.71,47312.71,-1,-1
2016-02-11,48071.31,48645.94,47368.11,47368.11,47368.11,-1,-1
2016-02-12,48318.17,48968.23,47489.21,47489.21,47489.21,-1,-1
2016-02-16,48688.46,49098.51,47563.84,47563.84,47563.84,-1,-1
2016-02-17,49141.03,49235.66,47493.44,47655.33,47655.33,-1,-1
2016-02-18,49758.17,49153.37,47557.44,47750.10,47750.10,1,-1
2016-02-19,50249.14,49119.09,47656.64,47844.95,47844.95,1,-1
2016-02-22,50139.43,49221.94,47755.84,47894.68,47894.68,1,-1
2016-02-23,50290.29,49180.80,47787.84,47952.55,47952.55,1,-1
2016-02-24,50427.43,49372.80,47935.04,48060.53,48060.53,1,-1
2016-02-25,50605.71,49647.09,48149.44,48139.33,48139.33,1,-1
2016-02-26,50688.00,49914.51,48408.64,48213.98,48213.98,1,-1
2016-02-29,50715.43,50236.80,48709.44,48282.34,48282.34,1,-1
2016-03-01,50619.43,50434.29,48907.84,48330.48,48330.48,1,-1
2016-03-02,50550.86,50345.14,48983.04,48348.18,48348.18,1,-1
2016-03-03,50235.43,50262.86,49111.04,48333.03,48333.03,-1,-1
2016-03-04,49056.00,49741.71,49091.84,48222.59,48222.59,-1,-1
2016-03-07,48233.14,49419.43,49117.44,48154.25,48154.25,-1,-1
2016-03-08,47547.43,49117.71,49111.04,48110.29,48110.29,-1,-1
2016-03-09,46697.14,48706.29,49011.84,48041.11,48041.11,-1,-1
2016-03-10,46409.14,48514.29,49002.24,48044.32,48044.32,-1,-1
2016-03-11,46299.43,48425.14,48883.84,48049.40,48049.40,-1,-1
2016-03-14,46601.14,48418.29,48832.64,48085.62,48085.62,-1,-1
2016-03-15,47259.43,48157.71,48835.84,48087.74,48087.74,-1,-1
2016-03-16,47766.86,48000.00,48778.24,48012.86,48101.08,-1,-1
2016-03-17,48397.71,47972.57,48826.24,48049.34,48148.98,1,-1
2016-03-18,48987.43,47842.29,48890.24,48072.38,48166.10,1,-1
2016-03-21,49577.14,47993.14,49059.84,48187.58,48243.02,1,-1
2016-03-22,50180.57,48240.00,49264.64,48258.62,48320.64,1,-1
2016-03-23,50331.43,48466.29,49379.20,48327.74,48366.34,1,-1
2016-03-24,51387.43,49323.43,49555.20,48548.54,48492.97,1,1
2016-03-28,52265.14,50016.00,49756.80,48782.78,48603.64,1,1
2016-03-29,53115.43,50756.57,49945.60,49076.54,48738.22,1,1
2016-03-30,54034.29,51510.86,50137.60,49301.18,48850.72,1,1
2016-03-31,54514.29,52045.71,50313.60,49478.78,48962.68,1,1
2016-04-01,54816.00,52498.29,50444.80,49693.82,49053.99,1,1
2016-04-04,55186.29,52758.86,50531.20,49880.06,49124.11,1,1
2016-04-05,54747.43,53067.43,50630.40,50041.34,49177.05,1,1
2016-04-06,53732.57,52998.86,50560.00,50070.14,49155.99,1,1
2016-04-07,52525.71,52820.57,50435.20,50073.98,49139.93,-1,1
2016-04-08,51593.14,52813.71,50368.00,50083.58,49137.24,-1,1
2016-04-11,50646.86,52580.57,50304.00,50027.90,49136.05,-1,1
2016-04-12,49851.43,52333.71,50243.20,49981.82,49134.89,-1,1
2016-04-13,49467.43,52326.86,50262.40,50035.58,49158.45,-1,1
2016-04-14,48905.14,51826.29,50246.40,49997.18,49150.24,-1,1
2016-04-15,48987.43,51360.00,50268.80,49981.82,49139.60,-1,1
2016-04-18,49206.86,50866.29,50470.40,50031.74,49146.35,-1,1
2016-04-19,49069.71,50331.43,50563.20,50047.10,49130.85,-1,1
2016-04-20,48781.71,49714.29,50592.00,50060.54,49102.98,-1,1
2016-04-21,48576.00,49213.71,50681.60,50064.00,49083.41,-1,1
2016-04-22,48178.29,48822.86,50675.20,50017.92,49069.34,-1,1
2016-04-25,47657.14,48281.14,50563.20,49939.20,49016.25,-1,1
2016-04-26,47259.43,48123.43,50422.40,49833.60,48973.00,-1,1
