Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2025-11-21,49.01,49.01,49.01,49.01,49.01,-1,-1
2025-11-24,49.04,49.04,49.04,49.04,49.04,-1,-1
2025-11-25,49.06,49.06,49.06,49.06,49.06,-1,-1
2025-11-26,49.08,49.08,49.08,49.08,49.08,-1,-1
2025-11-28,49.10,49.10,49.10,49.10,49.10,-1,-1
2025-12-01,49.10,49.10,49.10,49.10,49.10,-1,-1
2025-12-02,49.09,49.09,49.09,49.09,49.09,-1,-1
2025-12-03,49.09,49.08,49.08,49.08,49.08,1,-1
2025-12-04,49.08,49.07,49.07,49.07,49.07,1,-1
2025-12-05,49.08,49.07,49.07,49.07,49.07,1,-1
2025-12-08,49.06,49.07,49.07,49.07,49.07,-1,-1
2025-12-09,49.04,49.07,49.07,49.07,49.07,-1,-1
2025-12-10,49.04,49.07,49.07,49.07,49.07,-1,-1
2025-12-11,49.07,49.08,49.08,49.08,49.08,-1,-1
2025-12-12,49.07,49.08,49.08,49.08,49.08,-1,-1
2025-12-15,49.07,49.07,49.07,49.07,49.07,-1,-1
2025-12-16,49.08,49.08,49.08,49.08,49.08,-1,-1
2025-12-17,49.08,49.07,49.08,49.08,49.08,1,-1
2025-12-18,49.10,49.07,49.08,49.08,49.08,1,-1
2025-12-19,49.09,49.07,49.08,49.08,49.08,1,-1
2025-12-22,49.09,49.08,49.08,49.08,49.08,1,-1
2025-12-23,49.10,49.08,49.08,49.08,49.08,1,-1
2025-12-24,49.11,49.09,49.08,49.08,49.08,1,-1
2025-12-26,49.10,49.09,49.08,49.08,49.08,1,-1
2025-12-29,49.12,49.10,49.09,49.09,49.09,1,-1
2025-12-30,49.13,49.11,49.09,49.09,49.09,1,-1
2025-12-31,49.14,49.11,49.09,49.09,49.09,1,-1
2026-01-02,49.15,49.12,49.10,49.10,49.10,1,-1
2026-01-05,49.17,49.14,49.10,49.10,49.10,1,-1
2026-01-06,49.20,49.16,49.11,49.11,49.11,1,-1
2026-01-07,49.27,49.19,49.13,49.13,49.13,1,-1
2026-01-08,49.32,49.22,49.15,49.14,49.14,1,-1
2026-01-09,49.38,49.25,49.16,49.15,49.15,1,-1
2026-01-12,49.43,49.28,49.17,49.16,49.16,1,-1
2026-01-13,49.47,49.31,49.18,49.17,49.17,1,-1
2026-01-14,49.53,49.35,49.20,49.19,49.19,1,-1
2026-01-15,49.57,49.39,49.22,49.20,49.20,1,-1
2026-01-16,49.56,49.41,49.24,49.21,49.21,1,-1
2026-01-20,49.52,49.42,49.25,49.21,49.21,1,-1
2026-01-21,49.51,49.44,49.26,49.21,49.21,1,-1
2026-01-22,49.48,49.46,49.27,49.22,49.22,1,-1
2026-01-23,49.47,49.47,49.28,49.22,49.22,-1,-1
2026-01-26,49.45,49.49,49.30,49.23,49.23,-1,-1
2026-01-27,49.44,49.51,49.31,49.24,49.24,-1,-1
2026-01-28,49.46,49.51,49.33,49.24,49.24,-1,-1
2026-01-29,49.49,49.50,49.35,49.25,49.25,-1,-1
2026-01-30,49.50,49.50,49.36,49.26,49.26,-1,-1
2026-02-02,49.55,49.52,49.38,49.27,49.27,1,-1
2026-02-03,49.59,49.53,49.40,49.28,49.28,1,-1
2026-02-04,49.61,49.53,49.42,49.28,49.28,1,-1
2026-02-05,49.64,49.54,49.44,49.30,49.29,1,1
2026-02-06,49.66,49.56,49.46,49.31,49.30,1,1
2026-02-09,49.73,49.61,49.49,49.33,49.31,1,1
2026-02-10,49.78,49.64,49.52,49.34,49.32,1,1
2026-02-11,49.81,49.68,49.54,49.36,49.34,1,1
2026-02-12,49.88,49.73,49.58,49.38,49.35,1,1
2026-02-13,49.95,49.78,49.61,49.40,49.36,1,1
2026-02-17,50.01,49.83,49.64,49.43,49.38,1,1
2026-02-18,50.07,49.87,49.67,49.45,49.39,1,1
2026-02-19,50.13,49.93,49.71,49.48,49.41,1,1
2026-02-20,50.15,49.97,49.72,49.50,49.42,1,1
2026-02-23,50.19,50.00,49.75,49.52,49.43,1,1
2026-02-24,50.22,50.05,49.77,49.54,49.45,1,1
2026-02-25,50.24,50.10,49.80,49.57,49.46,1,1
2026-02-26,50.27,50.14,49.83,49.60,49.48,1,1
2026-02-27,50.31,50.19,49.85,49.62,49.49,1,1
2026-03-02,50.33,50.23,49.88,49.65,49.50,1,1
2026-03-03,50.33,50.24,49.90,49.67,49.51,1,1
2026-03-04,50.31,50.25,49.93,49.69,49.52,1,1
2026-03-05,50.27,50.25,49.95,49.71,49.53,1,1
2026-03-06,50.23,50.24,49.97,49.73,49.54,-1,1
2026-03-09,50.18,50.22,49.99,49.75,49.54,-1,1
2026-03-10,50.09,50.20,50.00,49.76,49.55,-1,1
2026-03-11,50.00,50.16,50.01,49.78,49.55,-1,1
2026-03-12,49.96,50.14,50.02,49.79,49.55,-1,1
2026-03-13,49.91,50.11,50.03,49.80,49.56,-1,1
2026-03-16,49.88,50.08,50.04,49.81,49.56,-1,1
2026-03-17,49.86,50.04,50.04,49.83,49.57,-1,1
2026-03-18,49.83,50.00,50.05,49.84,49.57,-1,1
2026-03-19,49.83,49.96,50.05,49.85,49.57,-1,1
2026-03-20,49.75,49.88,50.04,49.84,49.57,-1,1
2026-03-23,49.73,49.84,50.04,49.84,49.57,-1,1
2026-03-24,49.61,49.76,50.00,49.83,49.56,-1,1
2026-03-25,49.52,49.70,49.98,49.83,49.56,-1,1
2026-03-26,49.41,49.63,49.95,49.82,49.55,-1,1
2026-03-27,49.29,49.56,49.91,49.80,49.55,-1,1
2026-03-30,49.19,49.51,49.88,49.80,49.54,-1,1
2026-03-31,49.20,49.48,49.85,49.79,49.54,-1,1
2026-04-01,49.22,49.48,49.84,49.80,49.54,-1,1
2026-04-02,49.34,49.47,49.82,49.81,49.55,-1,1
2026-04-06,49.42,49.47,49.81,49.82,49.55,-1,1
2026-04-07,49.53,49.47,49.79,49.83,49.55,1,1
2026-04-08,49.66,49.47,49.78,49.83,49.55,1,1
2026-04-09,49.79,49.49,49.77,49.84,49.56,1,1
2026-04-10,49.87,49.53,49.76,49.85,49.56,1,1
2026-04-13,49.92,49.57,49.75,49.86,49.57,1,1
2026-04-14,49.96,49.65,49.73,49.87,49.57,1,1
2026-04-15,49.98,49.70,49.73,49.88,49.58,1,1
2026-04-16,50.02,49.77,49.73,49.89,49.58,1,1
2026-04-17,50.07,49.87,49.73,49.90,49.59,1,1
2026-04-20,50.12,49.95,49.74,49.91,49.60,1,1
2026-04-21,50.17,50.02,49.75,49.92,49.61,1,1
2026-04-22,50.19,50.06,49.77,49.93,49.61,1,1
2026-04-23,50.23,50.10,49.79,49.94,49.62,1,1
2026-04-24,50.30,50.14,49.81,49.95,49.63,1,1
2026-04-27,50.34,50.18,49.82,49.95,49.63,1,1
2026-04-28,50.35,50.21,49.84,49.95,49.64,1,1
2026-04-29,50.33,50.22,49.85,49.96,49.65,1,1
2026-04-30,50.33,50.25,49.87,49.96,49.65,1,1
2026-05-01,50.32,50.26,49.88,49.96,49.66,1,1
2026-05-04,50.31,50.27,49.92,49.96,49.66,1,1
2026-05-05,50.29,50.29,49.94,49.96,49.67,-1,1
2026-05-06,50.30,50.32,49.98,49.96,49.67,-1,1
2026-05-07,50.32,50.33,50.03,49.96,49.68,-1,1
2026-05-08,50.34,50.34,50.07,49.96,49.69,-1,1
2026-05-11,50.37,50.35,50.12,49.96,49.69,1,1
2026-05-12,50.37,50.34,50.16,49.96,49.70,1,1
2026-05-13,50.37,50.34,50.19,49.96,49.70,1,1
2026-05-14,50.37,50.33,50.20,49.97,49.71,1,1
2026-05-15,50.30,50.30,50.21,49.97,49.71,-1,1
2026-05-18,50.23,50.27,50.22,49.96,49.71,-1,1
2026-05-19,50.14,50.24,50.22,49.96,49.71,-1,1
2026-05-20,50.07,50.22,50.22,49.96,49.72,-1,1
2026-05-21,50.04,50.20,50.22,49.97,49.72,-1,1
2026-05-22,50.02,50.19,50.22,49.97,49.72,-1,1
2026-05-26,50.04,50.20,50.23,49.98,49.73,-1,1
2026-05-27,50.12,50.21,50.25,50.00,49.73,-1,1
2026-05-28,50.21,50.22,50.27,50.01,49.74,-1,1
2026-05-29,50.33,50.24,50.29,50.03,49.75,1,1
2026-06-01,50.44,50.25,50.30,50.05,49.76,1,1
2026-06-02,50.54,50.29,50.32,50.08,49.76,1,1
2026-06-03,50.64,50.33,50.33,50.10,49.77,1,1
