Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,90.98,90.98,90.98,90.98,90.98,-1,-1
2016-01-05,90.80,90.80,90.80,90.80,90.80,-1,-1
2016-01-06,91.15,91.15,91.15,91.15,91.15,-1,-1
2016-01-07,91.36,91.36,91.36,91.36,91.36,-1,-1
2016-01-08,91.57,91.57,91.57,91.57,91.57,-1,-1
2016-01-11,91.54,91.54,91.54,91.54,91.54,-1,-1
2016-01-12,91.71,91.71,91.71,91.71,91.71,-1,-1
2016-01-13,92.09,91.95,91.95,91.95,91.95,1,-1
2016-01-14,92.40,92.04,92.04,92.04,92.04,1,-1
2016-01-15,92.74,92.26,92.26,92.26,92.26,1,-1
2016-01-19,93.01,92.41,92.41,92.41,92.41,1,-1
2016-01-20,93.36,92.62,92.62,92.62,92.62,1,-1
2016-01-21,93.77,92.74,92.74,92.74,92.74,1,-1
2016-01-22,93.94,92.83,92.83,92.83,92.83,1,-1
2016-01-25,94.05,93.07,92.93,92.93,92.93,1,-1
2016-01-26,94.29,93.34,93.03,93.03,93.03,1,-1
2016-01-27,94.32,93.53,93.11,93.11,93.11,1,-1
2016-01-28,94.42,93.71,93.19,93.19,93.19,1,-1
2016-01-29,94.48,93.92,93.30,93.30,93.30,1,-1
2016-02-01,94.60,94.19,93.39,93.39,93.39,1,-1
2016-02-02,95.02,94.48,93.56,93.56,93.56,1,-1
2016-02-03,95.25,94.65,93.67,93.67,93.67,1,-1
2016-02-04,95.55,94.92,93.79,93.79,93.79,1,-1
2016-02-05,95.86,95.09,93.91,93.91,93.91,1,-1
2016-02-08,96.45,95.43,94.10,94.10,94.10,1,-1
2016-02-09,96.94,95.71,94.28,94.28,94.28,1,-1
2016-02-10,97.59,96.10,94.48,94.48,94.48,1,-1
2016-02-11,98.10,96.56,94.69,94.69,94.69,1,-1
2016-02-12,98.48,96.87,94.83,94.83,94.83,1,-1
2016-02-16,98.64,97.10,94.92,94.92,94.92,1,-1
2016-02-17,98.71,97.28,95.13,94.99,94.99,1,-1
2016-02-18,98.64,97.55,95.38,95.10,95.10,1,-1
2016-02-19,98.58,97.76,95.60,95.19,95.19,1,-1
2016-02-22,98.38,97.99,95.81,95.28,95.28,1,-1
2016-02-23,98.14,98.12,96.02,95.38,95.38,1,-1
2016-02-24,98.11,98.29,96.25,95.47,95.47,-1,-1
2016-02-25,98.27,98.46,96.46,95.56,95.56,-1,-1
2016-02-26,98.39,98.55,96.60,95.62,95.62,-1,-1
2016-02-29,98.40,98.52,96.78,95.69,95.69,-1,-1
2016-03-01,98.15,98.36,96.86,95.71,95.71,-1,-1
2016-03-02,97.96,98.17,96.96,95.74,95.74,-1,-1
2016-03-03,97.77,97.95,97.04,95.78,95.78,-1,-1
2016-03-04,97.52,97.81,97.13,95.80,95.80,-1,-1
2016-03-07,97.21,97.74,97.22,95.82,95.82,-1,-1
2016-03-08,97.19,97.79,97.33,95.86,95.86,-1,-1
2016-03-09,97.02,97.71,97.42,95.89,95.89,-1,-1
2016-03-10,97.05,97.60,97.50,95.91,95.91,-1,-1
2016-03-11,96.88,97.42,97.54,95.91,95.91,-1,-1
2016-03-14,96.70,97.23,97.56,95.91,95.91,-1,-1
2016-03-15,96.62,97.07,97.60,95.92,95.92,-1,-1
2016-03-16,96.59,96.90,97.58,96.03,95.93,-1,1
2016-03-17,96.46,96.83,97.61,96.15,95.94,-1,1
2016-03-18,96.45,96.74,97.63,96.25,95.97,-1,1
2016-03-21,96.38,96.72,97.62,96.34,95.97,-1,1
2016-03-22,96.46,96.67,97.54,96.42,95.98,-1,1
