Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,21.59,21.59,21.59,21.59,21.59,-1,-1
2016-01-05,21.41,21.41,21.41,21.41,21.41,-1,-1
2016-01-06,21.20,21.20,21.20,21.20,21.20,-1,-1
2016-01-07,20.85,20.85,20.85,20.85,20.85,-1,-1
2016-01-08,20.56,20.56,20.56,20.56,20.56,-1,-1
2016-01-11,20.41,20.41,20.41,20.41,20.41,-1,-1
2016-01-12,20.30,20.30,20.30,20.30,20.30,-1,-1
2016-01-13,20.00,20.20,20.20,20.20,20.20,-1,-1
2016-01-14,19.81,20.17,20.17,20.17,20.17,-1,-1
2016-01-15,19.63,20.10,20.10,20.10,20.10,-1,-1
2016-01-19,19.60,20.05,20.05,20.05,20.05,-1,-1
2016-01-20,19.52,19.96,19.96,19.96,19.96,-1,-1
2016-01-21,19.42,19.87,19.87,19.87,19.87,-1,-1
2016-01-22,19.39,19.84,19.84,19.84,19.84,-1,-1
2016-01-25,19.28,19.64,19.77,19.77,19.77,-1,-1
2016-01-26,19.18,19.50,19.74,19.74,19.74,-1,-1
2016-01-27,19.13,19.38,19.70,19.70,19.70,-1,-1
2016-01-28,19.05,19.32,19.66,19.66,19.66,-1,-1
2016-01-29,19.10,19.31,19.64,19.64,19.64,-1,-1
2016-02-01,19.16,19.29,19.62,19.62,19.62,-1,-1
2016-02-02,19.09,19.24,19.59,19.59,19.59,-1,-1
2016-02-03,19.12,19.20,19.57,19.57,19.57,-1,-1
2016-02-04,19.17,19.18,19.56,19.56,19.56,-1,-1
2016-02-05,19.20,19.16,19.55,19.55,19.55,1,-1
2016-02-08,19.21,19.13,19.53,19.53,19.53,1,-1
2016-02-09,19.14,19.12,19.51,19.51,19.51,1,-1
2016-02-10,19.44,19.30,19.58,19.58,19.58,1,-1
2016-02-11,19.74,19.42,19.63,19.63,19.63,1,-1
2016-02-12,20.08,19.60,19.69,19.69,19.69,1,-1
2016-02-16,20.48,19.83,19.78,19.78,19.78,1,-1
2016-02-17,21.02,20.11,19.83,19.89,19.89,1,-1
2016-02-18,21.66,20.43,19.91,20.00,20.00,1,-1
2016-02-19,22.34,20.74,20.00,20.11,20.11,1,-1
2016-02-22,22.62,21.03,20.12,20.20,20.20,1,-1
2016-02-23,22.86,21.30,20.23,20.28,20.28,1,-1
2016-02-24,23.08,21.58,20.34,20.35,20.35,1,-1
2016-02-25,23.20,21.84,20.45,20.42,20.42,1,-1
2016-02-26,23.26,22.14,20.59,20.51,20.51,1,-1
2016-02-29,23.22,22.44,20.70,20.58,20.58,1,-1
2016-03-01,23.36,22.85,20.87,20.68,20.68,1,-1
2016-03-02,23.59,23.10,21.05,20.78,20.78,1,-1
2016-03-03,23.88,23.37,21.24,20.88,20.88,1,-1
2016-03-04,24.16,23.62,21.44,20.97,20.97,1,-1
2016-03-07,24.45,23.82,21.64,21.06,21.06,1,-1
2016-03-08,24.60,23.93,21.83,21.14,21.14,1,-1
2016-03-09,24.84,24.03,22.02,21.23,21.23,1,-1
2016-03-10,24.87,24.11,22.21,21.30,21.30,1,-1
2016-03-11,24.85,24.22,22.40,21.37,21.37,1,-1
2016-03-14,24.82,24.35,22.58,21.44,21.44,1,-1
2016-03-15,24.76,24.46,22.75,21.50,21.50,1,-1
2016-03-16,24.69,24.57,22.94,21.56,21.56,1,-1
2016-03-17,24.73,24.67,23.14,21.64,21.63,1,1
2016-03-18,24.75,24.80,23.32,21.72,21.69,-1,1
2016-03-21,24.77,24.82,23.51,21.82,21.75,-1,1
2016-03-22,24.77,24.81,23.70,21.93,21.81,-1,1
2016-03-23,24.74,24.78,23.89,22.03,21.85,-1,1
2016-03-24,24.75,24.75,23.99,22.12,21.90,-1,1
2016-03-28,24.70,24.70,24.10,22.22,21.94,-1,1
2016-03-29,24.70,24.71,24.22,22.32,21.99,-1,1
2016-03-30,24.65,24.70,24.30,22.43,22.04,-1,1
2016-03-31,24.65,24.71,24.35,22.53,22.08,-1,1
2016-04-01,24.68,24.73,24.40,22.65,22.13,-1,1
2016-04-04,24.77,24.76,24.45,22.78,22.18,1,1
2016-04-05,24.85,24.80,24.51,22.89,22.22,1,1
2016-04-06,24.96,24.83,24.59,23.02,22.27,1,1
2016-04-07,24.91,24.81,24.64,23.12,22.30,1,1
2016-04-08,24.88,24.77,24.69,23.23,22.34,1,1
2016-04-11,24.91,24.78,24.74,23.35,22.37,1,1
2016-04-12,24.86,24.77,24.79,23.46,22.41,1,1
2016-04-13,24.99,24.88,24.84,23.59,22.46,1,1
2016-04-14,25.08,24.97,24.86,23.73,22.50,1,1
2016-04-15,25.13,25.05,24.88,23.86,22.55,1,1
2016-04-18,25.25,25.08,24.90,23.97,22.58,1,1
2016-04-19,25.36,25.12,24.90,24.09,22.62,1,1
2016-04-20,25.41,25.16,24.93,24.22,22.66,1,1
2016-04-21,25.55,25.20,24.95,24.36,22.70,1,1
2016-04-22,25.53,25.26,24.99,24.45,22.74,1,1
2016-04-25,25.51,25.29,25.01,24.53,22.77,1,1
2016-04-26,25.58,25.35,25.06,24.63,22.81,1,1
2016-04-27,25.66,25.46,25.11,24.70,22.85,1,1
2016-04-28,25.65,25.50,25.13,24.74,22.88,1,1
2016-04-29,25.45,25.43,25.10,24.75,22.90,1,1
2016-05-02,25.20,25.37,25.06,24.76,22.91,-1,1
2016-05-03,24.89,25.21,25.02,24.76,22.92,-1,1
2016-05-04,24.59,25.05,24.97,24.78,22.92,-1,1
2016-05-05,24.18,24.88,24.93,24.78,22.93,-1,1
2016-05-06,23.80,24.73,24.89,24.78,22.93,-1,1
2016-05-09,23.51,24.58,24.85,24.78,22.93,-1,1
2016-05-10,23.48,24.46,24.81,24.79,22.94,-1,1
2016-05-11,23.44,24.32,24.77,24.77,22.95,-1,1
2016-05-12,23.46,24.18,24.74,24.75,22.96,-1,1
2016-05-13,23.48,24.03,24.69,24.72,22.97,-1,1
2016-05-16,23.56,23.87,24.65,24.70,22.97,-1,1
2016-05-17,23.61,23.70,24.60,24.67,22.98,-1,1
2016-05-18,23.66,23.58,24.54,24.64,22.99,1,1
2016-05-19,23.62,23.55,24.51,24.61,22.99,1,1
2016-05-20,23.63,23.53,24.48,24.60,23.00,1,1
2016-05-23,23.62,23.54,24.44,24.57,23.01,1,1
2016-05-24,23.72,23.60,24.42,24.57,23.02,1,1
2016-05-25,23.86,23.71,24.38,24.57,23.04,1,1
2016-05-26,24.04,23.82,24.35,24.57,23.05,1,1
2016-05-27,24.25,23.95,24.34,24.58,23.07,1,1
2016-05-31,24.55,24.08,24.35,24.59,23.10,1,1
