Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2008-04-09,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-10,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-11,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-14,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-15,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-16,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-17,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-18,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-21,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-22,28.04,28.04,28.04,28.04,28.04,-1,-1
2008-04-23,28.06,28.05,28.05,28.05,28.05,1,-1
2008-04-24,28.07,28.06,28.06,28.06,28.06,1,-1
2008-04-25,28.09,28.07,28.07,28.07,28.07,1,-1
2008-04-28,28.07,28.06,28.06,28.06,28.06,1,-1
2008-04-29,28.07,28.05,28.05,28.05,28.05,1,-1
2008-04-30,28.05,28.04,28.04,28.04,28.04,1,-1
2008-05-01,28.02,28.03,28.03,28.03,28.03,-1,-1
2008-05-02,27.98,28.02,28.02,28.02,28.02,-1,-1
2008-05-05,27.94,28.01,28.02,28.02,28.02,-1,-1
2008-05-06,27.93,28.01,28.02,28.02,28.02,-1,-1
2008-05-07,27.94,28.01,28.02,28.02,28.02,-1,-1
2008-05-08,27.94,28.00,28.02,28.02,28.02,-1,-1
2008-05-09,27.95,28.00,28.02,28.02,28.02,-1,-1
2008-05-12,27.97,28.00,28.02,28.02,28.02,-1,-1
2008-05-13,27.99,27.99,28.01,28.01,28.01,-1,-1
2008-05-14,28.01,27.97,28.01,28.01,28.01,1,-1
2008-05-15,28.00,27.96,28.01,28.01,28.01,1,-1
2008-05-16,28.00,27.97,28.01,28.01,28.01,1,-1
2008-05-19,28.00,27.97,28.01,28.01,28.01,1,-1
2008-05-20,28.00,27.98,28.01,28.01,28.01,1,-1
2008-05-21,28.00,27.99,28.01,28.01,28.01,1,-1
2008-05-22,28.00,27.99,28.01,28.01,28.01,1,-1
2008-05-23,28.00,28.00,28.01,28.01,28.01,-1,-1
2008-05-27,28.01,28.00,28.01,28.01,28.01,1,-1
2008-05-28,28.02,28.01,28.01,28.01,28.01,1,-1
2008-05-29,28.04,28.02,28.01,28.02,28.02,1,-1
2008-05-30,28.06,28.03,28.02,28.02,28.02,1,-1
2008-06-02,28.09,28.04,28.02,28.03,28.03,1,-1
2008-06-03,28.13,28.06,28.03,28.03,28.03,1,-1
2008-06-04,28.18,28.09,28.04,28.04,28.04,1,-1
2008-06-05,28.25,28.13,28.05,28.05,28.05,1,-1
2008-06-06,28.30,28.16,28.06,28.06,28.06,1,-1
2008-06-09,28.35,28.19,28.07,28.07,28.07,1,-1
2008-06-10,28.40,28.23,28.09,28.08,28.08,1,-1
2008-06-11,28.44,28.26,28.11,28.09,28.09,1,-1
2008-06-12,28.47,28.30,28.13,28.10,28.10,1,-1
2008-06-13,28.49,28.34,28.15,28.11,28.11,1,-1
2008-06-16,28.50,28.37,28.17,28.12,28.12,1,-1
2008-06-17,28.51,28.41,28.20,28.13,28.13,1,-1
2008-06-18,28.54,28.44,28.22,28.14,28.14,1,-1
2008-06-19,28.56,28.48,28.24,28.15,28.15,1,-1
2008-06-20,28.58,28.51,28.26,28.16,28.16,1,-1
2008-06-23,28.60,28.54,28.28,28.17,28.17,1,-1
2008-06-24,28.62,28.55,28.30,28.18,28.17,1,1
2008-06-25,28.63,28.57,28.32,28.20,28.18,1,1
2008-06-26,28.64,28.58,28.34,28.21,28.19,1,1
2008-06-27,28.64,28.59,28.37,28.22,28.20,1,1
2008-06-30,28.64,28.60,28.39,28.23,28.21,1,1
2008-07-01,28.64,28.61,28.41,28.24,28.21,1,1
2008-07-02,28.67,28.64,28.44,28.26,28.22,1,1
2008-07-03,28.71,28.66,28.47,28.28,28.24,1,1
2008-07-07,28.74,28.69,28.50,28.29,28.25,1,1
2008-07-08,28.78,28.71,28.53,28.30,28.26,1,1
