Date,MA_7,MA_14,MA_30,MA_50,MA_200,Sinal_MA_7_14,Sinal_MA_50_200
2016-01-04,71.79,71.79,71.79,71.79,71.79,-1,-1
2016-01-05,71.66,71.66,71.66,71.66,71.66,-1,-1
2016-01-06,71.49,71.49,71.49,71.49,71.49,-1,-1
2016-01-07,71.03,71.03,71.03,71.03,71.03,-1,-1
2016-01-08,70.81,70.81,70.81,70.81,70.81,-1,-1
2016-01-11,70.77,70.77,70.77,70.77,70.77,-1,-1
2016-01-12,70.81,70.81,70.81,70.81,70.81,-1,-1
2016-01-13,70.35,70.53,70.53,70.53,70.53,-1,-1
2016-01-14,69.98,70.36,70.36,70.36,70.36,-1,-1
2016-01-15,69.63,70.19,70.19,70.19,70.19,-1,-1
2016-01-19,69.43,70.01,70.01,70.01,70.01,-1,-1
2016-01-20,69.10,69.81,69.81,69.81,69.81,-1,-1
2016-01-21,68.61,69.61,69.61,69.61,69.61,-1,-1
2016-01-22,68.15,69.48,69.48,69.48,69.48,-1,-1
2016-01-25,67.88,69.12,69.29,69.29,69.29,-1,-1
2016-01-26,67.73,68.85,69.21,69.21,69.21,-1,-1
2016-01-27,67.56,68.60,69.11,69.11,69.11,-1,-1
2016-01-28,67.52,68.47,69.04,69.04,69.04,-1,-1
2016-01-29,67.79,68.45,69.07,69.07,69.07,-1,-1
2016-02-01,68.02,68.32,69.05,69.05,69.05,-1,-1
2016-02-02,67.96,68.06,68.97,68.97,68.97,-1,-1
2016-02-03,67.82,67.85,68.82,68.82,68.82,-1,-1
2016-02-04,67.51,67.62,68.69,68.69,68.69,-1,-1
2016-02-05,67.11,67.34,68.52,68.52,68.52,-1,-1
2016-02-08,66.39,66.96,68.30,68.30,68.30,-1,-1
2016-02-09,65.68,66.74,68.16,68.16,68.16,-1,-1
2016-02-10,64.97,66.50,67.99,67.99,67.99,-1,-1
2016-02-11,64.38,66.17,67.82,67.82,67.82,-1,-1
2016-02-12,64.26,66.04,67.72,67.72,67.72,-1,-1
2016-02-16,64.17,65.84,67.63,67.63,67.63,-1,-1
2016-02-17,64.23,65.67,67.41,67.56,67.56,-1,-1
2016-02-18,64.57,65.48,67.21,67.48,67.48,-1,-1
2016-02-19,64.60,65.14,66.99,67.40,67.40,-1,-1
2016-02-22,64.81,64.89,66.85,67.34,67.34,-1,-1
2016-02-23,65.04,64.71,66.68,67.27,67.27,1,-1
2016-02-24,65.53,64.90,66.60,67.30,67.30,1,-1
2016-02-25,66.30,65.24,66.58,67.38,67.38,1,-1
2016-02-26,67.07,65.65,66.65,67.47,67.47,1,-1
2016-02-29,67.67,66.12,66.67,67.52,67.52,1,-1
2016-03-01,68.54,66.57,66.74,67.60,67.60,1,-1
2016-03-02,69.38,67.10,66.84,67.69,67.69,1,-1
2016-03-03,70.49,67.76,67.00,67.80,67.80,1,-1
2016-03-04,71.18,68.35,67.20,67.93,67.93,1,-1
2016-03-07,71.48,68.89,67.36,68.03,68.03,1,-1
2016-03-08,71.70,69.39,67.54,68.13,68.13,1,-1
2016-03-09,72.20,69.93,67.71,68.23,68.23,1,-1
2016-03-10,72.39,70.46,67.86,68.31,68.31,1,-1
2016-03-11,72.61,71.00,68.03,68.41,68.41,1,-1
2016-03-14,72.67,71.58,68.14,68.50,68.50,1,-1
2016-03-15,72.64,71.91,68.28,68.59,68.59,1,-1
2016-03-16,72.74,72.11,68.48,68.62,68.68,1,-1
2016-03-17,72.95,72.33,68.74,68.66,68.78,1,-1
2016-03-18,73.09,72.64,69.01,68.71,68.87,1,-1
2016-03-21,73.40,72.89,69.33,68.81,68.97,1,-1
2016-03-22,73.61,73.11,69.71,68.89,69.07,1,-1
2016-03-23,73.74,73.20,70.02,68.96,69.16,1,-1
2016-03-24,73.89,73.27,70.36,69.02,69.24,1,-1
2016-03-28,74.01,73.38,70.72,69.13,69.32,1,-1
2016-03-29,74.21,73.58,71.06,69.25,69.42,1,-1
2016-03-30,74.38,73.73,71.39,69.38,69.51,1,-1
2016-03-31,74.64,74.02,71.76,69.54,69.62,1,-1
2016-04-01,74.95,74.28,72.13,69.71,69.73,1,-1
2016-04-04,75.22,74.48,72.50,69.89,69.83,1,1
2016-04-05,75.37,74.63,72.82,70.03,69.91,1,1
2016-04-06,75.64,74.82,73.20,70.22,70.00,1,1
2016-04-07,75.59,74.90,73.41,70.35,70.07,1,1
2016-04-08,75.43,74.90,73.52,70.48,70.13,1,1
2016-04-11,75.01,74.83,73.61,70.59,70.18,1,1
2016-04-12,74.68,74.82,73.77,70.68,70.23,-1,1
2016-04-13,74.56,74.89,73.90,70.80,70.30,-1,1
2016-04-14,74.44,74.90,74.00,70.94,70.36,-1,1
2016-04-15,74.22,74.93,74.07,71.11,70.41,-1,1
2016-04-18,74.27,74.93,74.13,71.30,70.48,-1,1
2016-04-19,74.41,74.92,74.21,71.50,70.54,-1,1
2016-04-20,74.65,74.83,74.30,71.74,70.60,-1,1
2016-04-21,74.69,74.68,74.35,71.94,70.65,1,1
2016-04-22,74.64,74.60,74.43,72.15,70.70,1,1
2016-04-25,74.72,74.58,74.50,72.39,70.75,1,1
2016-04-26,74.80,74.51,74.56,72.59,70.80,1,1
2016-04-27,74.82,74.54,74.64,72.79,70.86,1,1
2016-04-28,74.83,74.62,74.69,72.99,70.91,1,1
2016-04-29,74.69,74.67,74.70,73.16,70.94,1,1
2016-05-02,74.65,74.67,74.71,73.35,70.98,-1,1
2016-05-03,74.51,74.57,74.69,73.51,71.01,-1,1
2016-05-04,74.38,74.55,74.67,73.69,71.05,-1,1
2016-05-05,74.17,74.49,74.67,73.80,71.08,-1,1
2016-05-06,74.05,74.44,74.67,73.87,71.11,-1,1
2016-05-09,73.93,74.38,74.67,73.95,71.15,-1,1
2016-05-10,74.09,74.39,74.68,74.06,71.19,-1,1
2016-05-11,74.05,74.35,74.64,74.12,71.22,-1,1
2016-05-12,74.14,74.32,74.57,74.18,71.25,-1,1
2016-05-13,74.08,74.23,74.47,74.20,71.28,-1,1
2016-05-16,74.17,74.17,74.42,74.22,71.31,-1,1
2016-05-17,74.04,74.04,74.36,74.23,71.33,-1,1
2016-05-18,73.89,73.91,74.26,74.25,71.35,-1,1
2016-05-19,73.56,73.82,74.20,74.25,71.36,-1,1
2016-05-20,73.50,73.77,74.19,74.27,71.39,-1,1
2016-05-23,73.39,73.76,74.19,74.29,71.41,-1,1
2016-05-24,73.62,73.85,74.22,74.33,71.44,-1,1
2016-05-25,73.80,73.98,74.24,74.38,71.48,-1,1
2016-05-26,74.08,74.06,74.28,74.42,71.52,1,1
2016-05-27,74.44,74.16,74.31,74.46,71.56,1,1
2016-05-31,74.85,74.21,74.34,74.50,71.60,1,1
2016-06-01,75.18,74.34,74.37,74.52,71.64,1,1
2016-06-02,75.59,74.49,74.41,74.56,71.69,1,1
2016-06-03,75.72,74.67,74.47,74.61,71.73,1,1
2016-06-06,75.82,74.81,74.52,74.65,71.77,1,1
2016-06-07,75.91,75.00,74.56,74.69,71.81,1,1
2016-06-08,76.00,75.22,74.59,74.71,71.85,1,1
2016-06-09,76.02,75.44,74.62,74.73,71.88,1,1
2016-06-10,75.93,75.56,74.62,74.70,71.91,1,1
2016-06-13,75.81,75.70,74.67,74.68,71.94,1,1
2016-06-14,75.69,75.70,74.71,74.67,71.97,-1,1
2016-06-15,75.48,75.65,74.75,74.67,72.00,-1,1
2016-06-16,75.32,75.61,74.78,74.64,72.02,-1,1
2016-06-17,75.03,75.51,74.79,74.63,72.04,-1,1
2016-06-20,74.94,75.48,74.83,74.66,72.07,-1,1
2016-06-21,75.13,75.53,74.90,74.72,72.10,-1,1
2016-06-22,75.11,75.46,74.91,74.74,72.13,-1,1
2016-06-23,75.28,75.48,75.00,74.77,72.16,-1,1
2016-06-24,75.23,75.35,75.00,74.78,72.18,-1,1
2016-06-27,74.90,75.11,74.97,74.73,72.18,-1,1
2016-06-28,74.85,74.94,74.95,74.71,72.20,-1,1
2016-06-29,74.88,74.91,75.03,74.72,72.22,-1,1
2016-06-30,75.01,75.07,75.17,74.77,72.27,-1,1
2016-07-01,75.28,75.19,75.31,74.83,72.30,1,1
2016-07-05,75.48,75.38,75.46,74.89,72.35,1,1
2016-07-06,75.98,75.60,75.61,74.95,72.39,1,1
2016-07-07,76.78,75.84,75.70,75.01,72.43,1,1
2016-07-08,77.59,76.22,75.84,75.10,72.49,1,1
2016-07-11,78.25,76.57,76.00,75.20,72.55,1,1
2016-07-12,78.71,76.86,76.16,75.33,72.61,1,1
2016-07-13,79.23,77.25,76.33,75.47,72.67,1,1
2016-07-14,79.77,77.62,76.53,75.63,72.74,1,1
2016-07-15,80.26,78.12,76.70,75.78,72.80,1,1
2016-07-18,80.70,78.74,76.86,75.92,72.86,1,1
2016-07-19,80.99,79.29,77.04,76.07,72.92,1,1
2016-07-20,81.17,79.71,77.23,76.22,72.98,1,1
2016-07-21,81.22,79.97,77.38,76.33,73.04,1,1
2016-07-22,81.36,80.29,77.58,76.49,73.10,1,1
2016-07-25,81.35,80.56,77.79,76.64,73.16,1,1
2016-07-26,81.36,80.81,77.99,76.80,73.22,1,1
2016-07-27,81.38,81.04,78.19,76.93,73.28,1,1
2016-07-28,81.38,81.18,78.42,77.10,73.33,1,1
2016-07-29,81.36,81.27,78.64,77.26,73.39,1,1
2016-08-01,81.37,81.30,78.86,77.43,73.44,1,1
2016-08-02,81.10,81.23,79.01,77.55,73.48,-1,1
2016-08-03,80.27,80.81,78.99,77.60,73.50,-1,1
2016-08-04,79.69,80.53,79.06,77.64,73.52,-1,1
2016-08-05,79.28,80.33,79.12,77.70,73.56,-1,1
2016-08-08,78.73,80.06,79.24,77.75,73.58,-1,1
2016-08-09,78.25,79.81,79.42,77.80,73.61,-1,1
2016-08-10,77.78,79.58,79.55,77.84,73.64,-1,1
2016-08-11,77.49,79.29,79.62,77.88,73.67,-1,1
2016-08-12,77.76,79.01,79.63,77.90,73.69,-1,1
2016-08-15,77.83,78.76,79.66,77.94,73.72,-1,1
2016-08-16,77.75,78.52,79.65,77.97,73.74,-1,1
