Date,RSI_7,RSI_14,RSI_Sinal
2026-02-18,,,Neutro
2026-02-19,,,Neutro
2026-02-20,100.00,100.00,Sobrecomprado
2026-02-23,100.00,100.00,Sobrecomprado
2026-02-24,100.00,100.00,Sobrecomprado
2026-02-25,50.00,50.00,Neutro
2026-02-26,50.00,50.00,Neutro
2026-02-27,50.00,50.00,Neutro
2026-03-02,50.00,50.00,Neutro
2026-03-03,0.00,50.00,Neutro
2026-03-04,0.00,50.00,Neutro
2026-03-05,50.00,66.67,Neutro
2026-03-06,33.33,40.00,Neutro
2026-03-09,33.33,40.00,Neutro
2026-03-10,60.00,57.14,Neutro
2026-03-11,50.00,50.00,Neutro
2026-03-12,57.14,50.00,Neutro
2026-03-13,57.14,50.00,Neutro
2026-03-16,42.86,44.44,Neutro
2026-03-17,60.00,50.00,Neutro
2026-03-18,50.00,44.44,Neutro
2026-03-19,40.00,50.00,Neutro
2026-03-20,40.00,45.45,Neutro
2026-03-23,50.00,53.85,Neutro
2026-03-24,50.00,53.85,Neutro
2026-03-25,42.86,42.86,Neutro
2026-03-26,50.00,53.85,Neutro
2026-03-27,50.00,50.00,Neutro
2026-03-30,42.86,41.67,Neutro
2026-03-31,50.00,45.45,Neutro
2026-04-01,57.14,53.85,Neutro
2026-04-02,40.00,43.75,Neutro
2026-04-06,50.00,46.67,Neutro
2026-04-07,55.56,52.94,Neutro
2026-04-08,66.67,58.82,Neutro
2026-04-09,66.67,56.25,Neutro
2026-04-10,66.67,60.00,Neutro
2026-04-13,62.50,60.00,Neutro
2026-04-14,55.56,47.37,Neutro
2026-04-15,55.56,52.94,Neutro
2026-04-16,55.56,55.56,Neutro
2026-04-17,60.00,63.16,Neutro
2026-04-20,60.00,63.16,Neutro
2026-04-21,60.00,63.16,Neutro
2026-04-22,40.00,50.00,Neutro
2026-04-23,75.00,64.71,Neutro
2026-04-24,75.00,64.71,Neutro
2026-04-27,44.44,50.00,Neutro
2026-04-28,58.33,59.09,Neutro
2026-04-29,53.85,56.52,Neutro
2026-04-30,57.14,58.33,Neutro
2026-05-01,71.43,58.33,Neutro
2026-05-04,66.67,70.00,Neutro
2026-05-05,77.78,76.92,Sobrecomprado
2026-05-06,77.78,66.67,Neutro
2026-05-07,69.23,64.00,Neutro
2026-05-08,75.00,64.00,Neutro
2026-05-11,72.73,64.00,Neutro
2026-05-12,66.67,69.57,Neutro
2026-05-13,66.67,66.67,Neutro
2026-05-14,0.00,66.67,Neutro
2026-05-15,,77.78,Sobrecomprado
2026-05-18,,69.23,Neutro
2026-05-19,,75.00,Sobrecomprado
2026-05-20,,72.73,Sobrecomprado
2026-05-21,,66.67,Neutro
2026-05-22,,66.67,Neutro
2026-05-26,,0.00,Sobrevendido
2026-05-27,,,Neutro
2026-05-28,,,Neutro
2026-05-29,,,Neutro
2026-06-01,,,Neutro
2026-06-02,,,Neutro
2026-06-03,,,Neutro
