Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,0.00,0.00,Sobrevendido
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,81.25,81.25,Sobrecomprado
2016-01-08,68.42,68.42,Neutro
2016-01-11,68.42,68.42,Neutro
2016-01-12,34.21,34.21,Neutro
2016-01-13,48.98,48.98,Neutro
2016-01-14,48.00,45.28,Neutro
2016-01-15,38.71,36.92,Neutro
2016-01-19,36.67,46.05,Neutro
2016-01-20,34.37,42.17,Neutro
2016-01-21,33.85,41.67,Neutro
2016-01-22,65.71,54.63,Neutro
2016-01-25,46.67,47.58,Neutro
2016-01-26,56.63,53.38,Neutro
2016-01-27,68.00,54.74,Neutro
2016-01-28,62.50,50.00,Neutro
2016-01-29,72.13,52.80,Neutro
2016-02-01,81.82,61.44,Neutro
2016-02-02,60.76,63.09,Neutro
2016-02-03,79.45,62.84,Neutro
2016-02-04,66.67,61.18,Neutro
2016-02-05,67.61,67.81,Neutro
2016-02-08,65.75,64.23,Neutro
2016-02-09,52.38,60.69,Neutro
2016-02-10,40.30,63.87,Neutro
2016-02-11,40.91,51.72,Neutro
2016-02-12,42.65,61.70,Neutro
2016-02-16,50.79,59.09,Neutro
2016-02-17,26.53,43.79,Neutro
2016-02-18,35.19,47.51,Neutro
2016-02-19,43.30,47.51,Neutro
2016-02-22,53.39,48.65,Neutro
2016-02-23,64.04,55.56,Neutro
2016-02-24,65.83,57.45,Neutro
2016-02-25,68.94,63.08,Neutro
2016-02-26,100.00,62.69,Neutro
2016-02-29,61.94,50.00,Neutro
2016-03-01,69.28,59.70,Neutro
2016-03-02,68.52,62.14,Neutro
2016-03-03,58.38,60.63,Neutro
2016-03-04,42.56,51.43,Neutro
2016-03-07,44.83,54.33,Neutro
2016-03-08,39.73,57.96,Neutro
2016-03-09,53.18,57.00,Neutro
2016-03-10,48.73,59.26,Neutro
2016-03-11,39.55,55.41,Neutro
2016-03-14,57.14,57.83,Neutro
2016-03-15,61.07,50.00,Neutro
2016-03-16,54.46,48.25,Neutro
2016-03-17,65.59,47.44,Neutro
2016-03-18,69.81,59.50,Neutro
2016-03-21,64.84,54.62,Neutro
2016-03-22,55.00,46.15,Neutro
2016-03-23,55.88,56.61,Neutro
2016-03-24,53.27,57.56,Neutro
2016-03-28,55.36,54.91,Neutro
2016-03-29,47.33,54.91,Neutro
2016-03-30,53.06,60.08,Neutro
2016-03-31,48.98,55.04,Neutro
2016-04-01,48.98,51.42,Neutro
2016-04-04,46.04,50.21,Neutro
2016-04-05,62.14,57.62,Neutro
2016-04-06,62.50,58.80,Neutro
2016-04-07,79.12,60.36,Neutro
2016-04-08,64.41,56.31,Neutro
2016-04-11,55.88,51.16,Neutro
2016-04-12,71.19,55.34,Neutro
2016-04-13,60.47,49.45,Neutro
2016-04-14,60.47,61.64,Neutro
2016-04-15,59.52,61.64,Neutro
2016-04-18,32.14,61.22,Neutro
2016-04-19,31.03,47.86,Neutro
2016-04-20,38.30,48.70,Neutro
2016-04-21,24.56,48.28,Neutro
2016-04-22,45.57,50.82,Neutro
2016-04-25,53.26,55.56,Neutro
2016-04-26,43.01,48.15,Neutro
2016-04-27,54.79,44.96,Neutro
2016-04-28,39.60,36.48,Neutro
2016-04-29,40.00,39.46,Neutro
2016-05-02,40.40,34.62,Neutro
2016-05-03,26.25,35.85,Neutro
2016-05-04,10.39,33.73,Neutro
2016-05-05,11.43,29.45,Sobrevendido
2016-05-06,19.74,36.91,Neutro
2016-05-09,42.00,40.40,Neutro
2016-05-10,61.19,48.50,Neutro
2016-05-11,80.60,56.63,Neutro
2016-05-12,82.89,53.85,Neutro
2016-05-13,86.30,47.33,Neutro
2016-05-16,88.73,50.35,Neutro
2016-05-17,58.95,41.52,Neutro
2016-05-18,74.00,66.00,Neutro
2016-05-19,69.47,66.67,Neutro
2016-05-20,73.86,75.91,Sobrecomprado
2016-05-23,75.00,77.54,Sobrecomprado
2016-05-24,85.07,85.37,Sobrecomprado
2016-05-25,87.83,88.02,Sobrecomprado
2016-05-26,89.88,81.53,Sobrecomprado
2016-05-27,84.16,79.83,Sobrecomprado
2016-05-31,68.83,69.05,Neutro
2016-06-01,60.81,66.13,Neutro
2016-06-02,57.77,65.30,Neutro
2016-06-03,30.00,61.13,Neutro
2016-06-06,9.85,61.77,Neutro
2016-06-07,14.55,67.30,Neutro
2016-06-08,27.27,62.85,Neutro
2016-06-09,36.67,60.24,Neutro
2016-06-10,52.53,58.26,Neutro
2016-06-13,47.83,54.70,Neutro
2016-06-14,58.67,38.78,Neutro
2016-06-15,63.10,30.56,Neutro
2016-06-16,62.20,34.90,Neutro
2016-06-17,44.16,33.84,Neutro
2016-06-20,49.28,42.14,Neutro
2016-06-21,74.45,65.25,Neutro
2016-06-22,58.62,54.89,Neutro
2016-06-23,68.16,65.35,Neutro
2016-06-24,55.67,57.91,Neutro
2016-06-27,45.92,50.16,Neutro
2016-06-28,63.11,59.33,Neutro
2016-06-29,65.71,62.73,Neutro
2016-06-30,52.65,60.88,Neutro
2016-07-01,62.96,60.88,Neutro
2016-07-05,57.89,63.14,Neutro
2016-07-06,69.23,61.42,Neutro
2016-07-07,91.67,60.41,Neutro
2016-07-08,67.86,63.50,Neutro
2016-07-11,47.37,64.65,Neutro
2016-07-12,36.36,51.21,Neutro
2016-07-13,77.59,66.40,Neutro
2016-07-14,75.00,62.34,Neutro
2016-07-15,76.67,71.43,Sobrecomprado
2016-07-18,89.77,90.82,Sobrecomprado
2016-07-19,55.91,58.06,Neutro
2016-07-20,62.59,60.84,Neutro
2016-07-21,51.40,49.75,Neutro
2016-07-22,49.42,56.52,Neutro
2016-07-25,52.30,58.12,Neutro
2016-07-26,51.43,57.87,Neutro
2016-07-27,50.29,63.71,Neutro
2016-07-28,66.67,61.33,Neutro
2016-07-29,58.56,60.85,Neutro
2016-08-01,81.25,60.62,Neutro
2016-08-02,45.45,48.19,Neutro
2016-08-03,35.37,46.88,Neutro
2016-08-04,42.05,48.29,Neutro
