Date,RSI_7,RSI_14,RSI_Sinal
2020-02-05,,,Neutro
2020-02-06,100.00,100.00,Sobrecomprado
2020-02-07,25.00,25.00,Sobrevendido
2020-02-10,16.67,16.67,Sobrevendido
2020-02-11,37.50,37.50,Neutro
2020-02-12,25.00,25.00,Sobrevendido
2020-02-13,25.00,25.00,Sobrevendido
2020-02-14,30.77,30.77,Neutro
2020-02-18,35.71,40.00,Neutro
2020-02-19,45.45,40.00,Neutro
2020-02-20,71.43,55.00,Neutro
2020-02-21,57.14,50.00,Neutro
2020-02-24,34.78,31.43,Neutro
2020-02-25,32.00,29.73,Sobrevendido
2020-02-26,29.17,29.73,Sobrevendido
2020-02-27,12.82,18.87,Sobrevendido
2020-02-28,9.09,15.15,Sobrevendido
2020-03-02,0.00,14.29,Sobrevendido
2020-03-03,11.48,20.00,Sobrevendido
2020-03-04,47.44,44.55,Neutro
2020-03-05,44.05,41.28,Neutro
2020-03-06,38.14,36.36,Neutro
2020-03-09,32.17,27.27,Sobrevendido
2020-03-10,30.33,23.73,Sobrevendido
2020-03-11,18.88,14.68,Sobrevendido
2020-03-12,6.01,6.61,Sobrevendido
2020-03-13,3.50,9.57,Sobrevendido
2020-03-16,3.08,8.49,Sobrevendido
2020-03-17,2.74,7.52,Sobrevendido
2020-03-18,1.80,5.11,Sobrevendido
2020-03-19,28.01,28.22,Sobrevendido
2020-03-20,28.51,27.19,Sobrevendido
2020-03-23,38.91,27.44,Sobrevendido
2020-03-24,42.77,29.89,Sobrevendido
2020-03-25,48.33,31.81,Neutro
2020-03-26,61.27,39.76,Neutro
2020-03-27,92.66,43.24,Neutro
2020-03-30,72.23,41.52,Neutro
2020-03-31,71.07,41.82,Neutro
2020-04-01,63.91,48.73,Neutro
2020-04-02,63.61,50.60,Neutro
2020-04-03,60.71,52.92,Neutro
2020-04-06,58.81,60.45,Neutro
2020-04-07,51.06,77.14,Sobrecomprado
2020-04-08,68.31,70.52,Sobrecomprado
2020-04-09,82.06,75.51,Sobrecomprado
2020-04-13,87.61,72.68,Sobrecomprado
2020-04-14,84.45,70.29,Sobrecomprado
2020-04-15,68.68,63.75,Neutro
2020-04-16,49.54,56.16,Neutro
2020-04-17,63.41,55.63,Neutro
2020-04-20,50.20,61.66,Neutro
2020-04-21,48.32,69.04,Neutro
2020-04-22,49.36,72.45,Sobrecomprado
2020-04-23,48.28,68.16,Neutro
2020-04-24,59.26,65.36,Neutro
2020-04-27,53.89,51.44,Neutro
2020-04-28,42.96,56.69,Neutro
2020-04-29,57.69,52.79,Neutro
2020-04-30,59.26,52.28,Neutro
2020-05-01,62.50,54.02,Neutro
2020-05-04,57.97,51.89,Neutro
2020-05-05,73.98,65.06,Neutro
2020-05-06,71.93,61.21,Neutro
2020-05-07,57.50,48.37,Neutro
2020-05-08,52.11,55.72,Neutro
2020-05-11,28.38,48.33,Neutro
2020-05-12,25.00,47.64,Neutro
2020-05-13,19.44,41.06,Neutro
2020-05-14,21.62,49.15,Neutro
2020-05-15,21.62,47.11,Neutro
2020-05-18,38.85,45.66,Neutro
2020-05-19,37.04,42.23,Neutro
2020-05-20,48.03,40.80,Neutro
2020-05-21,61.62,44.81,Neutro
2020-05-22,96.88,48.26,Neutro
2020-05-26,96.77,48.55,Neutro
2020-05-27,96.92,49.43,Neutro
2020-05-28,94.44,50.29,Neutro
2020-05-29,81.08,46.51,Neutro
2020-06-01,77.42,53.80,Neutro
2020-06-02,83.33,66.67,Neutro
2020-06-03,84.38,92.71,Sobrecomprado
2020-06-04,68.18,89.29,Sobrecomprado
2020-06-05,80.00,91.00,Sobrecomprado
2020-06-08,86.27,89.66,Sobrecomprado
2020-06-09,93.62,88.10,Sobrecomprado
2020-06-10,93.48,87.01,Sobrecomprado
2020-06-11,51.22,59.82,Neutro
2020-06-12,48.75,58.93,Neutro
2020-06-15,44.32,49.09,Neutro
2020-06-16,39.51,51.72,Neutro
2020-06-17,21.43,48.76,Neutro
2020-06-18,17.44,44.36,Neutro
2020-06-19,16.47,43.51,Neutro
2020-06-22,45.16,48.61,Neutro
2020-06-23,47.62,48.25,Neutro
2020-06-24,58.18,49.65,Neutro
2020-06-25,30.00,35.10,Neutro
2020-06-26,35.82,28.47,Sobrevendido
2020-06-29,45.28,28.06,Sobrevendido
2020-06-30,35.59,24.31,Sobrevendido
2020-07-01,36.67,40.98,Neutro
2020-07-02,27.40,36.76,Neutro
2020-07-06,45.36,50.00,Neutro
2020-07-07,61.11,45.77,Neutro
2020-07-08,69.57,55.35,Neutro
2020-07-09,61.54,56.05,Neutro
2020-07-10,69.90,57.41,Neutro
2020-07-13,55.88,48.77,Neutro
2020-07-14,68.42,50.60,Neutro
2020-07-15,66.67,55.61,Neutro
2020-07-16,70.71,66.67,Neutro
2020-07-17,57.32,63.79,Neutro
2020-07-20,77.53,68.91,Neutro
2020-07-21,78.72,74.11,Sobrecomprado
2020-07-22,88.10,70.43,Sobrecomprado
2020-07-23,87.01,76.74,Sobrecomprado
2020-07-24,71.88,68.83,Neutro
2020-07-27,72.73,71.52,Sobrecomprado
2020-07-28,65.75,61.29,Neutro
2020-07-29,63.77,71.52,Sobrecomprado
2020-07-30,51.67,68.18,Neutro
2020-07-31,55.36,75.00,Sobrecomprado
2020-08-03,62.12,75.52,Sobrecomprado
2020-08-04,67.21,69.60,Neutro
2020-08-05,63.64,68.60,Neutro
2020-08-06,86.00,73.98,Sobrecomprado
2020-08-07,78.13,68.32,Neutro
2020-08-10,93.18,69.23,Neutro
2020-08-11,93.18,72.00,Sobrecomprado
2020-08-12,91.18,72.00,Sobrecomprado
2020-08-13,88.57,75.00,Sobrecomprado
2020-08-14,88.89,73.63,Sobrecomprado
2020-08-17,90.00,87.78,Sobrecomprado
2020-08-18,73.47,75.31,Sobrecomprado
2020-08-19,65.79,80.49,Sobrecomprado
2020-08-20,71.74,82.22,Sobrecomprado
2020-08-21,58.18,70.79,Sobrecomprado
2020-08-24,64.81,74.16,Sobrecomprado
2020-08-25,54.90,68.97,Neutro
2020-08-26,53.06,69.66,Neutro
2020-08-27,65.85,70.00,Neutro
2020-08-28,53.66,59.49,Neutro
2020-08-31,26.92,47.96,Neutro
2020-09-01,46.15,52.34,Neutro
2020-09-02,45.10,55.24,Neutro
2020-09-03,43.40,49.04,Neutro
2020-09-04,29.55,41.94,Neutro
2020-09-08,26.67,45.35,Neutro
2020-09-09,42.86,47.78,Neutro
2020-09-10,56.76,39.33,Neutro
2020-09-11,32.35,40.70,Neutro
2020-09-14,43.90,44.57,Neutro
2020-09-15,56.41,48.91,Neutro
2020-09-16,63.64,46.59,Neutro
2020-09-17,70.83,49.46,Neutro
2020-09-18,65.85,53.33,Neutro
2020-09-21,58.70,57.83,Neutro
2020-09-22,75.00,57.32,Neutro
2020-09-23,48.21,46.39,Neutro
2020-09-24,50.00,52.58,Neutro
2020-09-25,48.21,55.00,Neutro
2020-09-28,50.00,59.43,Neutro
2020-09-29,42.86,51.92,Neutro
2020-09-30,39.13,46.96,Neutro
2020-10-01,32.26,50.91,Neutro
2020-10-02,37.04,42.73,Neutro
2020-10-05,26.42,38.74,Neutro
2020-10-06,22.00,35.85,Neutro
2020-10-07,9.30,32.67,Neutro
2020-10-08,48.39,45.60,Neutro
2020-10-09,56.60,46.72,Neutro
2020-10-12,54.90,42.48,Neutro
2020-10-13,60.87,48.00,Neutro
2020-10-14,59.57,42.00,Neutro
2020-10-15,56.25,38.78,Neutro
2020-10-16,65.57,42.31,Neutro
2020-10-19,33.33,42.31,Neutro
2020-10-20,42.42,51.16,Neutro
2020-10-21,38.89,48.28,Neutro
2020-10-22,35.90,49.41,Neutro
2020-10-23,50.00,55.29,Neutro
2020-10-26,37.25,46.46,Neutro
2020-10-27,17.95,47.00,Neutro
2020-10-28,13.73,22.58,Sobrevendido
2020-10-29,22.81,30.00,Neutro
2020-10-30,22.81,29.03,Sobrevendido
2020-11-02,19.40,25.47,Sobrevendido
2020-11-03,22.86,32.41,Neutro
2020-11-04,36.07,36.61,Neutro
2020-11-05,47.30,37.17,Neutro
2020-11-06,57.38,37.50,Neutro
2020-11-09,60.00,42.62,Neutro
2020-11-10,61.90,43.33,Neutro
2020-11-11,59.09,39.10,Neutro
2020-11-12,42.47,32.87,Neutro
2020-11-13,43.24,40.00,Neutro
2020-11-16,40.00,43.75,Neutro
2020-11-17,44.62,50.79,Neutro
2020-11-18,42.86,51.56,Neutro
2020-11-19,50.70,55.97,Neutro
2020-11-20,69.23,63.56,Neutro
2020-11-23,98.00,65.04,Neutro
2020-11-24,97.73,63.56,Neutro
2020-11-25,97.83,62.93,Neutro
2020-11-27,97.87,66.96,Neutro
2020-11-30,97.44,63.73,Neutro
2020-12-01,96.77,64.71,Neutro
2020-12-02,100.00,82.42,Sobrecomprado
2020-12-03,100.00,98.90,Sobrecomprado
2020-12-04,100.00,99.00,Sobrecomprado
2020-12-07,100.00,98.88,Sobrecomprado
2020-12-08,100.00,99.04,Sobrecomprado
2020-12-09,95.00,95.96,Sobrecomprado
2020-12-10,84.85,88.66,Sobrecomprado
2020-12-11,83.05,89.80,Sobrecomprado
2020-12-14,68.00,82.42,Sobrecomprado
2020-12-15,66.67,84.62,Sobrecomprado
2020-12-16,73.77,84.62,Sobrecomprado
2020-12-17,67.35,84.91,Sobrecomprado
2020-12-18,75.00,85.71,Sobrecomprado
2020-12-21,86.67,85.59,Sobrecomprado
2020-12-22,86.36,84.47,Sobrecomprado
2020-12-23,95.00,80.00,Sobrecomprado
2020-12-24,95.12,79.78,Sobrecomprado
2020-12-28,93.33,80.22,Sobrecomprado
2020-12-29,95.65,81.05,Sobrecomprado
2020-12-30,96.08,85.44,Sobrecomprado
2020-12-31,96.49,92.16,Sobrecomprado
2021-01-04,81.82,83.64,Sobrecomprado
2021-01-05,84.62,88.57,Sobrecomprado
2021-01-06,66.67,78.22,Sobrecomprado
2021-01-07,71.01,77.78,Sobrecomprado
2021-01-08,54.72,73.74,Sobrecomprado
2021-01-11,44.19,72.34,Sobrecomprado
2021-01-12,31.71,69.39,Neutro
2021-01-13,65.38,74.58,Sobrecomprado
2021-01-14,66.04,76.27,Sobrecomprado
2021-01-15,84.00,74.55,Sobrecomprado
2021-01-19,82.22,75.44,Sobrecomprado
2021-01-20,92.31,73.33,Sobrecomprado
2021-01-21,92.16,70.21,Sobrecomprado
2021-01-22,90.38,64.52,Neutro
2021-01-25,60.47,63.16,Neutro
2021-01-26,57.14,62.11,Neutro
2021-01-27,38.64,62.77,Neutro
2021-01-28,40.00,61.11,Neutro
2021-01-29,18.42,61.11,Neutro
2021-02-01,17.07,58.70,Neutro
2021-02-02,30.95,63.83,Neutro
2021-02-03,45.16,54.05,Neutro
2021-02-04,46.67,52.78,Neutro
2021-02-05,74.07,52.11,Neutro
2021-02-08,56.52,45.59,Neutro
2021-02-09,48.15,30.77,Neutro
2021-02-10,41.94,27.78,Sobrevendido
2021-02-11,25.00,28.57,Sobrevendido
2021-02-12,18.18,31.25,Neutro
2021-02-16,13.04,26.32,Sobrevendido
2021-02-17,2.44,30.88,Neutro
