Date,RSI_7,RSI_14,RSI_Sinal
2000-01-03,,,Neutro
2000-01-04,0.00,0.00,Sobrevendido
2000-01-05,0.00,0.00,Sobrevendido
2000-01-06,46.85,46.85,Neutro
2000-01-07,53.17,53.17,Neutro
2000-01-10,37.02,37.02,Neutro
2000-01-11,46.48,46.48,Neutro
2000-01-12,49.11,49.11,Neutro
2000-01-13,61.03,53.28,Neutro
2000-01-14,58.04,45.94,Neutro
2000-01-18,42.39,44.07,Neutro
2000-01-19,46.19,48.92,Neutro
2000-01-20,60.67,47.73,Neutro
2000-01-21,55.64,50.00,Neutro
2000-01-24,43.45,46.88,Neutro
2000-01-25,27.39,46.76,Neutro
2000-01-26,36.44,50.58,Neutro
2000-01-27,44.74,43.29,Neutro
2000-01-28,24.47,39.18,Neutro
2000-01-31,32.98,50.00,Neutro
2000-02-01,20.25,42.45,Neutro
2000-02-02,37.50,41.63,Neutro
2000-02-03,88.73,46.49,Neutro
2000-02-04,88.73,56.08,Neutro
2000-02-07,88.73,61.62,Neutro
2000-02-08,100.00,65.37,Neutro
2000-02-09,96.26,66.67,Neutro
2000-02-10,97.04,68.69,Neutro
2000-02-11,71.93,62.55,Neutro
2000-02-14,55.26,65.92,Neutro
2000-02-15,55.26,65.92,Neutro
2000-02-16,63.04,70.20,Sobrecomprado
2000-02-17,50.00,72.47,Sobrecomprado
2000-02-18,51.52,71.55,Sobrecomprado
2000-02-22,31.25,65.02,Neutro
2000-02-23,43.48,61.98,Neutro
2000-02-24,55.56,55.36,Neutro
2000-02-25,63.64,58.33,Neutro
2000-02-28,42.86,58.33,Neutro
2000-02-29,25.00,39.66,Neutro
2000-03-01,25.00,40.35,Neutro
2000-03-02,45.45,37.04,Neutro
2000-03-03,50.00,46.51,Neutro
2000-03-06,41.67,47.62,Neutro
2000-03-07,30.00,47.62,Neutro
2000-03-08,20.00,29.41,Sobrevendido
2000-03-09,40.00,29.41,Sobrevendido
2000-03-10,34.04,27.97,Sobrevendido
2000-03-13,0.00,31.50,Neutro
2000-03-14,0.00,33.61,Neutro
2000-03-15,0.00,31.50,Neutro
2000-03-16,42.59,35.07,Neutro
2000-03-17,33.33,26.17,Sobrevendido
2000-03-20,33.33,35.78,Neutro
2000-03-21,37.10,35.78,Neutro
2000-03-22,55.71,35.78,Neutro
2000-03-23,45.35,31.20,Neutro
2000-03-24,50.00,35.78,Neutro
2000-03-27,29.09,35.78,Neutro
2000-03-28,60.00,43.12,Neutro
2000-03-29,60.00,43.12,Neutro
2000-03-30,42.86,39.83,Neutro
2000-03-31,50.00,52.99,Neutro
2000-04-03,33.33,39.01,Neutro
2000-04-04,41.82,45.21,Neutro
2000-04-05,57.62,50.00,Neutro
2000-04-06,45.40,48.13,Neutro
2000-04-07,54.55,55.42,Neutro
2000-04-10,45.24,44.81,Neutro
2000-04-11,46.92,47.53,Neutro
2000-04-12,62.96,54.57,Neutro
2000-04-13,48.94,46.95,Neutro
2000-04-14,42.23,48.01,Neutro
2000-04-17,51.69,49.02,Neutro
2000-04-18,43.28,49.02,Neutro
2000-04-19,75.11,59.20,Neutro
2000-04-20,70.90,57.02,Neutro
2000-04-24,50.00,57.02,Neutro
2000-04-25,73.18,58.32,Neutro
2000-04-26,71.93,54.27,Neutro
2000-04-27,58.47,54.65,Neutro
2000-04-28,58.47,50.52,Neutro
2000-05-01,48.65,64.50,Neutro
2000-05-02,49.67,61.47,Neutro
2000-05-03,72.82,57.61,Neutro
2000-05-04,38.52,59.14,Neutro
2000-05-05,38.52,58.02,Neutro
2000-05-08,50.00,55.60,Neutro
2000-05-09,50.00,55.60,Neutro
2000-05-10,18.97,40.29,Neutro
2000-05-11,7.84,32.81,Neutro
2000-05-12,14.55,42.72,Neutro
2000-05-15,25.40,34.05,Neutro
2000-05-16,22.54,32.64,Neutro
2000-05-17,22.54,38.18,Neutro
2000-05-18,20.25,36.42,Neutro
2000-05-19,11.27,14.73,Sobrevendido
2000-05-22,42.86,15.38,Sobrevendido
2000-05-23,11.11,13.70,Sobrevendido
2000-05-24,46.67,35.77,Neutro
2000-05-25,38.89,30.77,Neutro
2000-05-26,60.71,45.90,Neutro
2000-05-30,37.78,32.43,Neutro
2000-05-31,44.00,35.42,Neutro
2000-06-01,41.18,41.38,Neutro
2000-06-02,46.94,41.38,Neutro
2000-06-05,39.53,41.38,Neutro
2000-06-06,44.74,42.86,Neutro
2000-06-07,47.50,52.94,Neutro
2000-06-08,82.61,52.94,Neutro
2000-06-09,77.78,52.94,Neutro
2000-06-12,87.50,52.24,Neutro
2000-06-13,85.71,55.56,Neutro
2000-06-14,85.71,50.88,Neutro
2000-06-15,80.00,54.72,Neutro
2000-06-16,0.00,44.19,Neutro
2000-06-19,92.73,86.39,Sobrecomprado
2000-06-20,50.00,61.49,Neutro
2000-06-21,53.64,66.09,Neutro
2000-06-22,56.78,66.09,Neutro
2000-06-23,50.00,60.53,Neutro
2000-06-26,51.54,60.53,Neutro
2000-06-27,51.54,47.18,Neutro
2000-06-28,20.25,50.00,Neutro
2000-06-29,50.00,50.00,Neutro
2000-06-30,25.00,47.18,Neutro
2000-07-03,0.00,47.18,Neutro
2000-07-05,0.00,47.18,Neutro
2000-07-06,0.00,48.55,Neutro
2000-07-07,0.00,43.51,Neutro
2000-07-10,40.00,26.89,Sobrevendido
2000-07-11,50.00,50.00,Neutro
2000-07-12,46.15,38.10,Neutro
2000-07-13,42.86,30.00,Neutro
2000-07-14,42.86,37.50,Neutro
2000-07-17,50.00,44.44,Neutro
2000-07-18,66.67,44.44,Neutro
2000-07-19,50.00,44.44,Neutro
2000-07-20,74.60,63.96,Neutro
2000-07-21,60.26,54.62,Neutro
2000-07-24,60.26,52.99,Neutro
2000-07-25,60.26,52.99,Neutro
2000-07-26,55.71,52.99,Neutro
2000-07-27,60.26,62.70,Neutro
2000-07-28,54.65,53.39,Neutro
2000-07-31,58.51,64.97,Neutro
2000-08-01,66.27,63.35,Neutro
2000-08-02,69.62,64.97,Neutro
2000-08-03,53.92,56.67,Neutro
2000-08-04,53.92,54.65,Neutro
2000-08-07,52.04,55.68,Neutro
2000-08-08,54.26,54.44,Neutro
2000-08-09,8.51,41.84,Neutro
2000-08-10,12.90,51.75,Neutro
2000-08-11,12.90,53.64,Neutro
2000-08-14,50.00,53.64,Neutro
2000-08-15,25.00,50.00,Neutro
2000-08-16,25.00,48.25,Neutro
2000-08-17,25.00,50.00,Neutro
2000-08-18,20.00,11.94,Sobrevendido
2000-08-21,65.96,44.87,Neutro
2000-08-22,44.29,34.65,Neutro
2000-08-23,50.00,50.00,Neutro
2000-08-24,60.26,54.26,Neutro
2000-08-25,52.44,47.96,Neutro
2000-08-28,55.13,50.00,Neutro
2000-08-29,58.11,50.00,Neutro
2000-08-30,34.04,50.00,Neutro
2000-08-31,66.67,50.00,Neutro
2000-09-01,50.00,50.00,Neutro
2000-09-05,0.00,54.65,Neutro
2000-09-06,,52.44,Neutro
2000-09-07,100.00,59.30,Neutro
2000-09-08,100.00,62.20,Neutro
2000-09-11,100.00,43.64,Neutro
2000-09-12,100.00,77.14,Sobrecomprado
2000-09-13,100.00,74.19,Sobrecomprado
2000-09-14,100.00,65.22,Neutro
2000-09-15,100.00,100.00,Sobrecomprado
2000-09-18,50.00,68.18,Neutro
2000-09-19,66.67,75.86,Sobrecomprado
2000-09-20,50.00,61.11,Neutro
2000-09-21,44.00,61.11,Neutro
2000-09-22,50.00,67.44,Neutro
2000-09-25,40.00,58.00,Neutro
2000-09-26,40.00,58.00,Neutro
2000-09-27,50.00,50.00,Neutro
2000-09-28,33.33,50.00,Neutro
2000-09-29,66.67,57.14,Neutro
2000-10-02,56.00,50.00,Neutro
2000-10-03,35.00,43.75,Neutro
2000-10-04,68.42,50.00,Neutro
2000-10-05,77.78,56.45,Neutro
2000-10-06,86.05,71.83,Sobrecomprado
2000-10-09,87.23,70.59,Sobrecomprado
2000-10-10,85.00,78.69,Sobrecomprado
2000-10-11,94.44,78.69,Sobrecomprado
2000-10-12,100.00,80.60,Sobrecomprado
2000-10-13,100.00,90.00,Sobrecomprado
2000-10-16,44.00,52.94,Neutro
2000-10-17,37.31,56.36,Neutro
2000-10-18,33.33,56.36,Neutro
2000-10-19,27.63,47.41,Neutro
2000-10-20,27.63,49.11,Neutro
2000-10-23,12.70,50.00,Neutro
