Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,0.00,0.00,Sobrevendido
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,0.00,0.00,Sobrevendido
2016-01-11,5.33,5.33,Sobrevendido
2016-01-12,4.95,4.95,Sobrevendido
2016-01-13,3.58,3.58,Sobrevendido
2016-01-14,18.93,16.95,Sobrevendido
2016-01-15,21.96,17.52,Sobrevendido
2016-01-19,25.69,15.97,Sobrevendido
2016-01-20,42.49,23.23,Sobrevendido
2016-01-21,38.12,22.75,Sobrevendido
2016-01-22,45.19,25.63,Sobrevendido
2016-01-25,57.81,23.88,Sobrevendido
2016-01-26,65.40,38.09,Neutro
2016-01-27,55.40,37.88,Neutro
2016-01-28,67.32,46.66,Neutro
2016-01-29,70.31,57.43,Neutro
2016-02-01,72.94,56.65,Neutro
2016-02-02,65.02,55.84,Neutro
2016-02-03,71.43,65.63,Neutro
2016-02-04,56.55,61.67,Neutro
2016-02-05,76.86,62.90,Neutro
2016-02-08,73.63,69.41,Neutro
2016-02-09,38.98,63.78,Neutro
2016-02-10,51.35,67.47,Neutro
2016-02-11,61.79,64.32,Neutro
2016-02-12,83.25,75.21,Sobrecomprado
2016-02-16,85.19,69.36,Neutro
2016-02-17,71.30,74.12,Sobrecomprado
2016-02-18,56.87,64.15,Neutro
2016-02-19,57.31,51.59,Neutro
2016-02-22,63.61,59.60,Neutro
2016-02-23,73.94,70.94,Sobrecomprado
2016-02-24,73.44,76.79,Sobrecomprado
2016-02-25,70.83,76.45,Sobrecomprado
2016-02-26,86.56,81.79,Sobrecomprado
2016-02-29,96.93,84.05,Sobrecomprado
2016-03-01,100.00,87.68,Sobrecomprado
2016-03-02,81.24,75.85,Sobrecomprado
2016-03-03,81.48,78.85,Sobrecomprado
2016-03-04,76.31,75.27,Sobrecomprado
2016-03-07,81.15,78.14,Sobrecomprado
2016-03-08,61.66,71.34,Sobrecomprado
2016-03-09,59.34,75.57,Sobrecomprado
2016-03-10,50.00,74.75,Sobrecomprado
2016-03-11,57.37,70.47,Sobrecomprado
2016-03-14,49.27,68.42,Neutro
2016-03-15,47.77,63.99,Neutro
2016-03-16,34.02,65.89,Neutro
2016-03-17,71.71,65.14,Neutro
2016-03-18,70.18,63.12,Neutro
2016-03-21,74.79,58.88,Neutro
2016-03-22,64.69,60.48,Neutro
2016-03-23,53.24,51.32,Neutro
2016-03-24,60.04,53.93,Neutro
2016-03-28,53.90,44.50,Neutro
2016-03-29,46.83,59.77,Neutro
2016-03-30,52.82,61.10,Neutro
2016-03-31,51.49,62.09,Neutro
2016-04-01,68.04,66.19,Neutro
2016-04-04,69.46,59.67,Neutro
2016-04-05,59.13,59.67,Neutro
2016-04-06,61.17,57.18,Neutro
2016-04-07,40.85,44.26,Neutro
2016-04-08,25.33,43.32,Neutro
2016-04-11,27.88,43.88,Neutro
2016-04-12,23.08,50.36,Neutro
2016-04-13,64.23,67.24,Neutro
2016-04-14,78.70,66.96,Neutro
2016-04-15,82.05,70.21,Sobrecomprado
2016-04-18,83.58,61.59,Neutro
2016-04-19,83.14,56.38,Neutro
2016-04-20,68.14,52.19,Neutro
2016-04-21,68.57,49.81,Neutro
2016-04-22,58.92,61.60,Neutro
2016-04-25,37.66,54.95,Neutro
2016-04-26,43.23,60.32,Neutro
2016-04-27,64.18,71.11,Sobrecomprado
2016-04-28,58.02,66.80,Neutro
2016-04-29,65.28,66.49,Neutro
2016-05-02,72.03,70.65,Sobrecomprado
2016-05-03,60.55,60.03,Neutro
2016-05-04,65.04,54.06,Neutro
2016-05-05,55.61,49.80,Neutro
2016-05-06,32.56,53.17,Neutro
2016-05-09,31.82,48.80,Neutro
2016-05-10,60.22,62.71,Neutro
2016-05-11,59.12,65.86,Neutro
2016-05-12,71.76,65.40,Neutro
2016-05-13,74.26,69.11,Neutro
2016-05-16,80.96,69.26,Neutro
2016-05-17,82.70,65.70,Neutro
2016-05-18,90.23,70.36,Sobrecomprado
2016-05-19,69.85,64.77,Neutro
2016-05-20,69.23,63.91,Neutro
2016-05-23,70.30,71.01,Sobrecomprado
2016-05-24,86.69,81.54,Sobrecomprado
2016-05-25,73.48,77.08,Sobrecomprado
2016-05-26,69.89,76.76,Sobrecomprado
2016-05-27,63.70,78.52,Sobrecomprado
2016-05-31,78.49,73.94,Sobrecomprado
2016-06-01,77.15,72.90,Sobrecomprado
2016-06-02,78.12,73.94,Sobrecomprado
2016-06-03,51.24,76.89,Sobrecomprado
2016-06-06,80.11,75.29,Sobrecomprado
2016-06-07,77.27,72.01,Sobrecomprado
2016-06-08,92.11,75.88,Sobrecomprado
2016-06-09,75.37,76.97,Sobrecomprado
2016-06-10,65.40,71.02,Sobrecomprado
2016-06-13,52.78,65.31,Neutro
2016-06-14,53.07,52.42,Neutro
2016-06-15,57.58,64.78,Neutro
2016-06-16,59.76,65.02,Neutro
2016-06-17,38.20,66.90,Neutro
2016-06-20,57.66,67.91,Neutro
2016-06-21,72.32,68.02,Neutro
2016-06-22,75.70,61.32,Neutro
2016-06-23,90.35,71.29,Sobrecomprado
2016-06-24,55.69,56.62,Neutro
2016-06-27,37.28,46.80,Neutro
2016-06-28,36.00,36.70,Neutro
2016-06-29,43.90,47.68,Neutro
2016-06-30,51.45,56.21,Neutro
2016-07-01,55.39,59.90,Neutro
2016-07-05,39.21,56.23,Neutro
2016-07-06,46.14,50.05,Neutro
2016-07-07,76.40,57.65,Neutro
2016-07-08,81.15,60.18,Neutro
2016-07-11,79.58,61.12,Neutro
2016-07-12,71.21,59.43,Neutro
2016-07-13,60.71,57.67,Neutro
2016-07-14,68.00,51.35,Neutro
2016-07-15,74.84,58.87,Neutro
2016-07-18,57.61,70.52,Sobrecomprado
2016-07-19,17.25,54.09,Neutro
2016-07-20,14.44,51.25,Neutro
2016-07-21,14.66,44.38,Neutro
2016-07-22,13.79,38.75,Neutro
2016-07-25,11.56,37.50,Neutro
2016-07-26,59.06,63.29,Neutro
