Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,0.00,0.00,Sobrevendido
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,3.89,3.89,Sobrevendido
2016-01-11,26.69,26.69,Sobrevendido
2016-01-12,18.42,18.42,Sobrevendido
2016-01-13,16.36,16.36,Sobrevendido
2016-01-14,24.69,23.88,Sobrevendido
2016-01-15,32.37,23.65,Sobrevendido
2016-01-19,35.69,22.15,Sobrevendido
2016-01-20,32.41,21.49,Sobrevendido
2016-01-21,17.30,21.99,Sobrevendido
2016-01-22,33.82,22.80,Sobrevendido
2016-01-25,66.19,29.58,Sobrevendido
2016-01-26,40.91,28.65,Sobrevendido
2016-01-27,36.24,33.62,Neutro
2016-01-28,39.42,36.90,Neutro
2016-01-29,50.36,38.23,Neutro
2016-02-01,58.43,34.24,Neutro
2016-02-02,65.33,52.54,Neutro
2016-02-03,59.65,62.58,Neutro
2016-02-04,77.51,61.46,Neutro
2016-02-05,82.91,60.26,Neutro
2016-02-08,75.72,59.68,Neutro
2016-02-09,52.75,51.82,Neutro
2016-02-10,40.67,48.53,Neutro
2016-02-11,32.24,49.48,Neutro
2016-02-12,31.11,45.01,Neutro
2016-02-16,16.46,47.45,Neutro
2016-02-17,25.73,53.19,Neutro
2016-02-18,48.09,61.52,Neutro
2016-02-19,59.06,55.31,Neutro
2016-02-22,69.92,52.05,Neutro
2016-02-23,67.48,46.41,Neutro
2016-02-24,68.50,46.58,Neutro
2016-02-25,79.23,44.22,Neutro
2016-02-26,76.92,46.53,Neutro
2016-02-29,64.47,52.90,Neutro
2016-03-01,100.00,70.39,Sobrecomprado
2016-03-02,100.00,79.27,Sobrecomprado
2016-03-03,100.00,79.80,Sobrecomprado
2016-03-04,62.92,66.20,Neutro
2016-03-07,62.07,72.35,Sobrecomprado
2016-03-08,67.65,72.60,Sobrecomprado
2016-03-09,75.56,71.56,Sobrecomprado
2016-03-10,79.25,84.72,Sobrecomprado
2016-03-11,62.11,71.20,Sobrecomprado
2016-03-14,53.44,66.67,Neutro
2016-03-15,51.27,54.90,Neutro
2016-03-16,48.39,52.75,Neutro
2016-03-17,47.83,54.90,Neutro
2016-03-18,42.86,57.43,Neutro
2016-03-21,26.85,53.90,Neutro
2016-03-22,39.13,53.44,Neutro
2016-03-23,37.50,47.25,Neutro
2016-03-24,56.96,52.90,Neutro
2016-03-28,53.85,50.00,Neutro
2016-03-29,53.85,49.62,Neutro
2016-03-30,51.35,45.45,Neutro
2016-03-31,58.46,36.45,Neutro
2016-04-01,63.01,48.40,Neutro
2016-04-04,92.94,60.49,Neutro
2016-04-05,95.08,80.10,Sobrecomprado
2016-04-06,79.45,70.54,Sobrecomprado
2016-04-07,68.75,63.51,Neutro
2016-04-08,75.94,68.97,Neutro
2016-04-11,62.83,61.86,Neutro
2016-04-12,59.17,60.14,Neutro
2016-04-13,56.16,67.01,Neutro
2016-04-14,48.26,67.69,Neutro
2016-04-15,53.21,65.89,Neutro
2016-04-18,61.33,64.97,Neutro
2016-04-19,32.67,60.76,Neutro
2016-04-20,39.76,56.63,Neutro
2016-04-21,38.37,53.29,Neutro
2016-04-22,23.19,47.79,Neutro
2016-04-25,63.45,55.21,Neutro
2016-04-26,60.93,57.00,Neutro
2016-04-27,50.00,55.38,Neutro
2016-04-28,50.00,43.45,Neutro
2016-04-29,54.97,49.57,Neutro
2016-05-02,50.30,46.22,Neutro
2016-05-03,56.84,47.88,Neutro
2016-05-04,18.84,41.70,Neutro
2016-05-05,21.14,43.07,Neutro
2016-05-06,18.98,35.97,Neutro
2016-05-09,13.83,30.79,Neutro
2016-05-10,26.57,38.55,Neutro
2016-05-11,28.21,38.33,Neutro
2016-05-12,13.94,34.42,Neutro
2016-05-13,18.58,18.69,Sobrevendido
2016-05-16,18.18,19.35,Sobrevendido
2016-05-17,25.32,22.34,Sobrevendido
2016-05-18,44.33,24.21,Sobrevendido
2016-05-19,27.03,26.69,Sobrevendido
2016-05-20,52.17,35.89,Neutro
2016-05-23,91.38,30.83,Neutro
2016-05-24,80.00,33.74,Neutro
2016-05-25,88.14,34.96,Neutro
2016-05-26,83.93,40.95,Neutro
2016-05-27,83.64,58.55,Neutro
2016-05-31,78.43,48.00,Neutro
2016-06-01,42.86,50.00,Neutro
2016-06-02,65.96,80.00,Sobrecomprado
2016-06-03,64.58,73.15,Sobrecomprado
2016-06-06,71.19,79.66,Sobrecomprado
2016-06-07,66.67,74.79,Sobrecomprado
2016-06-08,43.82,59.03,Neutro
2016-06-09,50.00,59.86,Neutro
2016-06-10,42.11,42.25,Neutro
2016-06-13,22.64,35.95,Neutro
2016-06-14,26.73,38.93,Neutro
2016-06-15,20.43,40.13,Neutro
2016-06-16,32.67,45.73,Neutro
2016-06-17,33.33,38.30,Neutro
2016-06-20,33.33,41.54,Neutro
2016-06-21,51.14,46.04,Neutro
2016-06-22,56.25,37.10,Neutro
2016-06-23,60.67,42.63,Neutro
2016-06-24,68.18,46.31,Neutro
2016-06-27,62.89,47.47,Neutro
2016-06-28,90.43,61.14,Neutro
2016-06-29,93.18,67.53,Neutro
2016-06-30,95.63,82.31,Sobrecomprado
2016-07-01,89.55,80.67,Sobrecomprado
2016-07-05,90.61,82.63,Sobrecomprado
2016-07-06,89.59,82.48,Sobrecomprado
2016-07-07,92.25,84.78,Sobrecomprado
2016-07-08,93.21,92.58,Sobrecomprado
2016-07-11,92.47,92.69,Sobrecomprado
2016-07-12,84.79,90.07,Sobrecomprado
2016-07-13,74.49,81.58,Sobrecomprado
2016-07-14,61.25,76.08,Sobrecomprado
2016-07-15,64.50,75.98,Sobrecomprado
2016-07-18,59.39,77.58,Sobrecomprado
2016-07-19,35.64,71.10,Sobrecomprado
2016-07-20,35.96,69.29,Neutro
2016-07-21,37.06,62.08,Neutro
2016-07-22,42.94,61.63,Neutro
2016-07-25,66.50,63.64,Neutro
2016-07-26,62.15,63.55,Neutro
2016-07-27,17.59,31.71,Neutro
