Date,RSI_7,RSI_14,RSI_Sinal
2000-02-11,,,Neutro
2000-02-14,0.00,0.00,Sobrevendido
2000-02-15,0.00,0.00,Sobrevendido
2000-02-16,15.76,15.76,Sobrevendido
2000-02-17,12.48,12.48,Sobrevendido
2000-02-18,7.88,7.88,Sobrevendido
2000-02-22,7.13,7.13,Sobrevendido
2000-02-23,31.58,31.58,Neutro
2000-02-24,35.99,29.99,Sobrevendido
2000-02-25,47.99,36.36,Neutro
2000-02-28,35.59,30.76,Neutro
2000-02-29,36.21,29.26,Sobrevendido
2000-03-01,48.88,30.11,Neutro
2000-03-02,64.81,39.58,Neutro
2000-03-03,43.48,36.89,Neutro
2000-03-06,58.19,47.62,Neutro
2000-03-07,48.15,48.08,Neutro
2000-03-08,54.17,43.93,Neutro
2000-03-09,60.87,47.12,Neutro
2000-03-10,52.95,51.04,Neutro
2000-03-13,35.89,52.69,Neutro
2000-03-14,42.42,43.04,Neutro
2000-03-15,6.88,40.48,Neutro
2000-03-16,5.87,31.82,Neutro
2000-03-17,27.78,42.86,Neutro
2000-03-20,43.48,52.18,Neutro
2000-03-21,43.48,48.46,Neutro
2000-03-22,44.44,40.48,Neutro
2000-03-23,55.55,50.57,Neutro
2000-03-24,57.70,39.51,Neutro
2000-03-27,61.22,38.55,Neutro
2000-03-28,54.76,42.31,Neutro
2000-03-29,26.20,35.23,Neutro
2000-03-30,25.59,34.84,Neutro
2000-03-31,17.20,28.45,Sobrevendido
2000-04-03,26.39,38.89,Neutro
2000-04-04,21.59,35.00,Neutro
2000-04-05,22.62,36.85,Neutro
2000-04-06,21.42,32.54,Neutro
2000-04-07,29.87,28.57,Sobrevendido
2000-04-10,33.81,30.71,Neutro
2000-04-11,40.00,28.23,Sobrevendido
2000-04-12,14.31,21.94,Sobrevendido
2000-04-13,46.16,27.20,Sobrevendido
2000-04-14,29.27,24.81,Sobrevendido
2000-04-17,36.37,26.56,Sobrevendido
2000-04-18,28.22,29.31,Sobrevendido
2000-04-19,28.20,31.82,Neutro
2000-04-20,43.75,41.31,Neutro
2000-04-24,41.18,26.33,Sobrevendido
2000-04-25,44.44,45.16,Neutro
2000-04-26,90.02,49.17,Neutro
2000-04-27,87.52,50.00,Neutro
2000-04-28,90.02,49.15,Neutro
2000-05-01,90.50,50.00,Neutro
2000-05-02,93.56,68.25,Neutro
2000-05-03,90.61,65.14,Neutro
2000-05-04,83.99,60.65,Neutro
2000-05-05,90.24,90.17,Sobrecomprado
2000-05-08,91.30,90.33,Sobrecomprado
2000-05-09,86.35,87.49,Sobrecomprado
2000-05-10,62.06,69.62,Neutro
2000-05-11,48.94,66.67,Neutro
2000-05-12,54.35,69.22,Neutro
2000-05-15,63.64,70.00,Neutro
2000-05-16,43.59,67.50,Neutro
2000-05-17,47.61,70.45,Sobrecomprado
2000-05-18,46.52,66.67,Neutro
2000-05-19,54.06,58.95,Neutro
2000-05-22,54.05,51.19,Neutro
2000-05-23,50.00,52.44,Neutro
2000-05-24,24.99,49.43,Neutro
2000-05-25,31.23,38.02,Neutro
2000-05-26,8.32,33.32,Neutro
2000-05-30,38.70,43.24,Neutro
2000-05-31,48.00,51.62,Neutro
2000-06-01,71.82,63.16,Neutro
2000-06-02,83.35,70.84,Sobrecomprado
2000-06-05,92.87,68.19,Neutro
2000-06-06,93.35,71.74,Sobrecomprado
2000-06-07,94.13,71.75,Sobrecomprado
2000-06-08,93.12,74.16,Sobrecomprado
2000-06-09,79.41,70.97,Sobrecomprado
2000-06-12,78.12,75.73,Sobrecomprado
2000-06-13,62.22,74.29,Sobrecomprado
2000-06-14,56.52,76.47,Sobrecomprado
2000-06-15,45.98,73.43,Sobrecomprado
2000-06-16,38.96,74.18,Sobrecomprado
2000-06-19,47.77,73.30,Sobrecomprado
2000-06-20,74.33,77.62,Sobrecomprado
2000-06-21,53.46,70.43,Sobrecomprado
2000-06-22,69.11,65.19,Neutro
2000-06-23,65.28,60.36,Neutro
2000-06-26,74.64,58.86,Neutro
2000-06-27,72.30,54.22,Neutro
2000-06-28,65.39,54.22,Neutro
