Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,32.00,32.00,Neutro
2016-01-07,28.57,28.57,Sobrevendido
2016-01-08,47.37,47.37,Neutro
2016-01-11,36.73,36.73,Neutro
2016-01-12,42.59,42.59,Neutro
2016-01-13,34.85,34.85,Neutro
2016-01-14,27.12,35.82,Neutro
2016-01-15,38.10,35.82,Neutro
2016-01-19,37.21,33.80,Neutro
2016-01-20,16.22,32.00,Neutro
2016-01-21,23.08,32.00,Neutro
2016-01-22,13.04,33.77,Neutro
2016-01-25,63.64,42.05,Neutro
2016-01-26,52.00,34.52,Neutro
2016-01-27,43.33,40.28,Neutro
2016-01-28,61.76,48.05,Neutro
2016-01-29,72.73,42.86,Neutro
2016-02-01,55.81,43.48,Neutro
2016-02-02,54.76,40.00,Neutro
2016-02-03,40.62,50.00,Neutro
2016-02-04,44.83,48.15,Neutro
2016-02-05,50.00,46.43,Neutro
2016-02-08,19.23,43.33,Neutro
2016-02-09,38.24,55.22,Neutro
2016-02-10,46.43,52.11,Neutro
2016-02-11,51.61,53.42,Neutro
2016-02-12,37.50,38.89,Neutro
2016-02-16,45.45,45.21,Neutro
2016-02-17,42.55,45.21,Neutro
2016-02-18,56.82,42.86,Neutro
2016-02-19,50.00,44.44,Neutro
2016-02-22,55.88,51.61,Neutro
2016-02-23,45.45,48.44,Neutro
2016-02-24,51.72,43.48,Neutro
2016-02-25,44.00,44.93,Neutro
2016-02-26,65.38,50.68,Neutro
2016-02-29,59.09,57.58,Neutro
2016-03-01,52.63,50.88,Neutro
2016-03-02,59.09,57.14,Neutro
2016-03-03,65.00,52.83,Neutro
2016-03-04,92.86,65.12,Neutro
2016-03-07,66.67,53.49,Neutro
2016-03-08,57.14,62.50,Neutro
2016-03-09,43.75,52.63,Neutro
2016-03-10,52.63,52.63,Neutro
2016-03-11,50.00,55.00,Neutro
2016-03-14,36.00,48.89,Neutro
2016-03-15,50.00,63.04,Neutro
2016-03-16,59.26,62.22,Neutro
2016-03-17,56.00,56.41,Neutro
2016-03-18,63.64,55.26,Neutro
2016-03-21,37.50,44.19,Neutro
2016-03-22,63.41,59.32,Neutro
2016-03-23,81.08,62.90,Neutro
2016-03-24,74.19,61.90,Neutro
2016-03-28,65.71,62.90,Neutro
2016-03-29,70.00,64.62,Neutro
2016-03-30,62.22,62.69,Neutro
2016-03-31,80.77,67.11,Neutro
2016-04-01,76.74,70.24,Sobrecomprado
2016-04-04,79.17,80.00,Sobrecomprado
2016-04-05,70.37,71.76,Sobrecomprado
2016-04-06,69.09,67.78,Neutro
2016-04-07,67.92,68.82,Neutro
2016-04-08,62.07,62.14,Neutro
2016-04-11,40.74,60.38,Neutro
2016-04-12,45.76,58.82,Neutro
2016-04-13,39.62,58.42,Neutro
2016-04-14,43.75,57.84,Neutro
2016-04-15,42.86,56.73,Neutro
2016-04-18,42.86,55.88,Neutro
2016-04-19,56.10,59.60,Neutro
2016-04-20,71.87,52.33,Neutro
2016-04-21,64.00,51.19,Neutro
2016-04-22,59.09,45.33,Neutro
2016-04-25,61.90,49.28,Neutro
2016-04-26,87.50,53.85,Neutro
2016-04-27,86.67,53.13,Neutro
2016-04-28,73.33,60.71,Neutro
2016-04-29,80.00,74.47,Sobrecomprado
2016-05-02,44.44,58.82,Neutro
2016-05-03,44.44,54.84,Neutro
2016-05-04,50.00,58.62,Neutro
2016-05-05,21.43,56.67,Neutro
2016-05-06,26.67,56.67,Neutro
2016-05-09,47.06,59.37,Neutro
2016-05-10,30.43,50.00,Neutro
2016-05-11,24.14,28.95,Sobrevendido
2016-05-12,31.25,34.15,Neutro
2016-05-13,33.33,36.59,Neutro
2016-05-16,48.28,39.53,Neutro
2016-05-17,36.67,33.33,Neutro
2016-05-18,26.92,34.88,Neutro
2016-05-19,36.84,33.33,Neutro
2016-05-20,63.64,35.00,Neutro
2016-05-23,55.56,36.59,Neutro
2016-05-24,71.43,44.68,Neutro
2016-05-25,53.85,50.00,Neutro
2016-05-26,89.47,57.14,Neutro
2016-05-27,89.47,53.33,Neutro
2016-05-31,99.04,93.86,Sobrecomprado
2016-06-01,73.40,73.04,Sobrecomprado
2016-06-02,74.75,74.18,Sobrecomprado
2016-06-03,75.25,75.08,Sobrecomprado
2016-06-06,65.14,64.74,Neutro
2016-06-07,62.11,63.51,Neutro
2016-06-08,62.11,63.51,Neutro
2016-06-09,16.57,62.17,Neutro
2016-06-10,29.90,62.27,Neutro
2016-06-13,12.26,58.31,Neutro
2016-06-14,0.99,56.68,Neutro
2016-06-15,32.00,59.29,Neutro
2016-06-16,38.46,58.41,Neutro
2016-06-17,34.72,57.45,Neutro
2016-06-20,51.25,27.71,Sobrevendido
2016-06-21,58.06,43.68,Neutro
2016-06-22,64.29,35.26,Neutro
2016-06-23,70.89,31.67,Neutro
2016-06-24,63.49,46.38,Neutro
2016-06-27,48.75,44.14,Neutro
2016-06-28,56.96,46.36,Neutro
2016-06-29,65.66,59.22,Neutro
2016-06-30,46.36,51.72,Neutro
2016-07-01,58.65,61.17,Neutro
2016-07-05,57.84,63.54,Neutro
2016-07-06,53.06,57.14,Neutro
2016-07-07,66.27,57.67,Neutro
2016-07-08,63.64,60.26,Neutro
2016-07-11,27.08,53.06,Neutro
2016-07-12,62.96,49.64,Neutro
2016-07-13,38.89,55.74,Neutro
2016-07-14,35.00,54.10,Neutro
2016-07-15,30.43,48.76,Neutro
2016-07-18,14.81,53.64,Neutro
2016-07-19,23.33,52.34,Neutro
2016-07-20,33.33,29.17,Sobrevendido
2016-07-21,27.27,46.94,Neutro
2016-07-22,54.55,49.02,Neutro
2016-07-25,52.94,46.30,Neutro
2016-07-26,65.52,50.00,Neutro
2016-07-27,87.50,49.02,Neutro
2016-07-28,69.23,44.64,Neutro
2016-07-29,71.43,53.85,Neutro
2016-08-01,56.25,44.44,Neutro
2016-08-02,27.27,43.64,Neutro
2016-08-03,40.91,48.21,Neutro
2016-08-04,58.06,61.67,Neutro
2016-08-05,59.38,71.43,Sobrecomprado
2016-08-08,86.21,80.95,Sobrecomprado
2016-08-09,74.60,73.63,Sobrecomprado
2016-08-10,67.14,63.73,Neutro
2016-08-11,69.57,59.34,Neutro
2016-08-12,67.16,60.67,Neutro
2016-08-15,66.67,63.92,Neutro
2016-08-16,66.15,63.92,Neutro
2016-08-17,61.40,73.91,Sobrecomprado
2016-08-18,73.08,73.91,Sobrecomprado
2016-08-19,97.78,79.13,Sobrecomprado
2016-08-22,91.49,78.45,Sobrecomprado
2016-08-23,65.15,66.17,Neutro
2016-08-24,64.62,65.65,Neutro
2016-08-25,51.95,58.45,Neutro
2016-08-26,40.32,50.42,Neutro
2016-08-29,20.18,37.27,Neutro
2016-08-30,14.81,39.22,Neutro
2016-08-31,12.60,33.91,Neutro
2016-09-01,14.29,33.15,Neutro
2016-09-02,7.27,28.57,Sobrevendido
2016-09-06,7.55,26.23,Sobrevendido
2016-09-07,4.85,18.18,Sobrevendido
2016-09-08,7.81,15.61,Sobrevendido
2016-09-09,7.25,11.86,Sobrevendido
2016-09-12,22.22,15.47,Sobrevendido
2016-09-13,17.91,15.64,Sobrevendido
2016-09-14,28.99,15.64,Sobrevendido
2016-09-15,32.26,16.67,Sobrevendido
2016-09-16,26.32,12.50,Sobrevendido
2016-09-19,29.41,17.39,Sobrevendido
2016-09-20,29.41,16.67,Sobrevendido
2016-09-21,36.84,29.73,Sobrevendido
2016-09-22,64.00,37.61,Neutro
2016-09-23,58.14,40.18,Neutro
2016-09-26,62.50,44.12,Neutro
2016-09-27,55.56,39.22,Neutro
2016-09-28,56.82,42.11,Neutro
2016-09-29,58.14,42.55,Neutro
2016-09-30,47.06,40.66,Neutro
2016-10-03,18.52,48.05,Neutro
2016-10-04,12.90,39.19,Neutro
2016-10-05,22.86,44.00,Neutro
2016-10-06,21.05,39.76,Neutro
2016-10-07,20.00,39.29,Neutro
2016-10-10,36.11,48.10,Neutro
2016-10-11,25.71,36.23,Neutro
2016-10-12,23.68,21.54,Sobrevendido
2016-10-13,50.00,35.44,Neutro
2016-10-14,41.67,33.73,Neutro
2016-10-17,44.44,33.73,Neutro
2016-10-18,54.76,37.80,Neutro
2016-10-19,51.28,44.00,Neutro
2016-10-20,48.78,38.16,Neutro
2016-10-21,58.82,40.28,Neutro
2016-10-24,22.73,41.43,Neutro
2016-10-25,35.00,39.71,Neutro
2016-10-26,52.94,46.77,Neutro
2016-10-27,63.64,57.81,Neutro
2016-10-28,38.71,45.71,Neutro
2016-10-31,63.16,55.70,Neutro
2016-11-01,57.14,57.89,Neutro
2016-11-02,58.54,46.03,Neutro
2016-11-03,52.38,46.77,Neutro
2016-11-04,50.00,50.88,Neutro
2016-11-07,41.18,50.00,Neutro
2016-11-08,56.00,46.43,Neutro
2016-11-09,13.33,49.06,Neutro
2016-11-10,30.77,50.91,Neutro
2016-11-11,53.33,57.14,Neutro
2016-11-14,75.00,58.62,Neutro
2016-11-15,85.71,64.71,Neutro
2016-11-16,68.75,54.55,Neutro
2016-11-17,84.91,75.64,Sobrecomprado
2016-11-18,80.36,66.20,Neutro
2016-11-21,63.24,58.02,Neutro
2016-11-22,60.00,58.75,Neutro
2016-11-23,55.56,59.49,Neutro
2016-11-25,54.10,64.04,Neutro
2016-11-28,37.93,46.22,Neutro
2016-11-29,14.93,45.83,Neutro
2016-11-30,15.87,46.22,Neutro
2016-12-01,20.00,44.92,Neutro
2016-12-02,20.41,42.98,Neutro
2016-12-05,24.49,41.96,Neutro
2016-12-06,9.76,36.27,Neutro
2016-12-07,40.00,38.14,Neutro
2016-12-08,36.36,17.95,Sobrevendido
2016-12-09,45.45,20.27,Sobrevendido
2016-12-12,54.55,26.23,Sobrevendido
2016-12-13,76.19,37.14,Neutro
2016-12-14,51.85,34.21,Neutro
2016-12-15,71.11,41.86,Neutro
2016-12-16,57.14,54.55,Neutro
2016-12-19,69.70,64.94,Neutro
2016-12-20,69.23,65.79,Neutro
2016-12-21,67.69,65.79,Neutro
2016-12-22,62.50,66.23,Neutro
2016-12-23,74.00,66.23,Neutro
2016-12-27,51.52,62.82,Neutro
2016-12-28,84.62,65.85,Neutro
2016-12-29,40.00,62.79,Neutro
2016-12-30,32.00,58.89,Neutro
2017-01-03,36.00,58.89,Neutro
2017-01-04,33.33,53.75,Neutro
2017-01-05,30.43,60.27,Neutro
2017-01-06,30.43,42.86,Neutro
2017-01-09,30.43,59.18,Neutro
2017-01-10,46.67,42.86,Neutro
2017-01-11,63.64,41.67,Neutro
2017-01-12,77.78,53.49,Neutro
2017-01-13,60.87,46.81,Neutro
2017-01-17,65.38,48.98,Neutro
2017-01-18,73.91,52.17,Neutro
2017-01-19,60.00,44.19,Neutro
2017-01-20,52.17,50.00,Neutro
2017-01-23,62.96,63.16,Neutro
2017-01-24,54.55,65.00,Neutro
2017-01-25,79.17,70.21,Sobrecomprado
2017-01-26,77.27,70.83,Sobrecomprado
2017-01-27,73.91,73.91,Sobrecomprado
2017-01-30,81.82,71.43,Sobrecomprado
2017-01-31,81.82,66.67,Neutro
2017-02-01,61.90,62.50,Neutro
2017-02-02,50.00,52.38,Neutro
2017-02-03,28.57,60.53,Neutro
2017-02-06,44.44,62.50,Neutro
2017-02-07,64.00,68.75,Neutro
2017-02-08,60.00,70.21,Sobrecomprado
2017-02-09,69.57,75.56,Sobrecomprado
2017-02-10,84.21,72.50,Sobrecomprado
2017-02-13,94.12,70.27,Sobrecomprado
2017-02-14,95.45,69.44,Neutro
2017-02-15,71.43,58.97,Neutro
2017-02-16,36.84,52.27,Neutro
2017-02-17,47.62,54.35,Neutro
2017-02-21,40.91,55.56,Neutro
2017-02-22,36.00,56.82,Neutro
2017-02-23,33.33,56.82,Neutro
2017-02-24,18.18,56.82,Neutro
2017-02-27,21.05,47.50,Neutro
2017-02-28,22.22,29.73,Sobrevendido
2017-03-01,26.32,37.50,Neutro
2017-03-02,27.78,35.00,Neutro
2017-03-03,29.41,33.33,Neutro
2017-03-06,27.78,31.11,Neutro
2017-03-07,18.18,18.18,Sobrevendido
2017-03-08,48.39,38.00,Neutro
2017-03-09,51.72,40.43,Neutro
2017-03-10,39.29,34.04,Neutro
2017-03-13,36.67,33.33,Neutro
2017-03-14,57.50,49.12,Neutro
2017-03-15,56.10,47.46,Neutro
2017-03-16,69.77,52.31,Neutro
2017-03-17,62.86,56.06,Neutro
2017-03-20,68.75,60.66,Neutro
2017-03-21,52.38,47.14,Neutro
2017-03-22,40.74,39.29,Neutro
2017-03-23,23.26,39.76,Neutro
2017-03-24,30.95,43.37,Neutro
2017-03-27,32.56,51.16,Neutro
2017-03-28,23.91,40.74,Neutro
2017-03-29,22.92,41.25,Neutro
2017-03-30,29.73,41.77,Neutro
2017-03-31,59.26,46.91,Neutro
2017-04-03,51.61,35.14,Neutro
2017-04-04,32.50,31.71,Neutro
2017-04-05,15.62,25.33,Sobrevendido
2017-04-06,22.22,23.29,Sobrevendido
2017-04-07,23.08,22.97,Sobrevendido
2017-04-10,35.71,32.31,Neutro
2017-04-11,28.00,44.23,Neutro
2017-04-12,48.00,50.00,Neutro
2017-04-13,70.59,43.86,Neutro
2017-04-17,60.00,32.69,Neutro
2017-04-18,66.67,43.14,Neutro
2017-04-19,64.00,43.14,Neutro
2017-04-20,50.00,42.31,Neutro
2017-04-21,45.45,36.17,Neutro
2017-04-24,29.41,40.48,Neutro
2017-04-25,65.22,67.50,Neutro
2017-04-26,68.18,64.29,Neutro
2017-04-27,58.82,63.41,Neutro
2017-04-28,55.56,60.47,Neutro
2017-05-01,50.00,50.00,Neutro
2017-05-02,58.33,52.17,Neutro
2017-05-03,50.00,42.22,Neutro
2017-05-04,48.15,56.00,Neutro
2017-05-05,41.94,52.83,Neutro
2017-05-08,41.94,47.92,Neutro
2017-05-09,53.13,54.00,Neutro
2017-05-10,62.96,57.45,Neutro
2017-05-11,58.33,58.33,Neutro
2017-05-12,66.67,57.14,Neutro
2017-05-15,35.71,43.90,Neutro
2017-05-16,66.67,47.50,Neutro
2017-05-17,50.00,44.19,Neutro
2017-05-18,25.00,47.50,Neutro
2017-05-19,45.45,57.89,Neutro
2017-05-22,45.45,54.29,Neutro
2017-05-23,41.67,57.58,Neutro
2017-05-24,81.48,65.85,Neutro
2017-05-25,46.67,50.00,Neutro
2017-05-26,46.67,47.37,Neutro
2017-05-30,42.86,40.35,Neutro
2017-05-31,37.50,38.98,Neutro
2017-06-01,40.00,40.98,Neutro
2017-06-02,44.00,43.55,Neutro
2017-06-05,12.50,40.30,Neutro
2017-06-06,19.23,36.62,Neutro
2017-06-07,20.83,37.68,Neutro
2017-06-08,25.00,37.68,Neutro
2017-06-09,35.00,36.76,Neutro
2017-06-12,31.58,37.68,Neutro
2017-06-13,19.05,36.62,Neutro
2017-06-14,25.00,16.07,Sobrevendido
2017-06-15,22.22,20.45,Sobrevendido
2017-06-16,35.00,27.27,Sobrevendido
2017-06-19,31.82,28.57,Sobrevendido
2017-06-20,28.57,31.71,Neutro
2017-06-21,16.00,22.73,Sobrevendido
2017-06-22,22.73,20.93,Sobrevendido
2017-06-23,46.43,38.64,Neutro
2017-06-26,68.00,48.84,Neutro
2017-06-27,42.42,39.62,Neutro
2017-06-28,46.88,40.74,Neutro
2017-06-29,40.00,35.71,Neutro
2017-06-30,54.55,37.93,Neutro
2017-07-03,58.33,44.83,Neutro
2017-07-05,38.24,41.94,Neutro
2017-07-06,46.15,54.69,Neutro
2017-07-07,66.67,53.97,Neutro
2017-07-10,68.75,57.81,Neutro
2017-07-11,78.57,57.14,Neutro
2017-07-12,85.71,72.00,Sobrecomprado
2017-07-13,74.42,67.09,Neutro
2017-07-14,87.50,64.86,Neutro
2017-07-17,70.27,57.89,Neutro
2017-07-18,69.44,68.18,Neutro
2017-07-19,64.71,66.67,Neutro
2017-07-20,69.23,73.13,Sobrecomprado
2017-07-21,33.33,65.22,Neutro
2017-07-24,39.13,62.12,Neutro
2017-07-25,36.36,69.35,Neutro
2017-07-26,47.06,62.96,Neutro
2017-07-27,47.06,62.26,Neutro
2017-07-28,50.00,60.00,Neutro
2017-07-31,50.00,63.64,Neutro
2017-08-01,57.14,41.46,Neutro
2017-08-02,44.44,41.46,Neutro
2017-08-03,26.09,31.11,Neutro
2017-08-04,25.00,34.15,Neutro
2017-08-07,33.33,38.64,Neutro
2017-08-08,31.03,37.78,Neutro
2017-08-09,39.39,42.86,Neutro
2017-08-10,46.67,50.00,Neutro
2017-08-11,36.84,39.29,Neutro
2017-08-14,50.00,40.35,Neutro
2017-08-15,64.29,50.00,Neutro
2017-08-16,53.49,45.71,Neutro
2017-08-17,46.94,41.03,Neutro
2017-08-18,32.56,35.53,Neutro
2017-08-21,40.82,43.04,Neutro
2017-08-22,42.55,40.00,Neutro
2017-08-23,34.69,40.96,Neutro
2017-08-24,27.27,45.35,Neutro
2017-08-25,25.00,38.46,Neutro
2017-08-28,37.78,42.55,Neutro
2017-08-29,39.53,36.05,Neutro
2017-08-30,26.32,34.48,Neutro
2017-08-31,39.29,41.33,Neutro
2017-09-01,45.83,38.36,Neutro
2017-09-05,28.57,27.69,Sobrevendido
2017-09-06,60.00,33.33,Neutro
2017-09-07,40.00,38.18,Neutro
2017-09-08,26.67,36.21,Neutro
2017-09-11,40.00,30.19,Neutro
2017-09-12,35.71,38.10,Neutro
2017-09-13,38.46,43.24,Neutro
2017-09-14,45.45,34.38,Neutro
2017-09-15,40.00,52.00,Neutro
2017-09-18,36.36,38.10,Neutro
2017-09-19,57.14,36.36,Neutro
2017-09-20,57.14,45.45,Neutro
2017-09-21,57.14,42.86,Neutro
2017-09-22,57.14,45.00,Neutro
2017-09-25,85.00,70.97,Sobrecomprado
2017-09-26,71.43,61.29,Neutro
2017-09-27,62.50,54.29,Neutro
2017-09-28,65.22,63.33,Neutro
2017-09-29,72.41,69.44,Neutro
2017-10-02,74.19,71.05,Sobrecomprado
2017-10-03,63.89,62.79,Neutro
2017-10-04,40.00,60.00,Neutro
2017-10-05,58.62,64.00,Neutro
2017-10-06,68.00,65.31,Neutro
2017-10-09,62.96,64.00,Neutro
2017-10-10,62.96,67.86,Neutro
2017-10-11,61.54,68.42,Neutro
2017-10-12,57.14,60.94,Neutro
2017-10-13,72.22,59.02,Neutro
2017-10-16,52.78,55.38,Neutro
2017-10-17,46.34,54.55,Neutro
2017-10-18,43.18,50.70,Neutro
2017-10-19,50.98,55.13,Neutro
2017-10-20,49.02,53.25,Neutro
2017-10-23,51.02,53.25,Neutro
2017-10-24,37.50,53.95,Neutro
2017-10-25,40.54,46.58,Neutro
2017-10-26,59.52,53.01,Neutro
2017-10-27,59.52,51.16,Neutro
2017-10-30,43.33,48.15,Neutro
2017-10-31,41.94,46.34,Neutro
2017-11-01,50.00,50.67,Neutro
2017-11-02,65.71,50.67,Neutro
2017-11-03,63.89,52.05,Neutro
2017-11-06,50.00,55.88,Neutro
2017-11-07,65.00,61.29,Neutro
2017-11-08,58.82,48.94,Neutro
2017-11-09,50.00,45.10,Neutro
2017-11-10,61.54,55.77,Neutro
2017-11-13,28.57,51.79,Neutro
2017-11-14,35.29,54.72,Neutro
2017-11-15,33.33,43.18,Neutro
2017-11-16,52.00,57.78,Neutro
2017-11-17,64.71,62.75,Neutro
2017-11-20,82.50,71.67,Sobrecomprado
2017-11-21,85.11,76.71,Sobrecomprado
2017-11-22,67.80,57.50,Neutro
2017-11-24,71.87,64.20,Neutro
2017-11-27,74.24,65.48,Neutro
2017-11-28,77.33,71.00,Sobrecomprado
2017-11-29,77.92,73.87,Sobrecomprado
2017-11-30,64.47,70.69,Sobrecomprado
2017-12-01,51.43,64.96,Neutro
2017-12-04,64.29,66.09,Neutro
2017-12-05,52.63,62.81,Neutro
2017-12-06,59.09,66.67,Neutro
2017-12-07,39.66,60.90,Neutro
2017-12-08,31.37,59.38,Neutro
2017-12-11,46.81,57.72,Neutro
2017-12-12,50.00,50.88,Neutro
2017-12-13,60.42,62.50,Neutro
2017-12-14,54.72,53.64,Neutro
2017-12-15,44.19,53.21,Neutro
2017-12-18,55.56,45.74,Neutro
2017-12-19,65.96,47.96,Neutro
2017-12-20,59.52,52.81,Neutro
2017-12-21,49.02,49.47,Neutro
2017-12-22,38.30,49.47,Neutro
2017-12-26,48.65,52.22,Neutro
2017-12-27,43.24,43.75,Neutro
2017-12-28,41.67,48.61,Neutro
2017-12-29,4.55,46.38,Neutro
2018-01-02,16.67,43.94,Neutro
2018-01-03,33.33,46.03,Neutro
2018-01-04,70.59,46.88,Neutro
2018-01-05,70.59,55.56,Neutro
2018-01-08,54.55,47.46,Neutro
2018-01-09,44.44,42.86,Neutro
2018-01-10,40.74,24.49,Sobrevendido
2018-01-11,40.74,29.41,Sobrevendido
2018-01-12,61.54,54.90,Neutro
2018-01-16,39.02,48.28,Neutro
2018-01-17,45.24,52.54,Neutro
2018-01-18,47.50,50.00,Neutro
2018-01-19,63.64,56.34,Neutro
2018-01-22,63.64,54.93,Neutro
2018-01-23,59.52,52.17,Neutro
2018-01-24,34.29,48.65,Neutro
2018-01-25,53.57,44.93,Neutro
2018-01-26,51.85,47.83,Neutro
2018-01-29,68.00,55.38,Neutro
2018-01-30,40.00,56.25,Neutro
2018-01-31,33.33,52.94,Neutro
2018-02-01,46.43,54.29,Neutro
2018-02-02,43.33,38.46,Neutro
2018-02-05,30.30,40.98,Neutro
2018-02-06,25.81,37.93,Neutro
2018-02-07,14.71,37.29,Neutro
2018-02-08,12.82,22.03,Sobrevendido
2018-02-09,17.14,23.73,Sobrevendido
2018-02-12,14.71,29.03,Sobrevendido
2018-02-13,30.00,36.67,Neutro
2018-02-14,53.13,41.54,Neutro
2018-02-15,53.13,39.68,Neutro
2018-02-16,67.86,38.71,Neutro
2018-02-20,100.00,45.16,Neutro
2018-02-21,100.00,49.12,Neutro
2018-02-22,66.67,37.70,Neutro
2018-02-23,70.97,50.82,Neutro
2018-02-26,46.67,50.00,Neutro
2018-02-27,37.84,44.93,Neutro
2018-02-28,42.50,52.94,Neutro
2018-03-01,28.26,52.17,Neutro
