Date,RSI_7,RSI_14,RSI_Sinal
2023-03-02,,,Neutro
2023-03-03,100.00,100.00,Sobrecomprado
2023-03-06,100.00,100.00,Sobrecomprado
2023-03-07,88.89,88.89,Sobrecomprado
2023-03-08,88.89,88.89,Sobrecomprado
2023-03-09,90.91,90.91,Sobrecomprado
2023-03-10,96.30,96.30,Sobrecomprado
2023-03-13,97.37,97.37,Sobrecomprado
2023-03-14,80.00,82.22,Sobrecomprado
2023-03-15,84.00,86.21,Sobrecomprado
2023-03-16,82.35,83.33,Sobrecomprado
2023-03-17,85.25,85.71,Sobrecomprado
2023-03-20,74.63,76.92,Sobrecomprado
2023-03-21,57.63,69.77,Neutro
2023-03-22,50.98,70.79,Sobrecomprado
2023-03-23,64.71,71.43,Sobrecomprado
2023-03-24,65.38,74.51,Sobrecomprado
2023-03-27,62.96,72.38,Sobrecomprado
2023-03-28,54.55,72.38,Sobrecomprado
2023-03-29,67.57,72.12,Sobrecomprado
2023-03-30,87.50,68.13,Neutro
2023-03-31,87.88,65.48,Neutro
2023-04-03,86.67,72.84,Sobrecomprado
2023-04-04,82.61,70.67,Sobrecomprado
2023-04-05,100.00,76.74,Sobrecomprado
2023-04-06,100.00,75.31,Sobrecomprado
2023-04-10,81.82,75.31,Sobrecomprado
2023-04-11,83.67,85.19,Sobrecomprado
2023-04-12,83.67,85.37,Sobrecomprado
2023-04-13,80.43,82.89,Sobrecomprado
2023-04-14,56.60,64.47,Neutro
2023-04-17,37.78,63.64,Neutro
2023-04-18,19.67,50.00,Neutro
2023-04-19,20.00,46.15,Neutro
2023-04-20,17.24,47.66,Neutro
2023-04-21,10.91,45.19,Neutro
2023-04-24,25.00,48.18,Neutro
2023-04-25,34.62,45.71,Neutro
2023-04-26,36.73,37.23,Neutro
2023-04-27,50.00,30.93,Neutro
2023-04-28,70.27,39.18,Neutro
2023-05-01,48.78,30.30,Neutro
2023-05-02,59.18,33.65,Neutro
2023-05-03,52.38,35.85,Neutro
2023-05-04,59.18,46.53,Neutro
2023-05-05,58.00,47.47,Neutro
2023-05-08,70.45,61.25,Neutro
2023-05-09,60.53,65.33,Neutro
2023-05-10,82.14,62.32,Neutro
2023-05-11,75.00,63.77,Neutro
2023-05-12,66.67,56.67,Neutro
2023-05-15,25.00,52.46,Neutro
2023-05-16,15.79,46.38,Neutro
2023-05-17,4.55,48.48,Neutro
2023-05-18,3.03,33.80,Neutro
2023-05-19,2.13,32.00,Neutro
2023-05-22,0.00,22.06,Sobrevendido
2023-05-23,0.00,15.38,Sobrevendido
2023-05-24,9.52,12.00,Sobrevendido
2023-05-25,11.11,12.33,Sobrevendido
2023-05-26,18.87,14.67,Sobrevendido
2023-05-30,43.40,27.91,Sobrevendido
2023-05-31,65.22,33.33,Neutro
2023-06-01,72.55,37.37,Neutro
2023-06-02,90.24,36.63,Neutro
2023-06-05,81.58,36.63,Neutro
2023-06-06,85.71,43.75,Neutro
2023-06-07,80.00,45.16,Neutro
2023-06-08,75.00,55.29,Neutro
2023-06-09,71.43,67.57,Neutro
2023-06-12,63.64,69.86,Neutro
2023-06-13,75.00,85.25,Sobrecomprado
2023-06-14,89.47,84.21,Sobrecomprado
2023-06-15,88.24,86.44,Sobrecomprado
2023-06-16,100.00,85.45,Sobrecomprado
2023-06-20,100.00,84.62,Sobrecomprado
2023-06-21,73.91,72.55,Sobrecomprado
2023-06-22,75.00,69.57,Neutro
2023-06-23,75.00,75.00,Sobrecomprado
2023-06-26,76.00,81.82,Sobrecomprado
2023-06-27,69.57,77.50,Sobrecomprado
2023-06-28,73.08,82.93,Sobrecomprado
2023-06-29,39.13,67.44,Neutro
2023-06-30,63.64,68.89,Neutro
2023-07-03,61.90,68.89,Neutro
2023-07-05,54.55,65.22,Neutro
2023-07-06,31.03,51.85,Neutro
2023-07-07,27.27,44.64,Neutro
2023-07-10,29.41,48.33,Neutro
2023-07-11,41.38,40.38,Neutro
2023-07-12,52.78,56.90,Neutro
2023-07-13,56.41,58.33,Neutro
2023-07-14,60.53,58.33,Neutro
2023-07-17,84.38,59.02,Neutro
2023-07-18,100.00,62.50,Neutro
2023-07-19,100.00,64.71,Neutro
2023-07-20,82.05,64.71,Neutro
2023-07-21,71.43,60.94,Neutro
2023-07-24,74.19,64.29,Neutro
