Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,,,Neutro
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,50.00,50.00,Neutro
2016-01-11,75.00,75.00,Sobrecomprado
2016-01-12,75.00,75.00,Sobrecomprado
2016-01-13,33.33,33.33,Neutro
2016-01-14,25.00,25.00,Sobrevendido
2016-01-15,25.00,23.08,Sobrevendido
2016-01-19,28.00,25.93,Sobrevendido
2016-01-20,23.40,27.27,Sobrevendido
2016-01-21,10.00,28.57,Sobrevendido
2016-01-22,10.00,28.57,Sobrevendido
2016-01-25,55.56,44.44,Neutro
2016-01-26,51.28,36.78,Neutro
2016-01-27,55.56,38.10,Neutro
2016-01-28,56.76,40.23,Neutro
2016-01-29,51.28,36.05,Neutro
2016-02-01,50.00,29.49,Sobrevendido
2016-02-02,50.00,29.49,Sobrevendido
2016-02-03,17.39,40.68,Neutro
2016-02-04,44.44,50.00,Neutro
2016-02-05,33.33,50.00,Neutro
2016-02-08,38.46,52.00,Neutro
2016-02-09,33.33,46.30,Neutro
2016-02-10,54.55,51.67,Neutro
2016-02-11,21.43,32.98,Neutro
2016-02-12,44.30,38.24,Neutro
2016-02-16,52.22,51.52,Neutro
2016-02-17,46.08,44.74,Neutro
2016-02-18,48.11,47.06,Neutro
2016-02-19,53.70,51.22,Neutro
2016-02-22,57.63,57.14,Neutro
2016-02-23,81.82,58.33,Neutro
2016-02-24,75.00,58.04,Neutro
2016-02-25,69.23,58.45,Neutro
2016-02-26,100.00,60.14,Neutro
2016-02-29,66.67,53.38,Neutro
2016-03-01,68.89,58.17,Neutro
2016-03-02,48.28,55.78,Neutro
2016-03-03,35.71,70.69,Sobrecomprado
2016-03-04,25.00,55.77,Neutro
2016-03-07,28.57,51.06,Neutro
2016-03-08,25.00,57.14,Neutro
2016-03-09,47.62,57.14,Neutro
2016-03-10,31.25,53.25,Neutro
2016-03-11,52.27,50.68,Neutro
2016-03-14,46.00,42.31,Neutro
