Date,RSI_7,RSI_14,RSI_Sinal
2005-05-26,,,Neutro
2005-05-27,100.00,100.00,Sobrecomprado
2005-05-31,79.59,79.59,Sobrecomprado
2005-06-01,79.59,79.59,Sobrecomprado
2005-06-02,69.64,69.64,Neutro
2005-06-03,72.13,72.13,Sobrecomprado
2005-06-06,68.75,68.75,Neutro
2005-06-07,70.15,70.15,Sobrecomprado
2005-06-08,39.39,72.22,Sobrecomprado
2005-06-09,61.54,73.33,Sobrecomprado
2005-06-10,71.43,76.19,Sobrecomprado
2005-06-13,90.00,76.74,Sobrecomprado
2005-06-14,90.91,78.72,Sobrecomprado
2005-06-15,100.00,79.38,Sobrecomprado
2005-06-16,71.43,70.64,Sobrecomprado
2005-06-17,70.00,56.16,Neutro
2005-06-20,50.00,53.95,Neutro
2005-06-21,47.92,57.83,Neutro
2005-06-22,42.00,60.00,Neutro
2005-06-23,30.23,56.58,Neutro
2005-06-24,22.73,55.84,Neutro
2005-06-27,33.33,54.67,Neutro
2005-06-28,25.81,50.70,Neutro
2005-06-29,50.00,50.00,Neutro
2005-06-30,28.57,43.55,Neutro
2005-07-01,26.67,38.46,Neutro
2005-07-05,41.18,33.33,Neutro
2005-07-06,50.00,29.31,Sobrevendido
2005-07-07,33.33,33.33,Neutro
2005-07-08,71.79,51.43,Neutro
2005-07-11,71.79,64.41,Neutro
2005-07-12,69.23,58.49,Neutro
2005-07-13,86.00,72.31,Sobrecomprado
2005-07-14,74.07,66.20,Neutro
2005-07-15,76.79,71.43,Sobrecomprado
2005-07-18,82.69,70.00,Neutro
2005-07-19,74.29,72.97,Sobrecomprado
2005-07-20,77.50,74.68,Sobrecomprado
2005-07-21,75.61,72.50,Sobrecomprado
2005-07-22,64.29,78.21,Sobrecomprado
2005-07-25,69.23,72.50,Sobrecomprado
2005-07-26,62.50,72.50,Sobrecomprado
2005-07-27,65.22,77.33,Sobrecomprado
2005-07-28,57.89,68.52,Neutro
2005-07-29,33.33,67.31,Neutro
2005-08-01,72.73,74.60,Sobrecomprado
2005-08-02,81.25,73.33,Sobrecomprado
2005-08-03,96.88,84.48,Sobrecomprado
2005-08-04,72.09,68.66,Neutro
2005-08-05,52.54,56.10,Neutro
2005-08-08,46.88,49.40,Neutro
2005-08-09,47.69,45.45,Neutro
2005-08-10,35.19,46.05,Neutro
2005-08-11,14.63,43.84,Neutro
2005-08-12,5.41,47.83,Neutro
2005-08-15,7.41,47.14,Neutro
2005-08-16,30.77,48.61,Neutro
2005-08-17,62.50,48.61,Neutro
2005-08-18,44.44,47.30,Neutro
2005-08-19,50.00,37.10,Neutro
2005-08-22,44.44,20.00,Sobrevendido
2005-08-23,54.55,16.67,Sobrevendido
2005-08-24,78.57,31.71,Neutro
2005-08-25,78.57,55.56,Neutro
2005-08-26,47.62,51.72,Neutro
2005-08-29,47.62,46.67,Neutro
2005-08-30,50.00,50.00,Neutro
2005-08-31,54.55,51.61,Neutro
2005-09-01,42.86,46.88,Neutro
2005-09-02,20.00,44.12,Neutro
2005-09-06,27.27,47.22,Neutro
2005-09-07,60.00,53.66,Neutro
2005-09-08,60.00,53.66,Neutro
2005-09-09,45.83,47.83,Neutro
2005-09-12,56.67,55.77,Neutro
2005-09-13,37.78,39.39,Neutro
2005-09-14,36.17,31.34,Neutro
2005-09-15,47.37,41.77,Neutro
2005-09-16,40.38,45.83,Neutro
2005-09-19,44.23,48.61,Neutro
2005-09-20,41.82,43.04,Neutro
2005-09-21,27.59,37.50,Neutro
2005-09-22,35.56,36.67,Neutro
2005-09-23,53.06,44.79,Neutro
2005-09-26,47.73,47.52,Neutro
2005-09-27,45.65,42.86,Neutro
2005-09-28,40.43,42.42,Neutro
2005-09-29,54.55,47.47,Neutro
2005-09-30,75.61,47.47,Neutro
2005-10-03,83.78,57.32,Neutro
2005-10-04,70.00,59.49,Neutro
2005-10-05,40.00,44.59,Neutro
2005-10-06,57.14,50.62,Neutro
2005-10-07,68.42,52.94,Neutro
2005-10-10,46.67,50.56,Neutro
2005-10-11,32.56,53.57,Neutro
2005-10-12,28.00,51.72,Neutro
2005-10-13,34.00,47.50,Neutro
2005-10-14,51.02,46.84,Neutro
2005-10-17,47.83,51.85,Neutro
2005-10-18,29.09,45.16,Neutro
2005-10-19,32.65,39.36,Neutro
2005-10-20,36.36,34.48,Neutro
2005-10-21,47.50,36.67,Neutro
2005-10-24,51.16,41.94,Neutro
2005-10-25,35.90,44.32,Neutro
2005-10-26,23.68,36.90,Neutro
2005-10-27,33.33,30.49,Neutro
2005-10-28,50.00,38.36,Neutro
2005-10-31,44.44,39.44,Neutro
2005-11-01,28.13,38.89,Neutro
2005-11-02,14.81,37.14,Neutro
2005-11-03,12.90,25.71,Sobrevendido
2005-11-04,32.35,27.78,Sobrevendido
2005-11-07,38.71,36.21,Neutro
2005-11-08,29.03,38.18,Neutro
2005-11-09,34.48,39.29,Neutro
2005-11-10,76.60,56.96,Neutro
2005-11-11,67.31,49.37,Neutro
2005-11-14,67.31,46.99,Neutro
2005-11-15,51.85,44.32,Neutro
2005-11-16,55.93,50.00,Neutro
2005-11-17,66.67,55.00,Neutro
2005-11-18,61.64,53.92,Neutro
2005-11-21,46.15,60.61,Neutro
2005-11-22,60.00,63.55,Neutro
2005-11-23,73.08,70.19,Sobrecomprado
2005-11-25,88.64,68.37,Neutro
2005-11-28,67.35,61.11,Neutro
2005-11-29,61.90,64.86,Neutro
2005-11-30,80.36,69.77,Neutro
2005-12-01,78.43,62.14,Neutro
2005-12-02,73.81,65.98,Neutro
2005-12-05,59.09,66.67,Neutro
2005-12-06,49.02,67.37,Neutro
2005-12-07,53.19,60.42,Neutro
2005-12-08,52.17,56.82,Neutro
2005-12-09,29.03,62.07,Neutro
2005-12-12,22.50,53.85,Neutro
2005-12-13,35.42,53.33,Neutro
2005-12-14,39.53,49.43,Neutro
2005-12-15,44.74,47.19,Neutro
2005-12-16,48.57,51.22,Neutro
2005-12-19,47.06,50.00,Neutro
2005-12-20,35.29,32.31,Neutro
2005-12-21,69.05,46.34,Neutro
2005-12-22,67.50,50.00,Neutro
2005-12-23,62.79,51.16,Neutro
2005-12-27,68.29,56.96,Neutro
2005-12-28,78.05,64.47,Neutro
2005-12-29,79.55,65.38,Neutro
2005-12-30,87.50,63.51,Neutro
2006-01-03,79.17,72.73,Sobrecomprado
2006-01-04,72.22,68.97,Neutro
2006-01-05,68.42,64.52,Neutro
2006-01-06,76.00,71.21,Sobrecomprado
2006-01-09,65.22,73.44,Sobrecomprado
2006-01-10,70.37,76.06,Sobrecomprado
2006-01-11,74.19,81.69,Sobrecomprado
2006-01-12,64.71,70.69,Sobrecomprado
2006-01-13,61.11,64.81,Neutro
2006-01-17,75.00,72.55,Sobrecomprado
2006-01-18,77.78,77.05,Sobrecomprado
