Date,RSI_7,RSI_14,RSI_Sinal
2016-08-25,,,Neutro
2016-08-26,,,Neutro
2016-08-29,0.00,0.00,Sobrevendido
2016-08-30,0.00,0.00,Sobrevendido
2016-08-31,0.00,0.00,Sobrevendido
2016-09-01,48.53,48.53,Neutro
2016-09-02,65.69,65.69,Neutro
2016-09-06,65.69,65.69,Neutro
2016-09-07,65.69,65.69,Neutro
2016-09-08,82.72,65.69,Neutro
2016-09-09,54.92,46.85,Neutro
2016-09-12,43.23,35.26,Neutro
2016-09-13,25.19,33.00,Neutro
2016-09-14,0.00,33.00,Neutro
2016-09-15,0.00,33.00,Neutro
2016-09-16,0.00,33.00,Neutro
2016-09-19,0.00,36.81,Neutro
2016-09-20,31.82,45.24,Neutro
2016-09-21,68.29,48.47,Neutro
2016-09-22,100.00,38.04,Neutro
2016-09-23,100.00,51.67,Neutro
2016-09-26,68.35,41.70,Neutro
2016-09-27,63.16,39.71,Neutro
2016-09-28,73.08,51.04,Neutro
2016-09-29,56.30,50.00,Neutro
2016-09-30,61.32,62.20,Neutro
2016-10-03,55.70,59.30,Neutro
2016-10-04,40.68,59.30,Neutro
2016-10-05,51.61,59.30,Neutro
2016-10-06,55.49,59.30,Neutro
2016-10-07,30.00,59.30,Neutro
2016-10-10,53.23,55.70,Neutro
2016-10-11,0.00,55.70,Neutro
2016-10-12,0.00,43.89,Neutro
2016-10-13,0.00,28.92,Sobrevendido
2016-10-14,4.00,34.97,Neutro
2016-10-17,3.67,35.46,Neutro
2016-10-18,3.67,16.89,Sobrevendido
2016-10-19,3.67,21.64,Sobrevendido
2016-10-20,34.38,29.10,Sobrevendido
2016-10-21,67.07,32.93,Neutro
2016-10-24,71.43,31.79,Neutro
2016-10-25,65.38,30.90,Neutro
2016-10-26,63.75,29.10,Sobrevendido
2016-10-27,60.71,28.50,Sobrevendido
2016-10-28,55.43,27.36,Sobrevendido
2016-10-31,12.77,29.47,Sobrevendido
2016-11-01,19.05,50.81,Neutro
2016-11-02,22.22,55.75,Neutro
2016-11-03,9.76,36.88,Neutro
2016-11-04,7.55,31.72,Neutro
2016-11-07,35.17,44.54,Neutro
2016-11-08,41.89,47.08,Neutro
2016-11-09,41.89,34.87,Neutro
2016-11-10,41.10,36.17,Neutro
2016-11-11,32.43,30.77,Neutro
2016-11-14,38.71,28.69,Sobrevendido
2016-11-15,55.88,34.71,Neutro
2016-11-16,26.40,31.11,Neutro
2016-11-17,31.85,37.10,Neutro
2016-11-18,21.51,30.94,Neutro
2016-11-21,30.05,34.81,Neutro
2016-11-22,44.51,38.27,Neutro
2016-11-23,50.66,44.63,Neutro
2016-11-25,44.85,50.37,Neutro
2016-11-28,51.69,38.68,Neutro
2016-11-29,54.40,42.69,Neutro
2016-11-30,82.93,41.34,Neutro
2016-12-01,50.54,36.71,Neutro
2016-12-02,37.84,42.51,Neutro
2016-12-05,37.84,46.46,Neutro
2016-12-06,37.84,42.38,Neutro
2016-12-07,84.08,72.10,Sobrecomprado
2016-12-08,81.61,70.23,Sobrecomprado
2016-12-09,82.80,82.84,Sobrecomprado
2016-12-12,93.33,77.91,Sobrecomprado
2016-12-13,94.81,80.07,Sobrecomprado
2016-12-14,74.72,66.76,Neutro
2016-12-15,68.14,62.06,Neutro
2016-12-16,38.96,64.51,Neutro
2016-12-19,38.56,61.47,Neutro
2016-12-20,33.33,61.47,Neutro
2016-12-21,41.55,69.38,Neutro
2016-12-22,11.88,68.05,Neutro
2016-12-23,37.25,68.75,Neutro
2016-12-27,76.92,68.85,Neutro
2016-12-28,44.44,40.20,Neutro
2016-12-29,56.90,43.60,Neutro
2016-12-30,66.67,44.91,Neutro
2017-01-03,66.22,50.00,Neutro
2017-01-04,83.19,49.53,Neutro
2017-01-05,87.97,75.60,Sobrecomprado
2017-01-06,79.31,79.00,Sobrecomprado
2017-01-09,82.63,74.53,Sobrecomprado
2017-01-10,81.76,75.12,Sobrecomprado
2017-01-11,81.76,76.92,Sobrecomprado
2017-01-12,81.76,76.82,Sobrecomprado
2017-01-13,77.34,80.08,Sobrecomprado
2017-01-17,52.81,75.30,Sobrecomprado
2017-01-18,63.51,74.60,Sobrecomprado
2017-01-19,54.65,73.12,Sobrecomprado
2017-01-20,62.50,74.14,Sobrecomprado
2017-01-23,60.61,73.64,Sobrecomprado
2017-01-24,55.68,72.47,Sobrecomprado
2017-01-25,69.77,73.54,Sobrecomprado
2017-01-26,72.58,64.32,Neutro
2017-01-27,65.69,64.93,Neutro
2017-01-30,63.38,60.09,Neutro
2017-01-31,55.83,58.93,Neutro
2017-02-01,50.93,55.56,Neutro
2017-02-02,61.31,59.11,Neutro
2017-02-03,45.92,59.47,Neutro
2017-02-06,34.88,53.36,Neutro
2017-02-07,42.98,55.04,Neutro
2017-02-08,63.96,63.64,Neutro
2017-02-09,67.23,61.51,Neutro
2017-02-10,70.68,61.83,Neutro
2017-02-13,68.80,64.89,Neutro
2017-02-14,58.33,52.75,Neutro
2017-02-15,88.54,57.78,Neutro
2017-02-16,89.11,63.96,Neutro
2017-02-17,78.89,70.65,Sobrecomprado
2017-02-21,80.21,73.02,Sobrecomprado
2017-02-22,75.00,72.35,Sobrecomprado
2017-02-23,71.62,69.85,Neutro
2017-02-24,51.96,55.41,Neutro
2017-02-27,45.56,67.74,Neutro
2017-02-28,43.02,67.91,Neutro
2017-03-01,60.58,69.07,Neutro
2017-03-02,47.52,63.45,Neutro
2017-03-03,56.41,64.18,Neutro
2017-03-06,44.72,54.82,Neutro
2017-03-07,59.78,55.67,Neutro
2017-03-08,50.49,48.19,Neutro
2017-03-09,54.46,49.49,Neutro
2017-03-10,58.20,59.29,Neutro
2017-03-13,69.29,59.65,Neutro
2017-03-14,48.61,52.11,Neutro
2017-03-15,70.00,60.06,Neutro
2017-03-16,76.21,71.14,Sobrecomprado
2017-03-17,83.25,72.44,Sobrecomprado
2017-03-20,78.50,69.87,Neutro
2017-03-21,67.98,64.00,Neutro
2017-03-22,62.28,65.31,Neutro
2017-03-23,79.56,63.70,Neutro
2017-03-24,69.89,69.96,Neutro
2017-03-27,64.10,72.89,Sobrecomprado
2017-03-28,64.56,78.12,Sobrecomprado
2017-03-29,56.67,71.72,Sobrecomprado
2017-03-30,68.75,68.22,Neutro
2017-03-31,69.62,64.63,Neutro
2017-04-03,54.35,69.43,Neutro
2017-04-04,49.40,60.23,Neutro
2017-04-05,32.65,46.59,Neutro
2017-04-06,16.09,39.16,Neutro
2017-04-07,20.59,41.14,Neutro
2017-04-10,15.38,44.83,Neutro
2017-04-11,35.90,52.87,Neutro
2017-04-12,56.16,55.15,Neutro
2017-04-13,29.52,38.30,Neutro
2017-04-17,50.98,42.00,Neutro
2017-04-18,47.27,33.50,Neutro
2017-04-19,42.28,34.55,Neutro
2017-04-20,55.70,43.95,Neutro
2017-04-21,49.65,44.75,Neutro
2017-04-24,70.78,67.41,Neutro
2017-04-25,88.02,70.32,Sobrecomprado
2017-04-26,84.58,74.16,Sobrecomprado
2017-04-27,90.65,75.93,Sobrecomprado
2017-04-28,93.27,74.32,Sobrecomprado
2017-05-01,92.71,76.00,Sobrecomprado
2017-05-02,93.69,75.79,Sobrecomprado
2017-05-03,81.25,73.75,Sobrecomprado
2017-05-04,80.85,86.01,Sobrecomprado
2017-05-05,91.30,87.12,Sobrecomprado
2017-05-08,73.37,83.03,Sobrecomprado
2017-05-09,69.27,82.17,Sobrecomprado
2017-05-10,66.26,80.56,Sobrecomprado
2017-05-11,57.41,77.72,Sobrecomprado
2017-05-12,64.64,70.40,Sobrecomprado
2017-05-15,60.00,67.72,Neutro
2017-05-16,56.76,73.43,Sobrecomprado
2017-05-17,53.50,63.80,Neutro
2017-05-18,62.91,66.36,Neutro
2017-05-19,69.40,67.92,Neutro
2017-05-22,77.66,68.29,Neutro
2017-05-23,70.93,67.71,Neutro
2017-05-24,68.35,64.15,Neutro
2017-05-25,58.68,57.62,Neutro
2017-05-26,71.00,60.31,Neutro
2017-05-30,65.93,64.05,Neutro
2017-05-31,55.71,65.61,Neutro
2017-06-01,59.74,72.45,Sobrecomprado
2017-06-02,81.75,75.50,Sobrecomprado
2017-06-05,63.06,65.71,Neutro
2017-06-06,57.99,58.28,Neutro
2017-06-07,66.67,68.40,Neutro
2017-06-08,64.10,64.78,Neutro
2017-06-09,50.60,52.10,Neutro
2017-06-12,38.56,45.65,Neutro
2017-06-13,34.27,56.51,Neutro
2017-06-14,47.79,56.67,Neutro
2017-06-15,33.96,46.34,Neutro
2017-06-16,47.50,55.71,Neutro
2017-06-19,54.03,58.31,Neutro
2017-06-20,51.12,50.90,Neutro
2017-06-21,50.67,45.77,Neutro
2017-06-22,39.67,37.31,Neutro
2017-06-23,35.05,39.74,Neutro
2017-06-26,58.39,46.25,Neutro
2017-06-27,41.80,45.34,Neutro
2017-06-28,50.69,52.68,Neutro
2017-06-29,49.66,50.54,Neutro
2017-06-30,54.81,52.22,Neutro
2017-07-03,50.75,44.34,Neutro
2017-07-05,57.14,43.45,Neutro
2017-07-06,34.71,48.23,Neutro
2017-07-07,40.00,40.89,Neutro
2017-07-10,21.88,39.17,Neutro
2017-07-11,51.47,50.23,Neutro
2017-07-12,70.27,61.79,Neutro
2017-07-13,76.27,62.70,Neutro
2017-07-14,81.46,70.74,Sobrecomprado
2017-07-17,90.44,64.20,Neutro
2017-07-18,90.58,66.54,Neutro
