Date,RSI_7,RSI_14,RSI_Sinal
2021-02-09,,,Neutro
2021-02-10,100.00,100.00,Sobrecomprado
2021-02-11,61.47,61.47,Neutro
2021-02-12,34.36,34.36,Neutro
2021-02-16,31.90,31.90,Neutro
2021-02-17,24.01,24.01,Sobrevendido
2021-02-18,22.48,22.48,Sobrevendido
2021-02-19,26.67,26.67,Sobrevendido
2021-02-22,6.51,25.61,Sobrevendido
2021-02-23,7.08,24.07,Sobrevendido
2021-02-24,28.65,31.52,Neutro
2021-02-25,45.05,38.66,Neutro
2021-02-26,46.51,33.81,Neutro
2021-03-01,58.80,38.42,Neutro
2021-03-02,66.90,45.95,Neutro
2021-03-03,64.88,37.68,Neutro
2021-03-04,57.23,36.44,Neutro
2021-03-05,47.13,40.34,Neutro
2021-03-08,50.28,48.26,Neutro
2021-03-09,52.37,50.09,Neutro
2021-03-10,46.20,51.68,Neutro
2021-03-11,30.34,50.57,Neutro
2021-03-12,33.18,51.66,Neutro
2021-03-15,64.66,60.25,Neutro
2021-03-16,73.53,57.20,Neutro
2021-03-17,66.67,55.45,Neutro
2021-03-18,80.00,60.25,Neutro
2021-03-19,67.50,53.56,Neutro
2021-03-22,72.92,49.53,Neutro
2021-03-23,63.06,48.39,Neutro
2021-03-24,28.50,47.31,Neutro
2021-03-25,33.48,52.44,Neutro
2021-03-26,28.10,44.89,Neutro
2021-03-29,31.94,51.84,Neutro
2021-03-30,32.45,48.56,Neutro
2021-03-31,21.12,49.29,Neutro
2021-04-01,27.48,49.86,Neutro
2021-04-05,54.55,34.64,Neutro
2021-04-06,28.77,32.33,Neutro
2021-04-07,17.07,25.00,Sobrevendido
2021-04-08,39.29,34.65,Neutro
2021-04-09,41.51,35.71,Neutro
2021-04-12,29.57,24.64,Sobrevendido
2021-04-13,23.19,25.28,Sobrevendido
2021-04-14,20.78,30.91,Neutro
2021-04-15,18.50,21.54,Sobrevendido
2021-04-16,24.70,22.18,Sobrevendido
2021-04-19,26.90,31.80,Neutro
2021-04-20,26.44,32.14,Neutro
2021-04-21,36.26,33.57,Neutro
2021-04-22,42.18,32.98,Neutro
2021-04-23,47.69,33.10,Neutro
2021-04-26,73.53,38.91,Neutro
2021-04-27,74.53,44.12,Neutro
2021-04-28,59.15,36.36,Neutro
2021-04-29,57.53,35.63,Neutro
2021-04-30,44.07,38.26,Neutro
2021-05-03,41.94,42.11,Neutro
2021-05-04,55.71,50.50,Neutro
2021-05-05,36.62,58.38,Neutro
2021-05-06,16.05,49.20,Neutro
2021-05-07,18.52,37.50,Neutro
2021-05-10,32.81,45.99,Neutro
2021-05-11,28.00,35.07,Neutro
2021-05-12,26.92,33.57,Neutro
2021-05-13,49.56,51.91,Neutro
2021-05-14,61.26,51.65,Neutro
2021-05-17,80.39,51.91,Neutro
2021-05-18,81.82,54.97,Neutro
2021-05-19,57.53,50.00,Neutro
2021-05-20,69.94,56.72,Neutro
2021-05-21,73.08,57.69,Neutro
2021-05-24,51.97,50.83,Neutro
2021-05-25,40.30,49.80,Neutro
2021-05-26,41.18,57.98,Neutro
2021-05-27,51.22,63.50,Neutro
2021-05-28,69.35,62.96,Neutro
2021-06-01,64.49,67.78,Neutro
2021-06-02,62.73,68.80,Neutro
2021-06-03,70.41,60.00,Neutro
2021-06-04,88.64,59.46,Neutro
2021-06-07,88.24,59.28,Neutro
2021-06-08,80.77,58.33,Neutro
2021-06-09,56.34,64.62,Neutro
2021-06-10,39.71,54.86,Neutro
2021-06-11,41.54,54.86,Neutro
2021-06-14,45.76,61.15,Neutro
2021-06-15,27.69,62.75,Neutro
2021-06-16,8.77,56.34,Neutro
2021-06-17,27.78,50.00,Neutro
2021-06-18,36.36,47.62,Neutro
2021-06-21,47.92,43.10,Neutro
2021-06-22,53.70,47.06,Neutro
2021-06-23,35.37,39.72,Neutro
2021-06-24,53.09,41.78,Neutro
2021-06-25,56.58,36.09,Neutro
2021-06-28,43.10,34.62,Neutro
2021-06-29,43.10,39.82,Neutro
2021-06-30,30.14,37.19,Neutro
2021-07-01,35.44,42.86,Neutro
2021-07-02,41.18,38.00,Neutro
2021-07-06,35.48,45.45,Neutro
2021-07-07,38.46,48.23,Neutro
2021-07-08,28.75,34.78,Neutro
2021-07-09,28.40,34.53,Neutro
2021-07-12,35.94,32.85,Neutro
2021-07-13,20.75,29.55,Sobrevendido
2021-07-14,20.37,31.97,Neutro
2021-07-15,30.65,33.06,Neutro
2021-07-16,25.40,32.03,Neutro
2021-07-19,31.37,29.77,Sobrevendido
2021-07-20,42.31,33.83,Neutro
2021-07-21,42.31,38.79,Neutro
2021-07-22,40.74,30.84,Neutro
2021-07-23,56.41,35.48,Neutro
2021-07-26,46.71,36.10,Neutro
2021-07-27,41.62,31.28,Neutro
2021-07-28,41.62,35.60,Neutro
2021-07-29,52.28,46.87,Neutro
2021-07-30,48.93,45.45,Neutro
2021-08-02,44.21,42.44,Neutro
2021-08-03,48.98,52.28,Neutro
2021-08-04,37.59,41.64,Neutro
2021-08-05,46.87,44.10,Neutro
2021-08-06,42.86,42.23,Neutro
2021-08-09,9.09,37.84,Neutro
2021-08-10,33.33,43.64,Neutro
2021-08-11,34.78,41.31,Neutro
2021-08-12,46.43,48.05,Neutro
2021-08-13,27.08,31.85,Neutro
2021-08-16,35.19,39.53,Neutro
2021-08-17,32.20,36.17,Neutro
2021-08-18,26.47,22.22,Sobrevendido
2021-08-19,13.64,17.86,Sobrevendido
2021-08-20,27.37,28.81,Sobrevendido
2021-08-23,41.53,42.47,Neutro
2021-08-24,47.12,40.79,Neutro
2021-08-25,47.62,43.40,Neutro
2021-08-26,48.54,42.59,Neutro
2021-08-27,58.65,45.93,Neutro
2021-08-30,67.03,40.78,Neutro
2021-08-31,58.75,41.71,Neutro
2021-09-01,31.03,38.07,Neutro
2021-09-02,41.38,45.06,Neutro
2021-09-03,38.18,44.38,Neutro
2021-09-07,61.02,53.09,Neutro
2021-09-08,39.68,51.50,Neutro
2021-09-09,50.98,61.27,Neutro
2021-09-10,50.49,55.51,Neutro
2021-09-13,55.32,41.90,Neutro
2021-09-14,57.14,48.60,Neutro
2021-09-15,44.44,41.28,Neutro
2021-09-16,18.00,41.28,Neutro
2021-09-17,33.33,37.25,Neutro
2021-09-20,23.53,37.25,Neutro
2021-09-21,40.34,45.05,Neutro
2021-09-22,35.82,43.86,Neutro
2021-09-23,26.23,40.00,Neutro
2021-09-24,37.93,41.07,Neutro
2021-09-27,37.93,28.70,Sobrevendido
2021-09-28,29.51,31.00,Neutro
2021-09-29,33.96,28.85,Sobrevendido
2021-09-30,41.57,40.95,Neutro
2021-10-01,50.00,41.88,Neutro
2021-10-04,54.00,38.74,Neutro
2021-10-05,54.90,45.87,Neutro
2021-10-06,63.49,48.97,Neutro
2021-10-07,68.29,45.10,Neutro
2021-10-08,80.49,54.26,Neutro
2021-10-11,23.86,32.77,Neutro
2021-10-12,34.78,41.18,Neutro
2021-10-13,32.84,41.88,Neutro
2021-10-14,24.59,38.39,Neutro
2021-10-15,24.23,40.57,Neutro
2021-10-18,41.10,50.88,Neutro
2021-10-19,33.83,50.48,Neutro
2021-10-20,70.10,42.47,Neutro
2021-10-21,56.29,41.57,Neutro
2021-10-22,44.97,37.36,Neutro
2021-10-25,44.97,32.64,Neutro
2021-10-26,75.44,51.19,Neutro
2021-10-27,54.42,47.51,Neutro
2021-10-28,51.32,42.46,Neutro
2021-10-29,45.33,53.92,Neutro
2021-11-01,53.01,53.92,Neutro
2021-11-02,55.70,52.10,Neutro
2021-11-03,56.96,52.95,Neutro
2021-11-04,22.00,52.95,Neutro
2021-11-05,32.43,46.66,Neutro
2021-11-08,51.61,51.41,Neutro
2021-11-09,55.17,48.08,Neutro
2021-11-10,27.27,47.62,Neutro
2021-11-11,27.27,49.50,Neutro
2021-11-12,19.23,47.62,Neutro
2021-11-15,21.74,21.92,Sobrevendido
2021-11-16,14.29,24.62,Sobrevendido
2021-11-17,0.00,29.09,Sobrevendido
2021-11-18,0.00,24.62,Sobrevendido
2021-11-19,0.00,10.34,Sobrevendido
2021-11-22,20.00,22.58,Sobrevendido
2021-11-23,59.09,47.83,Neutro
2021-11-24,69.14,58.65,Neutro
2021-11-26,57.14,47.62,Neutro
2021-11-29,50.45,41.48,Neutro
2021-11-30,52.34,39.16,Neutro
2021-12-01,50.00,37.84,Neutro
2021-12-02,42.86,36.84,Neutro
2021-12-03,28.89,41.67,Neutro
2021-12-06,10.71,39.39,Neutro
2021-12-07,20.00,42.33,Neutro
2021-12-08,29.09,43.37,Neutro
2021-12-09,47.06,50.63,Neutro
2021-12-10,55.81,51.61,Neutro
2021-12-13,86.59,61.34,Neutro
2021-12-14,89.11,60.73,Neutro
2021-12-15,89.11,53.51,Neutro
2021-12-16,91.06,66.49,Neutro
2021-12-17,83.85,67.57,Neutro
2021-12-20,84.89,74.74,Sobrecomprado
2021-12-21,94.46,90.52,Sobrecomprado
2021-12-22,79.13,80.42,Sobrecomprado
2021-12-23,67.87,72.01,Sobrecomprado
2021-12-27,75.64,77.89,Sobrecomprado
2021-12-28,77.64,80.09,Sobrecomprado
2021-12-29,79.93,80.66,Sobrecomprado
2021-12-30,80.45,81.31,Sobrecomprado
2021-12-31,64.10,79.86,Sobrecomprado
2022-01-03,83.91,81.56,Sobrecomprado
2022-01-04,97.53,84.41,Sobrecomprado
2022-01-05,88.27,81.72,Sobrecomprado
2022-01-06,55.95,66.21,Neutro
2022-01-07,48.85,63.22,Neutro
2022-01-10,58.07,67.47,Neutro
2022-01-11,60.05,61.28,Neutro
2022-01-12,53.67,64.79,Neutro
2022-01-13,37.06,66.98,Neutro
2022-01-14,50.50,67.10,Neutro
2022-01-18,58.53,57.13,Neutro
2022-01-19,69.47,57.66,Neutro
2022-01-20,40.55,52.21,Neutro
2022-01-21,33.97,51.10,Neutro
2022-01-24,28.28,43.11,Neutro
2022-01-25,28.93,33.20,Neutro
2022-01-26,8.28,32.44,Neutro
2022-01-27,11.56,40.55,Neutro
2022-01-28,0.00,43.02,Neutro
2022-01-31,14.98,30.82,Neutro
2022-02-01,15.74,27.44,Sobrevendido
2022-02-02,27.98,28.21,Sobrevendido
2022-02-03,28.66,28.86,Sobrevendido
2022-02-04,28.31,13.70,Sobrevendido
2022-02-07,21.36,15.56,Sobrevendido
2022-02-08,22.49,9.23,Sobrevendido
2022-02-09,33.33,24.08,Sobrevendido
2022-02-10,49.63,33.80,Neutro
2022-02-11,59.70,49.11,Neutro
2022-02-14,65.28,54.36,Neutro
2022-02-15,81.03,64.01,Neutro
2022-02-16,98.03,65.84,Neutro
2022-02-17,82.55,60.53,Neutro
2022-02-18,72.29,55.30,Neutro
2022-02-22,58.72,54.42,Neutro
2022-02-23,44.14,53.50,Neutro
2022-02-24,39.81,56.42,Neutro
2022-02-25,32.97,64.35,Neutro
2022-02-28,43.64,75.19,Sobrecomprado
2022-03-01,63.91,76.60,Sobrecomprado
2022-03-02,79.33,74.85,Sobrecomprado
2022-03-03,77.17,65.77,Neutro
2022-03-04,63.96,54.05,Neutro
2022-03-07,38.27,38.92,Neutro
2022-03-08,37.36,35.59,Neutro
2022-03-09,32.14,37.50,Neutro
2022-03-10,43.00,50.53,Neutro
2022-03-11,29.14,46.93,Neutro
2022-03-14,28.61,45.93,Neutro
2022-03-15,39.08,49.18,Neutro
2022-03-16,51.21,44.38,Neutro
2022-03-17,60.71,49.74,Neutro
2022-03-18,52.51,43.19,Neutro
2022-03-21,38.96,41.17,Neutro
2022-03-22,50.52,37.07,Neutro
2022-03-23,55.11,37.80,Neutro
2022-03-24,41.40,39.83,Neutro
2022-03-25,33.68,43.54,Neutro
2022-03-28,0.00,41.83,Neutro
2022-03-29,4.07,38.39,Neutro
2022-03-30,3.45,25.89,Sobrevendido
2022-03-31,3.42,30.18,Neutro
2022-04-01,3.57,32.28,Neutro
2022-04-04,5.43,25.17,Sobrevendido
2022-04-05,8.54,26.18,Sobrevendido
2022-04-06,9.86,3.33,Sobrevendido
2022-04-07,1.82,3.00,Sobrevendido
2022-04-08,2.15,2.94,Sobrevendido
2022-04-11,26.27,13.64,Sobrevendido
2022-04-12,22.14,12.86,Sobrevendido
2022-04-13,25.34,16.00,Sobrevendido
2022-04-14,26.39,19.91,Sobrevendido
2022-04-18,22.89,18.99,Sobrevendido
2022-04-19,30.65,17.09,Sobrevendido
2022-04-20,40.83,23.94,Sobrevendido
2022-04-21,18.18,22.37,Sobrevendido
2022-04-22,31.75,25.12,Sobrevendido
2022-04-25,34.85,28.30,Sobrevendido
2022-04-26,26.19,26.32,Sobrevendido
2022-04-27,44.44,29.41,Sobrevendido
2022-04-28,34.78,32.41,Neutro
2022-04-29,24.14,33.82,Neutro
2022-05-02,23.08,20.40,Sobrevendido
2022-05-03,26.32,28.48,Sobrevendido
2022-05-04,26.32,29.81,Sobrevendido
2022-05-05,28.41,27.33,Sobrevendido
2022-05-06,18.52,30.72,Neutro
2022-05-09,23.44,30.13,Neutro
2022-05-10,18.75,21.56,Sobrevendido
2022-05-11,23.08,23.08,Sobrevendido
2022-05-12,19.35,23.57,Sobrevendido
