Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,67.90,67.90,Neutro
2016-01-07,47.75,47.75,Neutro
2016-01-08,45.31,45.31,Neutro
2016-01-11,44.55,44.55,Neutro
2016-01-12,43.81,43.81,Neutro
2016-01-13,33.25,33.25,Neutro
2016-01-14,3.70,34.92,Neutro
2016-01-15,4.55,33.97,Neutro
2016-01-19,9.85,34.63,Neutro
2016-01-20,10.53,34.18,Neutro
2016-01-21,34.94,40.91,Neutro
2016-01-22,55.93,49.38,Neutro
2016-01-25,65.86,44.78,Neutro
2016-01-26,74.27,39.78,Neutro
2016-01-27,66.77,41.14,Neutro
2016-01-28,66.95,49.10,Neutro
2016-01-29,73.82,57.23,Neutro
2016-02-01,71.04,58.71,Neutro
2016-02-02,48.88,51.89,Neutro
2016-02-03,59.90,62.43,Neutro
2016-02-04,48.93,62.97,Neutro
2016-02-05,47.06,58.31,Neutro
2016-02-08,41.78,55.78,Neutro
2016-02-09,38.95,60.27,Neutro
2016-02-10,29.41,52.32,Neutro
2016-02-11,29.28,39.97,Neutro
2016-02-12,26.13,43.27,Neutro
2016-02-16,33.88,40.20,Neutro
2016-02-17,42.83,44.80,Neutro
2016-02-18,46.91,44.34,Neutro
2016-02-19,28.91,34.21,Neutro
2016-02-22,48.91,37.55,Neutro
2016-02-23,52.83,38.65,Neutro
2016-02-24,78.39,55.60,Neutro
2016-02-25,79.41,58.86,Neutro
2016-02-26,69.69,59.13,Neutro
2016-02-29,72.19,63.21,Neutro
2016-03-01,65.02,54.28,Neutro
2016-03-02,62.60,58.53,Neutro
2016-03-03,72.47,66.55,Neutro
2016-03-04,50.34,67.03,Neutro
2016-03-07,30.04,63.14,Neutro
2016-03-08,28.88,56.74,Neutro
2016-03-09,28.87,59.25,Neutro
2016-03-10,51.95,62.13,Neutro
2016-03-11,58.60,61.56,Neutro
2016-03-14,58.60,68.59,Neutro
2016-03-15,59.29,53.93,Neutro
2016-03-16,68.65,49.38,Neutro
2016-03-17,98.32,60.16,Neutro
2016-03-18,84.59,52.08,Neutro
2016-03-21,66.18,59.20,Neutro
2016-03-22,59.45,58.97,Neutro
2016-03-23,32.55,44.89,Neutro
2016-03-24,35.01,46.35,Neutro
2016-03-28,21.93,47.26,Neutro
2016-03-29,18.82,59.47,Neutro
2016-03-30,20.24,52.08,Neutro
2016-03-31,23.00,46.54,Neutro
2016-04-01,18.62,37.32,Neutro
2016-04-04,34.77,33.21,Neutro
2016-04-05,11.48,23.17,Sobrevendido
2016-04-06,15.27,18.24,Sobrevendido
2016-04-07,3.90,10.14,Sobrevendido
2016-04-08,3.77,10.24,Sobrevendido
2016-04-11,3.70,10.61,Sobrevendido
2016-04-12,8.39,12.63,Sobrevendido
2016-04-13,21.04,24.50,Sobrevendido
2016-04-14,33.50,21.08,Sobrevendido
2016-04-15,25.80,19.97,Sobrevendido
2016-04-18,42.27,19.26,Sobrevendido
2016-04-19,48.97,20.60,Sobrevendido
2016-04-20,64.97,27.60,Sobrevendido
2016-04-21,63.99,30.63,Neutro
2016-04-22,48.86,30.29,Neutro
2016-04-25,49.68,40.59,Neutro
2016-04-26,67.37,43.27,Neutro
2016-04-27,67.51,53.64,Neutro
2016-04-28,31.81,37.94,Neutro
2016-04-29,19.38,36.69,Neutro
2016-05-02,15.81,32.94,Neutro
2016-05-03,13.70,23.78,Sobrevendido
2016-05-04,13.79,24.01,Sobrevendido
2016-05-05,8.65,26.11,Sobrevendido
2016-05-06,1.70,22.14,Sobrevendido
2016-05-09,2.65,19.76,Sobrevendido
2016-05-10,13.56,17.08,Sobrevendido
2016-05-11,14.63,15.39,Sobrevendido
2016-05-12,15.57,14.29,Sobrevendido
2016-05-13,17.28,14.81,Sobrevendido
2016-05-16,22.48,13.05,Sobrevendido
2016-05-17,20.88,8.37,Sobrevendido
2016-05-18,29.68,13.65,Sobrevendido
2016-05-19,12.68,13.14,Sobrevendido
2016-05-20,27.33,21.08,Sobrevendido
2016-05-23,49.53,32.41,Neutro
2016-05-24,65.18,44.10,Neutro
2016-05-25,62.74,43.69,Neutro
2016-05-26,59.97,41.21,Neutro
2016-05-27,59.77,46.74,Neutro
2016-05-31,77.12,42.15,Neutro
2016-06-01,74.35,46.72,Neutro
2016-06-02,61.70,54.27,Neutro
2016-06-03,26.64,53.90,Neutro
2016-06-06,43.95,55.84,Neutro
2016-06-07,63.85,61.23,Neutro
2016-06-08,66.25,61.99,Neutro
2016-06-09,61.76,70.69,Sobrecomprado
2016-06-10,34.15,52.68,Neutro
2016-06-13,31.05,42.92,Neutro
2016-06-14,36.18,32.89,Neutro
2016-06-15,27.48,34.72,Neutro
2016-06-16,23.79,40.54,Neutro
2016-06-17,18.86,40.20,Neutro
2016-06-20,36.52,47.83,Neutro
2016-06-21,57.52,42.35,Neutro
2016-06-22,68.61,42.02,Neutro
2016-06-23,67.59,45.76,Neutro
2016-06-24,25.67,26.56,Sobrevendido
2016-06-27,15.79,19.02,Sobrevendido
2016-06-28,36.71,30.94,Neutro
2016-06-29,43.17,41.06,Neutro
2016-06-30,47.61,49.87,Neutro
2016-07-01,49.25,53.20,Neutro
2016-07-05,45.32,49.48,Neutro
2016-07-06,69.13,53.69,Neutro
2016-07-07,50.49,38.23,Neutro
2016-07-08,46.24,42.04,Neutro
2016-07-11,41.51,42.32,Neutro
2016-07-12,42.18,44.82,Neutro
2016-07-13,38.89,43.64,Neutro
2016-07-14,48.04,46.77,Neutro
2016-07-15,42.83,54.78,Neutro
2016-07-18,84.78,61.40,Neutro
2016-07-19,75.85,54.76,Neutro
2016-07-20,74.62,51.27,Neutro
2016-07-21,68.93,49.43,Neutro
2016-07-22,82.43,48.61,Neutro
2016-07-25,66.49,50.87,Neutro
2016-07-26,69.77,47.69,Neutro
2016-07-27,65.31,79.44,Sobrecomprado
2016-07-28,40.38,60.47,Neutro
2016-07-29,20.14,51.38,Neutro
2016-08-01,36.54,52.76,Neutro
2016-08-02,45.14,61.71,Neutro
2016-08-03,62.38,63.52,Neutro
2016-08-04,25.65,33.47,Neutro
2016-08-05,28.53,34.39,Neutro
2016-08-08,32.00,34.14,Neutro
2016-08-09,27.01,25.56,Sobrevendido
2016-08-10,17.02,21.13,Sobrevendido
2016-08-11,16.83,23.03,Sobrevendido
2016-08-12,6.20,22.91,Sobrevendido
2016-08-15,10.77,19.58,Sobrevendido
2016-08-16,4.95,18.95,Sobrevendido
2016-08-17,4.59,19.60,Sobrevendido
2016-08-18,16.07,23.09,Sobrevendido
2016-08-19,37.28,21.14,Sobrevendido
2016-08-22,28.89,19.16,Sobrevendido
2016-08-23,28.80,10.93,Sobrevendido
2016-08-24,32.16,17.01,Sobrevendido
2016-08-25,36.11,13.14,Sobrevendido
2016-08-26,64.81,17.89,Sobrevendido
2016-08-29,52.20,23.54,Sobrevendido
2016-08-30,61.42,46.17,Neutro
2016-08-31,53.07,39.04,Neutro
2016-09-01,68.54,47.00,Neutro
2016-09-02,65.36,48.67,Neutro
2016-09-06,79.22,60.62,Neutro
2016-09-07,64.46,64.60,Neutro
2016-09-08,63.41,59.75,Neutro
2016-09-09,35.86,44.35,Neutro
2016-09-12,44.91,47.95,Neutro
2016-09-13,26.07,42.53,Neutro
2016-09-14,20.56,35.95,Neutro
2016-09-15,12.73,39.68,Neutro
2016-09-16,12.63,33.54,Neutro
2016-09-19,11.72,31.51,Neutro
2016-09-20,14.19,24.49,Sobrevendido
2016-09-21,8.54,26.10,Sobrevendido
2016-09-22,38.84,32.64,Neutro
2016-09-23,71.46,44.44,Neutro
2016-09-26,70.65,40.87,Neutro
2016-09-27,86.13,52.77,Neutro
2016-09-28,92.21,52.82,Neutro
2016-09-29,99.80,60.30,Neutro
2016-09-30,99.82,60.75,Neutro
2016-10-03,81.44,61.33,Neutro
2016-10-04,65.42,68.79,Neutro
2016-10-05,74.56,72.70,Sobrecomprado
2016-10-06,60.19,76.94,Sobrecomprado
2016-10-07,36.11,64.47,Neutro
2016-10-10,46.09,69.91,Neutro
2016-10-11,40.38,68.05,Neutro
2016-10-12,46.95,63.53,Neutro
2016-10-13,54.28,58.79,Neutro
2016-10-14,47.16,61.30,Neutro
2016-10-17,45.42,51.29,Neutro
2016-10-18,83.06,52.91,Neutro
2016-10-19,88.30,63.20,Neutro
2016-10-20,95.02,62.32,Neutro
2016-10-21,96.09,68.85,Neutro
2016-10-24,70.70,62.34,Neutro
2016-10-25,62.90,54.98,Neutro
2016-10-26,68.28,56.90,Neutro
2016-10-27,65.75,72.48,Sobrecomprado
2016-10-28,27.24,64.48,Neutro
2016-10-31,21.51,65.76,Neutro
2016-11-01,31.13,68.66,Neutro
2016-11-02,43.61,62.57,Neutro
2016-11-03,12.15,30.69,Neutro
2016-11-04,5.74,26.80,Sobrevendido
2016-11-07,16.76,31.51,Neutro
2016-11-08,16.97,19.08,Sobrevendido
2016-11-09,15.24,16.42,Sobrevendido
2016-11-10,10.98,15.30,Sobrevendido
2016-11-11,12.30,17.54,Sobrevendido
2016-11-14,38.56,23.61,Sobrevendido
2016-11-15,58.20,21.87,Sobrevendido
2016-11-16,36.26,21.39,Sobrevendido
2016-11-17,25.78,19.68,Sobrevendido
2016-11-18,23.09,17.66,Sobrevendido
2016-11-21,26.16,15.78,Sobrevendido
2016-11-22,28.42,17.62,Sobrevendido
2016-11-23,14.59,28.32,Sobrevendido
2016-11-25,25.88,40.31,Neutro
2016-11-28,34.48,35.16,Neutro
2016-11-29,37.92,31.98,Neutro
2016-11-30,66.18,39.89,Neutro
2016-12-01,61.05,39.75,Neutro
2016-12-02,57.73,39.06,Neutro
2016-12-05,74.48,46.32,Neutro
2016-12-06,65.33,44.36,Neutro
2016-12-07,71.53,53.42,Neutro
2016-12-08,82.07,60.02,Neutro
2016-12-09,82.07,75.62,Sobrecomprado
2016-12-12,85.60,75.59,Sobrecomprado
2016-12-13,84.22,74.03,Sobrecomprado
2016-12-14,52.41,65.00,Neutro
2016-12-15,57.53,61.89,Neutro
2016-12-16,66.24,69.16,Neutro
2016-12-19,70.62,76.73,Sobrecomprado
2016-12-20,60.26,71.73,Sobrecomprado
2016-12-21,45.57,64.38,Neutro
2016-12-22,42.27,61.35,Neutro
2016-12-23,50.79,51.50,Neutro
2016-12-27,60.85,59.62,Neutro
2016-12-28,27.13,45.94,Neutro
2016-12-29,26.60,46.86,Neutro
2016-12-30,26.76,42.49,Neutro
2017-01-03,53.21,49.27,Neutro
2017-01-04,63.77,52.39,Neutro
2017-01-05,61.17,56.26,Neutro
2017-01-06,43.06,53.17,Neutro
2017-01-09,59.90,41.39,Neutro
2017-01-10,60.68,41.16,Neutro
2017-01-11,79.28,52.63,Neutro
2017-01-12,68.22,59.33,Neutro
2017-01-13,70.26,66.49,Neutro
2017-01-17,65.39,62.97,Neutro
2017-01-18,62.41,52.28,Neutro
2017-01-19,60.24,60.07,Neutro
2017-01-20,65.81,63.39,Neutro
2017-01-23,32.28,58.97,Neutro
2017-01-24,25.52,44.01,Neutro
2017-01-25,16.63,42.23,Neutro
2017-01-26,16.47,40.59,Neutro
2017-01-27,16.32,39.47,Neutro
2017-01-30,14.58,35.75,Neutro
2017-01-31,11.64,37.70,Neutro
2017-02-01,27.47,29.76,Sobrevendido
2017-02-02,35.40,29.50,Sobrevendido
2017-02-03,39.00,26.56,Sobrevendido
2017-02-06,47.33,28.65,Sobrevendido
2017-02-07,56.60,30.45,Neutro
2017-02-08,62.44,29.29,Sobrevendido
2017-02-09,69.70,32.69,Neutro
2017-02-10,69.92,44.05,Neutro
2017-02-13,79.59,56.49,Neutro
2017-02-14,79.80,57.99,Neutro
2017-02-15,84.57,68.65,Neutro
2017-02-16,78.71,70.58,Sobrecomprado
2017-02-17,86.31,78.68,Sobrecomprado
2017-02-21,88.99,82.83,Sobrecomprado
2017-02-22,54.47,58.30,Neutro
2017-02-23,67.23,69.80,Neutro
2017-02-24,67.58,70.12,Sobrecomprado
2017-02-27,64.65,69.87,Neutro
2017-02-28,58.97,64.07,Neutro
2017-03-01,50.75,60.47,Neutro
2017-03-02,44.89,60.04,Neutro
2017-03-03,56.03,55.28,Neutro
2017-03-06,19.27,50.00,Neutro
2017-03-07,7.97,46.33,Neutro
2017-03-08,8.51,43.84,Neutro
2017-03-09,11.11,45.02,Neutro
2017-03-10,14.40,42.24,Neutro
2017-03-13,12.98,36.86,Neutro
2017-03-14,13.51,43.80,Neutro
2017-03-15,44.73,27.74,Sobrevendido
2017-03-16,57.14,21.79,Sobrevendido
2017-03-17,38.38,19.39,Sobrevendido
2017-03-20,28.07,19.69,Sobrevendido
2017-03-21,22.46,19.43,Sobrevendido
2017-03-22,15.95,14.81,Sobrevendido
2017-03-23,17.38,15.86,Sobrevendido
2017-03-24,0.00,17.90,Sobrevendido
2017-03-27,0.00,19.44,Sobrevendido
2017-03-28,1.37,19.67,Sobrevendido
2017-03-29,2.07,19.48,Sobrevendido
2017-03-30,2.99,18.28,Sobrevendido
2017-03-31,2.67,12.73,Sobrevendido
2017-04-03,2.13,12.73,Sobrevendido
2017-04-04,21.01,7.44,Sobrevendido
2017-04-05,19.78,7.22,Sobrevendido
2017-04-06,19.49,9.11,Sobrevendido
2017-04-07,27.07,15.19,Sobrevendido
2017-04-10,57.67,39.15,Neutro
2017-04-11,66.56,42.13,Neutro
2017-04-12,82.38,43.01,Neutro
2017-04-13,62.30,41.12,Neutro
2017-04-17,66.67,41.12,Neutro
2017-04-18,55.02,37.15,Neutro
2017-04-19,45.26,36.48,Neutro
2017-04-20,17.46,42.91,Neutro
2017-04-21,14.29,46.90,Neutro
2017-04-24,28.27,58.62,Neutro
2017-04-25,53.19,58.33,Neutro
2017-04-26,75.38,71.79,Sobrecomprado
2017-04-27,89.23,73.74,Sobrecomprado
2017-04-28,100.00,73.38,Sobrecomprado
2017-05-01,100.00,66.81,Neutro
2017-05-02,100.00,70.79,Sobrecomprado
2017-05-03,100.00,84.32,Sobrecomprado
2017-05-04,100.00,89.74,Sobrecomprado
2017-05-05,100.00,90.91,Sobrecomprado
2017-05-08,100.00,96.09,Sobrecomprado
2017-05-09,100.00,100.00,Sobrecomprado
2017-05-10,100.00,100.00,Sobrecomprado
2017-05-11,100.00,100.00,Sobrecomprado
2017-05-12,91.86,97.55,Sobrecomprado
2017-05-15,93.04,97.64,Sobrecomprado
2017-05-16,81.28,92.66,Sobrecomprado
2017-05-17,48.22,76.43,Sobrecomprado
2017-05-18,40.14,76.03,Sobrecomprado
2017-05-19,47.58,78.84,Sobrecomprado
2017-05-22,48.02,77.55,Sobrecomprado
2017-05-23,50.98,66.98,Neutro
2017-05-24,63.65,74.17,Sobrecomprado
2017-05-25,58.63,66.50,Neutro
2017-05-26,65.45,57.83,Neutro
2017-05-30,76.21,64.51,Neutro
2017-05-31,63.12,57.45,Neutro
2017-06-01,61.29,56.46,Neutro
2017-06-02,61.15,57.54,Neutro
2017-06-05,40.64,51.80,Neutro
2017-06-06,45.72,52.63,Neutro
2017-06-07,50.95,58.70,Neutro
2017-06-08,25.29,61.74,Neutro
2017-06-09,24.17,51.31,Neutro
2017-06-12,23.77,49.88,Neutro
2017-06-13,24.80,49.96,Neutro
2017-06-14,27.71,36.30,Neutro
2017-06-15,25.92,38.23,Neutro
2017-06-16,32.38,43.98,Neutro
2017-06-19,24.20,24.80,Sobrevendido
2017-06-20,26.56,25.16,Sobrevendido
2017-06-21,60.15,42.97,Neutro
2017-06-22,68.77,50.50,Neutro
2017-06-23,78.31,60.79,Neutro
2017-06-26,85.58,63.94,Neutro
2017-06-27,83.71,66.52,Neutro
2017-06-28,83.50,64.96,Neutro
2017-06-29,90.69,70.79,Sobrecomprado
2017-06-30,82.24,71.22,Sobrecomprado
2017-07-03,76.53,71.67,Sobrecomprado
2017-07-05,37.59,65.68,Neutro
2017-07-06,22.83,66.33,Neutro
2017-07-07,40.36,68.54,Neutro
2017-07-10,34.53,67.24,Neutro
2017-07-11,45.39,75.29,Sobrecomprado
2017-07-12,70.28,75.85,Sobrecomprado
2017-07-13,65.27,69.71,Neutro
2017-07-14,87.79,70.05,Sobrecomprado
2017-07-17,90.42,66.41,Neutro
2017-07-18,91.40,72.18,Sobrecomprado
2017-07-19,93.23,75.49,Sobrecomprado
2017-07-20,93.53,79.90,Sobrecomprado
2017-07-21,75.61,73.38,Sobrecomprado
2017-07-24,76.66,71.82,Sobrecomprado
2017-07-25,72.74,80.00,Sobrecomprado
2017-07-26,75.47,82.71,Sobrecomprado
2017-07-27,58.46,76.39,Sobrecomprado
2017-07-28,72.60,82.92,Sobrecomprado
2017-07-31,71.97,83.12,Sobrecomprado
2017-08-01,86.64,80.94,Sobrecomprado
2017-08-02,76.11,76.37,Sobrecomprado
2017-08-03,61.73,66.29,Neutro
2017-08-04,64.94,69.00,Neutro
2017-08-07,72.22,67.33,Neutro
2017-08-08,39.96,58.89,Neutro
2017-08-09,31.57,54.83,Neutro
2017-08-10,23.35,56.91,Neutro
2017-08-11,39.54,60.49,Neutro
2017-08-14,65.07,63.07,Neutro
2017-08-15,61.68,63.77,Neutro
2017-08-16,55.98,66.85,Neutro
2017-08-17,49.26,44.43,Neutro
2017-08-18,56.80,43.58,Neutro
2017-08-21,43.47,33.94,Neutro
2017-08-22,41.94,40.81,Neutro
2017-08-23,24.41,45.85,Neutro
2017-08-24,31.72,46.07,Neutro
2017-08-25,34.64,43.98,Neutro
2017-08-28,52.68,50.96,Neutro
2017-08-29,53.57,55.17,Neutro
2017-08-30,85.86,57.43,Neutro
2017-08-31,55.33,46.90,Neutro
2017-09-01,66.04,44.22,Neutro
2017-09-05,59.32,42.94,Neutro
2017-09-06,49.09,40.65,Neutro
2017-09-07,41.44,48.00,Neutro
2017-09-08,28.65,43.03,Neutro
2017-09-11,36.44,59.37,Neutro
2017-09-12,59.92,57.31,Neutro
2017-09-13,28.87,52.64,Neutro
2017-09-14,57.18,58.19,Neutro
2017-09-15,78.28,66.27,Neutro
2017-09-18,57.48,52.45,Neutro
2017-09-19,63.79,52.18,Neutro
2017-09-20,62.37,53.70,Neutro
2017-09-21,59.70,59.76,Neutro
2017-09-22,76.63,66.24,Neutro
2017-09-25,43.28,46.84,Neutro
2017-09-26,29.06,46.24,Neutro
2017-09-27,41.89,48.79,Neutro
2017-09-28,36.09,47.72,Neutro
2017-09-29,35.19,46.20,Neutro
2017-10-02,42.97,49.16,Neutro
2017-10-03,25.81,51.16,Neutro
2017-10-04,58.50,47.57,Neutro
2017-10-05,71.46,41.20,Neutro
2017-10-06,66.57,48.70,Neutro
2017-10-09,59.90,42.87,Neutro
2017-10-10,70.39,45.91,Neutro
2017-10-11,50.28,44.73,Neutro
2017-10-12,48.33,32.43,Neutro
2017-10-13,49.32,54.39,Neutro
2017-10-16,41.58,57.33,Neutro
2017-10-17,36.02,51.36,Neutro
2017-10-18,50.61,56.29,Neutro
2017-10-19,49.38,62.94,Neutro
2017-10-20,63.05,54.92,Neutro
2017-10-23,78.91,62.56,Neutro
2017-10-24,67.12,57.25,Neutro
2017-10-25,51.03,46.43,Neutro
2017-10-26,57.83,48.14,Neutro
2017-10-27,88.91,83.09,Sobrecomprado
2017-10-30,90.35,84.94,Sobrecomprado
2017-10-31,66.59,66.28,Neutro
2017-11-01,68.37,69.65,Neutro
2017-11-02,70.20,69.85,Neutro
2017-11-03,76.33,72.77,Sobrecomprado
2017-11-06,77.35,74.44,Sobrecomprado
2017-11-07,60.59,73.91,Sobrecomprado
2017-11-08,55.00,74.02,Sobrecomprado
2017-11-09,80.95,70.92,Sobrecomprado
2017-11-10,77.72,70.79,Sobrecomprado
2017-11-13,75.48,71.47,Sobrecomprado
2017-11-14,62.70,73.74,Sobrecomprado
2017-11-15,40.60,71.56,Sobrecomprado
2017-11-16,43.02,56.73,Neutro
2017-11-17,28.30,49.28,Neutro
2017-11-20,57.78,74.80,Sobrecomprado
2017-11-21,28.30,63.76,Neutro
2017-11-22,34.23,62.43,Neutro
2017-11-24,39.43,54.24,Neutro
2017-11-27,64.87,51.10,Neutro
2017-11-28,73.67,57.20,Neutro
2017-11-29,48.60,40.60,Neutro
2017-11-30,57.54,57.62,Neutro
2017-12-01,50.38,44.13,Neutro
2017-12-04,34.77,34.64,Neutro
2017-12-05,52.07,49.80,Neutro
2017-12-06,55.14,56.95,Neutro
2017-12-07,65.61,66.88,Neutro
2017-12-08,75.43,69.40,Neutro
2017-12-11,72.57,68.34,Neutro
2017-12-12,75.40,67.46,Neutro
2017-12-13,89.06,65.95,Neutro
2017-12-14,80.36,64.29,Neutro
2017-12-15,78.49,64.33,Neutro
2017-12-18,66.87,65.92,Neutro
2017-12-19,43.21,67.51,Neutro
2017-12-20,40.06,63.48,Neutro
2017-12-21,51.63,69.09,Neutro
2017-12-22,53.11,78.52,Sobrecomprado
2017-12-26,51.22,69.89,Neutro
2017-12-27,48.98,67.57,Neutro
2017-12-28,25.85,49.64,Neutro
2017-12-29,29.98,38.07,Neutro
2018-01-02,63.34,51.42,Neutro
2018-01-03,55.13,53.46,Neutro
2018-01-04,52.03,52.52,Neutro
2018-01-05,58.90,55.11,Neutro
2018-01-08,56.50,52.77,Neutro
2018-01-09,64.13,47.13,Neutro
2018-01-10,69.41,52.57,Neutro
2018-01-11,81.81,74.14,Sobrecomprado
2018-01-12,65.82,61.85,Neutro
2018-01-16,58.04,55.90,Neutro
2018-01-17,60.34,59.88,Neutro
2018-01-18,55.19,55.58,Neutro
2018-01-19,50.03,54.05,Neutro
2018-01-22,47.81,53.44,Neutro
2018-01-23,8.34,44.74,Neutro
2018-01-24,18.31,47.77,Neutro
2018-01-25,43.77,53.39,Neutro
2018-01-26,37.14,53.60,Neutro
2018-01-29,30.14,46.98,Neutro
2018-01-30,29.30,43.31,Neutro
2018-01-31,35.35,44.29,Neutro
2018-02-01,42.26,21.61,Sobrevendido
2018-02-02,30.82,24.39,Sobrevendido
2018-02-05,7.16,23.12,Sobrevendido
2018-02-06,5.75,18.68,Sobrevendido
2018-02-07,7.27,19.20,Sobrevendido
2018-02-08,6.28,17.61,Sobrevendido
