Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,100.00,100.00,Sobrecomprado
2016-01-07,69.84,69.84,Neutro
2016-01-08,77.67,77.67,Sobrecomprado
2016-01-11,72.88,72.88,Sobrecomprado
2016-01-12,67.04,67.04,Neutro
2016-01-13,57.98,57.98,Neutro
2016-01-14,52.48,59.61,Neutro
2016-01-15,29.31,52.33,Neutro
2016-01-19,61.39,64.34,Neutro
2016-01-20,62.01,68.52,Neutro
2016-01-21,52.37,60.38,Neutro
2016-01-22,59.96,62.78,Neutro
2016-01-25,69.96,64.72,Neutro
2016-01-26,70.26,63.07,Neutro
2016-01-27,58.74,48.75,Neutro
2016-01-28,47.15,53.69,Neutro
2016-01-29,39.35,50.62,Neutro
2016-02-01,49.22,51.09,Neutro
2016-02-02,35.29,50.52,Neutro
2016-02-03,20.72,51.09,Neutro
2016-02-04,32.56,54.44,Neutro
2016-02-05,41.70,53.27,Neutro
2016-02-08,36.87,43.47,Neutro
2016-02-09,31.19,36.32,Neutro
2016-02-10,46.18,47.80,Neutro
2016-02-11,30.87,32.73,Neutro
2016-02-12,43.17,34.02,Neutro
2016-02-16,38.98,35.99,Neutro
2016-02-17,45.25,43.68,Neutro
2016-02-18,37.57,37.30,Neutro
2016-02-19,38.75,36.06,Neutro
2016-02-22,34.71,39.44,Neutro
2016-02-23,69.37,46.42,Neutro
2016-02-24,50.00,45.82,Neutro
2016-02-25,47.43,42.29,Neutro
2016-02-26,45.16,45.21,Neutro
2016-02-29,56.33,44.04,Neutro
2016-03-01,62.34,47.61,Neutro
2016-03-02,47.88,40.04,Neutro
2016-03-03,29.07,50.62,Neutro
2016-03-04,36.03,44.14,Neutro
2016-03-07,36.14,42.55,Neutro
2016-03-08,37.95,42.22,Neutro
2016-03-09,42.16,50.04,Neutro
2016-03-10,23.32,48.74,Neutro
2016-03-11,73.58,59.58,Neutro
2016-03-14,81.38,52.80,Neutro
2016-03-15,71.71,55.26,Neutro
2016-03-16,54.16,46.22,Neutro
2016-03-17,61.01,50.98,Neutro
2016-03-18,66.97,57.61,Neutro
2016-03-21,58.85,48.45,Neutro
2016-03-22,30.88,53.73,Neutro
2016-03-23,33.57,58.56,Neutro
2016-03-24,53.59,63.31,Neutro
2016-03-28,64.19,58.16,Neutro
2016-03-29,62.19,61.48,Neutro
2016-03-30,47.11,61.38,Neutro
2016-03-31,61.98,59.50,Neutro
2016-04-01,73.89,47.66,Neutro
2016-04-04,80.00,55.29,Neutro
2016-04-05,48.35,51.12,Neutro
2016-04-06,62.76,63.41,Neutro
2016-04-07,54.77,57.85,Neutro
2016-04-08,52.56,50.76,Neutro
2016-04-11,58.93,59.77,Neutro
2016-04-12,63.37,66.84,Neutro
2016-04-13,63.60,69.99,Neutro
2016-04-14,81.11,65.72,Neutro
2016-04-15,65.91,64.27,Neutro
2016-04-18,74.85,63.28,Neutro
2016-04-19,78.78,63.16,Neutro
2016-04-20,81.09,68.57,Neutro
2016-04-21,55.39,60.62,Neutro
2016-04-22,40.33,57.08,Neutro
2016-04-25,61.80,72.99,Sobrecomprado
2016-04-26,72.56,68.57,Neutro
2016-04-27,76.28,75.48,Sobrecomprado
2016-04-28,80.94,79.88,Sobrecomprado
2016-04-29,83.18,82.15,Sobrecomprado
2016-05-02,98.13,81.54,Sobrecomprado
2016-05-03,65.23,59.08,Neutro
2016-05-04,69.03,66.87,Neutro
2016-05-05,62.55,65.03,Neutro
2016-05-06,66.41,68.72,Neutro
2016-05-09,57.23,63.63,Neutro
2016-05-10,55.69,64.00,Neutro
2016-05-11,44.18,62.80,Neutro
2016-05-12,54.01,59.42,Neutro
2016-05-13,44.02,58.02,Neutro
2016-05-16,59.21,61.15,Neutro
2016-05-17,51.29,61.09,Neutro
2016-05-18,70.03,61.60,Neutro
2016-05-19,53.79,55.03,Neutro
2016-05-20,68.24,52.24,Neutro
2016-05-23,70.07,60.03,Neutro
2016-05-24,76.35,59.54,Neutro
2016-05-25,72.38,64.98,Neutro
2016-05-26,61.79,56.65,Neutro
2016-05-27,59.08,64.58,Neutro
2016-05-31,74.67,64.24,Neutro
2016-06-01,75.29,71.98,Sobrecomprado
2016-06-02,86.14,78.77,Sobrecomprado
2016-06-03,70.02,73.78,Sobrecomprado
2016-06-06,68.00,70.47,Sobrecomprado
2016-06-07,59.44,60.76,Neutro
2016-06-08,57.66,58.45,Neutro
2016-06-09,48.56,64.21,Neutro
2016-06-10,23.27,50.65,Neutro
2016-06-13,9.55,51.07,Neutro
2016-06-14,6.35,29.61,Sobrevendido
2016-06-15,5.70,26.47,Sobrevendido
2016-06-16,6.13,26.43,Sobrevendido
2016-06-17,9.91,27.16,Sobrevendido
2016-06-20,9.17,21.66,Sobrevendido
2016-06-21,11.62,16.85,Sobrevendido
2016-06-22,18.00,14.25,Sobrevendido
2016-06-23,34.94,15.08,Sobrevendido
2016-06-24,24.82,12.53,Sobrevendido
2016-06-27,47.70,22.56,Sobrevendido
2016-06-28,43.21,22.11,Sobrevendido
2016-06-29,33.99,19.67,Sobrevendido
2016-06-30,40.50,25.62,Sobrevendido
2016-07-01,30.48,24.47,Sobrevendido
2016-07-05,29.42,31.20,Neutro
2016-07-06,56.19,42.51,Neutro
2016-07-07,46.97,47.34,Neutro
2016-07-08,62.14,54.53,Neutro
2016-07-11,73.54,53.64,Neutro
2016-07-12,73.99,57.17,Neutro
2016-07-13,91.67,57.73,Neutro
2016-07-14,95.13,58.53,Neutro
2016-07-15,73.89,64.44,Neutro
2016-07-18,76.16,62.64,Neutro
2016-07-19,59.90,61.40,Neutro
2016-07-20,69.01,71.83,Sobrecomprado
2016-07-21,50.77,64.93,Neutro
2016-07-22,66.81,78.96,Sobrecomprado
2016-07-25,65.22,80.29,Sobrecomprado
2016-07-26,67.30,70.60,Sobrecomprado
2016-07-27,62.04,69.95,Neutro
2016-07-28,62.04,61.12,Neutro
2016-07-29,71.57,70.62,Sobrecomprado
2016-08-01,85.28,72.33,Sobrecomprado
2016-08-02,45.32,55.17,Neutro
2016-08-03,60.33,62.14,Neutro
2016-08-04,67.14,67.20,Neutro
2016-08-05,71.45,68.43,Neutro
2016-08-08,71.45,68.43,Neutro
2016-08-09,64.29,67.50,Neutro
2016-08-10,51.13,66.89,Neutro
2016-08-11,74.92,58.07,Neutro
2016-08-12,48.24,57.66,Neutro
2016-08-15,57.26,64.41,Neutro
2016-08-16,33.33,64.77,Neutro
2016-08-17,31.03,63.93,Neutro
2016-08-18,30.77,56.86,Neutro
2016-08-19,58.86,52.40,Neutro
2016-08-22,83.03,76.65,Sobrecomprado
2016-08-23,88.68,61.86,Neutro
2016-08-24,20.89,39.57,Neutro
2016-08-25,16.53,23.20,Sobrevendido
2016-08-26,14.06,20.43,Sobrevendido
2016-08-29,25.25,27.14,Sobrevendido
2016-08-30,19.96,29.81,Sobrevendido
2016-08-31,19.18,34.76,Neutro
2016-09-01,17.54,33.81,Neutro
2016-09-02,49.13,34.75,Neutro
2016-09-06,67.45,44.98,Neutro
2016-09-07,85.00,50.56,Neutro
2016-09-08,83.25,51.48,Neutro
2016-09-09,80.71,47.40,Neutro
2016-09-12,86.58,55.88,Neutro
2016-09-13,85.74,54.03,Neutro
2016-09-14,86.81,73.94,Sobrecomprado
2016-09-15,87.08,79.09,Sobrecomprado
2016-09-16,62.29,70.39,Sobrecomprado
2016-09-19,64.55,70.50,Sobrecomprado
2016-09-20,72.43,75.00,Sobrecomprado
2016-09-21,51.49,65.59,Neutro
2016-09-22,59.84,69.66,Neutro
2016-09-23,49.08,64.39,Neutro
2016-09-26,40.97,61.59,Neutro
2016-09-27,63.44,62.83,Neutro
2016-09-28,62.99,63.84,Neutro
2016-09-29,50.87,63.34,Neutro
2016-09-30,74.30,60.66,Neutro
2016-10-03,46.21,54.33,Neutro
2016-10-04,64.54,55.97,Neutro
2016-10-05,54.85,48.05,Neutro
2016-10-06,45.50,54.27,Neutro
2016-10-07,45.64,54.06,Neutro
2016-10-10,59.32,55.61,Neutro
2016-10-11,44.05,55.90,Neutro
2016-10-12,63.33,55.78,Neutro
2016-10-13,43.88,53.95,Neutro
2016-10-14,63.38,59.26,Neutro
2016-10-17,58.88,53.07,Neutro
2016-10-18,54.10,50.37,Neutro
2016-10-19,55.15,57.09,Neutro
2016-10-20,71.46,57.98,Neutro
2016-10-21,69.43,66.46,Neutro
2016-10-24,84.13,64.39,Neutro
2016-10-25,79.14,69.82,Neutro
2016-10-26,71.97,64.30,Neutro
2016-10-27,67.36,59.90,Neutro
2016-10-28,63.50,58.53,Neutro
2016-10-31,62.52,67.84,Neutro
2016-11-01,49.64,60.84,Neutro
2016-11-02,35.97,61.91,Neutro
2016-11-03,53.69,63.65,Neutro
2016-11-04,71.81,71.87,Sobrecomprado
2016-11-07,71.28,69.67,Neutro
2016-11-08,70.80,67.96,Neutro
2016-11-09,71.75,68.28,Neutro
2016-11-10,83.54,71.46,Sobrecomprado
2016-11-11,95.27,79.16,Sobrecomprado
2016-11-14,95.18,80.88,Sobrecomprado
2016-11-15,85.82,80.68,Sobrecomprado
2016-11-16,91.87,84.87,Sobrecomprado
2016-11-17,91.71,84.59,Sobrecomprado
2016-11-18,85.18,80.46,Sobrecomprado
2016-11-21,85.10,84.50,Sobrecomprado
2016-11-22,77.62,88.08,Sobrecomprado
2016-11-23,67.80,84.96,Sobrecomprado
2016-11-25,79.57,83.67,Sobrecomprado
2016-11-28,45.13,77.12,Sobrecomprado
2016-11-29,43.27,76.57,Sobrecomprado
2016-11-30,61.78,77.20,Sobrecomprado
2016-12-01,53.40,75.63,Sobrecomprado
2016-12-02,71.41,74.45,Sobrecomprado
2016-12-05,68.97,68.45,Neutro
2016-12-06,73.27,75.58,Sobrecomprado
2016-12-07,92.12,73.50,Sobrecomprado
2016-12-08,93.71,76.74,Sobrecomprado
2016-12-09,94.28,83.20,Sobrecomprado
2016-12-12,92.73,80.87,Sobrecomprado
2016-12-13,76.70,74.17,Sobrecomprado
2016-12-14,80.63,74.80,Sobrecomprado
2016-12-15,67.85,70.81,Sobrecomprado
2016-12-16,69.71,80.90,Sobrecomprado
2016-12-19,64.15,81.78,Sobrecomprado
2016-12-20,47.25,80.41,Sobrecomprado
2016-12-21,68.92,83.13,Sobrecomprado
2016-12-22,74.58,75.75,Sobrecomprado
2016-12-23,81.30,80.96,Sobrecomprado
2016-12-27,84.67,76.32,Sobrecomprado
2016-12-28,86.74,78.65,Sobrecomprado
2016-12-29,81.71,73.83,Sobrecomprado
2016-12-30,77.26,66.82,Neutro
2017-01-03,73.22,71.07,Sobrecomprado
2017-01-04,81.70,78.32,Sobrecomprado
2017-01-05,62.44,72.18,Sobrecomprado
2017-01-06,65.21,75.27,Sobrecomprado
2017-01-09,37.21,66.32,Neutro
2017-01-10,28.68,55.64,Neutro
2017-01-11,30.37,55.25,Neutro
2017-01-12,10.71,42.57,Neutro
2017-01-13,1.93,44.88,Neutro
2017-01-17,2.43,38.12,Neutro
2017-01-18,13.74,42.95,Neutro
2017-01-19,16.45,28.43,Sobrevendido
2017-01-20,53.44,36.10,Neutro
2017-01-23,65.75,43.83,Neutro
2017-01-24,86.49,40.91,Neutro
2017-01-25,71.00,33.88,Neutro
2017-01-26,57.11,33.81,Neutro
2017-01-27,55.75,36.82,Neutro
2017-01-30,50.89,37.64,Neutro
2017-01-31,58.27,56.88,Neutro
2017-02-01,54.83,58.89,Neutro
2017-02-02,33.28,50.00,Neutro
2017-02-03,43.64,53.16,Neutro
2017-02-06,49.29,52.64,Neutro
2017-02-07,46.03,50.19,Neutro
2017-02-08,46.94,48.74,Neutro
2017-02-09,35.85,48.02,Neutro
2017-02-10,28.09,42.20,Neutro
2017-02-13,60.23,41.84,Neutro
2017-02-14,37.97,41.90,Neutro
2017-02-15,55.36,51.63,Neutro
2017-02-16,48.52,47.09,Neutro
2017-02-17,55.99,50.51,Neutro
2017-02-21,53.56,43.41,Neutro
2017-02-22,51.05,38.26,Neutro
2017-02-23,54.08,56.79,Neutro
2017-02-24,58.09,49.05,Neutro
2017-02-27,41.18,49.20,Neutro
2017-02-28,41.74,45.81,Neutro
2017-03-01,54.59,55.31,Neutro
2017-03-02,50.11,51.92,Neutro
2017-03-03,62.60,56.19,Neutro
2017-03-06,32.31,44.28,Neutro
2017-03-07,44.01,51.45,Neutro
2017-03-08,38.78,39.83,Neutro
2017-03-09,43.59,42.73,Neutro
2017-03-10,21.01,38.02,Neutro
2017-03-13,18.46,33.46,Neutro
2017-03-14,24.63,41.18,Neutro
2017-03-15,35.03,33.57,Neutro
2017-03-16,36.00,40.30,Neutro
2017-03-17,18.54,26.72,Sobrevendido
2017-03-20,34.59,37.61,Neutro
2017-03-21,28.85,26.47,Sobrevendido
2017-03-22,33.95,29.27,Sobrevendido
2017-03-23,26.65,26.01,Sobrevendido
2017-03-24,29.36,30.74,Neutro
2017-03-27,23.41,26.42,Sobrevendido
2017-03-28,43.03,31.72,Neutro
2017-03-29,39.70,37.04,Neutro
2017-03-30,60.54,39.47,Neutro
2017-03-31,58.65,41.76,Neutro
2017-04-03,70.53,38.62,Neutro
2017-04-04,61.71,37.70,Neutro
2017-04-05,60.37,32.84,Neutro
2017-04-06,44.82,43.57,Neutro
2017-04-07,25.78,36.20,Neutro
2017-04-10,28.82,49.76,Neutro
2017-04-11,9.12,37.45,Neutro
2017-04-12,9.22,41.64,Neutro
2017-04-13,24.74,43.06,Neutro
2017-04-17,44.43,52.98,Neutro
2017-04-18,44.14,44.48,Neutro
2017-04-19,40.45,33.90,Neutro
2017-04-20,58.55,47.84,Neutro
2017-04-21,71.22,40.95,Neutro
2017-04-24,85.23,58.85,Neutro
2017-04-25,85.66,63.63,Neutro
2017-04-26,85.79,72.24,Sobrecomprado
2017-04-27,65.97,59.99,Neutro
2017-04-28,67.84,60.98,Neutro
2017-05-01,54.57,55.90,Neutro
2017-05-02,53.89,58.89,Neutro
2017-05-03,33.68,59.90,Neutro
2017-05-04,38.07,61.80,Neutro
2017-05-05,39.75,62.50,Neutro
2017-05-08,69.41,67.34,Neutro
2017-05-09,65.46,66.98,Neutro
2017-05-10,62.77,57.70,Neutro
2017-05-11,47.52,51.04,Neutro
2017-05-12,50.37,42.87,Neutro
2017-05-15,51.68,45.43,Neutro
2017-05-16,46.04,42.96,Neutro
2017-05-17,28.25,46.44,Neutro
2017-05-18,39.23,49.29,Neutro
2017-05-19,37.61,47.26,Neutro
2017-05-22,57.86,52.68,Neutro
2017-05-23,45.67,47.99,Neutro
2017-05-24,48.27,49.93,Neutro
2017-05-25,42.92,44.28,Neutro
2017-05-26,54.48,42.57,Neutro
2017-05-30,41.86,40.53,Neutro
2017-05-31,48.90,42.65,Neutro
2017-06-01,47.00,52.57,Neutro
2017-06-02,61.83,52.86,Neutro
2017-06-05,37.88,44.16,Neutro
2017-06-06,52.07,46.01,Neutro
2017-06-07,44.47,51.29,Neutro
2017-06-08,63.67,48.77,Neutro
2017-06-09,76.83,59.11,Neutro
2017-06-12,62.94,52.91,Neutro
2017-06-13,54.99,59.44,Neutro
2017-06-14,77.07,50.33,Neutro
2017-06-15,74.02,59.09,Neutro
2017-06-16,59.97,50.43,Neutro
2017-06-19,47.66,58.30,Neutro
2017-06-20,21.40,63.50,Neutro
2017-06-21,18.77,51.10,Neutro
2017-06-22,32.50,47.38,Neutro
2017-06-23,48.37,63.46,Neutro
2017-06-26,38.83,55.30,Neutro
2017-06-27,58.15,59.05,Neutro
2017-06-28,45.07,46.03,Neutro
2017-06-29,56.95,48.58,Neutro
2017-06-30,75.35,61.11,Neutro
2017-07-03,71.52,60.17,Neutro
2017-07-05,60.06,55.85,Neutro
2017-07-06,54.76,48.97,Neutro
2017-07-07,53.34,55.17,Neutro
2017-07-10,72.24,60.95,Neutro
2017-07-11,62.42,59.56,Neutro
2017-07-12,63.20,69.62,Neutro
2017-07-13,65.42,68.62,Neutro
2017-07-14,73.13,66.07,Neutro
2017-07-17,78.61,64.75,Neutro
2017-07-18,65.98,58.71,Neutro
2017-07-19,41.01,61.35,Neutro
2017-07-20,33.81,49.84,Neutro
2017-07-21,0.79,37.47,Neutro
2017-07-24,0.00,37.81,Neutro
2017-07-25,23.70,47.58,Neutro
2017-07-26,24.88,50.52,Neutro
2017-07-27,25.16,44.69,Neutro
2017-07-28,43.58,42.57,Neutro
2017-07-31,39.31,37.05,Neutro
2017-08-01,57.35,35.56,Neutro
2017-08-02,55.60,34.40,Neutro
2017-08-03,40.36,32.49,Neutro
2017-08-04,38.10,32.21,Neutro
2017-08-07,40.71,33.56,Neutro
2017-08-08,25.70,35.44,Neutro
2017-08-09,38.02,38.88,Neutro
2017-08-10,26.35,48.19,Neutro
2017-08-11,22.54,44.94,Neutro
2017-08-14,28.32,36.78,Neutro
2017-08-15,40.79,38.68,Neutro
2017-08-16,42.64,41.13,Neutro
2017-08-17,63.81,39.42,Neutro
2017-08-18,72.03,54.89,Neutro
2017-08-21,49.01,38.64,Neutro
2017-08-22,69.38,44.90,Neutro
2017-08-23,70.04,50.75,Neutro
2017-08-24,72.38,60.33,Neutro
2017-08-25,70.35,60.25,Neutro
2017-08-28,64.32,64.05,Neutro
2017-08-29,53.87,65.24,Neutro
2017-08-30,96.42,73.33,Sobrecomprado
2017-08-31,97.01,85.50,Sobrecomprado
2017-09-01,97.43,86.88,Sobrecomprado
2017-09-05,97.67,88.70,Sobrecomprado
2017-09-06,100.00,91.15,Sobrecomprado
2017-09-07,100.00,90.73,Sobrecomprado
2017-09-08,100.00,93.06,Sobrecomprado
2017-09-11,87.98,90.18,Sobrecomprado
2017-09-12,62.78,71.59,Sobrecomprado
2017-09-13,59.50,70.80,Sobrecomprado
2017-09-14,54.86,68.48,Neutro
2017-09-15,47.30,69.44,Neutro
2017-09-18,49.42,70.26,Sobrecomprado
2017-09-19,17.68,68.27,Neutro
2017-09-20,16.27,57.04,Neutro
2017-09-21,25.07,51.92,Neutro
2017-09-22,21.28,46.73,Neutro
2017-09-25,30.41,46.75,Neutro
2017-09-26,43.02,45.53,Neutro
2017-09-27,41.19,46.16,Neutro
2017-09-28,53.19,36.06,Neutro
2017-09-29,70.91,40.04,Neutro
2017-10-02,85.02,59.99,Neutro
2017-10-03,100.00,65.44,Neutro
2017-10-04,79.62,59.96,Neutro
2017-10-05,79.68,63.28,Neutro
2017-10-06,77.70,60.81,Neutro
2017-10-09,63.83,58.62,Neutro
2017-10-10,67.18,68.69,Neutro
2017-10-11,59.64,72.22,Sobrecomprado
2017-10-12,39.18,71.30,Sobrecomprado
2017-10-13,51.86,69.45,Neutro
2017-10-16,37.52,66.72,Neutro
2017-10-17,34.01,62.43,Neutro
2017-10-18,58.81,62.06,Neutro
2017-10-19,38.13,57.87,Neutro
2017-10-20,62.50,61.04,Neutro
2017-10-23,76.94,56.55,Neutro
2017-10-24,78.80,65.97,Neutro
2017-10-25,78.40,61.39,Neutro
2017-10-26,85.99,63.31,Neutro
2017-10-27,77.89,68.84,Neutro
2017-10-30,61.58,52.09,Neutro
2017-10-31,25.27,49.17,Neutro
2017-11-01,19.60,53.17,Neutro
2017-11-02,38.21,59.13,Neutro
2017-11-03,31.39,55.03,Neutro
2017-11-06,19.27,50.62,Neutro
2017-11-07,33.74,51.29,Neutro
2017-11-08,46.01,54.30,Neutro
2017-11-09,54.06,41.86,Neutro
2017-11-10,54.85,39.19,Neutro
2017-11-13,45.25,41.33,Neutro
2017-11-14,54.17,40.99,Neutro
2017-11-15,76.26,36.86,Neutro
2017-11-16,64.64,40.12,Neutro
2017-11-17,84.84,62.03,Neutro
2017-11-20,70.47,61.25,Neutro
2017-11-21,85.46,71.04,Sobrecomprado
2017-11-22,90.59,75.99,Sobrecomprado
2017-11-24,65.36,62.55,Neutro
2017-11-27,77.36,77.21,Sobrecomprado
2017-11-28,83.15,81.75,Sobrecomprado
2017-11-29,84.34,84.40,Sobrecomprado
2017-11-30,86.92,84.65,Sobrecomprado
2017-12-01,83.10,83.56,Sobrecomprado
2017-12-04,84.18,85.84,Sobrecomprado
2017-12-05,92.40,83.23,Sobrecomprado
2017-12-06,75.28,76.22,Sobrecomprado
2017-12-07,55.56,71.39,Sobrecomprado
2017-12-08,28.75,59.33,Neutro
2017-12-11,23.70,57.83,Neutro
2017-12-12,20.39,51.05,Neutro
2017-12-13,0.00,46.64,Neutro
2017-12-14,0.00,48.52,Neutro
2017-12-15,16.71,45.98,Neutro
2017-12-18,26.37,39.72,Neutro
2017-12-19,37.18,32.25,Neutro
2017-12-20,35.30,28.53,Sobrevendido
2017-12-21,45.69,28.53,Sobrevendido
2017-12-22,42.59,16.27,Sobrevendido
2017-12-26,55.78,21.37,Sobrevendido
2017-12-27,38.83,23.66,Sobrevendido
2017-12-28,33.61,28.56,Sobrevendido
2017-12-29,50.64,42.70,Neutro
2018-01-02,47.90,40.48,Neutro
2018-01-03,46.06,45.87,Neutro
2018-01-04,62.34,52.13,Neutro
2018-01-05,50.84,53.54,Neutro
2018-01-08,50.50,45.02,Neutro
2018-01-09,44.20,39.20,Neutro
2018-01-10,26.75,39.70,Neutro
2018-01-11,80.16,67.04,Neutro
2018-01-12,85.33,68.38,Neutro
2018-01-16,85.09,74.81,Sobrecomprado
2018-01-17,68.56,61.86,Neutro
2018-01-18,67.50,61.11,Neutro
2018-01-19,68.37,59.82,Neutro
2018-01-22,67.92,54.83,Neutro
2018-01-23,30.30,62.65,Neutro
2018-01-24,55.36,71.43,Sobrecomprado
2018-01-25,54.26,70.85,Sobrecomprado
2018-01-26,88.23,76.11,Sobrecomprado
2018-01-29,94.58,79.77,Sobrecomprado
2018-01-30,74.68,71.58,Sobrecomprado
2018-01-31,57.97,62.26,Neutro
2018-02-01,55.38,49.01,Neutro
2018-02-02,37.01,43.18,Neutro
2018-02-05,29.18,37.32,Neutro
2018-02-06,23.75,44.24,Neutro
2018-02-07,6.13,42.95,Neutro
2018-02-08,6.81,40.59,Neutro
2018-02-09,10.03,41.32,Neutro
2018-02-12,24.74,44.20,Neutro
2018-02-13,38.14,37.33,Neutro
