Date,RSI_7,RSI_14,RSI_Sinal
2023-04-10,,,Neutro
2023-04-11,100.00,100.00,Sobrecomprado
2023-04-12,47.62,47.62,Neutro
2023-04-13,82.54,82.54,Sobrecomprado
2023-04-14,70.27,70.27,Sobrecomprado
2023-04-17,73.49,73.49,Sobrecomprado
2023-04-18,77.32,77.32,Sobrecomprado
2023-04-19,62.50,62.50,Neutro
2023-04-20,57.02,60.48,Neutro
2023-04-21,66.96,63.97,Neutro
2023-04-24,51.28,65.25,Neutro
2023-04-25,33.06,47.18,Neutro
2023-04-26,22.79,42.01,Neutro
2023-04-27,38.24,52.43,Neutro
2023-04-28,50.90,55.75,Neutro
2023-05-01,58.95,58.22,Neutro
2023-05-02,47.17,54.13,Neutro
2023-05-03,48.62,49.32,Neutro
2023-05-04,57.92,48.03,Neutro
2023-05-05,75.58,55.24,Neutro
2023-05-08,65.91,52.31,Neutro
2023-05-09,55.81,53.39,Neutro
2023-05-10,48.99,54.57,Neutro
2023-05-11,58.87,51.49,Neutro
2023-05-12,57.14,51.63,Neutro
2023-05-15,76.64,65.94,Neutro
2023-05-16,47.47,66.77,Neutro
2023-05-17,67.63,66.67,Neutro
2023-05-18,83.98,70.25,Sobrecomprado
2023-05-19,83.98,68.18,Neutro
2023-05-22,89.13,76.95,Sobrecomprado
2023-05-23,64.49,62.09,Neutro
2023-05-24,47.27,57.51,Neutro
2023-05-25,67.33,62.97,Neutro
2023-05-26,69.00,68.63,Neutro
2023-05-30,63.49,70.97,Sobrecomprado
2023-05-31,55.52,65.17,Neutro
2023-06-01,60.35,69.48,Neutro
2023-06-02,76.62,71.90,Sobrecomprado
2023-06-05,85.01,68.99,Neutro
2023-06-06,79.77,72.58,Sobrecomprado
2023-06-07,61.50,66.16,Neutro
2023-06-08,64.92,64.12,Neutro
2023-06-09,79.17,64.50,Neutro
2023-06-12,79.07,66.94,Neutro
2023-06-13,79.91,77.83,Sobrecomprado
2023-06-14,84.65,84.87,Sobrecomprado
2023-06-15,84.98,82.24,Sobrecomprado
2023-06-16,85.71,73.74,Sobrecomprado
2023-06-20,70.73,67.81,Neutro
2023-06-21,65.34,71.73,Sobrecomprado
2023-06-22,50.69,64.81,Neutro
2023-06-23,20.55,50.56,Neutro
2023-06-26,15.12,51.73,Neutro
2023-06-27,25.96,55.34,Neutro
2023-06-28,29.90,59.54,Neutro
2023-06-29,39.18,57.79,Neutro
2023-06-30,58.60,62.23,Neutro
2023-07-03,61.76,56.06,Neutro
2023-07-05,63.64,41.01,Neutro
2023-07-06,50.00,34.35,Neutro
2023-07-07,41.40,33.33,Neutro
2023-07-10,51.75,42.08,Neutro
2023-07-11,53.73,48.06,Neutro
2023-07-12,53.03,55.53,Neutro
2023-07-13,63.95,63.10,Neutro
2023-07-14,69.39,67.07,Neutro
2023-07-17,86.67,68.97,Neutro
2023-07-18,86.96,67.01,Neutro
2023-07-19,76.56,64.13,Neutro
2023-07-20,57.19,55.59,Neutro
2023-07-21,47.88,50.48,Neutro
2023-07-24,29.56,50.57,Neutro
2023-07-25,44.56,59.55,Neutro
2023-07-26,27.45,61.18,Neutro
2023-07-27,22.51,60.60,Neutro
2023-07-28,29.55,57.41,Neutro
2023-07-31,52.83,56.09,Neutro
2023-08-01,35.22,43.06,Neutro
2023-08-02,25.11,27.23,Sobrevendido
2023-08-03,13.45,27.88,Sobrevendido
2023-08-04,15.63,21.72,Sobrevendido
2023-08-07,23.94,23.27,Sobrevendido
2023-08-08,16.22,21.61,Sobrevendido
2023-08-09,13.82,24.67,Sobrevendido
2023-08-10,16.10,23.80,Sobrevendido
