Date,RSI_7,RSI_14,RSI_Sinal
2026-02-12,,,Neutro
2026-02-13,100.00,100.00,Sobrecomprado
2026-02-17,33.33,33.33,Neutro
2026-02-18,77.78,77.78,Sobrecomprado
2026-02-19,58.33,58.33,Neutro
2026-02-20,84.37,84.37,Sobrecomprado
2026-02-23,83.08,83.08,Sobrecomprado
2026-02-24,84.06,84.06,Sobrecomprado
2026-02-25,89.42,89.62,Sobrecomprado
2026-02-26,92.08,88.79,Sobrecomprado
2026-02-27,78.64,78.51,Sobrecomprado
2026-03-02,55.86,56.21,Neutro
2026-03-03,20.20,35.58,Neutro
2026-03-04,32.07,43.05,Neutro
2026-03-05,23.38,34.48,Neutro
2026-03-06,12.20,32.74,Neutro
2026-03-09,15.20,34.76,Neutro
2026-03-10,21.00,35.73,Neutro
2026-03-11,25.59,36.59,Neutro
2026-03-12,29.82,25.18,Sobrevendido
2026-03-13,13.95,23.45,Sobrevendido
2026-03-16,40.22,29.67,Sobrevendido
2026-03-17,44.05,23.96,Sobrevendido
2026-03-18,34.04,22.52,Sobrevendido
2026-03-19,27.49,23.35,Sobrevendido
2026-03-20,18.15,21.91,Sobrevendido
2026-03-23,44.05,37.45,Neutro
2026-03-24,47.44,31.40,Neutro
2026-03-25,46.75,43.86,Neutro
2026-03-26,37.63,40.00,Neutro
2026-03-27,37.76,36.29,Neutro
2026-03-30,35.91,32.84,Neutro
2026-03-31,63.04,42.83,Neutro
2026-04-01,61.25,53.23,Neutro
2026-04-02,58.80,53.83,Neutro
2026-04-06,55.56,51.57,Neutro
2026-04-07,59.39,47.99,Neutro
2026-04-08,80.21,62.22,Neutro
2026-04-09,80.41,61.08,Neutro
2026-04-10,76.03,69.68,Neutro
2026-04-13,71.96,66.43,Neutro
2026-04-14,82.33,70.21,Sobrecomprado
2026-04-15,74.83,65.31,Neutro
2026-04-16,84.58,71.79,Sobrecomprado
2026-04-17,71.11,77.86,Sobrecomprado
2026-04-20,67.13,76.84,Sobrecomprado
2026-04-21,45.60,64.93,Neutro
2026-04-22,49.23,62.45,Neutro
2026-04-23,30.37,61.39,Neutro
2026-04-24,38.67,60.81,Neutro
2026-04-27,40.11,66.28,Neutro
2026-04-28,22.38,46.04,Neutro
2026-04-29,22.07,44.44,Neutro
2026-04-30,58.50,51.37,Neutro
2026-05-01,50.76,49.85,Neutro
2026-05-04,51.54,38.94,Neutro
2026-05-05,59.35,48.21,Neutro
2026-05-06,72.61,58.48,Neutro
2026-05-07,64.48,49.50,Neutro
2026-05-08,75.00,56.94,Neutro
2026-05-11,69.70,65.34,Neutro
2026-05-12,64.66,59.84,Neutro
2026-05-13,77.24,68.35,Neutro
2026-05-14,63.49,61.87,Neutro
2026-05-15,34.07,53.51,Neutro
2026-05-18,42.50,54.90,Neutro
2026-05-19,21.76,53.28,Neutro
2026-05-20,33.19,51.64,Neutro
2026-05-21,41.10,53.63,Neutro
2026-05-22,30.96,56.66,Neutro
2026-05-26,53.98,58.89,Neutro
2026-05-27,66.67,48.66,Neutro
2026-05-28,65.54,53.32,Neutro
2026-05-29,83.22,48.54,Neutro
2026-06-01,65.15,44.97,Neutro
2026-06-02,64.06,49.57,Neutro
2026-06-03,60.74,43.07,Neutro
2026-06-04,38.37,49.68,Neutro
2026-06-05,21.02,45.59,Neutro
2026-06-08,31.11,48.18,Neutro
2026-06-09,26.67,52.28,Neutro
2026-06-10,24.74,41.10,Neutro
2026-06-11,45.72,51.64,Neutro
2026-06-12,52.00,54.88,Neutro
2026-06-15,57.42,53.28,Neutro
2026-06-16,81.22,56.74,Neutro
2026-06-17,78.92,56.51,Neutro
2026-06-18,84.44,58.77,Neutro
2026-06-22,100.00,62.27,Neutro
2026-06-23,59.12,51.11,Neutro
