Date,RSI_7,RSI_14,RSI_Sinal
2024-10-10,,,Neutro
2024-10-11,0.00,0.00,Sobrevendido
2024-10-14,50.00,50.00,Neutro
2024-10-15,50.00,50.00,Neutro
2024-10-16,33.33,33.33,Neutro
2024-10-17,50.00,50.00,Neutro
2024-10-18,50.00,50.00,Neutro
2024-10-21,50.00,50.00,Neutro
2024-10-22,66.67,50.00,Neutro
2024-10-23,66.67,60.00,Neutro
2024-10-24,50.00,50.00,Neutro
2024-10-25,66.67,50.00,Neutro
2024-10-28,66.67,57.14,Neutro
2024-10-29,83.33,70.00,Neutro
2024-10-30,71.43,63.64,Neutro
2024-10-31,55.56,58.33,Neutro
2024-11-01,55.56,58.33,Neutro
2024-11-04,62.50,58.33,Neutro
2024-11-05,55.56,58.33,Neutro
2024-11-06,60.00,61.54,Neutro
2024-11-07,50.00,64.29,Neutro
2024-11-08,50.00,60.00,Neutro
2024-11-11,71.43,62.50,Neutro
2024-11-12,57.14,56.25,Neutro
2024-11-13,62.50,62.50,Neutro
2024-11-14,71.43,62.50,Neutro
2024-11-15,60.00,60.00,Neutro
2024-11-18,50.00,50.00,Neutro
2024-11-19,40.00,46.15,Neutro
2024-11-20,40.00,58.33,Neutro
2024-11-21,50.00,54.55,Neutro
2024-11-22,33.33,54.55,Neutro
2024-11-25,33.33,60.00,Neutro
2024-11-26,33.33,50.00,Neutro
2024-11-27,50.00,50.00,Neutro
2024-11-29,100.00,57.14,Neutro
2024-12-02,50.00,42.86,Neutro
2024-12-03,50.00,50.00,Neutro
2024-12-04,50.00,40.00,Neutro
2024-12-05,66.67,50.00,Neutro
2024-12-06,66.67,50.00,Neutro
2024-12-09,50.00,50.00,Neutro
2024-12-10,50.00,75.00,Sobrecomprado
2024-12-11,100.00,75.00,Sobrecomprado
2024-12-12,66.67,60.00,Neutro
2024-12-13,66.67,60.00,Neutro
2024-12-16,50.00,60.00,Neutro
2024-12-17,83.33,77.78,Sobrecomprado
2024-12-18,50.00,50.00,Neutro
2024-12-19,54.55,53.85,Neutro
2024-12-20,54.55,61.54,Neutro
2024-12-23,54.55,57.14,Neutro
2024-12-24,50.00,53.33,Neutro
2024-12-26,50.00,50.00,Neutro
2024-12-27,40.00,56.25,Neutro
2024-12-30,50.00,50.00,Neutro
2024-12-31,50.00,52.63,Neutro
2025-01-02,50.00,52.63,Neutro
2025-01-03,57.14,55.56,Neutro
2025-01-06,57.14,52.63,Neutro
2025-01-07,62.50,55.00,Neutro
2025-01-08,50.00,43.75,Neutro
2025-01-10,75.00,58.33,Neutro
2025-01-13,66.67,54.55,Neutro
2025-01-14,75.00,58.33,Neutro
2025-01-15,75.00,63.64,Neutro
2025-01-16,100.00,70.00,Neutro
2025-01-17,100.00,70.00,Neutro
2025-01-21,100.00,62.50,Neutro
2025-01-22,100.00,83.33,Sobrecomprado
2025-01-23,100.00,96.00,Sobrecomprado
2025-01-24,57.14,58.97,Neutro
2025-01-27,50.00,52.27,Neutro
2025-01-28,51.22,54.55,Neutro
2025-01-29,51.22,53.49,Neutro
2025-01-30,51.22,53.49,Neutro
2025-01-31,53.49,55.56,Neutro
2025-02-03,13.04,55.56,Neutro
2025-02-04,37.50,53.49,Neutro
2025-02-05,100.00,53.49,Neutro
2025-02-06,100.00,53.49,Neutro
2025-02-07,100.00,54.55,Neutro
2025-02-10,100.00,56.52,Neutro
2025-02-11,50.00,53.06,Neutro
2025-02-12,62.50,25.81,Sobrevendido
2025-02-13,62.50,50.00,Neutro
2025-02-14,62.50,72.73,Sobrecomprado
2025-02-18,70.00,75.00,Sobrecomprado
2025-02-19,66.67,75.00,Sobrecomprado
2025-02-20,50.00,69.23,Neutro
2025-02-21,80.00,63.64,Neutro
2025-02-24,66.67,63.64,Neutro
2025-02-25,80.00,69.23,Neutro
2025-02-26,80.00,69.23,Neutro
2025-02-27,66.67,69.23,Neutro
2025-02-28,75.00,69.23,Neutro
2025-03-03,100.00,63.64,Neutro
2025-03-04,60.00,70.00,Neutro
2025-03-05,75.00,72.73,Sobrecomprado
2025-03-06,71.43,75.00,Sobrecomprado
2025-03-07,71.43,75.00,Sobrecomprado
2025-03-10,55.56,58.33,Neutro
2025-03-11,55.56,61.54,Neutro
2025-03-12,71.43,76.47,Sobrecomprado
2025-03-13,83.33,76.47,Sobrecomprado
2025-03-14,50.00,59.09,Neutro
2025-03-17,42.86,52.38,Neutro
2025-03-18,40.00,50.00,Neutro
2025-03-19,65.00,62.07,Neutro
2025-03-20,63.16,60.71,Neutro
2025-03-21,50.00,60.71,Neutro
2025-03-24,38.89,56.67,Neutro
2025-03-25,46.67,48.28,Neutro
2025-03-26,91.25,84.04,Sobrecomprado
2025-03-27,82.02,75.96,Sobrecomprado
2025-03-28,70.97,69.91,Neutro
2025-03-31,66.00,65.55,Neutro
2025-04-01,66.99,64.96,Neutro
2025-04-02,71.15,66.39,Neutro
2025-04-03,66.07,63.78,Neutro
2025-04-04,32.14,66.91,Neutro
2025-04-07,39.13,67.41,Neutro
