Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,100.00,100.00,Sobrecomprado
2016-01-07,55.17,55.17,Neutro
2016-01-08,40.09,40.09,Neutro
2016-01-11,49.23,49.23,Neutro
2016-01-12,55.87,55.87,Neutro
2016-01-13,37.58,37.58,Neutro
2016-01-14,43.74,50.93,Neutro
2016-01-15,32.84,41.35,Neutro
2016-01-19,35.38,39.75,Neutro
2016-01-20,45.17,43.73,Neutro
2016-01-21,40.83,43.64,Neutro
2016-01-22,44.85,48.71,Neutro
2016-01-25,50.10,44.19,Neutro
2016-01-26,40.70,42.35,Neutro
2016-01-27,45.56,37.68,Neutro
2016-01-28,56.59,44.22,Neutro
2016-01-29,65.88,55.12,Neutro
2016-02-01,68.55,55.14,Neutro
2016-02-02,52.17,48.58,Neutro
2016-02-03,66.87,59.07,Neutro
2016-02-04,66.75,55.72,Neutro
2016-02-05,53.31,50.65,Neutro
2016-02-08,46.32,50.09,Neutro
2016-02-09,28.17,46.04,Neutro
2016-02-10,23.60,46.40,Neutro
2016-02-11,36.95,45.21,Neutro
2016-02-12,44.45,55.85,Neutro
2016-02-16,44.10,55.64,Neutro
2016-02-17,83.22,65.01,Neutro
2016-02-18,75.45,58.58,Neutro
2016-02-19,82.58,53.63,Neutro
2016-02-22,83.96,54.02,Neutro
2016-02-23,75.87,57.29,Neutro
2016-02-24,71.74,56.78,Neutro
2016-02-25,72.97,57.50,Neutro
2016-02-26,38.73,59.21,Neutro
2016-02-29,50.82,63.31,Neutro
2016-03-01,56.90,69.03,Neutro
2016-03-02,51.68,68.17,Neutro
2016-03-03,51.54,63.81,Neutro
2016-03-04,51.54,60.93,Neutro
2016-03-07,46.62,59.80,Neutro
2016-03-08,79.17,52.58,Neutro
2016-03-09,76.47,59.42,Neutro
2016-03-10,40.90,52.50,Neutro
2016-03-11,60.59,54.88,Neutro
2016-03-14,64.59,56.02,Neutro
2016-03-15,51.67,51.58,Neutro
2016-03-16,58.61,50.70,Neutro
2016-03-17,63.64,71.61,Sobrecomprado
2016-03-18,68.93,72.28,Sobrecomprado
2016-03-21,88.02,66.04,Neutro
2016-03-22,81.76,68.08,Neutro
2016-03-23,83.87,71.58,Sobrecomprado
2016-03-24,87.11,66.98,Neutro
2016-03-28,83.27,66.85,Neutro
2016-03-29,83.13,69.78,Neutro
2016-03-30,78.42,71.16,Sobrecomprado
2016-03-31,84.64,86.82,Sobrecomprado
2016-04-01,87.03,84.38,Sobrecomprado
2016-04-04,100.00,91.80,Sobrecomprado
2016-04-05,74.47,80.23,Sobrecomprado
2016-04-06,79.71,80.91,Sobrecomprado
2016-04-07,57.02,64.69,Neutro
2016-04-08,54.20,60.43,Neutro
2016-04-11,40.67,55.20,Neutro
2016-04-12,34.09,54.92,Neutro
2016-04-13,37.91,60.71,Neutro
2016-04-14,43.08,57.37,Neutro
2016-04-15,23.65,55.97,Neutro
2016-04-18,60.14,58.05,Neutro
2016-04-19,58.99,55.81,Neutro
2016-04-20,72.89,50.13,Neutro
2016-04-21,44.57,38.47,Neutro
2016-04-22,34.90,36.81,Neutro
2016-04-25,40.00,41.94,Neutro
2016-04-26,62.59,44.41,Neutro
2016-04-27,46.29,52.52,Neutro
2016-04-28,27.99,38.57,Neutro
2016-04-29,26.60,39.80,Neutro
2016-05-02,49.28,47.46,Neutro
2016-05-03,43.13,40.48,Neutro
2016-05-04,35.08,36.35,Neutro
2016-05-05,25.53,39.46,Neutro
2016-05-06,33.33,37.70,Neutro
2016-05-09,52.55,40.41,Neutro
2016-05-10,64.58,46.29,Neutro
2016-05-11,50.95,50.09,Neutro
2016-05-12,58.10,49.49,Neutro
2016-05-13,79.12,48.64,Neutro
2016-05-16,84.22,49.19,Neutro
2016-05-17,59.59,44.85,Neutro
2016-05-18,58.98,55.71,Neutro
2016-05-19,38.24,52.13,Neutro
2016-05-20,55.01,53.19,Neutro
2016-05-23,64.17,61.92,Neutro
2016-05-24,73.99,75.28,Sobrecomprado
2016-05-25,55.59,64.04,Neutro
2016-05-26,69.77,66.42,Neutro
2016-05-27,71.02,67.21,Neutro
2016-05-31,71.33,60.62,Neutro
2016-06-01,68.59,63.37,Neutro
2016-06-02,66.60,65.51,Neutro
2016-06-03,50.82,63.88,Neutro
2016-06-06,72.46,61.88,Neutro
2016-06-07,64.94,68.25,Neutro
2016-06-08,45.78,63.35,Neutro
2016-06-09,60.20,68.48,Neutro
2016-06-10,42.08,60.68,Neutro
2016-06-13,23.36,53.42,Neutro
2016-06-14,36.36,45.82,Neutro
2016-06-15,26.32,55.80,Neutro
2016-06-16,24.22,48.18,Neutro
2016-06-17,23.48,36.40,Neutro
2016-06-20,48.51,53.44,Neutro
2016-06-21,63.80,53.49,Neutro
2016-06-22,56.62,42.08,Neutro
2016-06-23,67.26,56.01,Neutro
2016-06-24,45.85,40.89,Neutro
2016-06-27,40.66,36.81,Neutro
2016-06-28,52.40,45.73,Neutro
2016-06-29,56.77,54.39,Neutro
2016-06-30,61.51,62.08,Neutro
2016-07-01,68.20,64.91,Neutro
2016-07-05,64.23,65.36,Neutro
2016-07-06,88.82,66.14,Neutro
2016-07-07,100.00,67.28,Neutro
2016-07-08,100.00,72.81,Sobrecomprado
2016-07-11,100.00,70.44,Sobrecomprado
2016-07-12,100.00,70.66,Sobrecomprado
2016-07-13,91.84,74.26,Sobrecomprado
2016-07-14,91.22,71.38,Sobrecomprado
2016-07-15,67.62,81.26,Sobrecomprado
2016-07-18,63.12,87.80,Sobrecomprado
2016-07-19,41.05,83.15,Sobrecomprado
2016-07-20,38.86,77.82,Sobrecomprado
2016-07-21,16.17,59.62,Neutro
2016-07-22,31.79,61.91,Neutro
2016-07-25,24.43,57.90,Neutro
2016-07-26,31.58,53.40,Neutro
2016-07-27,19.71,42.53,Neutro
2016-07-28,19.62,29.58,Sobrevendido
2016-07-29,15.73,25.09,Sobrevendido
2016-08-01,20.93,18.41,Sobrevendido
2016-08-02,0.00,16.34,Sobrevendido
2016-08-03,11.49,17.59,Sobrevendido
2016-08-04,13.38,21.03,Sobrevendido
2016-08-05,40.66,31.34,Neutro
2016-08-08,49.81,36.38,Neutro
2016-08-09,62.21,36.99,Neutro
2016-08-10,70.27,48.27,Neutro
2016-08-11,100.00,44.84,Neutro
2016-08-12,75.68,40.42,Neutro
2016-08-15,80.78,48.58,Neutro
2016-08-16,60.22,49.69,Neutro
2016-08-17,57.96,53.45,Neutro
2016-08-18,54.42,58.33,Neutro
2016-08-19,49.22,60.90,Neutro
2016-08-22,42.56,70.59,Sobrecomprado
2016-08-23,70.12,72.91,Sobrecomprado
2016-08-24,25.68,49.79,Neutro
2016-08-25,30.77,43.34,Neutro
2016-08-26,31.34,42.29,Neutro
2016-08-29,36.80,43.98,Neutro
2016-08-30,37.99,42.23,Neutro
2016-08-31,42.12,42.29,Neutro
2016-09-01,38.37,51.14,Neutro
2016-09-02,90.23,43.68,Neutro
2016-09-06,70.68,44.31,Neutro
2016-09-07,72.97,46.15,Neutro
2016-09-08,52.33,42.73,Neutro
2016-09-09,32.68,35.63,Neutro
2016-09-12,32.54,37.89,Neutro
2016-09-13,12.05,24.32,Sobrevendido
2016-09-14,26.92,42.34,Neutro
2016-09-15,41.56,49.08,Neutro
2016-09-16,34.67,45.04,Neutro
2016-09-19,38.63,43.07,Neutro
2016-09-20,47.99,41.26,Neutro
2016-09-21,57.29,47.61,Neutro
2016-09-22,85.77,44.00,Neutro
2016-09-23,67.44,42.09,Neutro
2016-09-26,41.18,41.44,Neutro
2016-09-27,61.63,43.58,Neutro
2016-09-28,62.42,47.12,Neutro
2016-09-29,52.94,50.21,Neutro
2016-09-30,41.51,51.77,Neutro
2016-10-03,35.13,61.09,Neutro
2016-10-04,44.44,56.38,Neutro
2016-10-05,49.62,45.33,Neutro
2016-10-06,36.01,51.06,Neutro
2016-10-07,24.42,43.70,Neutro
2016-10-10,40.91,47.62,Neutro
2016-10-11,22.99,31.86,Neutro
2016-10-12,36.11,35.58,Neutro
2016-10-13,28.33,36.05,Neutro
2016-10-14,33.55,40.98,Neutro
2016-10-17,29.69,32.28,Neutro
2016-10-18,45.93,33.93,Neutro
2016-10-19,50.53,45.47,Neutro
2016-10-20,64.41,39.15,Neutro
2016-10-21,64.53,47.66,Neutro
2016-10-24,89.05,53.42,Neutro
2016-10-25,64.03,48.50,Neutro
2016-10-26,59.08,44.88,Neutro
2016-10-27,51.50,49.23,Neutro
2016-10-28,49.79,50.12,Neutro
2016-10-31,57.65,60.12,Neutro
2016-11-01,41.54,49.26,Neutro
2016-11-02,22.70,46.97,Neutro
2016-11-03,25.63,43.29,Neutro
2016-11-04,26.49,42.41,Neutro
2016-11-07,53.93,52.92,Neutro
2016-11-08,51.29,50.66,Neutro
2016-11-09,54.13,55.61,Neutro
2016-11-10,64.52,53.07,Neutro
2016-11-11,85.57,56.44,Neutro
2016-11-14,77.26,56.18,Neutro
2016-11-15,82.48,60.98,Neutro
2016-11-16,74.34,63.05,Neutro
2016-11-17,81.81,67.97,Neutro
2016-11-18,84.00,70.96,Sobrecomprado
2016-11-21,82.54,75.51,Sobrecomprado
2016-11-22,79.67,82.39,Sobrecomprado
2016-11-23,87.52,82.28,Sobrecomprado
2016-11-25,86.38,84.24,Sobrecomprado
2016-11-28,82.75,78.96,Sobrecomprado
2016-11-29,74.02,78.96,Sobrecomprado
2016-11-30,27.98,64.44,Neutro
2016-12-01,27.98,63.71,Neutro
2016-12-02,15.29,57.19,Neutro
2016-12-05,41.62,68.31,Neutro
2016-12-06,36.48,64.20,Neutro
2016-12-07,56.02,69.40,Neutro
2016-12-08,59.38,64.95,Neutro
2016-12-09,76.51,54.37,Neutro
2016-12-12,69.33,51.47,Neutro
2016-12-13,76.54,55.17,Neutro
2016-12-14,69.83,57.34,Neutro
2016-12-15,73.97,56.86,Neutro
2016-12-16,56.87,56.37,Neutro
2016-12-19,54.90,57.68,Neutro
2016-12-20,65.71,71.99,Sobrecomprado
2016-12-21,69.72,69.48,Neutro
2016-12-22,36.42,65.48,Neutro
2016-12-23,38.01,60.00,Neutro
2016-12-27,35.56,62.04,Neutro
2016-12-28,26.93,43.74,Neutro
2016-12-29,6.63,34.12,Neutro
2016-12-30,0.28,35.67,Neutro
2017-01-03,4.64,41.44,Neutro
2017-01-04,14.34,26.40,Sobrevendido
2017-01-05,31.96,34.87,Neutro
2017-01-06,53.19,46.41,Neutro
2017-01-09,68.36,47.05,Neutro
2017-01-10,70.97,38.52,Neutro
2017-01-11,79.23,38.78,Neutro
2017-01-12,81.87,47.97,Neutro
2017-01-13,81.03,54.03,Neutro
2017-01-17,58.69,46.84,Neutro
2017-01-18,32.39,45.20,Neutro
2017-01-19,40.23,56.29,Neutro
2017-01-20,63.69,67.36,Neutro
2017-01-23,60.77,70.37,Sobrecomprado
2017-01-24,69.73,75.67,Sobrecomprado
2017-01-25,76.36,78.31,Sobrecomprado
2017-01-26,69.49,65.04,Neutro
2017-01-27,73.68,59.64,Neutro
2017-01-30,72.27,61.71,Neutro
2017-01-31,65.75,64.86,Neutro
2017-02-01,55.49,57.47,Neutro
2017-02-02,38.56,54.69,Neutro
2017-02-03,25.24,57.21,Neutro
2017-02-06,37.32,60.82,Neutro
2017-02-07,28.09,60.05,Neutro
2017-02-08,20.82,53.26,Neutro
2017-02-09,17.42,44.08,Neutro
2017-02-10,47.92,52.16,Neutro
2017-02-13,55.63,48.13,Neutro
2017-02-14,54.68,43.00,Neutro
2017-02-15,61.38,53.57,Neutro
2017-02-16,69.34,54.63,Neutro
2017-02-17,89.11,58.71,Neutro
2017-02-21,100.00,58.53,Neutro
2017-02-22,84.23,62.03,Neutro
2017-02-23,86.15,67.27,Neutro
2017-02-24,95.63,81.96,Sobrecomprado
2017-02-27,78.50,73.74,Sobrecomprado
2017-02-28,75.37,73.74,Sobrecomprado
2017-03-01,68.66,73.83,Sobrecomprado
2017-03-02,70.17,76.84,Sobrecomprado
2017-03-03,75.10,76.61,Sobrecomprado
2017-03-06,70.66,73.68,Sobrecomprado
2017-03-07,29.73,69.87,Neutro
2017-03-08,47.26,70.05,Sobrecomprado
2017-03-09,43.04,66.08,Neutro
2017-03-10,54.85,65.19,Neutro
2017-03-13,46.85,65.19,Neutro
2017-03-14,13.50,64.41,Neutro
2017-03-15,25.82,62.41,Neutro
2017-03-16,29.58,29.69,Sobrevendido
2017-03-17,19.92,36.76,Neutro
2017-03-20,22.51,36.18,Neutro
2017-03-21,8.08,30.30,Neutro
2017-03-22,9.13,25.42,Sobrevendido
2017-03-23,8.28,10.17,Sobrevendido
2017-03-24,1.27,10.28,Sobrevendido
2017-03-27,1.07,9.59,Sobrevendido
2017-03-28,1.06,7.02,Sobrevendido
2017-03-29,1.14,7.65,Sobrevendido
2017-03-30,1.16,4.31,Sobrevendido
2017-03-31,6.39,7.61,Sobrevendido
2017-04-03,11.11,9.66,Sobrevendido
2017-04-04,11.41,6.19,Sobrevendido
2017-04-05,26.53,11.28,Sobrevendido
2017-04-06,51.55,24.38,Sobrevendido
2017-04-07,58.13,29.85,Sobrevendido
2017-04-10,96.15,38.62,Neutro
2017-04-11,95.79,38.62,Neutro
2017-04-12,75.27,39.83,Neutro
2017-04-13,78.30,41.43,Neutro
2017-04-17,79.48,53.28,Neutro
2017-04-18,73.84,60.10,Neutro
2017-04-19,58.48,58.25,Neutro
2017-04-20,45.12,71.02,Sobrecomprado
2017-04-21,45.45,69.80,Neutro
2017-04-24,65.05,70.80,Sobrecomprado
2017-04-25,67.83,73.45,Sobrecomprado
2017-04-26,25.95,47.97,Neutro
2017-04-27,70.90,71.42,Sobrecomprado
2017-04-28,70.85,68.81,Neutro
2017-05-01,74.84,69.09,Neutro
2017-05-02,75.34,69.62,Neutro
2017-05-03,73.09,71.70,Sobrecomprado
2017-05-04,73.15,72.17,Sobrecomprado
2017-05-05,94.00,71.29,Sobrecomprado
2017-05-08,64.13,70.11,Sobrecomprado
2017-05-09,85.50,72.68,Sobrecomprado
2017-05-10,85.85,76.27,Sobrecomprado
2017-05-11,74.07,75.19,Sobrecomprado
2017-05-12,71.79,72.93,Sobrecomprado
2017-05-15,79.40,74.15,Sobrecomprado
2017-05-16,74.33,90.23,Sobrecomprado
2017-05-17,41.74,48.14,Neutro
2017-05-18,32.63,49.52,Neutro
2017-05-19,30.51,48.87,Neutro
2017-05-22,52.32,57.81,Neutro
2017-05-23,67.37,68.32,Neutro
2017-05-24,83.65,82.98,Sobrecomprado
2017-05-25,84.90,83.29,Sobrecomprado
2017-05-26,98.51,83.45,Sobrecomprado
2017-05-30,100.00,84.24,Sobrecomprado
2017-05-31,100.00,84.42,Sobrecomprado
2017-06-01,100.00,85.85,Sobrecomprado
2017-06-02,100.00,88.34,Sobrecomprado
2017-06-05,96.88,87.00,Sobrecomprado
2017-06-06,79.09,83.36,Sobrecomprado
2017-06-07,79.63,92.89,Sobrecomprado
2017-06-08,76.55,94.10,Sobrecomprado
2017-06-09,46.91,83.44,Sobrecomprado
2017-06-12,38.12,80.14,Sobrecomprado
2017-06-13,22.71,78.21,Sobrecomprado
2017-06-14,27.71,61.08,Neutro
2017-06-15,32.57,57.93,Neutro
2017-06-16,24.45,54.43,Neutro
2017-06-19,31.81,53.40,Neutro
2017-06-20,49.38,47.74,Neutro
2017-06-21,58.33,44.48,Neutro
2017-06-22,51.67,33.54,Neutro
2017-06-23,53.23,37.29,Neutro
2017-06-26,34.45,33.55,Neutro
2017-06-27,22.79,23.43,Sobrevendido
2017-06-28,8.96,19.25,Sobrevendido
2017-06-29,7.12,19.62,Sobrevendido
2017-06-30,5.94,19.93,Sobrevendido
2017-07-03,5.39,17.24,Sobrevendido
2017-07-05,4.18,17.16,Sobrevendido
2017-07-06,4.97,16.71,Sobrevendido
2017-07-07,21.89,22.42,Sobrevendido
2017-07-10,20.52,14.16,Sobrevendido
2017-07-11,44.48,18.43,Sobrevendido
2017-07-12,61.50,25.00,Sobrevendido
2017-07-13,62.25,23.52,Sobrevendido
2017-07-14,63.76,23.87,Sobrevendido
2017-07-17,73.54,29.10,Sobrevendido
2017-07-18,72.04,43.12,Neutro
2017-07-19,80.35,50.79,Neutro
2017-07-20,79.09,64.91,Neutro
2017-07-21,65.02,63.29,Neutro
2017-07-24,89.50,76.65,Sobrecomprado
2017-07-25,89.74,77.38,Sobrecomprado
2017-07-26,89.96,82.55,Sobrecomprado
2017-07-27,83.56,78.35,Sobrecomprado
2017-07-28,55.00,68.95,Neutro
2017-07-31,65.76,71.98,Sobrecomprado
2017-08-01,73.14,69.51,Neutro
2017-08-02,52.72,70.70,Sobrecomprado
2017-08-03,52.92,71.10,Sobrecomprado
2017-08-04,47.58,68.84,Neutro
2017-08-07,47.88,65.29,Neutro
2017-08-08,56.36,55.66,Neutro
2017-08-09,44.27,57.97,Neutro
2017-08-10,26.28,51.54,Neutro
2017-08-11,50.70,51.69,Neutro
2017-08-14,62.50,58.45,Neutro
2017-08-15,53.52,51.25,Neutro
2017-08-16,57.58,53.94,Neutro
2017-08-17,42.40,46.22,Neutro
2017-08-18,37.73,39.25,Neutro
2017-08-21,53.33,45.24,Neutro
2017-08-22,56.47,54.70,Neutro
2017-08-23,36.38,45.81,Neutro
2017-08-24,40.38,45.94,Neutro
2017-08-25,47.73,51.64,Neutro
2017-08-28,67.57,54.06,Neutro
2017-08-29,70.42,52.87,Neutro
2017-08-30,70.91,61.49,Neutro
2017-08-31,68.41,61.57,Neutro
2017-09-01,97.17,57.88,Neutro
2017-09-05,94.78,61.26,Neutro
2017-09-06,85.60,58.92,Neutro
2017-09-07,81.56,72.25,Sobrecomprado
2017-09-08,83.13,75.00,Sobrecomprado
2017-09-11,79.81,73.72,Sobrecomprado
2017-09-12,64.38,67.34,Neutro
2017-09-13,52.56,83.08,Sobrecomprado
2017-09-14,59.62,84.74,Sobrecomprado
2017-09-15,70.48,80.88,Sobrecomprado
2017-09-18,85.44,83.29,Sobrecomprado
2017-09-19,88.31,85.61,Sobrecomprado
2017-09-20,77.72,78.80,Sobrecomprado
2017-09-21,73.80,69.81,Neutro
2017-09-22,85.82,74.35,Sobrecomprado
2017-09-25,67.76,65.56,Neutro
2017-09-26,67.66,68.35,Neutro
2017-09-27,54.45,66.49,Neutro
2017-09-28,27.53,53.20,Neutro
2017-09-29,28.34,47.67,Neutro
2017-10-02,28.71,47.06,Neutro
2017-10-03,2.92,49.00,Neutro
2017-10-04,24.06,52.60,Neutro
2017-10-05,26.99,53.16,Neutro
2017-10-06,52.05,53.33,Neutro
2017-10-09,78.24,45.27,Neutro
2017-10-10,83.19,48.07,Neutro
2017-10-11,80.39,47.87,Neutro
2017-10-12,87.36,49.75,Neutro
2017-10-13,81.89,57.06,Neutro
2017-10-16,68.85,51.78,Neutro
2017-10-17,63.03,57.35,Neutro
2017-10-18,67.71,72.07,Sobrecomprado
2017-10-19,71.24,75.90,Sobrecomprado
2017-10-20,82.82,81.93,Sobrecomprado
2017-10-23,64.54,76.88,Sobrecomprado
2017-10-24,74.39,77.87,Sobrecomprado
2017-10-25,89.24,79.06,Sobrecomprado
2017-10-26,90.91,79.34,Sobrecomprado
2017-10-27,92.79,83.71,Sobrecomprado
2017-10-30,73.82,72.89,Sobrecomprado
2017-10-31,66.51,73.28,Sobrecomprado
2017-11-01,72.62,69.72,Neutro
2017-11-02,70.96,72.40,Sobrecomprado
2017-11-03,73.04,79.51,Sobrecomprado
2017-11-06,58.28,73.50,Sobrecomprado
2017-11-07,42.37,72.22,Sobrecomprado
2017-11-08,66.28,71.46,Sobrecomprado
2017-11-09,64.65,65.88,Neutro
2017-11-10,68.34,71.02,Sobrecomprado
2017-11-13,72.47,71.60,Sobrecomprado
2017-11-14,65.95,70.54,Sobrecomprado
2017-11-15,61.08,59.38,Neutro
2017-11-16,72.59,58.33,Neutro
2017-11-17,74.28,71.20,Sobrecomprado
2017-11-20,83.29,76.39,Sobrecomprado
2017-11-21,44.27,51.18,Neutro
2017-11-22,36.11,48.54,Neutro
2017-11-24,45.27,50.74,Neutro
2017-11-27,53.42,55.62,Neutro
2017-11-28,50.56,58.44,Neutro
2017-11-29,41.12,53.08,Neutro
2017-11-30,48.11,60.49,Neutro
2017-12-01,74.12,56.89,Neutro
2017-12-04,62.78,49.24,Neutro
2017-12-05,53.01,48.38,Neutro
2017-12-06,57.08,55.00,Neutro
2017-12-07,48.84,49.81,Neutro
2017-12-08,55.99,46.94,Neutro
2017-12-11,36.89,44.93,Neutro
2017-12-12,44.35,63.60,Neutro
2017-12-13,74.20,65.75,Neutro
2017-12-14,70.45,58.49,Neutro
2017-12-15,79.11,65.27,Neutro
2017-12-18,90.94,66.24,Neutro
2017-12-19,80.06,67.50,Neutro
2017-12-20,73.57,57.81,Neutro
2017-12-21,66.58,57.99,Neutro
2017-12-22,62.92,66.73,Neutro
2017-12-26,67.15,68.29,Neutro
2017-12-27,40.22,61.89,Neutro
2017-12-28,12.50,64.79,Neutro
2017-12-29,14.44,61.95,Neutro
2018-01-02,40.51,63.62,Neutro
2018-01-03,58.82,64.50,Neutro
2018-01-04,80.22,70.27,Sobrecomprado
2018-01-05,84.66,75.62,Sobrecomprado
2018-01-08,87.18,68.83,Neutro
2018-01-09,90.35,67.64,Neutro
2018-01-10,84.78,67.15,Neutro
2018-01-11,77.92,67.21,Neutro
2018-01-12,80.41,75.11,Sobrecomprado
2018-01-16,53.80,64.29,Neutro
2018-01-17,53.24,67.76,Neutro
2018-01-18,53.35,68.84,Neutro
2018-01-19,63.14,74.78,Sobrecomprado
2018-01-22,74.33,79.06,Sobrecomprado
2018-01-23,76.46,77.12,Sobrecomprado
2018-01-24,65.65,72.91,Sobrecomprado
2018-01-25,85.54,68.69,Neutro
2018-01-26,86.63,69.67,Neutro
2018-01-29,75.28,64.81,Neutro
2018-01-30,55.54,60.21,Neutro
2018-01-31,44.10,62.78,Neutro
2018-02-01,33.66,57.01,Neutro
2018-02-02,29.17,47.22,Neutro
2018-02-05,17.04,39.99,Neutro
2018-02-06,20.12,43.01,Neutro
2018-02-07,23.92,43.70,Neutro
