Date,RSI_7,RSI_14,RSI_Sinal
2022-08-26,,,Neutro
2022-08-29,0.00,0.00,Sobrevendido
2022-08-30,0.00,0.00,Sobrevendido
2022-08-31,0.00,0.00,Sobrevendido
2022-09-01,0.00,0.00,Sobrevendido
2022-09-02,0.00,0.00,Sobrevendido
2022-09-06,0.00,0.00,Sobrevendido
2022-09-07,0.21,0.21,Sobrevendido
2022-09-08,0.68,0.20,Sobrevendido
2022-09-09,1.13,0.20,Sobrevendido
2022-09-12,3.94,0.53,Sobrevendido
2022-09-13,4.10,0.53,Sobrevendido
2022-09-14,17.96,2.39,Sobrevendido
2022-09-15,28.46,2.33,Sobrevendido
2022-09-16,22.67,2.30,Sobrevendido
2022-09-19,33.57,8.69,Sobrevendido
2022-09-20,30.97,12.11,Sobrevendido
2022-09-21,24.02,13.35,Sobrevendido
2022-09-22,23.12,13.39,Sobrevendido
2022-09-23,14.88,16.58,Sobrevendido
2022-09-26,15.62,21.38,Sobrevendido
2022-09-27,25.33,24.00,Sobrevendido
2022-09-28,20.57,27.11,Sobrevendido
2022-09-29,26.67,29.09,Sobrevendido
2022-09-30,29.91,26.22,Sobrevendido
2022-10-03,32.99,26.50,Sobrevendido
2022-10-04,31.58,20.91,Sobrevendido
2022-10-05,46.15,24.44,Sobrevendido
2022-10-06,47.76,32.26,Neutro
2022-10-07,35.06,25.69,Sobrevendido
2022-10-10,28.92,27.59,Sobrevendido
2022-10-11,39.44,33.71,Neutro
2022-10-12,53.70,40.40,Neutro
2022-10-13,34.48,32.68,Neutro
2022-10-14,33.90,40.32,Neutro
2022-10-17,17.02,35.09,Neutro
2022-10-18,27.27,32.73,Neutro
2022-10-19,20.45,25.98,Sobrevendido
2022-10-20,12.20,29.46,Sobrevendido
2022-10-21,8.33,32.35,Neutro
2022-10-24,6.06,19.35,Sobrevendido
2022-10-25,14.29,23.26,Sobrevendido
2022-10-26,20.00,18.85,Sobrevendido
2022-10-27,16.09,19.17,Sobrevendido
2022-10-28,20.59,20.54,Sobrevendido
2022-10-31,19.18,16.67,Sobrevendido
2022-11-01,21.54,15.93,Sobrevendido
2022-11-02,25.00,14.75,Sobrevendido
2022-11-03,19.23,16.39,Sobrevendido
2022-11-04,6.67,15.00,Sobrevendido
2022-11-07,57.35,34.19,Neutro
2022-11-08,60.40,40.88,Neutro
2022-11-09,43.39,33.08,Neutro
2022-11-10,46.13,36.64,Neutro
2022-11-11,59.10,45.30,Neutro
2022-11-14,63.13,47.21,Neutro
2022-11-15,58.21,41.92,Neutro
2022-11-16,28.59,42.52,Neutro
2022-11-17,22.61,40.92,Neutro
2022-11-18,37.78,41.63,Neutro
2022-11-21,24.49,39.17,Neutro
2022-11-22,26.00,46.60,Neutro
2022-11-23,7.50,46.19,Neutro
2022-11-25,20.21,47.63,Neutro
2022-11-28,21.59,26.30,Sobrevendido
2022-11-29,20.71,21.98,Sobrevendido
2022-11-30,22.89,31.46,Neutro
2022-12-01,43.15,31.46,Neutro
2022-12-02,33.97,29.06,Sobrevendido
2022-12-05,28.07,16.98,Sobrevendido
2022-12-06,13.30,16.76,Sobrevendido
2022-12-07,17.24,19.63,Sobrevendido
2022-12-08,23.81,21.84,Sobrevendido
2022-12-09,36.51,28.77,Sobrevendido
2022-12-12,16.54,30.77,Neutro
2022-12-13,15.91,25.69,Sobrevendido
2022-12-14,22.22,25.69,Sobrevendido
2022-12-15,24.30,17.29,Sobrevendido
2022-12-16,21.31,19.10,Sobrevendido
2022-12-19,34.69,30.16,Neutro
2022-12-20,17.65,25.68,Sobrevendido
2022-12-21,17.65,17.17,Sobrevendido
2022-12-22,15.96,15.94,Sobrevendido
2022-12-23,13.48,16.86,Sobrevendido
2022-12-27,13.09,17.11,Sobrevendido
2022-12-28,15.17,17.67,Sobrevendido
2022-12-29,1.30,17.61,Sobrevendido
