Date,RSI_7,RSI_14,RSI_Sinal
2015-01-02,,,Neutro
2015-01-05,0.00,0.00,Sobrevendido
2015-01-06,25.00,25.00,Sobrevendido
2015-01-07,82.35,82.35,Sobrecomprado
2015-01-08,91.89,91.89,Sobrecomprado
2015-01-09,82.93,82.93,Sobrecomprado
2015-01-12,70.83,70.83,Sobrecomprado
2015-01-13,74.07,74.07,Sobrecomprado
2015-01-14,82.81,79.10,Sobrecomprado
2015-01-15,84.51,81.33,Sobrecomprado
2015-01-16,84.29,83.91,Sobrecomprado
2015-01-20,83.33,86.41,Sobrecomprado
2015-01-21,90.54,87.83,Sobrecomprado
2015-01-22,100.00,88.52,Sobrecomprado
2015-01-23,87.18,81.82,Sobrecomprado
2015-01-26,86.30,84.67,Sobrecomprado
2015-01-27,84.85,84.67,Sobrecomprado
2015-01-28,69.84,77.44,Sobrecomprado
2015-01-29,64.81,75.00,Sobrecomprado
2015-01-30,35.94,65.22,Neutro
2015-02-02,43.06,71.92,Sobrecomprado
2015-02-03,44.29,66.89,Neutro
2015-02-04,45.83,66.21,Neutro
2015-02-05,36.78,57.52,Neutro
2015-02-06,46.51,56.38,Neutro
2015-02-09,40.74,50.37,Neutro
2015-02-10,63.38,50.37,Neutro
2015-02-11,59.38,50.74,Neutro
2015-02-12,54.29,49.29,Neutro
2015-02-13,36.36,40.94,Neutro
2015-02-17,47.62,41.33,Neutro
2015-02-18,50.00,48.03,Neutro
2015-02-19,53.73,46.62,Neutro
2015-02-20,50.00,57.14,Neutro
2015-02-23,42.59,51.69,Neutro
2015-02-24,58.54,55.86,Neutro
2015-02-25,100.00,52.43,Neutro
2015-02-26,68.57,55.10,Neutro
2015-02-27,65.63,55.10,Neutro
2015-03-02,67.65,58.42,Neutro
2015-03-03,53.33,51.09,Neutro
2015-03-04,38.10,40.62,Neutro
2015-03-05,50.00,53.76,Neutro
2015-03-06,42.11,60.24,Neutro
2015-03-09,57.69,62.07,Neutro
2015-03-10,40.00,49.43,Neutro
2015-03-11,26.98,41.24,Neutro
2015-03-12,42.67,45.71,Neutro
2015-03-13,43.24,41.38,Neutro
2015-03-16,40.00,44.26,Neutro
2015-03-17,34.15,37.41,Neutro
2015-03-18,37.93,45.32,Neutro
2015-03-19,40.24,40.15,Neutro
2015-03-20,55.00,42.66,Neutro
2015-03-23,48.57,45.52,Neutro
2015-03-24,59.02,50.37,Neutro
2015-03-25,49.15,44.19,Neutro
2015-03-26,82.54,55.17,Neutro
2015-03-27,75.93,52.48,Neutro
2015-03-30,87.72,59.71,Neutro
2015-03-31,65.00,59.29,Neutro
2015-04-01,61.82,54.40,Neutro
2015-04-02,55.17,57.14,Neutro
2015-04-06,65.00,57.14,Neutro
2015-04-07,53.33,70.37,Sobrecomprado
2015-04-08,48.98,63.11,Neutro
2015-04-09,40.48,67.68,Neutro
2015-04-10,54.84,61.54,Neutro
2015-04-13,43.59,54.26,Neutro
2015-04-14,51.43,53.76,Neutro
2015-04-15,36.67,55.56,Neutro
2015-04-16,26.92,43.66,Neutro
2015-04-17,18.92,36.05,Neutro
2015-04-20,33.33,36.78,Neutro
2015-04-21,55.00,54.95,Neutro
2015-04-22,57.89,52.08,Neutro
2015-04-23,58.62,55.91,Neutro
2015-04-24,59.65,51.72,Neutro
2015-04-27,41.10,37.37,Neutro
2015-04-28,43.48,34.91,Neutro
2015-04-29,28.57,30.43,Neutro
2015-04-30,3.28,28.93,Sobrevendido
2015-05-01,26.03,40.00,Neutro
2015-05-04,26.03,40.46,Neutro
2015-05-05,24.05,38.97,Neutro
2015-05-06,31.67,36.84,Neutro
2015-05-07,44.00,43.70,Neutro
2015-05-08,65.31,43.70,Neutro
2015-05-11,76.19,33.01,Neutro
2015-05-12,45.45,32.08,Neutro
2015-05-13,61.70,40.00,Neutro
2015-05-14,77.08,44.09,Neutro
2015-05-15,74.00,50.91,Neutro
2015-05-18,70.83,57.14,Neutro
2015-05-19,65.00,65.17,Neutro
2015-05-20,66.67,71.60,Sobrecomprado
2015-05-21,85.29,65.67,Neutro
2015-05-22,50.00,57.53,Neutro
2015-05-26,20.00,57.53,Neutro
2015-05-27,48.48,63.86,Neutro
2015-05-28,43.24,58.82,Neutro
2015-05-29,35.90,50.63,Neutro
2015-06-01,35.00,50.63,Neutro
2015-06-02,25.58,51.95,Neutro
2015-06-03,35.14,41.27,Neutro
2015-06-04,31.71,27.27,Sobrevendido
2015-06-05,4.26,22.50,Sobrevendido
2015-06-08,4.26,21.43,Sobrevendido
2015-06-09,4.44,19.05,Sobrevendido
2015-06-10,21.15,27.17,Sobrevendido
2015-06-11,35.19,30.93,Neutro
2015-06-12,28.33,30.93,Neutro
2015-06-15,28.81,30.00,Neutro
2015-06-16,51.92,29.29,Sobrevendido
2015-06-17,62.96,35.64,Neutro
2015-06-18,70.00,41.90,Neutro
2015-06-19,62.26,41.90,Neutro
2015-06-22,56.52,45.00,Neutro
2015-06-23,60.47,41.75,Neutro
2015-06-24,80.00,47.87,Neutro
2015-06-25,75.00,60.00,Neutro
2015-06-26,69.57,64.94,Neutro
2015-06-29,23.53,53.19,Neutro
2015-06-30,21.62,45.56,Neutro
2015-07-01,49.12,52.43,Neutro
2015-07-02,49.12,54.00,Neutro
2015-07-06,56.72,64.71,Neutro
2015-07-07,68.13,69.75,Neutro
2015-07-08,57.69,59.84,Neutro
2015-07-09,71.59,58.20,Neutro
2015-07-10,78.49,62.31,Neutro
2015-07-13,76.74,65.73,Neutro
2015-07-14,82.14,68.79,Neutro
2015-07-15,76.00,66.90,Neutro
2015-07-16,66.67,67.59,Neutro
2015-07-17,90.00,66.67,Neutro
2015-07-20,90.48,77.69,Sobrecomprado
2015-07-21,77.78,78.29,Sobrecomprado
2015-07-22,60.87,73.39,Sobrecomprado
2015-07-23,28.95,65.57,Neutro
2015-07-24,44.19,64.41,Neutro
2015-07-27,32.50,52.13,Neutro
2015-07-28,52.73,68.42,Neutro
2015-07-29,54.39,69.70,Neutro
2015-07-30,61.40,67.74,Neutro
2015-07-31,65.57,64.29,Neutro
2015-08-03,93.75,65.12,Neutro
2015-08-04,94.12,71.28,Sobrecomprado
2015-08-05,100.00,75.23,Sobrecomprado
2015-08-06,81.54,68.33,Neutro
2015-08-07,73.02,64.17,Neutro
2015-08-10,70.00,65.81,Neutro
2015-08-11,66.07,65.81,Neutro
2015-08-12,61.54,77.00,Sobrecomprado
2015-08-13,57.45,76.53,Sobrecomprado
2015-08-14,28.57,79.38,Sobrecomprado
2015-08-17,68.00,77.78,Sobrecomprado
2015-08-18,73.91,73.26,Sobrecomprado
2015-08-19,70.83,70.24,Sobrecomprado
2015-08-20,45.95,58.06,Neutro
2015-08-21,25.76,41.53,Neutro
2015-08-24,12.50,28.15,Sobrevendido
2015-08-25,8.33,12.50,Sobrevendido
2015-08-26,16.81,25.69,Sobrevendido
2015-08-27,21.31,29.66,Sobrevendido
2015-08-28,21.67,29.86,Sobrevendido
2015-08-31,23.42,29.05,Sobrevendido
2015-09-01,26.80,26.38,Sobrevendido
2015-09-02,48.81,30.23,Neutro
2015-09-03,68.18,31.03,Neutro
2015-09-04,41.67,25.14,Sobrevendido
2015-09-08,54.55,34.17,Neutro
2015-09-09,43.30,31.34,Neutro
2015-09-10,48.45,35.10,Neutro
2015-09-11,60.92,42.93,Neutro
2015-09-14,50.67,49.69,Neutro
2015-09-15,52.56,59.72,Neutro
2015-09-16,67.14,55.38,Neutro
2015-09-17,57.41,55.73,Neutro
2015-09-18,75.61,52.90,Neutro
2015-09-21,78.26,58.04,Neutro
2015-09-22,60.00,60.58,Neutro
2015-09-23,67.31,57.48,Neutro
2015-09-24,63.83,56.80,Neutro
2015-09-25,63.04,65.52,Neutro
2015-09-28,42.31,50.00,Neutro
