Date,RSI_7,RSI_14,RSI_Sinal
2021-08-04,,,Neutro
2021-08-05,,,Neutro
2021-08-06,,,Neutro
2021-08-09,100.00,100.00,Sobrecomprado
2021-08-10,100.00,100.00,Sobrecomprado
2021-08-11,25.00,25.00,Sobrevendido
2021-08-12,50.00,50.00,Neutro
2021-08-13,57.14,57.14,Neutro
2021-08-16,44.44,44.44,Neutro
2021-08-17,66.67,66.67,Neutro
2021-08-18,63.83,66.23,Neutro
2021-08-19,63.83,66.23,Neutro
2021-08-20,81.25,66.45,Neutro
2021-08-23,82.79,71.98,Sobrecomprado
2021-08-24,82.79,73.44,Sobrecomprado
2021-08-25,99.02,73.44,Sobrecomprado
2021-08-26,97.62,73.44,Sobrecomprado
2021-08-27,100.00,71.98,Sobrecomprado
2021-08-30,42.71,55.27,Neutro
2021-08-31,60.43,69.72,Neutro
2021-09-01,50.00,67.24,Neutro
2021-09-02,54.17,68.60,Neutro
2021-09-03,54.17,74.77,Sobrecomprado
2021-09-07,54.17,65.43,Neutro
2021-09-08,60.71,69.61,Neutro
2021-09-09,100.00,69.61,Neutro
2021-09-10,100.00,69.44,Neutro
2021-09-13,100.00,63.33,Neutro
2021-09-14,100.00,65.62,Neutro
2021-09-15,100.00,69.44,Neutro
2021-09-16,85.71,65.79,Neutro
2021-09-17,80.00,65.79,Neutro
2021-09-20,80.00,92.59,Sobrecomprado
2021-09-21,85.71,90.99,Sobrecomprado
2021-09-22,85.71,90.91,Sobrecomprado
2021-09-23,66.67,80.00,Sobrecomprado
2021-09-24,50.00,80.00,Sobrecomprado
2021-09-27,66.67,80.00,Sobrecomprado
2021-09-28,66.67,75.00,Sobrecomprado
2021-09-29,66.67,75.00,Sobrecomprado
2021-09-30,50.00,77.78,Sobrecomprado
2021-10-01,50.00,77.78,Sobrecomprado
2021-10-04,100.00,71.43,Sobrecomprado
2021-10-05,100.00,60.00,Neutro
2021-10-06,100.00,75.00,Sobrecomprado
2021-10-07,50.00,60.00,Neutro
2021-10-08,50.00,60.00,Neutro
2021-10-11,50.00,50.00,Neutro
2021-10-12,50.00,50.00,Neutro
2021-10-13,66.67,75.00,Sobrecomprado
2021-10-14,40.00,50.00,Neutro
2021-10-15,57.14,62.50,Neutro
2021-10-18,84.62,80.00,Sobrecomprado
2021-10-19,47.83,48.00,Neutro
2021-10-20,49.79,49.81,Neutro
2021-10-21,49.79,49.81,Neutro
2021-10-22,48.28,50.38,Neutro
2021-10-25,56.52,53.57,Neutro
2021-10-26,53.49,54.39,Neutro
2021-10-27,31.03,56.36,Neutro
2021-10-28,100.00,57.14,Neutro
2021-10-29,75.61,53.57,Neutro
2021-11-01,80.39,55.17,Neutro
2021-11-02,79.17,53.57,Neutro
2021-11-03,62.50,57.25,Neutro
2021-11-04,42.86,52.00,Neutro
2021-11-05,42.86,33.33,Neutro
2021-11-08,33.33,75.00,Sobrecomprado
2021-11-09,50.00,67.21,Neutro
2021-11-10,50.00,71.83,Sobrecomprado
2021-11-11,25.00,54.55,Neutro
2021-11-12,26.31,42.86,Neutro
2021-11-15,58.33,51.81,Neutro
2021-11-16,58.33,51.81,Neutro
2021-11-17,58.33,48.72,Neutro
2021-11-18,42.42,44.19,Neutro
2021-11-19,42.42,44.19,Neutro
2021-11-22,60.87,44.19,Neutro
2021-11-23,83.78,69.13,Neutro
2021-11-24,46.01,48.82,Neutro
2021-11-26,43.35,46.61,Neutro
2021-11-29,43.35,46.61,Neutro
2021-11-30,52.94,50.00,Neutro
2021-12-01,50.00,47.79,Neutro
2021-12-02,50.00,52.43,Neutro
2021-12-03,15.79,52.43,Neutro
2021-12-06,60.00,47.87,Neutro
2021-12-07,42.86,43.27,Neutro
2021-12-08,80.95,57.55,Neutro
2021-12-09,77.78,61.54,Neutro
2021-12-10,77.78,60.00,Neutro
2021-12-13,53.85,51.72,Neutro
2021-12-14,64.71,47.17,Neutro
2021-12-15,55.00,55.56,Neutro
2021-12-16,47.83,47.17,Neutro
2021-12-17,58.62,64.56,Neutro
2021-12-20,41.98,48.48,Neutro
2021-12-21,41.46,48.00,Neutro
2021-12-22,43.59,46.15,Neutro
2021-12-23,42.11,49.09,Neutro
2021-12-27,47.22,50.00,Neutro
2021-12-28,56.25,52.73,Neutro
2021-12-29,25.00,44.90,Neutro
2021-12-30,58.82,44.90,Neutro
2021-12-31,66.67,46.00,Neutro
2022-01-03,75.00,48.94,Neutro
2022-01-04,50.00,43.18,Neutro
2022-01-05,53.13,48.11,Neutro
2022-01-06,50.00,55.26,Neutro
2022-01-07,50.00,30.77,Neutro
2022-01-10,50.00,55.17,Neutro
2022-01-11,33.33,53.33,Neutro
2022-01-12,28.57,53.33,Neutro
2022-01-13,50.00,50.00,Neutro
2022-01-14,39.39,46.15,Neutro
2022-01-18,30.77,40.00,Neutro
2022-01-19,41.67,45.83,Neutro
2022-01-20,52.06,51.13,Neutro
2022-01-21,50.00,42.65,Neutro
2022-01-24,57.58,42.65,Neutro
2022-01-25,23.69,37.18,Neutro
2022-01-26,45.28,43.02,Neutro
2022-01-27,54.31,45.86,Neutro
2022-01-28,50.00,47.16,Neutro
2022-01-31,43.69,47.16,Neutro
2022-02-01,55.00,52.84,Neutro
2022-02-02,61.11,59.62,Neutro
2022-02-03,91.94,54.35,Neutro
2022-02-04,87.50,56.85,Neutro
2022-02-07,85.71,61.59,Neutro
2022-02-08,100.00,65.06,Neutro
2022-02-09,71.43,54.91,Neutro
2022-02-10,71.43,61.76,Neutro
2022-02-11,77.78,69.44,Neutro
2022-02-14,81.48,85.29,Sobrecomprado
2022-02-15,83.33,84.38,Sobrecomprado
2022-02-16,64.29,68.57,Neutro
2022-02-17,68.55,76.08,Sobrecomprado
2022-02-18,78.42,76.08,Sobrecomprado
2022-02-22,71.74,71.63,Sobrecomprado
2022-02-23,66.95,71.63,Sobrecomprado
2022-02-24,57.28,69.67,Neutro
2022-02-25,39.80,63.76,Neutro
2022-02-28,57.35,62.02,Neutro
2022-03-01,0.00,52.40,Neutro
2022-03-02,28.99,62.02,Neutro
2022-03-03,33.33,60.10,Neutro
2022-03-04,38.46,56.83,Neutro
2022-03-07,38.46,50.00,Neutro
2022-03-08,41.67,40.51,Neutro
2022-03-09,53.33,55.24,Neutro
2022-03-10,57.14,33.61,Neutro
2022-03-11,40.00,33.61,Neutro
2022-03-14,40.00,36.36,Neutro
2022-03-15,33.33,36.36,Neutro
2022-03-16,37.50,38.10,Neutro
2022-03-17,50.00,44.44,Neutro
2022-03-18,0.00,44.44,Neutro
2022-03-21,100.00,67.03,Neutro
2022-03-22,100.00,57.75,Neutro
2022-03-23,100.00,66.67,Neutro
2022-03-24,100.00,64.71,Neutro
2022-03-25,100.00,68.75,Neutro
2022-03-28,100.00,78.57,Sobrecomprado
2022-03-29,80.00,61.54,Neutro
2022-03-30,74.36,83.33,Sobrecomprado
2022-03-31,74.36,83.33,Sobrecomprado
2022-04-01,50.00,83.33,Sobrecomprado
2022-04-04,25.00,62.50,Neutro
2022-04-05,25.00,62.50,Neutro
2022-04-06,50.00,70.00,Neutro
2022-04-07,60.00,70.00,Neutro
2022-04-08,40.00,55.06,Neutro
2022-04-11,40.00,55.06,Neutro
2022-04-12,40.00,42.86,Neutro
2022-04-13,50.00,37.50,Neutro
2022-04-14,50.00,37.50,Neutro
2022-04-18,0.00,37.50,Neutro
2022-04-19,0.00,42.86,Neutro
2022-04-20,66.67,50.00,Neutro
2022-04-21,66.67,50.00,Neutro
2022-04-22,50.00,44.44,Neutro
2022-04-25,66.67,57.14,Neutro
2022-04-26,77.27,64.29,Neutro
2022-04-27,70.83,50.00,Neutro
2022-04-28,70.83,50.00,Neutro
2022-04-29,50.00,58.62,Neutro
2022-05-02,50.00,58.62,Neutro
2022-05-03,77.78,58.62,Neutro
2022-05-04,50.00,58.62,Neutro
2022-05-05,0.00,58.62,Neutro
2022-05-06,0.00,58.62,Neutro
2022-05-09,0.00,50.00,Neutro
