Date,RSI_7,RSI_14,RSI_Sinal
2000-01-03,,,Neutro
2000-01-04,0.00,0.00,Sobrevendido
2000-01-05,0.00,0.00,Sobrevendido
2000-01-06,0.00,0.00,Sobrevendido
2000-01-07,0.00,0.00,Sobrevendido
2000-01-10,26.09,26.09,Sobrevendido
2000-01-11,20.83,20.83,Sobrevendido
2000-01-12,20.41,20.41,Sobrevendido
2000-01-13,43.18,39.38,Neutro
2000-01-14,71.74,53.01,Neutro
2000-01-18,66.67,46.98,Neutro
2000-01-19,65.35,45.99,Neutro
2000-01-20,65.00,50.79,Neutro
2000-01-21,78.08,53.17,Neutro
2000-01-24,61.34,45.72,Neutro
2000-01-25,53.06,48.39,Neutro
2000-01-26,32.00,53.89,Neutro
2000-01-27,64.65,65.66,Neutro
2000-01-28,71.68,68.69,Neutro
2000-01-31,69.23,67.16,Neutro
2000-02-01,73.11,75.30,Sobrecomprado
2000-02-02,95.69,78.30,Sobrecomprado
2000-02-03,97.40,82.41,Sobrecomprado
2000-02-04,87.79,73.26,Sobrecomprado
2000-02-07,86.93,79.53,Sobrecomprado
2000-02-08,90.85,85.39,Sobrecomprado
2000-02-09,91.28,85.57,Sobrecomprado
2000-02-10,92.60,87.67,Sobrecomprado
2000-02-11,91.99,92.95,Sobrecomprado
2000-02-14,77.92,85.74,Sobrecomprado
2000-02-15,83.15,85.20,Sobrecomprado
2000-02-16,74.02,79.54,Sobrecomprado
2000-02-17,66.87,80.68,Sobrecomprado
2000-02-18,60.23,78.79,Sobrecomprado
2000-02-22,34.43,76.95,Sobrecomprado
2000-02-23,55.99,78.68,Sobrecomprado
2000-02-24,72.86,76.00,Sobrecomprado
2000-02-25,71.63,78.56,Sobrecomprado
2000-02-28,61.59,68.59,Neutro
2000-02-29,82.35,77.45,Sobrecomprado
2000-03-01,61.63,61.28,Neutro
2000-03-02,64.80,59.71,Neutro
2000-03-03,67.53,65.03,Neutro
2000-03-06,76.14,75.62,Sobrecomprado
2000-03-07,73.53,73.24,Sobrecomprado
2000-03-08,71.32,69.66,Neutro
2000-03-09,55.66,65.45,Neutro
2000-03-10,73.36,67.88,Neutro
2000-03-13,60.24,62.32,Neutro
2000-03-14,57.80,62.59,Neutro
2000-03-15,32.21,62.05,Neutro
2000-03-16,32.00,60.47,Neutro
2000-03-17,32.80,59.66,Neutro
2000-03-20,26.72,43.81,Neutro
2000-03-21,13.61,47.17,Neutro
2000-03-22,40.36,51.68,Neutro
2000-03-23,40.10,49.94,Neutro
2000-03-24,43.40,38.66,Neutro
2000-03-27,48.34,41.15,Neutro
2000-03-28,44.32,39.56,Neutro
2000-03-29,53.07,39.67,Neutro
2000-03-30,53.61,33.23,Neutro
2000-03-31,40.27,40.32,Neutro
2000-04-03,21.14,31.96,Neutro
2000-04-04,13.22,30.80,Neutro
2000-04-05,8.54,29.49,Sobrevendido
2000-04-06,30.14,38.04,Neutro
2000-04-07,38.26,45.99,Neutro
2000-04-10,39.08,46.71,Neutro
2000-04-11,30.21,34.90,Neutro
2000-04-12,34.33,27.52,Sobrevendido
2000-04-13,34.71,23.50,Sobrevendido
2000-04-14,33.86,19.75,Sobrevendido
2000-04-17,9.19,21.35,Sobrevendido
2000-04-18,15.22,27.98,Sobrevendido
2000-04-19,25.51,33.11,Neutro
2000-04-20,32.34,31.13,Neutro
2000-04-24,31.22,32.86,Neutro
2000-04-25,39.01,36.74,Neutro
2000-04-26,60.28,44.70,Neutro
2000-04-27,60.82,31.90,Neutro
2000-04-28,46.22,27.27,Sobrevendido
2000-05-01,36.11,29.44,Sobrevendido
2000-05-02,24.95,29.39,Sobrevendido
2000-05-03,26.24,29.34,Sobrevendido
2000-05-04,15.68,30.33,Neutro
2000-05-05,23.49,43.76,Neutro
2000-05-08,28.46,47.73,Neutro
2000-05-09,31.32,40.02,Neutro
2000-05-10,27.46,31.97,Neutro
2000-05-11,39.27,31.14,Neutro
2000-05-12,58.45,39.16,Neutro
2000-05-15,71.60,40.29,Neutro
2000-05-16,58.59,35.02,Neutro
2000-05-17,66.66,41.86,Neutro
2000-05-18,55.20,41.30,Neutro
2000-05-19,49.46,36.54,Neutro
2000-05-22,35.29,37.42,Neutro
2000-05-23,29.54,44.37,Neutro
2000-05-24,7.54,43.91,Neutro
2000-05-25,4.81,28.38,Sobrevendido
2000-05-26,2.46,25.65,Sobrevendido
2000-05-30,24.76,36.32,Neutro
2000-05-31,52.63,51.43,Neutro
2000-06-01,61.96,50.69,Neutro
2000-06-02,65.88,52.21,Neutro
2000-06-05,72.69,49.43,Neutro
2000-06-06,80.54,49.15,Neutro
2000-06-07,99.70,48.71,Neutro
2000-06-08,82.98,48.85,Neutro
2000-06-09,75.62,59.66,Neutro
2000-06-12,53.84,58.95,Neutro
2000-06-13,40.93,58.57,Neutro
2000-06-14,27.45,58.66,Neutro
2000-06-15,31.16,63.58,Neutro
2000-06-16,27.46,69.10,Neutro
2000-06-19,40.28,64.68,Neutro
2000-06-20,55.82,63.89,Neutro
2000-06-21,51.26,52.39,Neutro
2000-06-22,44.94,43.53,Neutro
2000-06-23,49.84,41.18,Neutro
2000-06-26,55.00,46.09,Neutro
2000-06-27,56.41,44.54,Neutro
2000-06-28,51.15,46.99,Neutro
2000-06-29,21.74,40.80,Neutro
2000-06-30,53.65,52.16,Neutro
2000-07-03,59.19,49.62,Neutro
2000-07-05,59.43,53.21,Neutro
2000-07-06,47.02,52.83,Neutro
2000-07-07,72.97,62.13,Neutro
2000-07-10,86.58,65.82,Neutro
2000-07-11,90.98,58.14,Neutro
2000-07-12,90.98,74.94,Sobrecomprado
2000-07-13,100.00,87.09,Sobrecomprado
2000-07-14,100.00,87.16,Sobrecomprado
2000-07-17,100.00,86.55,Sobrecomprado
2000-07-18,100.00,91.65,Sobrecomprado
2000-07-19,87.05,86.87,Sobrecomprado
2000-07-20,81.70,85.38,Sobrecomprado
2000-07-21,68.57,77.50,Sobrecomprado
2000-07-24,33.43,67.48,Neutro
2000-07-25,42.82,69.97,Neutro
2000-07-26,35.88,66.46,Neutro
2000-07-27,20.63,63.70,Neutro
2000-07-28,22.09,57.30,Neutro
2000-07-31,20.99,53.21,Neutro
2000-08-01,23.76,48.84,Neutro
2000-08-02,33.18,33.33,Neutro
2000-08-03,42.00,42.52,Neutro
2000-08-04,47.94,39.94,Neutro
2000-08-07,29.45,24.89,Sobrevendido
2000-08-08,27.04,24.67,Sobrevendido
2000-08-09,30.94,25.79,Sobrevendido
2000-08-10,22.71,23.14,Sobrevendido
2000-08-11,27.73,29.58,Sobrevendido
2000-08-14,19.95,28.69,Sobrevendido
2000-08-15,31.34,36.91,Neutro
2000-08-16,39.62,34.67,Neutro
2000-08-17,46.74,35.91,Neutro
2000-08-18,53.59,42.51,Neutro
2000-08-21,87.60,45.37,Neutro
2000-08-22,90.46,53.99,Neutro
2000-08-23,92.78,57.34,Neutro
2000-08-24,77.86,53.71,Neutro
2000-08-25,81.56,61.76,Neutro
2000-08-28,74.88,63.33,Neutro
2000-08-29,78.30,68.21,Neutro
2000-08-30,79.69,82.16,Sobrecomprado
2000-08-31,67.22,76.21,Sobrecomprado
2000-09-01,56.71,75.62,Sobrecomprado
2000-09-05,72.47,75.33,Sobrecomprado
2000-09-06,56.09,67.67,Neutro
2000-09-07,62.90,68.72,Neutro
2000-09-08,57.07,68.94,Neutro
2000-09-11,42.89,64.32,Neutro
2000-09-12,48.92,59.85,Neutro
2000-09-13,43.54,50.83,Neutro
2000-09-14,44.11,59.57,Neutro
2000-09-15,71.20,60.52,Neutro
2000-09-18,36.25,51.71,Neutro
2000-09-19,34.41,46.90,Neutro
2000-09-20,27.42,34.96,Neutro
2000-09-21,22.34,33.09,Neutro
2000-09-22,20.82,29.34,Sobrevendido
2000-09-25,15.83,26.91,Sobrevendido
2000-09-26,15.47,31.85,Neutro
2000-09-27,31.12,33.58,Neutro
2000-09-28,20.25,27.22,Sobrevendido
2000-09-29,28.14,27.69,Sobrevendido
2000-10-02,50.70,28.82,Sobrevendido
2000-10-03,46.15,26.93,Sobrevendido
2000-10-04,53.85,26.59,Sobrevendido
2000-10-05,60.38,29.66,Sobrevendido
2000-10-06,44.39,36.05,Neutro
2000-10-09,51.74,32.37,Neutro
2000-10-10,68.59,46.45,Neutro
2000-10-11,60.49,56.48,Neutro
