Date,RSI_7,RSI_14,RSI_Sinal
2021-02-12,,,Neutro
2021-02-16,100.00,100.00,Sobrecomprado
2021-02-17,14.08,14.08,Sobrevendido
2021-02-18,13.16,13.16,Sobrevendido
2021-02-19,6.90,6.90,Sobrevendido
2021-02-22,35.41,35.41,Neutro
2021-02-23,30.08,30.08,Neutro
2021-02-24,53.26,53.26,Neutro
2021-02-25,48.06,49.37,Neutro
2021-02-26,64.10,56.40,Neutro
2021-03-01,63.29,55.20,Neutro
2021-03-02,78.59,57.80,Neutro
2021-03-03,67.61,54.84,Neutro
2021-03-04,57.64,46.69,Neutro
2021-03-05,34.70,45.44,Neutro
2021-03-08,43.19,46.12,Neutro
2021-03-09,22.93,49.92,Neutro
2021-03-10,34.22,52.74,Neutro
2021-03-11,54.04,66.91,Neutro
2021-03-12,53.05,60.22,Neutro
2021-03-15,59.39,58.41,Neutro
2021-03-16,59.39,47.59,Neutro
2021-03-17,59.66,51.99,Neutro
2021-03-18,57.33,43.55,Neutro
2021-03-19,49.83,43.05,Neutro
2021-03-22,16.00,40.64,Neutro
2021-03-23,14.97,39.22,Neutro
2021-03-24,14.36,41.39,Neutro
2021-03-25,15.56,42.71,Neutro
2021-03-26,4.30,38.25,Neutro
2021-03-29,4.35,37.47,Neutro
2021-03-30,33.05,42.29,Neutro
2021-03-31,36.76,28.27,Sobrevendido
2021-04-01,42.66,29.88,Sobrevendido
2021-04-05,62.03,35.69,Neutro
2021-04-06,64.20,38.60,Neutro
2021-04-07,78.08,36.75,Neutro
2021-04-08,92.42,41.14,Neutro
2021-04-09,84.37,43.89,Neutro
2021-04-12,81.13,44.44,Neutro
2021-04-13,100.00,58.47,Neutro
2021-04-14,100.00,76.28,Sobrecomprado
2021-04-15,71.77,67.48,Neutro
2021-04-16,44.89,59.94,Neutro
2021-04-19,36.04,58.66,Neutro
2021-04-20,31.63,43.73,Neutro
2021-04-21,24.78,35.34,Neutro
2021-04-22,8.81,36.23,Neutro
2021-04-23,8.81,38.89,Neutro
2021-04-26,24.19,43.23,Neutro
2021-04-27,36.00,41.20,Neutro
2021-04-28,43.69,38.67,Neutro
2021-04-29,54.88,38.05,Neutro
2021-04-30,81.97,36.77,Neutro
2021-05-03,80.65,26.27,Sobrevendido
2021-05-04,52.38,19.53,Sobrevendido
2021-05-05,12.82,22.22,Sobrevendido
2021-05-06,6.02,24.04,Sobrevendido
2021-05-07,21.98,33.51,Neutro
2021-05-10,20.20,35.91,Neutro
2021-05-11,13.64,38.01,Neutro
2021-05-12,13.51,37.57,Neutro
2021-05-13,14.56,28.92,Sobrevendido
2021-05-14,22.94,20.27,Sobrevendido
2021-05-17,38.46,20.27,Sobrevendido
2021-05-18,55.06,38.33,Neutro
2021-05-19,74.60,50.67,Neutro
2021-05-20,64.83,42.75,Neutro
2021-05-21,77.11,54.49,Neutro
2021-05-24,69.20,51.99,Neutro
2021-05-25,70.64,55.52,Neutro
2021-05-26,74.53,67.47,Neutro
2021-05-27,70.50,66.20,Neutro
2021-05-28,62.50,67.36,Neutro
2021-06-01,79.12,72.54,Sobrecomprado
2021-06-02,66.22,73.24,Sobrecomprado
2021-06-03,75.77,71.18,Sobrecomprado
2021-06-04,75.00,71.88,Sobrecomprado
2021-06-07,71.34,73.78,Sobrecomprado
2021-06-08,51.14,64.26,Neutro
2021-06-09,47.86,56.89,Neutro
2021-06-10,45.05,65.66,Neutro
2021-06-11,60.40,62.88,Neutro
2021-06-14,73.68,74.50,Sobrecomprado
2021-06-15,50.00,58.33,Neutro
2021-06-16,47.49,54.98,Neutro
2021-06-17,63.01,58.41,Neutro
2021-06-18,68.79,60.34,Neutro
2021-06-21,69.32,59.93,Neutro
2021-06-22,62.50,61.43,Neutro
2021-06-23,61.15,67.70,Neutro
2021-06-24,100.00,69.68,Neutro
2021-06-25,90.91,65.00,Neutro
2021-06-28,90.43,73.96,Sobrecomprado
2021-06-29,87.85,76.07,Sobrecomprado
2021-06-30,87.62,76.16,Sobrecomprado
2021-07-01,88.39,73.83,Sobrecomprado
2021-07-02,86.60,71.61,Sobrecomprado
2021-07-06,36.43,67.33,Neutro
2021-07-07,36.15,62.55,Neutro
2021-07-08,20.14,51.35,Neutro
2021-07-09,34.30,54.84,Neutro
2021-07-12,25.41,47.93,Neutro
2021-07-13,26.60,49.67,Neutro
2021-07-14,16.84,34.55,Neutro
2021-07-15,22.22,27.54,Sobrevendido
2021-07-16,22.12,27.38,Sobrevendido
2021-07-19,24.37,22.58,Sobrevendido
2021-07-20,10.29,22.19,Sobrevendido
2021-07-21,34.98,30.41,Neutro
2021-07-22,23.77,25.06,Sobrevendido
2021-07-23,41.41,24.46,Sobrevendido
2021-07-26,40.46,29.11,Sobrevendido
2021-07-27,37.32,28.13,Sobrevendido
2021-07-28,49.34,35.24,Neutro
2021-07-29,41.67,26.20,Sobrevendido
2021-07-30,16.79,27.84,Sobrevendido
2021-08-02,20.75,22.80,Sobrevendido
2021-08-03,27.93,35.15,Neutro
2021-08-04,28.44,35.00,Neutro
2021-08-05,48.57,42.11,Neutro
2021-08-06,35.71,44.49,Neutro
2021-08-09,62.50,46.05,Neutro
2021-08-10,46.88,26.67,Sobrevendido
2021-08-11,65.57,37.13,Neutro
2021-08-12,34.07,30.69,Neutro
2021-08-13,12.86,17.71,Sobrevendido
2021-08-16,4.18,16.85,Sobrevendido
2021-08-17,7.01,13.80,Sobrevendido
2021-08-18,9.03,16.92,Sobrevendido
2021-08-19,15.33,21.30,Sobrevendido
2021-08-20,11.15,20.69,Sobrevendido
2021-08-23,12.26,17.90,Sobrevendido
2021-08-24,36.07,20.66,Sobrevendido
2021-08-25,59.55,18.18,Sobrevendido
2021-08-26,47.83,17.36,Sobrevendido
2021-08-27,44.19,17.36,Sobrevendido
2021-08-30,25.61,17.70,Sobrevendido
2021-08-31,43.28,17.23,Sobrevendido
2021-09-01,60.94,21.85,Sobrevendido
2021-09-02,57.63,43.09,Neutro
2021-09-03,57.63,58.78,Neutro
2021-09-07,72.34,56.12,Neutro
2021-09-08,58.62,50.00,Neutro
2021-09-09,84.72,53.25,Neutro
2021-09-10,65.43,55.41,Neutro
2021-09-13,56.58,58.57,Neutro
2021-09-14,40.91,47.62,Neutro
2021-09-15,45.83,50.32,Neutro
2021-09-16,42.72,52.00,Neutro
2021-09-17,49.47,52.94,Neutro
2021-09-20,24.39,52.60,Neutro
2021-09-21,28.99,48.67,Neutro
2021-09-22,40.54,48.67,Neutro
2021-09-23,64.79,51.57,Neutro
2021-09-24,53.70,48.67,Neutro
2021-09-27,66.04,50.64,Neutro
2021-09-28,64.00,54.48,Neutro
2021-09-29,59.26,38.24,Neutro
2021-09-30,58.18,41.94,Neutro
2021-10-01,59.65,48.85,Neutro
2021-10-04,26.47,46.04,Neutro
2021-10-05,31.51,40.94,Neutro
2021-10-06,20.99,38.81,Neutro
2021-10-07,26.44,40.15,Neutro
2021-10-08,39.47,47.69,Neutro
2021-10-11,44.59,50.39,Neutro
2021-10-12,46.05,51.88,Neutro
2021-10-13,80.28,53.96,Neutro
2021-10-14,85.26,61.90,Neutro
2021-10-15,87.10,56.32,Neutro
2021-10-18,72.82,51.58,Neutro
2021-10-19,70.10,56.65,Neutro
2021-10-20,67.71,57.65,Neutro
2021-10-21,48.57,47.51,Neutro
2021-10-22,28.43,49.71,Neutro
2021-10-25,17.05,52.46,Neutro
2021-10-26,18.29,54.86,Neutro
2021-10-27,26.09,54.07,Neutro
2021-10-28,26.47,52.12,Neutro
2021-10-29,25.71,50.00,Neutro
2021-11-01,43.14,46.79,Neutro
2021-11-02,83.87,49.39,Neutro
2021-11-03,81.48,41.55,Neutro
2021-11-04,95.45,58.24,Neutro
2021-11-05,66.94,52.11,Neutro
2021-11-08,58.27,47.83,Neutro
2021-11-09,51.59,43.61,Neutro
2021-11-10,50.97,49.03,Neutro
2021-11-11,37.40,52.33,Neutro
2021-11-12,32.31,46.74,Neutro
2021-11-15,1.98,45.50,Neutro
2021-11-16,2.45,40.99,Neutro
2021-11-17,2.38,37.22,Neutro
2021-11-18,86.87,77.85,Sobrecomprado
2021-11-19,92.22,85.31,Sobrecomprado
2021-11-22,97.91,94.99,Sobrecomprado
2021-11-23,68.81,67.56,Neutro
2021-11-24,81.61,80.33,Sobrecomprado
2021-11-26,68.82,68.09,Neutro
2021-11-29,65.07,64.40,Neutro
2021-11-30,63.20,64.59,Neutro
2021-12-01,56.83,60.09,Neutro
2021-12-02,41.55,58.43,Neutro
2021-12-03,52.81,59.47,Neutro
2021-12-06,8.51,59.61,Neutro
2021-12-07,14.48,59.27,Neutro
2021-12-08,33.90,60.44,Neutro
2021-12-09,27.97,56.79,Neutro
2021-12-10,45.40,55.40,Neutro
2021-12-13,51.24,42.89,Neutro
2021-12-14,35.07,50.42,Neutro
2021-12-15,32.41,14.20,Sobrevendido
2021-12-16,29.92,20.12,Sobrevendido
2021-12-17,22.13,29.49,Sobrevendido
2021-12-20,26.09,27.41,Sobrevendido
2021-12-21,39.43,42.81,Neutro
2021-12-22,41.51,46.84,Neutro
2021-12-23,31.07,32.80,Neutro
2021-12-27,28.80,30.31,Neutro
2021-12-28,31.85,30.96,Neutro
2021-12-29,20.37,21.19,Sobrevendido
2021-12-30,31.42,29.02,Sobrevendido
2021-12-31,10.58,26.20,Sobrevendido
2022-01-03,12.15,28.48,Sobrevendido
2022-01-04,21.15,28.54,Sobrevendido
2022-01-05,38.58,30.64,Neutro
2022-01-06,24.12,29.60,Sobrevendido
2022-01-07,24.01,21.52,Sobrevendido
2022-01-10,7.63,24.17,Sobrevendido
2022-01-11,23.56,14.99,Sobrevendido
2022-01-12,18.03,14.64,Sobrevendido
2022-01-13,18.79,19.85,Sobrevendido
2022-01-14,18.97,26.29,Sobrevendido
2022-01-18,25.68,24.80,Sobrevendido
2022-01-19,21.41,22.76,Sobrevendido
2022-01-20,21.57,14.85,Sobrevendido
2022-01-21,6.59,14.58,Sobrevendido
2022-01-24,12.23,15.67,Sobrevendido
2022-01-25,23.31,20.70,Sobrevendido
2022-01-26,36.06,26.94,Sobrevendido
2022-01-27,33.89,30.25,Neutro
2022-01-28,44.20,31.56,Neutro
2022-01-31,52.14,35.97,Neutro
2022-02-01,68.46,32.63,Neutro
2022-02-02,51.47,33.38,Neutro
2022-02-03,50.14,37.45,Neutro
2022-02-04,41.42,38.43,Neutro
2022-02-07,61.16,43.44,Neutro
2022-02-08,51.50,47.52,Neutro
2022-02-09,46.69,49.92,Neutro
2022-02-10,39.15,55.53,Neutro
2022-02-11,54.76,52.50,Neutro
2022-02-14,36.93,45.83,Neutro
2022-02-15,36.93,39.79,Neutro
2022-02-16,39.67,51.47,Neutro
2022-02-17,37.63,45.65,Neutro
2022-02-18,27.64,38.10,Neutro
2022-02-22,39.25,39.20,Neutro
2022-02-23,38.36,45.48,Neutro
2022-02-24,42.86,40.05,Neutro
2022-02-25,26.44,31.71,Neutro
2022-02-28,40.47,40.10,Neutro
2022-03-01,61.81,49.87,Neutro
2022-03-02,63.40,45.29,Neutro
2022-03-03,44.98,42.08,Neutro
2022-03-04,43.12,40.73,Neutro
2022-03-07,36.02,38.95,Neutro
2022-03-08,31.33,29.54,Sobrevendido
2022-03-09,53.50,49.24,Neutro
2022-03-10,47.86,52.34,Neutro
2022-03-11,47.18,52.26,Neutro
2022-03-14,43.89,44.23,Neutro
2022-03-15,49.66,47.50,Neutro
2022-03-16,60.00,50.81,Neutro
2022-03-17,76.51,59.15,Neutro
2022-03-18,47.04,50.63,Neutro
2022-03-21,46.26,47.12,Neutro
