Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,0.00,0.00,Sobrevendido
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,0.00,0.00,Sobrevendido
2016-01-11,0.00,0.00,Sobrevendido
2016-01-12,7.14,7.14,Sobrevendido
2016-01-13,6.42,6.42,Sobrevendido
2016-01-14,18.72,17.74,Sobrevendido
2016-01-15,16.42,14.19,Sobrevendido
2016-01-19,41.26,25.70,Sobrevendido
2016-01-20,62.05,34.32,Neutro
2016-01-21,66.93,38.99,Neutro
2016-01-22,60.23,37.36,Neutro
2016-01-25,66.11,37.64,Neutro
2016-01-26,67.86,44.15,Neutro
2016-01-27,75.00,43.35,Neutro
2016-01-28,65.78,52.44,Neutro
2016-01-29,69.23,65.51,Neutro
2016-02-01,58.55,63.31,Neutro
2016-02-02,50.22,55.58,Neutro
2016-02-03,43.02,54.12,Neutro
2016-02-04,36.64,52.89,Neutro
2016-02-05,39.53,57.79,Neutro
2016-02-08,34.14,47.71,Neutro
2016-02-09,10.38,41.69,Neutro
2016-02-10,9.18,33.00,Neutro
2016-02-11,10.44,32.43,Neutro
2016-02-12,28.09,36.93,Neutro
2016-02-16,39.34,37.92,Neutro
2016-02-17,53.88,46.98,Neutro
2016-02-18,61.27,46.36,Neutro
2016-02-19,63.76,39.40,Neutro
2016-02-22,81.16,45.17,Neutro
2016-02-23,78.14,47.10,Neutro
2016-02-24,80.66,58.43,Neutro
2016-02-25,76.26,57.21,Neutro
2016-02-26,76.50,64.35,Neutro
2016-02-29,75.37,68.30,Neutro
2016-03-01,76.96,70.34,Sobrecomprado
2016-03-02,76.08,78.61,Sobrecomprado
2016-03-03,91.62,84.48,Sobrecomprado
2016-03-04,90.06,84.41,Sobrecomprado
2016-03-07,91.71,83.89,Sobrecomprado
2016-03-08,69.27,72.96,Sobrecomprado
2016-03-09,79.52,77.48,Sobrecomprado
2016-03-10,69.54,73.43,Sobrecomprado
2016-03-11,74.79,75.39,Sobrecomprado
2016-03-14,66.67,77.65,Sobrecomprado
2016-03-15,62.15,74.13,Sobrecomprado
2016-03-16,53.63,73.39,Sobrecomprado
2016-03-17,73.68,71.22,Sobrecomprado
2016-03-18,72.60,76.69,Sobrecomprado
2016-03-21,73.61,71.26,Sobrecomprado
2016-03-22,44.00,65.68,Neutro
2016-03-23,47.31,61.31,Neutro
2016-03-24,50.51,58.47,Neutro
2016-03-28,49.50,52.14,Neutro
2016-03-29,56.78,66.30,Neutro
2016-03-30,43.96,61.60,Neutro
2016-03-31,38.83,59.11,Neutro
2016-04-01,49.44,46.56,Neutro
2016-04-04,60.76,53.49,Neutro
2016-04-05,63.10,56.28,Neutro
2016-04-06,66.25,56.91,Neutro
2016-04-07,25.32,44.16,Neutro
2016-04-08,42.16,43.01,Neutro
2016-04-11,55.84,46.11,Neutro
2016-04-12,50.65,50.00,Neutro
2016-04-13,65.45,63.49,Neutro
2016-04-14,62.38,62.70,Neutro
2016-04-15,52.07,57.71,Neutro
2016-04-18,72.34,50.87,Neutro
2016-04-19,51.76,46.52,Neutro
2016-04-20,69.29,64.22,Neutro
2016-04-21,67.69,61.35,Neutro
2016-04-22,60.00,62.79,Neutro
2016-04-25,55.96,59.05,Neutro
2016-04-26,74.55,62.77,Neutro
2016-04-27,75.65,74.16,Sobrecomprado
2016-04-28,64.93,59.82,Neutro
2016-04-29,33.86,51.57,Neutro
2016-05-02,49.01,57.65,Neutro
2016-05-03,38.27,46.82,Neutro
2016-05-04,36.26,43.93,Neutro
2016-05-05,23.43,43.16,Neutro
2016-05-06,21.18,43.16,Neutro
2016-05-09,23.84,43.16,Neutro
2016-05-10,46.21,40.44,Neutro
2016-05-11,31.30,41.35,Neutro
2016-05-12,27.27,33.33,Neutro
2016-05-13,29.03,33.22,Neutro
2016-05-16,51.91,35.62,Neutro
2016-05-17,47.37,32.67,Neutro
2016-05-18,60.99,41.78,Neutro
2016-05-19,44.35,45.35,Neutro
2016-05-20,60.47,48.78,Neutro
2016-05-23,79.10,53.38,Neutro
2016-05-24,87.79,63.18,Neutro
2016-05-25,85.91,70.00,Neutro
2016-05-26,91.36,71.53,Sobrecomprado
2016-05-27,90.85,76.53,Sobrecomprado
2016-05-31,100.00,76.29,Sobrecomprado
2016-06-01,100.00,76.71,Sobrecomprado
2016-06-02,100.00,88.89,Sobrecomprado
2016-06-03,100.00,91.57,Sobrecomprado
2016-06-06,97.14,89.50,Sobrecomprado
2016-06-07,97.85,93.73,Sobrecomprado
2016-06-08,97.70,93.33,Sobrecomprado
2016-06-09,83.82,95.32,Sobrecomprado
2016-06-10,62.50,84.13,Sobrecomprado
2016-06-13,53.92,78.64,Sobrecomprado
2016-06-14,57.27,74.87,Sobrecomprado
2016-06-15,56.25,71.98,Sobrecomprado
2016-06-16,28.17,67.68,Neutro
2016-06-17,12.24,52.43,Neutro
2016-06-20,33.62,52.17,Neutro
2016-06-21,42.71,52.17,Neutro
2016-06-22,43.16,48.73,Neutro
2016-06-23,59.70,58.61,Neutro
2016-06-24,35.09,42.06,Neutro
2016-06-27,24.77,25.38,Sobrevendido
2016-06-28,38.64,32.72,Neutro
2016-06-29,36.20,35.52,Neutro
2016-06-30,43.48,43.32,Neutro
2016-07-01,43.36,43.32,Neutro
2016-07-05,31.87,39.71,Neutro
2016-07-06,42.25,38.89,Neutro
2016-07-07,73.74,43.38,Neutro
2016-07-08,75.00,52.47,Neutro
2016-07-11,75.70,51.85,Neutro
2016-07-12,74.13,54.31,Neutro
2016-07-13,80.31,56.05,Neutro
2016-07-14,92.39,53.04,Neutro
2016-07-15,100.00,65.75,Neutro
2016-07-18,100.00,85.10,Sobrecomprado
2016-07-19,86.54,78.85,Sobrecomprado
2016-07-20,87.39,79.69,Sobrecomprado
2016-07-21,64.08,70.72,Sobrecomprado
2016-07-22,66.96,75.41,Sobrecomprado
2016-07-25,63.73,82.17,Sobrecomprado
2016-07-26,83.33,90.73,Sobrecomprado
