Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,100.00,100.00,Sobrecomprado
2016-01-07,16.52,16.52,Sobrevendido
2016-01-08,10.80,10.80,Sobrevendido
2016-01-11,9.22,9.22,Sobrevendido
2016-01-12,13.02,13.02,Sobrevendido
2016-01-13,9.06,9.06,Sobrevendido
2016-01-14,11.64,16.37,Sobrevendido
2016-01-15,9.47,13.78,Sobrevendido
2016-01-19,12.33,13.51,Sobrevendido
2016-01-20,15.58,13.51,Sobrevendido
2016-01-21,20.67,14.98,Sobrevendido
2016-01-22,39.11,27.57,Sobrevendido
2016-01-25,46.90,25.05,Sobrevendido
2016-01-26,46.67,26.15,Sobrevendido
2016-01-27,48.61,23.66,Sobrevendido
2016-01-28,55.60,31.49,Neutro
2016-01-29,66.67,44.81,Neutro
2016-02-01,68.11,49.53,Neutro
2016-02-02,55.85,47.39,Neutro
2016-02-03,72.91,60.59,Neutro
2016-02-04,48.01,47.46,Neutro
2016-02-05,50.16,49.53,Neutro
2016-02-08,51.55,53.25,Neutro
2016-02-09,34.77,52.21,Neutro
2016-02-10,31.84,52.46,Neutro
2016-02-11,52.48,54.00,Neutro
2016-02-12,59.52,64.86,Neutro
2016-02-16,78.13,62.11,Neutro
2016-02-17,93.03,72.16,Sobrecomprado
2016-02-18,69.54,61.45,Neutro
2016-02-19,59.69,50.77,Neutro
2016-02-22,56.77,48.17,Neutro
2016-02-23,55.63,54.32,Neutro
2016-02-24,48.85,54.09,Neutro
2016-02-25,51.54,62.83,Neutro
2016-02-26,37.19,65.54,Neutro
2016-02-29,51.07,62.68,Neutro
2016-03-01,78.03,64.72,Neutro
2016-03-02,89.42,66.86,Neutro
2016-03-03,87.71,64.72,Neutro
2016-03-04,85.43,59.01,Neutro
2016-03-07,71.43,57.53,Neutro
2016-03-08,82.69,55.11,Neutro
2016-03-09,92.10,75.09,Sobrecomprado
2016-03-10,41.35,48.67,Neutro
2016-03-11,34.96,47.79,Neutro
2016-03-14,36.83,47.25,Neutro
2016-03-15,33.16,41.79,Neutro
2016-03-16,38.66,44.41,Neutro
2016-03-17,44.94,52.16,Neutro
2016-03-18,32.04,49.18,Neutro
2016-03-21,57.64,47.83,Neutro
2016-03-22,65.31,47.37,Neutro
2016-03-23,60.10,45.41,Neutro
2016-03-24,72.84,45.26,Neutro
2016-03-28,66.21,46.06,Neutro
2016-03-29,37.18,43.77,Neutro
2016-03-30,85.71,40.49,Neutro
2016-03-31,91.03,65.67,Neutro
2016-04-01,88.98,70.09,Sobrecomprado
2016-04-04,61.94,60.61,Neutro
2016-04-05,47.76,63.43,Neutro
2016-04-06,53.77,60.96,Neutro
2016-04-07,58.30,49.87,Neutro
2016-04-08,65.61,72.67,Sobrecomprado
2016-04-11,68.60,76.03,Sobrecomprado
2016-04-12,61.11,68.87,Neutro
2016-04-13,72.45,68.57,Neutro
2016-04-14,89.85,71.73,Sobrecomprado
2016-04-15,89.49,73.35,Sobrecomprado
2016-04-18,90.63,76.10,Sobrecomprado
2016-04-19,83.64,72.22,Sobrecomprado
2016-04-20,84.75,74.68,Sobrecomprado
2016-04-21,61.22,61.16,Neutro
2016-04-22,64.29,68.36,Neutro
2016-04-25,56.11,74.54,Sobrecomprado
2016-04-26,60.41,75.30,Sobrecomprado
2016-04-27,47.28,73.73,Sobrecomprado
2016-04-28,48.68,64.97,Neutro
2016-04-29,39.76,62.97,Neutro
2016-05-02,93.83,69.33,Neutro
2016-05-03,61.73,63.69,Neutro
2016-05-04,63.29,58.00,Neutro
2016-05-05,53.97,59.09,Neutro
2016-05-06,82.63,64.10,Neutro
2016-05-09,89.45,72.84,Sobrecomprado
2016-05-10,90.61,71.56,Sobrecomprado
2016-05-11,64.96,70.13,Sobrecomprado
2016-05-12,60.86,61.01,Neutro
2016-05-13,58.07,58.91,Neutro
2016-05-16,57.56,57.08,Neutro
2016-05-17,32.83,47.53,Neutro
2016-05-18,11.26,48.53,Neutro
2016-05-19,16.77,50.92,Neutro
2016-05-20,35.18,52.88,Neutro
2016-05-23,48.17,56.35,Neutro
2016-05-24,68.67,62.52,Neutro
2016-05-25,84.86,74.01,Sobrecomprado
2016-05-26,100.00,74.55,Sobrecomprado
2016-05-27,90.61,66.77,Neutro
2016-05-31,90.48,67.09,Neutro
2016-06-01,91.56,77.78,Sobrecomprado
2016-06-02,82.64,75.59,Sobrecomprado
2016-06-03,80.53,77.16,Sobrecomprado
2016-06-06,70.72,78.54,Sobrecomprado
2016-06-07,63.52,86.09,Sobrecomprado
2016-06-08,76.45,85.96,Sobrecomprado
2016-06-09,75.15,85.53,Sobrecomprado
2016-06-10,52.54,82.51,Sobrecomprado
2016-06-13,81.87,82.51,Sobrecomprado
2016-06-14,81.76,80.76,Sobrecomprado
2016-06-15,60.82,69.12,Neutro
2016-06-16,74.83,66.61,Neutro
2016-06-17,33.02,55.49,Neutro
2016-06-20,49.41,60.69,Neutro
2016-06-21,49.41,50.53,Neutro
2016-06-22,42.98,53.71,Neutro
2016-06-23,69.08,71.24,Sobrecomprado
2016-06-24,59.96,60.04,Neutro
2016-06-27,60.78,62.67,Neutro
2016-06-28,77.37,65.77,Neutro
2016-06-29,67.42,61.60,Neutro
2016-06-30,70.83,63.92,Neutro
2016-07-01,72.63,62.51,Neutro
2016-07-05,59.97,65.28,Neutro
2016-07-06,79.45,66.71,Neutro
2016-07-07,57.25,59.55,Neutro
2016-07-08,45.26,67.17,Neutro
2016-07-11,55.52,64.09,Neutro
2016-07-12,54.60,66.37,Neutro
2016-07-13,46.46,64.42,Neutro
2016-07-14,30.26,49.89,Neutro
2016-07-15,22.63,59.49,Neutro
2016-07-18,55.56,56.77,Neutro
2016-07-19,69.64,54.99,Neutro
2016-07-20,78.76,67.60,Neutro
2016-07-21,78.47,67.05,Neutro
2016-07-22,100.00,72.29,Sobrecomprado
2016-07-25,96.94,66.37,Neutro
2016-07-26,97.27,67.06,Neutro
2016-07-27,97.00,82.06,Sobrecomprado
2016-07-28,96.74,84.44,Sobrecomprado
2016-07-29,93.44,84.58,Sobrecomprado
2016-08-01,82.61,80.16,Sobrecomprado
2016-08-02,67.02,88.75,Sobrecomprado
2016-08-03,14.50,38.33,Neutro
2016-08-04,7.83,36.46,Neutro
2016-08-05,5.91,33.47,Neutro
2016-08-08,0.00,28.13,Sobrevendido
2016-08-09,5.66,24.95,Sobrevendido
2016-08-10,5.74,23.33,Sobrevendido
2016-08-11,5.65,16.73,Sobrevendido
2016-08-12,31.55,17.22,Sobrevendido
2016-08-15,39.55,12.12,Sobrevendido
2016-08-16,40.15,10.53,Sobrevendido
2016-08-17,70.39,12.59,Sobrevendido
2016-08-18,76.55,20.33,Sobrevendido
2016-08-19,66.28,19.93,Sobrevendido
2016-08-22,79.40,23.02,Sobrevendido
2016-08-23,83.53,66.14,Neutro
2016-08-24,86.01,74.19,Sobrecomprado
2016-08-25,88.91,77.87,Sobrecomprado
2016-08-26,89.27,84.03,Sobrecomprado
2016-08-29,90.00,85.81,Sobrecomprado
2016-08-30,99.78,87.50,Sobrecomprado
2016-08-31,93.62,88.24,Sobrecomprado
2016-09-01,92.91,88.61,Sobrecomprado
2016-09-02,92.39,89.09,Sobrecomprado
2016-09-06,89.94,89.33,Sobrecomprado
2016-09-07,84.37,87.68,Sobrecomprado
2016-09-08,27.57,71.29,Sobrecomprado
2016-09-09,20.07,68.32,Neutro
2016-09-12,36.78,69.27,Neutro
2016-09-13,29.47,64.57,Neutro
2016-09-14,39.84,65.90,Neutro
2016-09-15,47.89,65.53,Neutro
2016-09-16,46.68,59.46,Neutro
2016-09-19,61.45,48.17,Neutro
2016-09-20,81.99,49.19,Neutro
2016-09-21,62.04,47.56,Neutro
2016-09-22,75.00,51.69,Neutro
2016-09-23,66.37,49.83,Neutro
2016-09-26,34.42,42.59,Neutro
2016-09-27,29.50,39.39,Neutro
2016-09-28,36.72,49.03,Neutro
2016-09-29,35.76,56.18,Neutro
2016-09-30,59.81,60.64,Neutro
2016-10-03,54.40,63.77,Neutro
2016-10-04,60.94,62.83,Neutro
2016-10-05,83.95,63.11,Neutro
2016-10-06,96.37,63.40,Neutro
2016-10-07,79.73,59.14,Neutro
2016-10-10,80.11,59.26,Neutro
2016-10-11,52.98,56.83,Neutro
2016-10-12,60.00,57.24,Neutro
2016-10-13,48.74,55.72,Neutro
2016-10-14,37.31,65.00,Neutro
2016-10-17,55.06,75.56,Sobrecomprado
2016-10-18,65.60,73.57,Sobrecomprado
2016-10-19,56.35,69.37,Neutro
2016-10-20,40.52,45.84,Neutro
2016-10-21,20.59,38.79,Neutro
2016-10-24,16.85,28.76,Sobrevendido
2016-10-25,16.15,22.98,Sobrevendido
2016-10-26,0.00,20.04,Sobrevendido
2016-10-27,0.00,20.07,Sobrevendido
2016-10-28,0.00,18.54,Sobrevendido
2016-10-31,2.05,21.02,Sobrevendido
2016-11-01,2.26,11.84,Sobrevendido
2016-11-02,63.06,43.96,Neutro
2016-11-03,58.36,41.50,Neutro
2016-11-04,69.99,38.14,Neutro
2016-11-07,78.57,41.04,Neutro
2016-11-08,81.35,42.39,Neutro
2016-11-09,84.93,56.55,Neutro
2016-11-10,84.73,58.28,Neutro
2016-11-11,71.14,66.06,Neutro
2016-11-14,90.16,71.26,Sobrecomprado
2016-11-15,90.33,79.09,Sobrecomprado
2016-11-16,91.62,84.88,Sobrecomprado
2016-11-17,92.52,87.15,Sobrecomprado
2016-11-18,91.72,87.92,Sobrecomprado
2016-11-21,100.00,91.47,Sobrecomprado
2016-11-22,100.00,88.13,Sobrecomprado
2016-11-23,89.37,89.78,Sobrecomprado
2016-11-25,85.49,88.06,Sobrecomprado
2016-11-28,68.51,82.65,Sobrecomprado
2016-11-29,57.22,81.07,Sobrecomprado
2016-11-30,42.15,77.73,Sobrecomprado
2016-12-01,24.76,81.98,Sobrecomprado
2016-12-02,4.79,80.30,Sobrecomprado
2016-12-05,36.36,76.37,Sobrecomprado
2016-12-06,61.09,78.04,Sobrecomprado
2016-12-07,83.23,72.73,Sobrecomprado
2016-12-08,96.12,71.56,Sobrecomprado
2016-12-09,96.73,68.58,Neutro
2016-12-12,99.59,64.98,Neutro
2016-12-13,88.04,56.66,Neutro
2016-12-14,70.22,57.44,Neutro
2016-12-15,57.71,59.48,Neutro
2016-12-16,66.80,73.29,Sobrecomprado
2016-12-19,66.40,79.74,Sobrecomprado
2016-12-20,67.31,81.58,Sobrecomprado
2016-12-21,45.43,66.88,Neutro
2016-12-22,58.64,70.45,Sobrecomprado
2016-12-23,63.76,66.46,Neutro
2016-12-27,73.92,69.34,Neutro
2016-12-28,54.08,57.94,Neutro
2016-12-29,51.70,56.28,Neutro
2016-12-30,43.04,50.87,Neutro
2017-01-03,49.47,47.70,Neutro
2017-01-04,51.81,54.90,Neutro
2017-01-05,48.22,54.65,Neutro
2017-01-06,27.85,52.64,Neutro
2017-01-09,33.24,46.07,Neutro
2017-01-10,25.61,41.29,Neutro
2017-01-11,21.49,33.40,Neutro
2017-01-12,14.26,28.92,Sobrevendido
2017-01-13,7.15,27.13,Sobrevendido
2017-01-17,10.21,28.48,Sobrevendido
2017-01-18,10.55,18.15,Sobrevendido
2017-01-19,9.95,18.85,Sobrevendido
2017-01-20,9.55,15.57,Sobrevendido
2017-01-23,10.26,15.14,Sobrevendido
2017-01-24,23.44,17.24,Sobrevendido
2017-01-25,28.78,14.91,Sobrevendido
2017-01-26,21.05,14.64,Sobrevendido
2017-01-27,25.32,16.67,Sobrevendido
2017-01-30,28.41,16.83,Sobrevendido
2017-01-31,42.69,21.35,Sobrevendido
2017-02-01,65.40,31.74,Neutro
2017-02-02,65.95,46.32,Neutro
2017-02-03,72.15,53.50,Neutro
2017-02-06,68.26,46.88,Neutro
2017-02-07,56.81,43.66,Neutro
2017-02-08,54.82,44.75,Neutro
2017-02-09,63.25,56.51,Neutro
2017-02-10,55.38,59.06,Neutro
2017-02-13,53.85,58.43,Neutro
2017-02-14,31.01,49.22,Neutro
2017-02-15,38.02,53.11,Neutro
2017-02-16,54.55,55.76,Neutro
2017-02-17,66.99,59.96,Neutro
2017-02-21,44.80,58.40,Neutro
2017-02-22,55.12,55.30,Neutro
2017-02-23,48.77,52.23,Neutro
2017-02-24,75.14,41.77,Neutro
2017-02-27,77.34,49.64,Neutro
2017-02-28,65.67,57.00,Neutro
2017-03-01,80.34,71.78,Sobrecomprado
2017-03-02,81.96,63.56,Neutro
2017-03-03,86.19,72.74,Sobrecomprado
2017-03-06,58.45,54.90,Neutro
2017-03-07,56.94,61.83,Neutro
2017-03-08,75.56,75.89,Sobrecomprado
2017-03-09,75.78,74.47,Sobrecomprado
2017-03-10,74.11,75.47,Sobrecomprado
2017-03-13,75.81,77.17,Sobrecomprado
2017-03-14,74.38,77.71,Sobrecomprado
2017-03-15,96.73,82.46,Sobrecomprado
2017-03-16,100.00,83.67,Sobrecomprado
2017-03-17,100.00,84.25,Sobrecomprado
2017-03-20,100.00,84.21,Sobrecomprado
2017-03-21,76.38,75.00,Sobrecomprado
2017-03-22,70.96,74.17,Sobrecomprado
2017-03-23,70.90,73.16,Sobrecomprado
2017-03-24,57.23,85.93,Sobrecomprado
2017-03-27,54.14,88.07,Sobrecomprado
2017-03-28,30.22,74.74,Sobrecomprado
2017-03-29,54.57,78.56,Sobrecomprado
2017-03-30,71.47,74.54,Sobrecomprado
2017-03-31,64.36,68.05,Neutro
2017-04-03,49.31,61.37,Neutro
2017-04-04,51.59,54.14,Neutro
2017-04-05,48.84,51.10,Neutro
2017-04-06,66.18,51.60,Neutro
2017-04-07,26.79,40.34,Neutro
2017-04-10,28.30,47.07,Neutro
2017-04-11,36.78,49.61,Neutro
2017-04-12,40.91,45.03,Neutro
2017-04-13,26.84,38.55,Neutro
2017-04-17,28.78,38.55,Neutro
2017-04-18,10.80,40.53,Neutro
2017-04-19,56.64,38.42,Neutro
2017-04-20,65.72,45.30,Neutro
2017-04-21,48.77,42.72,Neutro
2017-04-24,60.36,52.01,Neutro
2017-04-25,74.06,50.53,Neutro
2017-04-26,64.51,48.03,Neutro
2017-04-27,58.86,39.57,Neutro
2017-04-28,42.14,47.86,Neutro
2017-05-01,30.34,47.40,Neutro
2017-05-02,35.38,42.84,Neutro
2017-05-03,7.49,43.78,Neutro
2017-05-04,67.59,70.15,Sobrecomprado
2017-05-05,57.56,60.24,Neutro
2017-05-08,55.65,56.94,Neutro
2017-05-09,57.18,51.70,Neutro
2017-05-10,59.39,49.91,Neutro
2017-05-11,62.38,54.26,Neutro
2017-05-12,58.79,47.41,Neutro
2017-05-15,21.72,49.58,Neutro
2017-05-16,40.15,53.14,Neutro
2017-05-17,42.45,52.52,Neutro
2017-05-18,51.94,55.86,Neutro
2017-05-19,48.55,56.84,Neutro
2017-05-22,53.38,60.04,Neutro
2017-05-23,64.91,60.16,Neutro
2017-05-24,46.63,29.58,Sobrevendido
2017-05-25,22.78,30.32,Neutro
2017-05-26,54.29,49.77,Neutro
2017-05-30,31.25,37.53,Neutro
2017-05-31,30.19,35.56,Neutro
2017-06-01,25.85,34.70,Neutro
2017-06-02,23.48,35.00,Neutro
2017-06-05,18.46,24.21,Sobrevendido
2017-06-06,34.48,30.66,Neutro
2017-06-07,18.25,33.19,Neutro
2017-06-08,30.18,30.86,Neutro
2017-06-09,30.18,30.18,Neutro
2017-06-12,28.02,26.70,Sobrevendido
2017-06-13,42.60,31.10,Neutro
2017-06-14,86.29,37.74,Neutro
2017-06-15,76.59,44.06,Neutro
2017-06-16,83.09,39.78,Neutro
2017-06-19,71.74,50.45,Neutro
2017-06-20,42.12,37.56,Neutro
2017-06-21,49.73,41.17,Neutro
2017-06-22,35.74,38.46,Neutro
2017-06-23,39.21,54.36,Neutro
2017-06-26,39.27,48.44,Neutro
2017-06-27,34.25,50.06,Neutro
2017-06-28,47.72,55.79,Neutro
2017-06-29,74.88,56.56,Neutro
2017-06-30,71.88,58.75,Neutro
2017-07-03,97.90,55.90,Neutro
2017-07-05,82.01,49.08,Neutro
2017-07-06,59.85,45.27,Neutro
2017-07-07,61.76,43.02,Neutro
2017-07-10,31.66,43.90,Neutro
2017-07-11,42.86,63.47,Neutro
2017-07-12,61.36,66.85,Neutro
2017-07-13,65.91,79.27,Sobrecomprado
2017-07-14,79.47,80.14,Sobrecomprado
2017-07-17,92.89,80.82,Sobrecomprado
2017-07-18,94.59,84.24,Sobrecomprado
2017-07-19,100.00,84.82,Sobrecomprado
2017-07-20,100.00,85.77,Sobrecomprado
2017-07-21,99.34,85.39,Sobrecomprado
2017-07-24,99.10,85.24,Sobrecomprado
2017-07-25,98.94,88.65,Sobrecomprado
2017-07-26,96.27,94.64,Sobrecomprado
2017-07-27,84.82,91.05,Sobrecomprado
2017-07-28,60.49,89.79,Sobrecomprado
2017-07-31,56.36,89.77,Sobrecomprado
2017-08-01,38.04,77.90,Sobrecomprado
2017-08-02,29.88,69.52,Neutro
2017-08-03,40.12,69.04,Neutro
2017-08-04,42.68,69.42,Neutro
2017-08-07,45.10,61.89,Neutro
2017-08-08,45.49,50.72,Neutro
2017-08-09,43.25,47.64,Neutro
2017-08-10,59.88,49.25,Neutro
2017-08-11,84.76,53.56,Neutro
2017-08-14,77.36,51.43,Neutro
2017-08-15,85.67,60.24,Neutro
2017-08-16,89.38,65.33,Neutro
2017-08-17,53.57,50.23,Neutro
2017-08-18,54.28,49.86,Neutro
2017-08-21,48.63,52.36,Neutro
2017-08-22,42.23,56.02,Neutro
2017-08-23,36.47,46.44,Neutro
2017-08-24,33.55,51.66,Neutro
2017-08-25,20.40,43.84,Neutro
2017-08-28,44.61,49.49,Neutro
2017-08-29,37.40,46.84,Neutro
2017-08-30,51.20,49.76,Neutro
2017-08-31,43.03,42.63,Neutro
2017-09-01,52.80,44.87,Neutro
2017-09-05,52.25,43.32,Neutro
2017-09-06,69.90,40.55,Neutro
2017-09-07,68.94,56.32,Neutro
2017-09-08,75.05,56.32,Neutro
2017-09-11,63.09,56.81,Neutro
2017-09-12,73.73,55.04,Neutro
2017-09-13,71.54,59.44,Neutro
2017-09-14,58.86,54.25,Neutro
2017-09-15,63.91,67.58,Neutro
2017-09-18,55.30,64.22,Neutro
2017-09-19,31.94,58.97,Neutro
2017-09-20,37.08,53.86,Neutro
2017-09-21,44.20,63.38,Neutro
2017-09-22,41.04,60.67,Neutro
2017-09-25,31.99,46.06,Neutro
2017-09-26,21.60,45.58,Neutro
2017-09-27,45.56,49.68,Neutro
2017-09-28,72.46,54.09,Neutro
2017-09-29,76.79,61.31,Neutro
2017-10-02,83.62,71.74,Sobrecomprado
2017-10-03,83.81,71.51,Sobrecomprado
2017-10-04,98.03,76.39,Sobrecomprado
2017-10-05,91.62,70.96,Sobrecomprado
2017-10-06,77.02,64.67,Neutro
2017-10-09,76.56,74.89,Sobrecomprado
2017-10-10,68.27,72.00,Sobrecomprado
2017-10-11,63.15,73.96,Sobrecomprado
2017-10-12,53.08,69.56,Neutro
2017-10-13,31.38,69.14,Neutro
2017-10-16,61.91,76.28,Sobrecomprado
2017-10-17,59.40,67.43,Neutro
2017-10-18,56.38,65.84,Neutro
2017-10-19,51.25,58.77,Neutro
2017-10-20,48.07,54.37,Neutro
2017-10-23,58.00,56.07,Neutro
2017-10-24,66.87,52.75,Neutro
2017-10-25,47.93,56.43,Neutro
2017-10-26,66.56,61.76,Neutro
2017-10-27,65.62,59.51,Neutro
2017-10-30,98.84,67.25,Neutro
2017-10-31,100.00,69.87,Neutro
2017-11-01,44.62,50.72,Neutro
2017-11-02,68.33,67.88,Neutro
2017-11-03,72.72,67.88,Neutro
2017-11-06,73.36,72.29,Sobrecomprado
2017-11-07,73.69,72.46,Sobrecomprado
2017-11-08,73.14,77.43,Sobrecomprado
2017-11-09,71.91,78.12,Sobrecomprado
2017-11-10,96.50,75.48,Sobrecomprado
2017-11-13,82.51,72.68,Sobrecomprado
2017-11-14,57.02,69.27,Neutro
2017-11-15,46.48,67.79,Neutro
2017-11-16,46.12,68.07,Neutro
2017-11-17,28.61,64.96,Neutro
2017-11-20,19.48,62.85,Neutro
2017-11-21,20.43,80.46,Sobrecomprado
2017-11-22,24.72,65.43,Neutro
2017-11-24,61.64,58.78,Neutro
2017-11-27,41.00,43.78,Neutro
2017-11-28,53.75,50.35,Neutro
2017-11-29,55.03,44.06,Neutro
2017-11-30,57.14,43.03,Neutro
2017-12-01,63.44,48.22,Neutro
2017-12-04,69.75,56.93,Neutro
2017-12-05,54.60,56.75,Neutro
2017-12-06,73.43,58.15,Neutro
2017-12-07,50.99,52.68,Neutro
2017-12-08,47.38,51.88,Neutro
2017-12-11,45.82,52.70,Neutro
2017-12-12,38.34,54.59,Neutro
2017-12-13,22.99,56.79,Neutro
2017-12-14,27.52,47.90,Neutro
2017-12-15,21.05,54.24,Neutro
2017-12-18,56.14,53.77,Neutro
2017-12-19,79.48,67.63,Neutro
2017-12-20,78.36,66.33,Neutro
2017-12-21,69.26,59.50,Neutro
2017-12-22,47.86,42.54,Neutro
2017-12-26,51.88,47.26,Neutro
2017-12-27,60.52,51.24,Neutro
2017-12-28,57.29,56.92,Neutro
2017-12-29,42.36,61.18,Neutro
2018-01-02,57.14,66.22,Neutro
2018-01-03,45.92,55.28,Neutro
2018-01-04,60.88,53.76,Neutro
2018-01-05,67.50,59.80,Neutro
2018-01-08,61.74,61.13,Neutro
2018-01-09,55.23,56.27,Neutro
2018-01-10,46.90,44.97,Neutro
2018-01-11,31.63,45.93,Neutro
2018-01-12,43.39,45.12,Neutro
2018-01-16,45.55,55.25,Neutro
2018-01-17,41.76,59.51,Neutro
2018-01-18,53.54,59.04,Neutro
2018-01-19,65.16,59.07,Neutro
2018-01-22,63.49,53.36,Neutro
2018-01-23,72.63,53.06,Neutro
2018-01-24,86.47,68.56,Neutro
2018-01-25,67.66,60.00,Neutro
2018-01-26,62.98,55.29,Neutro
2018-01-29,55.03,54.47,Neutro
2018-01-30,56.58,60.05,Neutro
2018-01-31,84.20,78.88,Sobrecomprado
2018-02-01,67.29,68.91,Neutro
