Date,RSI_7,RSI_14,RSI_Sinal
2010-08-12,,,Neutro
2010-08-13,0.00,0.00,Sobrevendido
2010-08-16,0.00,0.00,Sobrevendido
2010-08-17,80.35,80.35,Sobrecomprado
2010-08-18,82.02,82.02,Sobrecomprado
2010-08-19,66.45,66.45,Neutro
2010-08-20,55.46,55.46,Neutro
2010-08-23,60.93,60.93,Neutro
2010-08-24,70.44,65.48,Neutro
2010-08-25,68.30,62.19,Neutro
2010-08-26,56.38,66.16,Neutro
2010-08-27,57.48,67.86,Neutro
2010-08-30,61.64,64.01,Neutro
2010-08-31,77.62,64.86,Neutro
2010-09-01,65.87,62.73,Neutro
2010-09-02,52.29,64.83,Neutro
2010-09-03,61.27,66.32,Neutro
2010-09-07,35.88,50.24,Neutro
2010-09-08,40.43,52.20,Neutro
2010-09-09,71.35,65.32,Neutro
2010-09-10,68.93,74.17,Sobrecomprado
2010-09-13,85.47,75.48,Sobrecomprado
2010-09-14,73.51,64.53,Neutro
2010-09-15,74.57,69.40,Neutro
2010-09-16,84.02,68.98,Neutro
2010-09-17,69.68,60.19,Neutro
2010-09-20,55.22,62.05,Neutro
2010-09-21,40.78,50.16,Neutro
2010-09-22,23.22,50.35,Neutro
2010-09-23,51.02,60.52,Neutro
2010-09-24,52.20,61.74,Neutro
2010-09-27,49.22,65.47,Neutro
2010-09-28,53.87,61.68,Neutro
2010-09-29,57.98,56.70,Neutro
2010-09-30,75.08,54.46,Neutro
2010-10-01,80.20,47.39,Neutro
2010-10-04,53.42,51.58,Neutro
2010-10-05,30.00,47.26,Neutro
2010-10-06,1.81,36.89,Neutro
2010-10-07,1.70,38.71,Neutro
2010-10-08,11.11,42.75,Neutro
2010-10-11,40.69,60.16,Neutro
2010-10-12,39.86,61.83,Neutro
2010-10-13,45.43,48.37,Neutro
2010-10-14,46.79,40.58,Neutro
2010-10-15,67.31,38.19,Neutro
2010-10-18,73.33,38.85,Neutro
2010-10-19,55.85,34.35,Neutro
2010-10-20,47.36,43.52,Neutro
2010-10-21,55.83,46.75,Neutro
2010-10-22,60.19,52.08,Neutro
2010-10-25,52.77,49.72,Neutro
2010-10-26,54.57,60.41,Neutro
2010-10-27,54.87,62.97,Neutro
2010-10-28,56.98,56.45,Neutro
2010-10-29,42.35,44.60,Neutro
2010-11-01,34.80,44.80,Neutro
2010-11-02,14.03,35.13,Neutro
2010-11-03,22.99,38.96,Neutro
2010-11-04,6.55,33.67,Neutro
2010-11-05,5.67,31.62,Neutro
2010-11-08,6.58,34.57,Neutro
2010-11-09,26.89,34.78,Neutro
2010-11-10,39.57,37.35,Neutro
2010-11-11,78.44,49.67,Neutro
2010-11-12,72.45,52.92,Neutro
2010-11-15,35.82,29.08,Sobrevendido
2010-11-16,38.26,29.46,Sobrevendido
2010-11-17,37.53,30.17,Neutro
2010-11-18,32.33,30.87,Neutro
2010-11-19,27.06,30.88,Neutro
2010-11-22,19.64,42.24,Neutro
2010-11-23,18.83,39.23,Neutro
2010-11-24,58.80,40.89,Neutro
2010-11-26,59.92,43.25,Neutro
2010-11-29,59.70,42.58,Neutro
2010-11-30,61.43,39.14,Neutro
2010-12-01,63.78,35.74,Neutro
2010-12-02,14.22,18.94,Sobrevendido
2010-12-03,23.66,19.21,Sobrevendido
2010-12-06,1.82,45.35,Neutro
2010-12-07,0.00,41.38,Neutro
2010-12-08,0.00,39.23,Neutro
2010-12-09,0.00,33.54,Neutro
2010-12-10,14.78,39.35,Neutro
2010-12-13,22.03,19.76,Sobrevendido
2010-12-14,31.83,30.26,Neutro
2010-12-15,42.41,33.01,Neutro
2010-12-16,53.12,36.32,Neutro
2010-12-17,75.32,52.27,Neutro
2010-12-20,94.60,50.91,Neutro
2010-12-21,80.16,47.63,Neutro
2010-12-22,78.07,47.92,Neutro
2010-12-23,73.88,49.53,Neutro
2010-12-27,62.76,50.81,Neutro
2010-12-28,64.16,57.96,Neutro
2010-12-29,25.00,62.26,Neutro
2010-12-30,28.50,76.19,Sobrecomprado
2010-12-31,27.09,64.81,Neutro
2011-01-03,31.63,63.19,Neutro
2011-01-04,42.74,62.00,Neutro
2011-01-05,80.45,73.03,Sobrecomprado
2011-01-06,80.00,73.12,Sobrecomprado
2011-01-07,77.90,62.47,Neutro
2011-01-10,72.73,61.57,Neutro
2011-01-11,78.05,63.99,Neutro
2011-01-12,78.17,64.85,Neutro
2011-01-13,74.12,63.91,Neutro
2011-01-14,47.84,69.89,Neutro
2011-01-18,20.84,55.06,Neutro
2011-01-19,39.03,60.50,Neutro
2011-01-20,36.90,56.80,Neutro
2011-01-21,49.59,64.45,Neutro
2011-01-24,44.40,61.72,Neutro
2011-01-25,37.42,54.29,Neutro
2011-01-26,34.38,38.51,Neutro
2011-01-27,45.94,34.20,Neutro
2011-01-28,33.62,36.61,Neutro
2011-01-31,41.38,38.64,Neutro
2011-02-01,19.26,39.48,Neutro
2011-02-02,13.24,31.60,Neutro
2011-02-03,15.16,29.87,Sobrevendido
2011-02-04,4.11,24.19,Sobrevendido
2011-02-07,4.41,29.87,Sobrevendido
2011-02-08,0.72,19.08,Sobrevendido
2011-02-09,22.69,31.07,Neutro
2011-02-10,59.84,48.38,Neutro
2011-02-11,68.58,46.65,Neutro
2011-02-14,80.45,56.41,Neutro
2011-02-15,77.68,52.19,Neutro
2011-02-16,70.39,50.00,Neutro
2011-02-17,67.72,47.25,Neutro
2011-02-18,56.06,43.85,Neutro
2011-02-22,10.86,37.38,Neutro
2011-02-23,10.59,39.67,Neutro
2011-02-24,16.93,47.34,Neutro
2011-02-25,25.96,50.69,Neutro
2011-02-28,30.32,51.29,Neutro
2011-03-01,37.77,53.70,Neutro
2011-03-02,47.35,52.05,Neutro
2011-03-03,62.03,33.08,Neutro
2011-03-04,80.22,38.46,Neutro
2011-03-07,58.10,31.79,Neutro
2011-03-08,44.90,32.18,Neutro
2011-03-09,44.52,35.22,Neutro
2011-03-10,28.57,34.49,Neutro
2011-03-11,40.54,44.54,Neutro
2011-03-14,40.00,51.41,Neutro
2011-03-15,30.03,54.64,Neutro
2011-03-16,30.19,43.27,Neutro
2011-03-17,39.38,41.76,Neutro
2011-03-18,46.70,45.83,Neutro
2011-03-21,54.87,43.27,Neutro
2011-03-22,49.13,44.69,Neutro
2011-03-23,54.84,46.72,Neutro
2011-03-24,63.38,44.44,Neutro
2011-03-25,85.45,53.72,Neutro
2011-03-28,84.00,56.92,Neutro
2011-03-29,85.56,61.73,Neutro
2011-03-30,90.27,73.03,Sobrecomprado
2011-03-31,88.89,69.41,Neutro
2011-04-01,100.00,82.46,Sobrecomprado
2011-04-04,86.59,78.71,Sobrecomprado
2011-04-05,85.43,85.44,Sobrecomprado
2011-04-06,87.52,86.48,Sobrecomprado
2011-04-07,81.87,83.15,Sobrecomprado
2011-04-08,67.61,78.78,Sobrecomprado
2011-04-11,55.03,69.09,Neutro
2011-04-12,26.30,65.82,Neutro
2011-04-13,43.97,68.10,Neutro
2011-04-14,65.55,74.00,Sobrecomprado
2011-04-15,49.72,66.97,Neutro
2011-04-18,43.07,58.25,Neutro
2011-04-19,59.89,62.10,Neutro
2011-04-20,62.44,59.96,Neutro
2011-04-21,67.31,54.57,Neutro
2011-04-25,65.38,58.45,Neutro
2011-04-26,45.90,55.94,Neutro
2011-04-27,59.93,54.38,Neutro
2011-04-28,77.82,56.07,Neutro
2011-04-29,30.49,52.90,Neutro
2011-05-02,24.69,51.63,Neutro
2011-05-03,20.12,50.94,Neutro
2011-05-04,19.14,48.87,Neutro
2011-05-05,18.11,33.64,Neutro
2011-05-06,25.57,43.09,Neutro
2011-05-09,22.28,48.32,Neutro
2011-05-10,43.30,38.49,Neutro
2011-05-11,48.16,37.54,Neutro
2011-05-12,36.93,29.58,Sobrevendido
2011-05-13,27.97,24.57,Sobrevendido
2011-05-16,27.62,23.86,Sobrevendido
2011-05-17,22.64,23.91,Sobrevendido
2011-05-18,30.83,27.40,Sobrevendido
2011-05-19,21.05,30.62,Neutro
2011-05-20,28.77,36.74,Neutro
2011-05-23,30.70,33.77,Neutro
2011-05-24,39.53,32.53,Neutro
2011-05-25,46.12,34.20,Neutro
2011-05-26,35.42,27.23,Sobrevendido
2011-05-27,13.09,24.42,Sobrevendido
2011-05-31,12.34,17.65,Sobrevendido
2011-06-01,1.63,18.48,Sobrevendido
2011-06-02,20.66,27.77,Sobrevendido
2011-06-03,18.98,32.01,Neutro
2011-06-06,30.86,39.63,Neutro
2011-06-07,27.86,31.91,Neutro
2011-06-08,35.46,21.52,Sobrevendido
2011-06-09,38.51,22.56,Sobrevendido
2011-06-10,36.66,16.35,Sobrevendido
2011-06-13,22.89,21.80,Sobrevendido
2011-06-14,39.67,29.41,Sobrevendido
2011-06-15,28.09,29.61,Sobrevendido
2011-06-16,39.61,32.16,Neutro
2011-06-17,58.60,43.74,Neutro
2011-06-20,42.77,40.04,Neutro
2011-06-21,74.60,53.49,Neutro
2011-06-22,77.73,47.89,Neutro
2011-06-23,74.76,54.12,Neutro
2011-06-24,80.28,51.25,Neutro
2011-06-27,71.93,56.55,Neutro
2011-06-28,78.67,71.77,Sobrecomprado
2011-06-29,88.51,72.08,Sobrecomprado
2011-06-30,81.32,77.44,Sobrecomprado
2011-07-01,90.05,83.66,Sobrecomprado
2011-07-05,89.37,82.01,Sobrecomprado
2011-07-06,90.56,85.65,Sobrecomprado
2011-07-07,97.24,84.27,Sobrecomprado
2011-07-08,77.25,78.16,Sobrecomprado
2011-07-11,42.39,67.72,Neutro
2011-07-12,40.87,57.83,Neutro
2011-07-13,26.24,59.57,Neutro
2011-07-14,20.60,55.67,Neutro
2011-07-15,0.57,51.96,Neutro
2011-07-18,0.35,42.48,Neutro
2011-07-19,0.38,30.44,Neutro
2011-07-20,0.51,23.69,Sobrevendido
2011-07-21,36.73,38.64,Neutro
2011-07-22,30.48,28.93,Sobrevendido
2011-07-25,29.97,26.62,Sobrevendido
2011-07-26,32.56,21.84,Sobrevendido
2011-07-27,57.69,29.23,Sobrevendido
2011-07-28,51.89,28.72,Sobrevendido
2011-07-29,50.46,31.74,Neutro
2011-08-01,22.05,29.80,Sobrevendido
2011-08-02,19.40,25.38,Sobrevendido
2011-08-03,19.93,25.46,Sobrevendido
2011-08-04,13.94,22.92,Sobrevendido
2011-08-05,0.00,22.15,Sobrevendido
2011-08-08,0.00,18.86,Sobrevendido
2011-08-09,10.99,25.33,Sobrevendido
2011-08-10,11.27,14.72,Sobrevendido
2011-08-11,36.49,31.01,Neutro
2011-08-12,43.73,36.76,Neutro
2011-08-15,52.91,38.73,Neutro
2011-08-16,63.54,34.43,Neutro
2011-08-17,85.96,36.60,Neutro
2011-08-18,64.18,34.53,Neutro
2011-08-19,63.62,34.87,Neutro
2011-08-22,43.00,38.55,Neutro
2011-08-23,36.02,41.64,Neutro
2011-08-24,29.83,46.74,Neutro
2011-08-25,26.69,51.42,Neutro
2011-08-26,26.14,62.63,Neutro
2011-08-29,52.88,60.84,Neutro
2011-08-30,70.31,65.59,Neutro
2011-08-31,55.65,48.68,Neutro
2011-09-01,52.68,43.71,Neutro
2011-09-02,50.23,39.47,Neutro
2011-09-06,73.51,45.90,Neutro
2011-09-07,78.97,50.91,Neutro
2011-09-08,78.51,66.83,Neutro
2011-09-09,78.13,74.52,Sobrecomprado
2011-09-12,100.00,75.52,Sobrecomprado
2011-09-13,89.19,69.19,Neutro
2011-09-14,93.40,75.58,Sobrecomprado
2011-09-15,95.60,89.22,Sobrecomprado
2011-09-16,80.13,79.75,Sobrecomprado
2011-09-19,83.21,81.85,Sobrecomprado
2011-09-20,71.83,73.53,Sobrecomprado
2011-09-21,73.20,79.45,Sobrecomprado
2011-09-22,59.11,64.82,Neutro
2011-09-23,47.65,61.15,Neutro
2011-09-26,42.49,64.18,Neutro
2011-09-27,44.44,59.75,Neutro
2011-09-28,37.39,60.32,Neutro
2011-09-29,47.90,60.74,Neutro
2011-09-30,34.42,54.66,Neutro
2011-10-03,51.16,56.30,Neutro
2011-10-04,65.40,54.44,Neutro
2011-10-05,64.45,51.23,Neutro
2011-10-06,74.12,56.40,Neutro
2011-10-07,73.56,52.82,Neutro
2011-10-10,81.42,65.68,Neutro
2011-10-11,100.00,64.41,Neutro
2011-10-12,92.19,73.41,Sobrecomprado
2011-10-13,92.52,80.16,Sobrecomprado
2011-10-14,91.70,78.76,Sobrecomprado
2011-10-17,77.42,75.95,Sobrecomprado
2011-10-18,74.80,74.24,Sobrecomprado
2011-10-19,60.25,74.04,Sobrecomprado
2011-10-20,64.20,85.07,Sobrecomprado
2011-10-21,65.51,81.45,Sobrecomprado
2011-10-24,64.16,81.66,Sobrecomprado
2011-10-25,52.77,76.55,Sobrecomprado
2011-10-26,77.00,77.27,Sobrecomprado
2011-10-27,85.68,79.71,Sobrecomprado
2011-10-28,85.68,74.62,Sobrecomprado
2011-10-31,74.22,69.62,Neutro
2011-11-01,80.00,73.15,Sobrecomprado
2011-11-02,76.31,70.17,Sobrecomprado
2011-11-03,85.22,69.94,Neutro
2011-11-04,79.93,78.49,Sobrecomprado
2011-11-07,71.08,80.84,Sobrecomprado
2011-11-08,85.03,85.36,Sobrecomprado
2011-11-09,58.16,64.88,Neutro
2011-11-10,49.78,60.78,Neutro
2011-11-11,36.18,47.14,Neutro
2011-11-14,30.07,45.50,Neutro
2011-11-15,29.24,41.59,Neutro
2011-11-16,24.92,33.42,Neutro
2011-11-17,0.00,30.85,Neutro
2011-11-18,1.28,32.66,Neutro
2011-11-21,1.49,31.66,Neutro
2011-11-22,8.91,31.02,Neutro
2011-11-23,10.98,27.09,Sobrevendido
2011-11-25,9.84,26.00,Sobrevendido
2011-11-28,32.14,26.21,Sobrevendido
2011-11-29,33.87,7.18,Sobrevendido
2011-11-30,26.03,9.17,Sobrevendido
2011-12-01,16.52,8.41,Sobrevendido
2011-12-02,12.78,11.37,Sobrevendido
2011-12-05,26.01,21.42,Sobrevendido
2011-12-06,28.28,21.86,Sobrevendido
2011-12-07,18.00,23.59,Sobrevendido
2011-12-08,17.65,23.78,Sobrevendido
2011-12-09,31.29,29.11,Sobrevendido
2011-12-12,60.62,30.50,Neutro
2011-12-13,64.67,28.29,Sobrevendido
2011-12-14,55.08,32.99,Neutro
2011-12-15,58.04,35.60,Neutro
2011-12-16,50.40,27.53,Sobrevendido
2011-12-19,60.90,30.75,Neutro
2011-12-20,68.67,44.33,Neutro
2011-12-21,56.44,58.29,Neutro
2011-12-22,64.41,64.52,Neutro
2011-12-23,50.00,51.65,Neutro
2011-12-27,49.00,51.79,Neutro
2011-12-28,48.62,49.21,Neutro
2011-12-29,40.54,47.45,Neutro
2011-12-30,33.62,48.24,Neutro
2012-01-03,50.23,53.25,Neutro
2012-01-04,35.78,50.23,Neutro
2012-01-05,39.39,45.27,Neutro
2012-01-06,21.14,32.42,Neutro
2012-01-09,24.10,34.20,Neutro
2012-01-10,35.40,37.46,Neutro
2012-01-11,29.38,31.06,Neutro
2012-01-12,21.61,32.50,Neutro
2012-01-13,28.96,31.65,Neutro
2012-01-17,26.87,31.31,Neutro
2012-01-18,68.00,38.89,Neutro
2012-01-19,75.68,47.34,Neutro
2012-01-20,71.88,49.92,Neutro
2012-01-23,71.31,46.78,Neutro
2012-01-24,76.17,43.64,Neutro
2012-01-25,66.24,44.41,Neutro
2012-01-26,85.44,48.15,Neutro
2012-01-27,71.01,69.29,Neutro
2012-01-30,42.11,67.52,Neutro
2012-01-31,49.54,65.21,Neutro
2012-02-01,64.74,68.80,Neutro
2012-02-02,66.89,72.54,Sobrecomprado
2012-02-03,81.69,72.03,Sobrecomprado
