Date,RSI_7,RSI_14,RSI_Sinal
2000-01-03,,,Neutro
2000-01-04,0.00,0.00,Sobrevendido
2000-01-05,0.00,0.00,Sobrevendido
2000-01-06,15.38,15.38,Sobrevendido
2000-01-07,31.25,31.25,Neutro
2000-01-10,23.81,23.81,Sobrevendido
2000-01-11,23.81,23.81,Sobrevendido
2000-01-12,56.76,56.76,Neutro
2000-01-13,84.38,62.79,Neutro
2000-01-14,77.14,58.70,Neutro
2000-01-18,75.76,58.70,Neutro
2000-01-19,53.66,47.37,Neutro
2000-01-20,65.00,50.82,Neutro
2000-01-21,66.67,52.38,Neutro
2000-01-24,46.15,52.38,Neutro
2000-01-25,24.00,57.89,Neutro
2000-01-26,20.69,51.56,Neutro
2000-01-27,17.65,46.27,Neutro
2000-01-28,19.35,38.89,Neutro
2000-01-31,13.79,43.48,Neutro
2000-02-01,5.56,38.46,Neutro
2000-02-02,15.00,27.27,Sobrevendido
2000-02-03,14.63,18.18,Sobrevendido
2000-02-04,24.32,22.73,Sobrevendido
2000-02-07,25.71,21.74,Sobrevendido
2000-02-08,33.33,25.86,Sobrevendido
2000-02-09,35.71,24.56,Sobrevendido
2000-02-10,45.45,20.69,Sobrevendido
2000-02-11,8.22,10.62,Sobrevendido
2000-02-14,24.69,21.31,Sobrevendido
2000-02-15,19.10,20.63,Sobrevendido
2000-02-16,28.87,28.03,Sobrevendido
2000-02-17,25.23,26.81,Sobrevendido
2000-02-18,21.55,24.31,Sobrevendido
2000-02-22,21.55,25.36,Sobrevendido
2000-02-23,35.71,21.68,Sobrevendido
2000-02-24,15.07,20.13,Sobrevendido
2000-02-25,31.08,24.54,Sobrevendido
2000-02-28,36.25,32.20,Neutro
2000-02-29,35.80,29.69,Sobrevendido
2000-03-01,38.67,28.27,Sobrevendido
2000-03-02,46.25,31.63,Neutro
2000-03-03,45.12,40.79,Neutro
2000-03-06,68.89,44.79,Neutro
2000-03-07,76.27,58.85,Neutro
2000-03-08,79.10,63.08,Neutro
2000-03-09,81.54,63.98,Neutro
2000-03-10,80.92,65.53,Neutro
2000-03-13,79.67,66.50,Neutro
2000-03-14,68.53,60.00,Neutro
2000-03-15,56.59,61.64,Neutro
2000-03-16,48.62,63.00,Neutro
2000-03-17,29.11,60.56,Neutro
2000-03-20,28.75,61.43,Neutro
2000-03-21,29.11,61.43,Neutro
2000-03-22,28.05,59.02,Neutro
2000-03-23,36.51,58.74,Neutro
2000-03-24,62.82,58.94,Neutro
2000-03-27,56.06,51.43,Neutro
2000-03-28,45.95,37.25,Neutro
2000-03-29,58.82,42.57,Neutro
2000-03-30,60.61,43.45,Neutro
2000-03-31,63.49,43.45,Neutro
2000-04-03,78.43,55.26,Neutro
2000-04-04,56.00,61.17,Neutro
2000-04-05,35.29,51.81,Neutro
2000-04-06,100.00,50.00,Neutro
2000-04-07,0.00,56.34,Neutro
2000-04-10,50.00,59.72,Neutro
2000-04-11,50.00,62.32,Neutro
2000-04-12,50.00,75.44,Sobrecomprado
2000-04-13,50.00,54.84,Neutro
2000-04-14,50.00,39.13,Neutro
2000-04-17,50.00,75.00,Sobrecomprado
2000-04-18,100.00,50.00,Neutro
2000-04-19,,50.00,Neutro
2000-04-20,0.00,25.00,Sobrevendido
2000-04-24,0.00,25.00,Sobrevendido
2000-04-25,0.00,25.00,Sobrevendido
2000-04-26,53.85,52.63,Neutro
2000-04-27,26.92,31.25,Neutro
2000-04-28,47.22,51.28,Neutro
2000-05-01,36.96,36.96,Neutro
2000-05-02,37.78,33.33,Neutro
2000-05-03,50.00,45.16,Neutro
2000-05-04,38.36,35.44,Neutro
2000-05-05,43.75,45.16,Neutro
2000-05-08,45.45,40.78,Neutro
2000-05-09,35.21,39.25,Neutro
2000-05-10,36.23,36.52,Neutro
2000-05-11,50.63,45.97,Neutro
2000-05-12,49.35,49.62,Neutro
2000-05-15,60.32,48.53,Neutro
2000-05-16,51.92,46.97,Neutro
2000-05-17,66.67,53.28,Neutro
2000-05-18,73.17,49.11,Neutro
2000-05-19,93.18,58.41,Neutro
2000-05-22,81.25,59.46,Neutro
2000-05-23,65.38,53.40,Neutro
2000-05-24,79.31,66.30,Neutro
2000-05-25,79.31,61.73,Neutro
2000-05-26,57.14,62.50,Neutro
2000-05-30,63.41,68.29,Neutro
2000-05-31,50.00,75.68,Sobrecomprado
2000-06-01,45.45,63.08,Neutro
2000-06-02,64.29,64.71,Neutro
2000-06-05,50.00,61.97,Neutro
2000-06-06,50.00,61.97,Neutro
2000-06-07,53.85,55.41,Neutro
2000-06-08,45.45,55.41,Neutro
2000-06-09,51.35,50.75,Neutro
2000-06-12,63.64,54.55,Neutro
2000-06-13,50.00,59.09,Neutro
2000-06-14,52.17,50.77,Neutro
2000-06-15,56.00,52.24,Neutro
2000-06-16,56.00,54.69,Neutro
2000-06-19,56.00,50.00,Neutro
2000-06-20,41.67,47.54,Neutro
2000-06-21,28.57,47.54,Neutro
2000-06-22,41.18,44.83,Neutro
2000-06-23,48.28,50.00,Neutro
2000-06-26,30.00,41.82,Neutro
2000-06-27,37.50,46.94,Neutro
2000-06-28,44.44,50.00,Neutro
2000-06-29,55.56,49.02,Neutro
2000-06-30,50.00,39.66,Neutro
2000-07-03,50.00,45.31,Neutro
2000-07-05,41.67,44.62,Neutro
2000-07-06,31.91,31.17,Neutro
2000-07-07,31.91,33.80,Neutro
2000-07-10,25.53,32.43,Neutro
2000-07-11,25.53,36.49,Neutro
2000-07-12,19.35,29.35,Sobrevendido
2000-07-13,20.63,30.11,Neutro
2000-07-14,22.81,30.11,Neutro
2000-07-17,32.50,32.18,Neutro
2000-07-18,41.30,36.56,Neutro
2000-07-19,41.30,33.33,Neutro
2000-07-20,47.06,36.73,Neutro
2000-07-21,63.16,36.00,Neutro
2000-07-24,54.84,31.91,Neutro
2000-07-25,66.67,41.41,Neutro
2000-07-26,56.00,45.56,Neutro
2000-07-27,57.69,50.00,Neutro
2000-07-28,57.69,50.00,Neutro
2000-07-31,53.19,50.00,Neutro
2000-08-01,69.44,66.22,Neutro
2000-08-02,69.44,62.69,Neutro
2000-08-03,50.00,60.00,Neutro
2000-08-04,58.33,56.76,Neutro
2000-08-07,50.00,55.56,Neutro
2000-08-08,58.82,57.97,Neutro
2000-08-09,35.00,47.76,Neutro
2000-08-10,50.00,61.29,Neutro
2000-08-11,69.05,69.23,Neutro
2000-08-14,83.87,73.33,Sobrecomprado
2000-08-15,74.29,70.21,Sobrecomprado
2000-08-16,66.67,63.04,Neutro
2000-08-17,75.00,72.57,Sobrecomprado
2000-08-18,70.59,64.75,Neutro
2000-08-21,66.67,63.20,Neutro
2000-08-22,56.63,60.80,Neutro
2000-08-23,45.45,64.06,Neutro
2000-08-24,45.45,60.29,Neutro
2000-08-25,50.00,59.09,Neutro
2000-08-28,44.44,64.00,Neutro
2000-08-29,50.00,64.00,Neutro
2000-08-30,35.29,53.89,Neutro
2000-08-31,51.76,54.17,Neutro
2000-09-01,36.19,39.77,Neutro
2000-09-05,50.00,48.30,Neutro
2000-09-06,49.11,49.42,Neutro
2000-09-07,38.14,40.40,Neutro
2000-09-08,41.30,44.29,Neutro
2000-09-11,57.53,46.81,Neutro
2000-09-12,38.60,46.48,Neutro
2000-09-13,53.66,41.10,Neutro
2000-09-14,44.12,48.61,Neutro
2000-09-15,46.88,48.61,Neutro
2000-09-18,64.10,45.59,Neutro
2000-09-19,48.98,43.97,Neutro
2000-09-20,57.63,57.58,Neutro
2000-09-21,49.28,44.44,Neutro
2000-09-22,57.63,56.00,Neutro
2000-09-25,59.68,54.17,Neutro
2000-09-26,57.81,54.17,Neutro
2000-09-27,44.26,52.00,Neutro
2000-09-28,58.93,54.29,Neutro
2000-09-29,53.06,55.56,Neutro
2000-10-02,78.05,60.00,Neutro
2000-10-03,53.33,55.46,Neutro
2000-10-04,47.17,53.91,Neutro
2000-10-05,39.68,48.82,Neutro
2000-10-06,50.79,47.58,Neutro
2000-10-09,48.33,53.45,Neutro
2000-10-10,41.51,47.06,Neutro
2000-10-11,38.00,56.04,Neutro
2000-10-12,48.72,51.52,Neutro
2000-10-13,37.14,43.18,Neutro
2000-10-16,54.17,43.68,Neutro
2000-10-17,35.29,47.50,Neutro
2000-10-18,21.43,43.24,Neutro
2000-10-19,35.29,40.00,Neutro
2000-10-20,42.11,39.13,Neutro
