Date,RSI_7,RSI_14,RSI_Sinal
2000-01-03,,,Neutro
2000-01-04,0.00,0.00,Sobrevendido
2000-01-05,85.71,85.71,Sobrecomprado
2000-01-06,50.00,50.00,Neutro
2000-01-07,50.00,50.00,Neutro
2000-01-10,66.67,66.67,Neutro
2000-01-11,48.00,48.00,Neutro
2000-01-12,53.57,53.57,Neutro
2000-01-13,55.56,53.57,Neutro
2000-01-14,40.91,51.72,Neutro
2000-01-18,60.00,56.25,Neutro
2000-01-19,61.90,57.58,Neutro
2000-01-20,52.94,60.00,Neutro
2000-01-21,75.00,56.76,Neutro
2000-01-24,70.00,57.89,Neutro
2000-01-25,70.00,59.46,Neutro
2000-01-26,77.78,51.61,Neutro
2000-01-27,66.67,61.54,Neutro
2000-01-28,66.67,62.96,Neutro
2000-01-31,25.00,44.00,Neutro
2000-02-01,33.33,61.11,Neutro
2000-02-02,33.33,56.25,Neutro
2000-02-03,55.56,63.16,Neutro
2000-02-04,55.56,66.67,Neutro
2000-02-07,50.00,56.25,Neutro
2000-02-08,50.00,56.25,Neutro
2000-02-09,71.43,46.67,Neutro
2000-02-10,62.50,50.00,Neutro
2000-02-11,62.50,50.00,Neutro
2000-02-14,28.57,43.75,Neutro
2000-02-15,28.57,43.75,Neutro
2000-02-16,50.00,50.00,Neutro
2000-02-17,37.50,44.44,Neutro
2000-02-18,42.86,57.14,Neutro
2000-02-22,57.14,60.00,Neutro
2000-02-23,42.86,53.33,Neutro
2000-02-24,60.00,41.67,Neutro
2000-02-25,60.00,41.67,Neutro
2000-02-28,33.33,45.45,Neutro
2000-02-29,50.00,40.00,Neutro
2000-03-01,50.00,44.44,Neutro
2000-03-02,0.00,50.00,Neutro
2000-03-03,0.00,37.50,Neutro
2000-03-06,0.00,50.00,Neutro
2000-03-07,0.00,50.00,Neutro
2000-03-08,0.00,25.00,Sobrevendido
2000-03-09,0.00,33.33,Neutro
2000-03-10,0.00,33.33,Neutro
2000-03-13,0.00,0.00,Sobrevendido
2000-03-14,,0.00,Sobrevendido
2000-03-15,,0.00,Sobrevendido
2000-03-16,,0.00,Sobrevendido
2000-03-17,,0.00,Sobrevendido
2000-03-20,100.00,75.00,Sobrecomprado
2000-03-21,50.00,42.86,Neutro
2000-03-22,50.00,42.86,Neutro
2000-03-23,50.00,50.00,Neutro
2000-03-24,66.67,66.67,Neutro
2000-03-27,66.67,66.67,Neutro
2000-03-28,50.00,50.00,Neutro
2000-03-29,50.00,60.00,Neutro
2000-03-30,46.15,47.37,Neutro
2000-03-31,46.15,47.37,Neutro
2000-04-03,46.15,47.37,Neutro
2000-04-04,36.36,50.00,Neutro
2000-04-05,25.00,40.00,Neutro
2000-04-06,23.53,34.48,Neutro
2000-04-07,27.78,36.67,Neutro
2000-04-10,33.33,39.29,Neutro
2000-04-11,37.50,41.38,Neutro
2000-04-12,33.33,38.71,Neutro
2000-04-13,36.84,36.67,Neutro
2000-04-14,50.00,36.67,Neutro
2000-04-17,58.33,37.93,Neutro
2000-04-18,33.33,29.63,Sobrevendido
2000-04-19,50.00,40.00,Neutro
2000-04-20,44.44,40.00,Neutro
2000-04-24,50.00,38.46,Neutro
2000-04-25,42.86,38.46,Neutro
2000-04-26,42.86,47.62,Neutro
2000-04-27,42.86,52.63,Neutro
2000-04-28,66.67,50.00,Neutro
2000-05-01,44.44,47.37,Neutro
2000-05-02,50.00,47.37,Neutro
2000-05-03,60.00,55.56,Neutro
2000-05-04,55.56,50.00,Neutro
2000-05-05,55.56,50.00,Neutro
2000-05-08,62.50,53.33,Neutro
2000-05-09,25.00,47.06,Neutro
2000-05-10,33.33,40.00,Neutro
2000-05-11,20.00,40.00,Neutro
2000-05-12,0.00,42.86,Neutro
2000-05-15,0.00,38.46,Neutro
2000-05-16,0.00,38.46,Neutro
2000-05-17,25.00,50.00,Neutro
2000-05-18,100.00,40.00,Neutro
2000-05-19,100.00,50.00,Neutro
2000-05-22,50.00,33.33,Neutro
2000-05-23,71.43,45.45,Neutro
2000-05-24,55.56,38.46,Neutro
2000-05-25,50.00,35.71,Neutro
2000-05-26,40.00,35.71,Neutro
2000-05-30,40.00,50.00,Neutro
2000-05-31,26.67,35.29,Neutro
2000-06-01,43.75,45.00,Neutro
2000-06-02,30.77,45.00,Neutro
2000-06-05,36.36,45.00,Neutro
2000-06-06,40.00,45.00,Neutro
2000-06-07,50.00,45.00,Neutro
2000-06-08,50.00,45.00,Neutro
2000-06-09,100.00,45.00,Neutro
2000-06-12,100.00,50.00,Neutro
2000-06-13,100.00,40.00,Neutro
2000-06-14,33.33,35.29,Neutro
2000-06-15,33.33,37.50,Neutro
2000-06-16,33.33,43.75,Neutro
2000-06-19,42.86,47.06,Neutro
2000-06-20,37.50,61.54,Neutro
2000-06-21,33.33,45.45,Neutro
2000-06-22,33.33,45.45,Neutro
2000-06-23,75.00,57.14,Neutro
2000-06-26,75.00,57.14,Neutro
2000-06-27,71.43,53.85,Neutro
2000-06-28,60.00,50.00,Neutro
2000-06-29,60.00,46.15,Neutro
2000-06-30,75.00,46.15,Neutro
2000-07-03,80.00,50.00,Neutro
2000-07-05,20.00,53.85,Neutro
2000-07-06,20.00,53.85,Neutro
2000-07-07,20.00,50.00,Neutro
2000-07-10,20.00,40.00,Neutro
2000-07-11,25.00,44.44,Neutro
2000-07-12,25.00,50.00,Neutro
2000-07-13,0.00,44.44,Neutro
2000-07-14,0.00,16.67,Sobrevendido
2000-07-17,50.00,28.57,Sobrevendido
2000-07-18,50.00,28.57,Sobrevendido
2000-07-19,50.00,28.57,Sobrevendido
2000-07-20,25.00,25.00,Sobrevendido
2000-07-21,25.00,25.00,Sobrevendido
2000-07-24,60.00,33.33,Neutro
2000-07-25,60.00,50.00,Neutro
2000-07-26,60.00,57.14,Neutro
2000-07-27,66.67,62.50,Neutro
2000-07-28,71.43,66.67,Neutro
2000-07-31,83.33,60.00,Neutro
2000-08-01,71.43,54.55,Neutro
2000-08-02,71.43,66.67,Neutro
2000-08-03,71.43,66.67,Neutro
2000-08-04,77.78,71.43,Sobrecomprado
2000-08-07,75.00,71.43,Sobrecomprado
2000-08-08,75.00,73.33,Sobrecomprado
2000-08-09,85.71,84.62,Sobrecomprado
2000-08-10,100.00,84.62,Sobrecomprado
2000-08-11,100.00,81.82,Sobrecomprado
2000-08-14,100.00,81.82,Sobrecomprado
2000-08-15,100.00,80.00,Sobrecomprado
2000-08-16,100.00,77.78,Sobrecomprado
2000-08-17,0.00,60.00,Neutro
2000-08-18,0.00,54.55,Neutro
2000-08-21,33.33,66.67,Neutro
2000-08-22,25.00,50.00,Neutro
2000-08-23,25.00,50.00,Neutro
2000-08-24,25.00,33.33,Neutro
2000-08-25,40.00,45.45,Neutro
2000-08-28,50.00,40.00,Neutro
2000-08-29,50.00,33.33,Neutro
2000-08-30,25.00,28.57,Sobrevendido
2000-08-31,28.57,26.67,Sobrevendido
2000-09-01,22.22,23.53,Sobrevendido
2000-09-05,41.67,35.00,Neutro
2000-09-06,25.00,31.82,Neutro
2000-09-07,43.75,45.83,Neutro
2000-09-08,41.18,44.00,Neutro
2000-09-11,43.75,37.50,Neutro
2000-09-12,46.67,40.91,Neutro
2000-09-13,62.50,48.00,Neutro
2000-09-14,43.75,42.86,Neutro
2000-09-15,56.25,42.86,Neutro
2000-09-18,38.46,41.38,Neutro
2000-09-19,50.00,44.44,Neutro
2000-09-20,60.00,50.00,Neutro
2000-09-21,63.64,53.85,Neutro
2000-09-22,50.00,58.33,Neutro
2000-09-25,66.67,50.00,Neutro
2000-09-26,50.00,55.00,Neutro
2000-09-27,83.33,52.63,Neutro
2000-09-28,85.71,64.71,Neutro
2000-09-29,71.43,64.71,Neutro
2000-10-02,57.14,61.11,Neutro
2000-10-03,57.14,53.33,Neutro
2000-10-04,66.67,66.67,Neutro
2000-10-05,44.44,46.15,Neutro
2000-10-06,44.44,60.00,Neutro
2000-10-09,27.27,50.00,Neutro
2000-10-10,27.27,44.44,Neutro
2000-10-11,30.00,41.18,Neutro
2000-10-12,25.00,36.84,Neutro
2000-10-13,35.71,45.00,Neutro
2000-10-16,45.45,45.00,Neutro
2000-10-17,25.00,35.29,Neutro
2000-10-18,28.57,27.78,Sobrevendido
2000-10-19,55.56,40.00,Neutro
2000-10-20,66.67,50.00,Neutro
2000-10-23,57.14,42.31,Neutro
