Date,RSI_7,RSI_14,RSI_Sinal
2018-07-26,,,Neutro
2018-07-27,0.00,0.00,Sobrevendido
2018-07-30,0.00,0.00,Sobrevendido
2018-07-31,2.10,2.10,Sobrevendido
2018-08-01,1.37,1.37,Sobrevendido
2018-08-02,1.25,1.25,Sobrevendido
2018-08-03,1.15,1.15,Sobrevendido
2018-08-06,13.26,13.26,Sobrevendido
2018-08-07,25.37,19.83,Sobrevendido
2018-08-08,31.57,18.63,Sobrevendido
2018-08-09,29.21,18.16,Sobrevendido
2018-08-10,40.99,17.35,Sobrevendido
2018-08-13,47.15,17.24,Sobrevendido
2018-08-14,49.06,16.58,Sobrevendido
2018-08-15,18.62,14.90,Sobrevendido
2018-08-16,29.58,26.95,Sobrevendido
2018-08-17,33.92,32.50,Neutro
2018-08-20,35.92,31.73,Neutro
2018-08-21,38.95,40.10,Neutro
2018-08-22,36.02,41.69,Neutro
2018-08-23,39.76,44.63,Neutro
2018-08-24,42.41,29.24,Sobrevendido
2018-08-27,51.72,39.64,Neutro
2018-08-28,56.59,45.47,Neutro
2018-08-29,69.43,56.12,Neutro
2018-08-30,45.59,43.70,Neutro
2018-08-31,54.93,49.66,Neutro
2018-09-04,61.15,56.11,Neutro
2018-09-05,56.69,53.68,Neutro
2018-09-06,49.70,50.25,Neutro
2018-09-07,50.15,51.99,Neutro
2018-09-10,42.00,52.73,Neutro
2018-09-11,79.43,63.31,Neutro
2018-09-12,71.33,62.69,Neutro
2018-09-13,82.50,73.20,Sobrecomprado
2018-09-14,73.80,66.50,Neutro
2018-09-17,64.99,59.38,Neutro
2018-09-18,58.18,55.34,Neutro
2018-09-19,58.60,53.33,Neutro
2018-09-20,53.22,62.68,Neutro
2018-09-21,57.44,62.09,Neutro
2018-09-24,34.47,61.33,Neutro
2018-09-25,53.75,67.07,Neutro
2018-09-26,62.32,64.24,Neutro
2018-09-27,83.85,63.96,Neutro
2018-09-28,82.07,63.59,Neutro
2018-10-01,81.15,59.51,Neutro
2018-10-02,50.50,55.66,Neutro
2018-10-03,48.15,39.09,Neutro
2018-10-04,25.96,39.18,Neutro
2018-10-05,25.85,41.81,Neutro
2018-10-08,22.00,45.04,Neutro
2018-10-09,30.81,47.86,Neutro
2018-10-10,16.24,36.31,Neutro
2018-10-11,24.15,34.40,Neutro
2018-10-12,25.58,34.01,Neutro
2018-10-15,37.71,30.94,Neutro
2018-10-16,41.71,32.15,Neutro
2018-10-17,40.13,29.23,Sobrevendido
2018-10-18,21.08,27.18,Sobrevendido
2018-10-19,30.50,20.22,Sobrevendido
2018-10-22,41.32,30.13,Neutro
2018-10-23,22.48,24.42,Sobrevendido
2018-10-24,20.06,28.98,Sobrevendido
2018-10-25,34.53,37.73,Neutro
2018-10-26,36.86,38.40,Neutro
2018-10-29,38.91,30.23,Neutro
2018-10-30,38.62,35.41,Neutro
2018-10-31,29.75,35.17,Neutro
2018-11-01,63.20,44.91,Neutro
2018-11-02,76.43,46.94,Neutro
2018-11-05,65.36,46.86,Neutro
2018-11-06,64.69,48.51,Neutro
2018-11-07,82.52,58.28,Neutro
2018-11-08,66.20,52.32,Neutro
2018-11-09,54.76,43.50,Neutro
2018-11-12,20.79,44.74,Neutro
2018-11-13,20.07,49.24,Neutro
2018-11-14,43.63,52.48,Neutro
2018-11-15,54.70,58.53,Neutro
2018-11-16,50.76,63.95,Neutro
2018-11-19,54.12,59.98,Neutro
2018-11-20,76.45,67.08,Neutro
2018-11-21,87.62,61.94,Neutro
2018-11-23,77.72,57.09,Neutro
2018-11-26,61.59,53.66,Neutro
2018-11-27,61.59,58.36,Neutro
2018-11-28,61.59,56.74,Neutro
2018-11-29,65.48,60.39,Neutro
2018-11-30,48.40,65.76,Neutro
2018-12-03,52.54,73.01,Sobrecomprado
2018-12-04,57.32,70.23,Sobrecomprado
2018-12-06,62.94,62.08,Neutro
2018-12-07,34.14,50.78,Neutro
2018-12-10,26.15,47.56,Neutro
2018-12-11,36.62,53.35,Neutro
2018-12-12,47.91,48.12,Neutro
2018-12-13,39.26,45.71,Neutro
2018-12-14,48.26,52.51,Neutro
2018-12-17,47.22,54.15,Neutro
2018-12-18,72.25,52.46,Neutro
2018-12-19,69.91,47.46,Neutro
2018-12-20,55.99,45.96,Neutro
2018-12-21,31.90,42.12,Neutro
2018-12-24,35.12,37.60,Neutro
2018-12-26,30.08,41.24,Neutro
2018-12-27,45.95,46.78,Neutro
2018-12-28,33.21,58.87,Neutro
2018-12-31,52.40,64.47,Neutro
2019-01-02,68.95,59.23,Neutro
2019-01-03,58.74,41.21,Neutro
2019-01-04,71.52,50.73,Neutro
2019-01-07,74.01,50.73,Neutro
2019-01-08,76.65,62.30,Neutro
2019-01-09,82.71,65.64,Neutro
2019-01-10,84.08,74.52,Sobrecomprado
2019-01-11,84.23,80.44,Sobrecomprado
2019-01-14,70.74,67.80,Neutro
2019-01-15,64.98,67.34,Neutro
2019-01-16,66.22,69.13,Neutro
2019-01-17,54.69,63.61,Neutro
2019-01-18,44.11,64.66,Neutro
2019-01-22,34.91,63.94,Neutro
2019-01-23,54.82,70.16,Sobrecomprado
2019-01-24,89.23,79.02,Sobrecomprado
2019-01-25,90.46,78.30,Sobrecomprado
2019-01-28,81.85,74.10,Sobrecomprado
2019-01-29,92.48,74.94,Sobrecomprado
2019-01-30,75.30,63.40,Neutro
2019-01-31,75.96,62.00,Neutro
2019-02-01,67.53,61.84,Neutro
2019-02-04,60.96,75.27,Sobrecomprado
2019-02-05,58.19,76.06,Sobrecomprado
2019-02-06,42.75,61.03,Neutro
2019-02-07,24.44,57.11,Neutro
2019-02-08,27.54,53.44,Neutro
2019-02-11,31.81,55.39,Neutro
2019-02-12,35.11,51.05,Neutro
2019-02-13,25.00,42.32,Neutro
2019-02-14,19.78,38.27,Neutro
2019-02-15,43.37,42.97,Neutro
2019-02-19,84.86,44.95,Neutro
2019-02-20,100.00,52.61,Neutro
2019-02-21,75.73,46.52,Neutro
2019-02-22,79.71,51.94,Neutro
2019-02-25,72.73,45.51,Neutro
2019-02-26,73.39,44.03,Neutro
2019-02-27,61.30,53.41,Neutro
2019-02-28,59.64,71.15,Sobrecomprado
2019-03-01,57.82,76.58,Sobrecomprado
2019-03-04,79.07,77.64,Sobrecomprado
2019-03-05,67.41,73.61,Sobrecomprado
2019-03-06,61.04,66.86,Neutro
2019-03-07,49.52,60.60,Neutro
2019-03-08,49.05,54.77,Neutro
2019-03-11,49.91,54.30,Neutro
2019-03-12,53.79,55.49,Neutro
2019-03-13,19.78,38.34,Neutro
2019-03-14,19.07,32.61,Neutro
2019-03-15,21.72,34.09,Neutro
2019-03-18,33.83,39.18,Neutro
2019-03-19,34.03,39.20,Neutro
2019-03-20,21.09,31.68,Neutro
2019-03-21,18.61,32.47,Neutro
2019-03-22,33.60,24.36,Sobrevendido
2019-03-25,37.99,24.69,Sobrevendido
2019-03-26,36.38,26.20,Sobrevendido
2019-03-27,15.31,29.37,Sobrevendido
2019-03-28,16.78,30.14,Neutro
2019-03-29,52.53,30.19,Neutro
2019-04-01,47.81,27.11,Sobrevendido
2019-04-02,68.90,45.59,Neutro
2019-04-03,52.55,44.29,Neutro
2019-04-04,41.00,38.68,Neutro
2019-04-05,29.78,24.11,Sobrevendido
2019-04-08,34.83,28.10,Sobrevendido
2019-04-09,18.99,35.32,Neutro
2019-04-10,17.77,31.73,Neutro
2019-04-11,17.48,36.60,Neutro
2019-04-12,22.92,37.67,Neutro
2019-04-15,39.35,40.34,Neutro
2019-04-16,69.91,42.32,Neutro
2019-04-17,73.33,47.99,Neutro
2019-04-18,73.44,40.40,Neutro
2019-04-22,89.27,45.10,Neutro
2019-04-23,100.00,49.79,Neutro
2019-04-24,84.83,53.26,Neutro
2019-04-25,64.02,53.59,Neutro
2019-04-26,43.47,52.39,Neutro
2019-04-29,41.36,53.29,Neutro
2019-04-30,32.63,49.06,Neutro
2019-05-01,42.08,59.60,Neutro
2019-05-02,34.38,60.55,Neutro
2019-05-03,50.22,64.68,Neutro
2019-05-06,58.70,61.34,Neutro
2019-05-07,62.43,51.99,Neutro
2019-05-08,62.53,51.07,Neutro
