Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,64.35,64.35,Neutro
2016-01-07,67.97,67.97,Neutro
2016-01-08,60.42,60.42,Neutro
2016-01-11,54.04,54.04,Neutro
2016-01-12,63.90,63.90,Neutro
2016-01-13,54.58,54.58,Neutro
2016-01-14,46.31,60.65,Neutro
2016-01-15,51.37,56.38,Neutro
2016-01-19,51.89,58.47,Neutro
2016-01-20,63.13,61.99,Neutro
2016-01-21,56.05,55.21,Neutro
2016-01-22,47.03,55.90,Neutro
2016-01-25,55.06,54.77,Neutro
2016-01-26,48.18,47.06,Neutro
2016-01-27,47.83,49.84,Neutro
2016-01-28,46.27,49.53,Neutro
2016-01-29,51.35,58.09,Neutro
2016-02-01,76.56,63.53,Neutro
2016-02-02,63.01,54.08,Neutro
2016-02-03,40.35,46.37,Neutro
2016-02-04,36.74,41.19,Neutro
2016-02-05,13.62,20.19,Sobrevendido
2016-02-08,11.56,18.01,Sobrevendido
2016-02-09,3.95,12.93,Sobrevendido
2016-02-10,0.48,13.47,Sobrevendido
2016-02-11,2.62,14.27,Sobrevendido
2016-02-12,3.81,14.87,Sobrevendido
2016-02-16,11.87,18.65,Sobrevendido
2016-02-17,38.54,19.82,Sobrevendido
2016-02-18,42.05,18.59,Sobrevendido
2016-02-19,89.63,19.01,Sobrevendido
2016-02-22,94.53,16.53,Sobrevendido
2016-02-23,94.44,18.32,Sobrevendido
2016-02-24,82.73,20.33,Sobrevendido
2016-02-25,80.65,24.10,Sobrevendido
2016-02-26,61.04,48.55,Neutro
2016-02-29,62.25,51.38,Neutro
2016-03-01,61.74,75.00,Sobrecomprado
2016-03-02,49.20,67.62,Neutro
2016-03-03,56.22,70.26,Sobrecomprado
2016-03-04,50.41,62.20,Neutro
2016-03-07,43.66,57.27,Neutro
2016-03-08,50.00,55.00,Neutro
2016-03-09,53.50,57.26,Neutro
2016-03-10,38.75,49.84,Neutro
2016-03-11,76.07,64.13,Neutro
2016-03-14,68.84,62.26,Neutro
2016-03-15,58.05,54.18,Neutro
2016-03-16,62.21,53.89,Neutro
2016-03-17,60.37,56.14,Neutro
2016-03-18,65.26,60.63,Neutro
2016-03-21,67.20,57.54,Neutro
2016-03-22,39.91,58.03,Neutro
2016-03-23,46.61,56.44,Neutro
2016-03-24,59.39,58.66,Neutro
2016-03-28,53.22,58.66,Neutro
2016-03-29,61.11,60.65,Neutro
2016-03-30,52.99,61.54,Neutro
2016-03-31,56.25,63.74,Neutro
2016-04-01,80.92,54.67,Neutro
2016-04-04,56.55,50.25,Neutro
2016-04-05,65.60,61.80,Neutro
2016-04-06,70.95,61.44,Neutro
2016-04-07,48.02,53.85,Neutro
2016-04-08,43.24,47.34,Neutro
2016-04-11,31.00,41.57,Neutro
2016-04-12,22.03,47.08,Neutro
2016-04-13,50.25,52.89,Neutro
2016-04-14,58.87,61.24,Neutro
2016-04-15,52.74,60.46,Neutro
2016-04-18,76.60,59.77,Neutro
2016-04-19,77.24,58.18,Neutro
2016-04-20,74.17,49.57,Neutro
2016-04-21,77.46,49.43,Neutro
2016-04-22,72.14,59.24,Neutro
2016-04-25,54.10,57.22,Neutro
2016-04-26,53.23,52.92,Neutro
2016-04-27,50.79,64.42,Neutro
2016-04-28,42.74,61.34,Neutro
2016-04-29,50.00,64.20,Neutro
2016-05-02,44.21,65.67,Neutro
2016-05-03,28.38,57.01,Neutro
2016-05-04,31.34,46.03,Neutro
2016-05-05,21.21,39.01,Neutro
2016-05-06,30.84,41.63,Neutro
2016-05-09,51.85,47.49,Neutro
2016-05-10,62.71,56.70,Neutro
2016-05-11,53.04,49.05,Neutro
2016-05-12,42.74,37.37,Neutro
2016-05-13,38.41,36.10,Neutro
2016-05-16,77.73,60.67,Neutro
2016-05-17,61.25,52.65,Neutro
2016-05-18,61.25,58.13,Neutro
2016-05-19,58.06,59.45,Neutro
2016-05-20,61.37,58.93,Neutro
2016-05-23,59.86,54.66,Neutro
2016-05-24,71.61,61.54,Neutro
2016-05-25,46.36,62.36,Neutro
2016-05-26,69.23,64.72,Neutro
2016-05-27,64.44,62.53,Neutro
2016-05-31,74.76,65.15,Neutro
2016-06-01,71.92,65.83,Neutro
2016-06-02,82.99,69.25,Neutro
2016-06-03,77.24,73.38,Sobrecomprado
2016-06-06,96.87,67.63,Neutro
2016-06-07,96.12,79.53,Sobrecomprado
2016-06-08,96.79,79.46,Sobrecomprado
2016-06-09,76.35,75.42,Sobrecomprado
2016-06-10,68.07,70.19,Sobrecomprado
2016-06-13,52.41,67.98,Neutro
2016-06-14,46.15,59.41,Neutro
2016-06-15,25.68,58.89,Neutro
2016-06-16,23.16,53.92,Neutro
2016-06-17,2.39,42.74,Neutro
2016-06-20,13.43,40.11,Neutro
2016-06-21,14.14,39.22,Neutro
2016-06-22,16.77,35.92,Neutro
2016-06-23,24.84,36.65,Neutro
2016-06-24,20.86,23.24,Sobrevendido
2016-06-27,13.18,17.24,Sobrevendido
2016-06-28,33.62,18.92,Sobrevendido
2016-06-29,35.00,25.17,Sobrevendido
2016-06-30,36.84,26.49,Sobrevendido
2016-07-01,35.29,27.82,Sobrevendido
2016-07-05,26.28,25.75,Sobrevendido
2016-07-06,32.73,27.27,Sobrevendido
2016-07-07,60.87,33.03,Neutro
2016-07-08,57.65,43.70,Neutro
2016-07-11,55.56,43.28,Neutro
2016-07-12,59.43,46.65,Neutro
2016-07-13,69.27,49.88,Neutro
2016-07-14,87.94,47.23,Neutro
2016-07-15,93.20,56.95,Neutro
2016-07-18,85.09,70.13,Sobrecomprado
2016-07-19,67.35,61.19,Neutro
2016-07-20,65.22,59.06,Neutro
2016-07-21,35.38,49.18,Neutro
2016-07-22,28.21,53.04,Neutro
2016-07-25,42.64,66.30,Neutro
2016-07-26,49.32,71.33,Sobrecomprado
2016-07-27,48.32,64.26,Neutro
2016-07-28,55.40,60.34,Neutro
2016-07-29,53.73,58.41,Neutro
2016-08-01,91.53,62.10,Neutro
2016-08-02,40.89,36.81,Neutro
2016-08-03,54.23,50.89,Neutro
2016-08-04,46.89,47.67,Neutro
2016-08-05,55.03,52.98,Neutro
2016-08-08,63.29,61.30,Neutro
2016-08-09,64.24,61.72,Neutro
2016-08-10,62.00,68.73,Neutro
2016-08-11,77.26,61.44,Neutro
2016-08-12,64.71,58.71,Neutro
2016-08-15,62.10,53.71,Neutro
2016-08-16,50.23,53.13,Neutro
2016-08-17,17.96,50.26,Neutro
2016-08-18,18.45,51.26,Neutro
2016-08-19,49.63,56.99,Neutro
2016-08-22,67.74,73.11,Sobrecomprado
2016-08-23,62.69,63.64,Neutro
2016-08-24,65.12,63.64,Neutro
2016-08-25,70.40,60.93,Neutro
2016-08-26,69.57,49.05,Neutro
2016-08-29,69.08,48.68,Neutro
2016-08-30,49.01,49.41,Neutro
2016-08-31,48.67,60.55,Neutro
2016-09-01,67.38,64.30,Neutro
2016-09-02,81.01,71.15,Sobrecomprado
2016-09-06,71.43,70.81,Sobrecomprado
2016-09-07,91.30,79.35,Sobrecomprado
2016-09-08,74.57,71.73,Sobrecomprado
2016-09-09,57.14,54.25,Neutro
2016-09-12,51.85,50.64,Neutro
2016-09-13,43.33,52.23,Neutro
2016-09-14,31.14,51.55,Neutro
2016-09-15,46.74,56.41,Neutro
2016-09-16,27.18,60.20,Neutro
2016-09-19,33.54,57.95,Neutro
2016-09-20,44.54,53.32,Neutro
2016-09-21,44.54,49.45,Neutro
2016-09-22,54.81,46.80,Neutro
2016-09-23,66.28,40.76,Neutro
2016-09-26,9.84,39.75,Neutro
2016-09-27,49.51,34.90,Neutro
2016-09-28,71.26,52.92,Neutro
2016-09-29,62.63,55.66,Neutro
2016-09-30,70.66,62.05,Neutro
2016-10-03,71.94,66.95,Neutro
2016-10-04,67.41,67.13,Neutro
2016-10-05,75.69,62.97,Neutro
2016-10-06,71.03,64.04,Neutro
2016-10-07,54.55,63.24,Neutro
2016-10-10,81.21,70.80,Sobrecomprado
2016-10-11,53.17,64.67,Neutro
2016-10-12,44.44,63.24,Neutro
2016-10-13,34.44,55.58,Neutro
2016-10-14,27.15,57.64,Neutro
2016-10-17,26.67,52.75,Neutro
2016-10-18,29.17,42.28,Neutro
2016-10-19,3.68,44.21,Neutro
2016-10-20,4.55,30.51,Neutro
2016-10-21,7.48,26.79,Sobrevendido
2016-10-24,50.55,40.50,Neutro
2016-10-25,53.49,36.71,Neutro
2016-10-26,37.07,31.20,Neutro
2016-10-27,33.61,31.20,Neutro
2016-10-28,43.16,19.91,Sobrevendido
2016-10-31,58.82,32.75,Neutro
2016-11-01,48.20,30.49,Neutro
2016-11-02,31.43,40.31,Neutro
2016-11-03,32.04,41.80,Neutro
2016-11-04,84.96,69.61,Neutro
2016-11-07,87.87,69.53,Neutro
2016-11-08,70.71,64.03,Neutro
2016-11-09,71.66,68.08,Neutro
2016-11-10,81.87,72.36,Sobrecomprado
2016-11-11,85.96,75.76,Sobrecomprado
2016-11-14,84.85,75.22,Sobrecomprado
2016-11-15,74.48,79.29,Sobrecomprado
2016-11-16,75.66,81.03,Sobrecomprado
2016-11-17,95.02,82.53,Sobrecomprado
2016-11-18,94.70,82.31,Sobrecomprado
2016-11-21,93.91,86.62,Sobrecomprado
2016-11-22,93.24,88.24,Sobrecomprado
2016-11-23,96.98,88.50,Sobrecomprado
2016-11-25,99.07,84.95,Sobrecomprado
2016-11-28,99.00,84.92,Sobrecomprado
2016-11-29,96.99,95.75,Sobrecomprado
2016-11-30,86.87,91.75,Sobrecomprado
2016-12-01,83.33,90.17,Sobrecomprado
2016-12-02,58.00,86.38,Sobrecomprado
2016-12-05,78.65,91.32,Sobrecomprado
2016-12-06,75.32,92.81,Sobrecomprado
2016-12-07,76.54,92.53,Sobrecomprado
2016-12-08,91.30,94.00,Sobrecomprado
2016-12-09,88.42,87.71,Sobrecomprado
2016-12-12,65.49,71.39,Sobrecomprado
2016-12-13,68.35,66.77,Neutro
2016-12-14,64.80,68.44,Neutro
2016-12-15,60.87,64.24,Neutro
2016-12-16,61.02,64.78,Neutro
2016-12-19,31.61,64.01,Neutro
2016-12-20,49.70,70.31,Sobrecomprado
2016-12-21,84.75,71.58,Sobrecomprado
2016-12-22,61.61,66.41,Neutro
2016-12-23,56.57,62.46,Neutro
2016-12-27,75.19,65.71,Neutro
2016-12-28,50.55,56.65,Neutro
2016-12-29,55.38,44.57,Neutro
2016-12-30,37.50,43.30,Neutro
2017-01-03,40.41,57.23,Neutro
2017-01-04,58.72,59.70,Neutro
2017-01-05,46.21,48.94,Neutro
2017-01-06,31.64,45.54,Neutro
2017-01-09,37.02,42.93,Neutro
2017-01-10,41.73,47.50,Neutro
2017-01-11,52.46,46.03,Neutro
2017-01-12,34.46,36.81,Neutro
2017-01-13,28.15,41.80,Neutro
2017-01-17,26.48,36.17,Neutro
2017-01-18,30.28,30.99,Neutro
2017-01-19,30.52,33.68,Neutro
2017-01-20,29.67,35.80,Neutro
2017-01-23,22.37,37.92,Neutro
2017-01-24,50.00,40.69,Neutro
2017-01-25,52.17,38.57,Neutro
2017-01-26,68.79,41.44,Neutro
2017-01-27,68.79,45.10,Neutro
2017-01-30,64.29,44.12,Neutro
2017-01-31,60.53,41.46,Neutro
2017-02-01,61.74,37.93,Neutro
2017-02-02,33.85,43.60,Neutro
2017-02-03,71.71,63.80,Neutro
2017-02-06,80.83,76.81,Sobrecomprado
2017-02-07,83.14,78.59,Sobrecomprado
2017-02-08,87.00,79.23,Sobrecomprado
2017-02-09,87.76,79.39,Sobrecomprado
2017-02-10,87.25,79.55,Sobrecomprado
2017-02-13,95.28,77.46,Sobrecomprado
2017-02-14,73.85,72.35,Sobrecomprado
2017-02-15,58.10,75.12,Sobrecomprado
2017-02-16,51.65,76.46,Sobrecomprado
2017-02-17,58.75,81.39,Sobrecomprado
2017-02-21,72.27,83.77,Sobrecomprado
2017-02-22,80.13,85.08,Sobrecomprado
2017-02-23,73.46,87.92,Sobrecomprado
2017-02-24,86.96,81.53,Sobrecomprado
2017-02-27,92.39,79.93,Sobrecomprado
2017-02-28,83.87,73.29,Sobrecomprado
2017-03-01,88.80,81.71,Sobrecomprado
2017-03-02,68.67,69.89,Neutro
2017-03-03,64.56,71.15,Sobrecomprado
2017-03-06,71.15,72.16,Sobrecomprado
2017-03-07,68.59,77.60,Sobrecomprado
2017-03-08,63.68,77.81,Sobrecomprado
2017-03-09,67.22,75.68,Sobrecomprado
2017-03-10,55.30,77.49,Sobrecomprado
2017-03-13,78.49,71.47,Sobrecomprado
2017-03-14,72.22,66.89,Neutro
2017-03-15,76.64,73.02,Sobrecomprado
2017-03-16,71.26,69.42,Neutro
2017-03-17,88.06,73.77,Sobrecomprado
2017-03-20,62.77,64.95,Neutro
2017-03-21,43.81,48.25,Neutro
2017-03-22,53.50,60.42,Neutro
2017-03-23,61.84,64.34,Neutro
2017-03-24,59.55,64.44,Neutro
2017-03-27,59.09,62.11,Neutro
2017-03-28,49.53,64.37,Neutro
2017-03-29,71.93,67.13,Neutro
2017-03-30,93.89,63.05,Neutro
2017-03-31,93.16,66.39,Neutro
2017-04-03,48.85,57.73,Neutro
2017-04-04,29.27,48.03,Neutro
2017-04-05,22.07,42.56,Neutro
2017-04-06,31.40,39.91,Neutro
2017-04-07,25.11,44.83,Neutro
2017-04-10,29.11,52.17,Neutro
2017-04-11,30.86,51.11,Neutro
2017-04-12,31.78,37.87,Neutro
2017-04-13,36.59,33.33,Neutro
2017-04-17,63.13,42.79,Neutro
2017-04-18,49.51,39.73,Neutro
2017-04-19,58.77,41.68,Neutro
2017-04-20,70.35,52.71,Neutro
2017-04-21,67.47,50.75,Neutro
2017-04-24,87.04,63.75,Neutro
2017-04-25,93.81,74.03,Sobrecomprado
2017-04-26,92.96,81.36,Sobrecomprado
2017-04-27,100.00,80.38,Sobrecomprado
2017-04-28,95.11,79.63,Sobrecomprado
2017-05-01,94.30,81.21,Sobrecomprado
2017-05-02,83.11,75.38,Sobrecomprado
2017-05-03,76.08,82.74,Sobrecomprado
2017-05-04,62.12,85.77,Sobrecomprado
2017-05-05,62.69,84.42,Sobrecomprado
2017-05-08,70.41,89.86,Sobrecomprado
2017-05-09,79.65,89.56,Sobrecomprado
2017-05-10,50.00,77.28,Sobrecomprado
2017-05-11,66.67,77.80,Sobrecomprado
2017-05-12,64.38,71.27,Sobrecomprado
2017-05-15,65.56,63.96,Neutro
2017-05-16,77.19,71.82,Sobrecomprado
2017-05-17,55.14,61.41,Neutro
2017-05-18,52.61,64.18,Neutro
2017-05-19,61.11,56.08,Neutro
2017-05-22,63.85,64.97,Neutro
2017-05-23,68.14,66.67,Neutro
2017-05-24,74.56,71.43,Sobrecomprado
2017-05-25,76.39,76.74,Sobrecomprado
2017-05-26,78.98,68.22,Neutro
2017-05-30,81.04,69.30,Neutro
2017-05-31,87.19,78.05,Sobrecomprado
2017-06-01,86.18,77.58,Sobrecomprado
2017-06-02,86.05,78.86,Sobrecomprado
2017-06-05,78.80,76.68,Sobrecomprado
2017-06-06,66.10,72.61,Sobrecomprado
2017-06-07,90.23,82.48,Sobrecomprado
2017-06-08,89.84,83.52,Sobrecomprado
2017-06-09,44.44,75.70,Sobrecomprado
2017-06-12,21.51,57.03,Neutro
2017-06-13,32.41,59.76,Neutro
2017-06-14,29.49,51.33,Neutro
2017-06-15,25.13,38.20,Neutro
2017-06-16,22.44,39.04,Neutro
2017-06-19,15.46,33.91,Neutro
2017-06-20,18.40,26.03,Sobrevendido
2017-06-21,26.79,23.86,Sobrevendido
2017-06-22,0.00,19.92,Sobrevendido
2017-06-23,34.71,31.61,Neutro
2017-06-26,36.05,29.30,Sobrevendido
2017-06-27,37.33,27.72,Sobrevendido
2017-06-28,55.89,32.99,Neutro
2017-06-29,50.46,34.50,Neutro
2017-06-30,55.33,43.13,Neutro
2017-07-03,59.71,34.51,Neutro
2017-07-05,42.27,38.07,Neutro
2017-07-06,45.30,40.10,Neutro
2017-07-07,70.12,54.29,Neutro
2017-07-10,57.40,56.44,Neutro
2017-07-11,77.01,59.64,Neutro
2017-07-12,87.02,68.31,Neutro
2017-07-13,87.02,71.40,Sobrecomprado
2017-07-14,87.02,65.42,Neutro
2017-07-17,92.27,71.07,Sobrecomprado
2017-07-18,89.70,78.08,Sobrecomprado
2017-07-19,92.06,76.76,Sobrecomprado
2017-07-20,91.28,84.55,Sobrecomprado
2017-07-21,75.72,81.89,Sobrecomprado
2017-07-24,87.05,87.03,Sobrecomprado
2017-07-25,89.80,88.52,Sobrecomprado
2017-07-26,86.09,89.11,Sobrecomprado
2017-07-27,84.39,86.76,Sobrecomprado
2017-07-28,80.72,87.11,Sobrecomprado
2017-07-31,71.17,82.12,Sobrecomprado
2017-08-01,89.42,83.20,Sobrecomprado
2017-08-02,87.28,87.16,Sobrecomprado
2017-08-03,94.98,93.12,Sobrecomprado
2017-08-04,73.63,77.23,Sobrecomprado
2017-08-07,65.44,70.12,Sobrecomprado
2017-08-08,58.32,62.79,Neutro
2017-08-09,57.12,59.83,Neutro
2017-08-10,46.03,56.05,Neutro
2017-08-11,43.85,52.23,Neutro
2017-08-14,13.62,52.86,Neutro
2017-08-15,17.07,51.06,Neutro
2017-08-16,22.54,51.06,Neutro
2017-08-17,25.54,48.68,Neutro
2017-08-18,39.46,51.79,Neutro
2017-08-21,55.14,48.18,Neutro
2017-08-22,72.05,50.63,Neutro
2017-08-23,46.12,23.95,Sobrevendido
2017-08-24,52.60,29.10,Sobrevendido
2017-08-25,54.95,35.20,Neutro
2017-08-28,63.74,40.65,Neutro
2017-08-29,57.14,45.54,Neutro
2017-08-30,64.13,59.30,Neutro
2017-08-31,64.71,68.75,Neutro
2017-09-01,75.62,58.58,Neutro
2017-09-05,70.76,61.16,Neutro
2017-09-06,47.06,50.83,Neutro
2017-09-07,34.14,45.55,Neutro
2017-09-08,22.65,32.95,Neutro
2017-09-11,23.29,36.98,Neutro
2017-09-12,10.45,29.89,Sobrevendido
2017-09-13,30.36,43.48,Neutro
2017-09-14,35.23,46.14,Neutro
2017-09-15,51.07,49.58,Neutro
2017-09-18,73.99,57.69,Neutro
2017-09-19,95.61,63.33,Neutro
2017-09-20,95.61,63.46,Neutro
2017-09-21,100.00,62.07,Neutro
2017-09-22,100.00,66.54,Neutro
2017-09-25,92.50,65.74,Neutro
2017-09-26,88.66,70.43,Sobrecomprado
2017-09-27,88.86,81.29,Sobrecomprado
2017-09-28,89.21,92.55,Sobrecomprado
2017-09-29,81.80,89.06,Sobrecomprado
2017-10-02,84.73,92.08,Sobrecomprado
2017-10-03,84.66,91.79,Sobrecomprado
2017-10-04,88.27,90.32,Sobrecomprado
2017-10-05,82.14,85.02,Sobrecomprado
2017-10-06,68.57,78.52,Sobrecomprado
2017-10-09,62.61,77.01,Sobrecomprado
2017-10-10,73.37,77.74,Sobrecomprado
2017-10-11,67.41,77.99,Sobrecomprado
2017-10-12,57.09,74.58,Sobrecomprado
2017-10-13,56.69,76.36,Sobrecomprado
2017-10-16,72.46,78.72,Sobrecomprado
2017-10-17,69.44,68.93,Neutro
2017-10-18,45.55,55.05,Neutro
2017-10-19,21.25,49.64,Neutro
2017-10-20,14.29,41.68,Neutro
2017-10-23,15.11,36.25,Neutro
2017-10-24,15.67,36.78,Neutro
2017-10-25,1.30,40.04,Neutro
2017-10-26,16.75,47.28,Neutro
2017-10-27,43.81,44.84,Neutro
2017-10-30,66.41,34.15,Neutro
2017-10-31,82.38,45.17,Neutro
2017-11-01,86.01,51.06,Neutro
2017-11-02,80.39,50.17,Neutro
2017-11-03,17.81,15.45,Sobrevendido
2017-11-06,17.21,17.15,Sobrevendido
2017-11-07,14.85,18.53,Sobrevendido
2017-11-08,17.64,21.90,Sobrevendido
2017-11-09,12.26,23.67,Sobrevendido
2017-11-10,8.91,23.51,Sobrevendido
2017-11-13,13.42,26.52,Sobrevendido
2017-11-14,82.84,26.18,Sobrevendido
2017-11-15,76.56,24.50,Sobrevendido
2017-11-16,85.85,28.53,Sobrevendido
2017-11-17,82.46,29.02,Sobrevendido
2017-11-20,82.21,25.05,Sobrevendido
2017-11-21,89.78,27.36,Sobrevendido
2017-11-22,81.54,27.40,Sobrevendido
2017-11-24,76.37,78.77,Sobrecomprado
2017-11-27,77.49,77.15,Sobrecomprado
2017-11-28,75.16,80.57,Sobrecomprado
2017-11-29,64.90,72.67,Sobrecomprado
2017-11-30,57.80,68.74,Neutro
2017-12-01,27.32,57.47,Neutro
2017-12-04,33.93,55.51,Neutro
2017-12-05,34.28,54.15,Neutro
2017-12-06,28.48,49.20,Neutro
2017-12-07,6.87,36.98,Neutro
2017-12-08,7.38,35.86,Neutro
2017-12-11,7.80,32.80,Neutro
2017-12-12,12.56,22.06,Sobrevendido
2017-12-13,9.62,25.50,Sobrevendido
2017-12-14,10.36,26.33,Sobrevendido
2017-12-15,65.37,41.57,Neutro
2017-12-18,81.13,39.14,Neutro
2017-12-19,90.10,44.84,Neutro
2017-12-20,78.90,43.35,Neutro
2017-12-21,82.91,58.24,Neutro
2017-12-22,70.94,51.16,Neutro
2017-12-26,54.29,43.19,Neutro
2017-12-27,42.38,50.70,Neutro
2017-12-28,32.38,53.78,Neutro
2017-12-29,21.95,49.66,Neutro
2018-01-02,26.52,50.46,Neutro
2018-01-03,13.30,48.42,Neutro
2018-01-04,14.17,45.02,Neutro
2018-01-05,43.88,50.88,Neutro
2018-01-08,45.26,43.50,Neutro
2018-01-09,43.27,36.91,Neutro
2018-01-10,67.42,37.10,Neutro
2018-01-11,70.97,43.25,Neutro
2018-01-12,84.51,39.38,Neutro
2018-01-16,100.00,43.85,Neutro
2018-01-17,100.00,67.36,Neutro
2018-01-18,100.00,66.31,Neutro
2018-01-19,100.00,70.95,Sobrecomprado
2018-01-22,100.00,84.55,Sobrecomprado
2018-01-23,65.81,68.09,Neutro
2018-01-24,55.04,66.67,Neutro
2018-01-25,53.11,69.71,Neutro
2018-01-26,46.45,67.45,Neutro
2018-01-29,39.09,60.43,Neutro
2018-01-30,22.99,61.57,Neutro
2018-01-31,14.83,51.96,Neutro
