Date,RSI_7,RSI_14,RSI_Sinal
2025-06-25,,,Neutro
2025-06-26,100.00,100.00,Sobrecomprado
2025-06-27,100.00,100.00,Sobrecomprado
2025-06-30,100.00,100.00,Sobrecomprado
2025-07-01,100.00,100.00,Sobrecomprado
2025-07-02,100.00,100.00,Sobrecomprado
2025-07-03,98.53,98.53,Sobrecomprado
2025-07-07,59.12,59.12,Neutro
2025-07-08,54.28,63.23,Neutro
2025-07-09,52.36,62.89,Neutro
2025-07-10,45.36,60.97,Neutro
2025-07-11,38.30,54.07,Neutro
2025-07-14,11.05,43.85,Neutro
2025-07-15,12.93,44.57,Neutro
2025-07-16,19.91,43.46,Neutro
2025-07-17,2.99,31.97,Neutro
2025-07-18,23.73,38.07,Neutro
2025-07-21,48.80,47.41,Neutro
2025-07-22,51.26,45.38,Neutro
2025-07-23,73.68,42.27,Neutro
2025-07-24,67.49,40.79,Neutro
2025-07-25,66.94,48.99,Neutro
2025-07-28,81.44,52.66,Neutro
2025-07-29,79.45,54.55,Neutro
2025-07-30,48.61,48.71,Neutro
2025-07-31,22.95,33.33,Neutro
2025-08-01,22.50,39.63,Neutro
2025-08-04,22.57,38.23,Neutro
2025-08-05,22.30,37.83,Neutro
2025-08-06,11.06,38.72,Neutro
2025-08-07,7.40,34.43,Neutro
2025-08-08,17.19,28.56,Sobrevendido
2025-08-11,56.91,30.28,Neutro
2025-08-12,73.95,38.65,Neutro
2025-08-13,85.18,44.71,Neutro
2025-08-14,92.41,47.92,Neutro
2025-08-15,95.30,43.10,Neutro
2025-08-18,97.53,43.44,Neutro
2025-08-19,78.08,43.65,Neutro
2025-08-20,74.50,69.29,Neutro
2025-08-21,50.46,61.91,Neutro
2025-08-22,54.75,70.23,Sobrecomprado
2025-08-25,41.64,68.45,Neutro
2025-08-26,53.33,73.35,Sobrecomprado
2025-08-27,52.20,74.72,Sobrecomprado
2025-08-28,68.84,73.96,Sobrecomprado
2025-08-29,70.03,72.54,Sobrecomprado
2025-09-02,68.45,59.82,Neutro
2025-09-03,44.06,50.00,Neutro
2025-09-04,66.08,53.67,Neutro
2025-09-05,56.02,54.37,Neutro
2025-09-08,55.00,53.28,Neutro
2025-09-09,41.01,56.58,Neutro
2025-09-10,44.32,58.71,Neutro
2025-09-11,67.89,68.20,Neutro
2025-09-12,81.54,61.90,Neutro
2025-09-15,59.57,63.77,Neutro
2025-09-16,73.50,65.03,Neutro
2025-09-17,75.08,65.78,Neutro
2025-09-18,91.95,69.33,Neutro
2025-09-19,81.09,65.86,Neutro
2025-09-22,81.66,75.75,Sobrecomprado
2025-09-23,79.20,80.12,Sobrecomprado
2025-09-24,89.04,81.01,Sobrecomprado
2025-09-25,65.36,68.17,Neutro
2025-09-26,61.35,66.38,Neutro
2025-09-29,40.39,60.22,Neutro
2025-09-30,47.63,61.46,Neutro
2025-10-01,36.78,57.75,Neutro
2025-10-02,46.83,60.87,Neutro
2025-10-03,30.23,63.07,Neutro
2025-10-06,42.70,57.58,Neutro
2025-10-07,32.17,49.16,Neutro
2025-10-08,61.02,47.82,Neutro
2025-10-09,44.41,46.38,Neutro
2025-10-10,21.23,27.20,Sobrevendido
2025-10-13,35.47,39.66,Neutro
2025-10-14,34.84,33.41,Neutro
2025-10-15,38.00,39.11,Neutro
2025-10-16,45.06,41.06,Neutro
2025-10-17,39.20,45.49,Neutro
2025-10-20,51.34,49.27,Neutro
2025-10-21,96.51,51.36,Neutro
2025-10-22,93.44,48.52,Neutro
2025-10-23,95.05,49.40,Neutro
2025-10-24,82.04,48.49,Neutro
2025-10-27,94.04,69.93,Neutro
2025-10-28,75.09,60.05,Neutro
