Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,100.00,100.00,Sobrecomprado
2016-01-06,64.42,64.42,Neutro
2016-01-07,29.13,29.13,Sobrevendido
2016-01-08,19.31,19.31,Sobrevendido
2016-01-11,18.61,18.61,Sobrevendido
2016-01-12,16.42,16.42,Sobrevendido
2016-01-13,16.11,16.11,Sobrevendido
2016-01-14,18.08,29.21,Sobrevendido
2016-01-15,18.38,27.53,Sobrevendido
2016-01-19,23.40,25.76,Sobrevendido
2016-01-20,30.92,24.16,Sobrevendido
2016-01-21,28.10,22.71,Sobrevendido
2016-01-22,42.91,26.76,Sobrevendido
2016-01-25,49.64,29.60,Sobrevendido
2016-01-26,33.80,23.32,Sobrevendido
2016-01-27,28.12,22.07,Sobrevendido
2016-01-28,25.44,24.35,Sobrevendido
2016-01-29,50.99,42.72,Neutro
2016-02-01,63.34,48.37,Neutro
2016-02-02,58.48,51.74,Neutro
2016-02-03,46.63,47.93,Neutro
2016-02-04,44.29,40.45,Neutro
2016-02-05,47.38,39.17,Neutro
2016-02-08,56.79,41.23,Neutro
2016-02-09,20.85,38.27,Neutro
2016-02-10,0.00,39.90,Neutro
2016-02-11,0.00,35.34,Neutro
2016-02-12,0.00,30.46,Neutro
2016-02-16,9.09,31.54,Neutro
2016-02-17,15.57,36.99,Neutro
2016-02-18,8.70,32.25,Neutro
2016-02-19,22.27,21.54,Sobrevendido
2016-02-22,44.58,26.62,Sobrevendido
2016-02-23,49.09,29.17,Sobrevendido
2016-02-24,65.41,43.79,Neutro
2016-02-25,54.38,39.91,Neutro
2016-02-26,61.84,50.79,Neutro
2016-02-29,68.83,45.69,Neutro
2016-03-01,68.63,52.77,Neutro
2016-03-02,64.94,56.15,Neutro
2016-03-03,66.14,58.85,Neutro
2016-03-04,55.04,60.59,Neutro
2016-03-07,69.97,60.70,Neutro
2016-03-08,46.27,56.80,Neutro
2016-03-09,71.20,69.49,Neutro
2016-03-10,56.15,65.11,Neutro
2016-03-11,62.04,63.96,Neutro
2016-03-14,57.07,63.39,Neutro
2016-03-15,39.49,48.15,Neutro
2016-03-16,32.59,52.36,Neutro
2016-03-17,46.88,46.58,Neutro
2016-03-18,58.41,63.01,Neutro
2016-03-21,67.67,63.51,Neutro
2016-03-22,62.98,62.57,Neutro
2016-03-23,52.55,54.20,Neutro
2016-03-24,66.54,52.69,Neutro
2016-03-28,66.04,49.16,Neutro
2016-03-29,68.20,58.07,Neutro
2016-03-30,55.67,57.36,Neutro
2016-03-31,47.98,60.91,Neutro
2016-04-01,54.55,59.55,Neutro
2016-04-04,69.23,57.87,Neutro
2016-04-05,78.26,70.57,Sobrecomprado
2016-04-06,89.84,73.79,Sobrecomprado
2016-04-07,83.95,71.70,Sobrecomprado
2016-04-08,59.81,57.10,Neutro
2016-04-11,54.46,50.53,Neutro
2016-04-12,44.57,51.38,Neutro
2016-04-13,62.83,66.54,Neutro
2016-04-14,62.28,71.03,Sobrecomprado
2016-04-15,60.91,76.47,Sobrecomprado
2016-04-18,70.55,75.33,Sobrecomprado
2016-04-19,90.65,77.24,Sobrecomprado
2016-04-20,96.69,78.71,Sobrecomprado
2016-04-21,96.15,74.77,Sobrecomprado
2016-04-22,96.35,81.20,Sobrecomprado
2016-04-25,100.00,84.59,Sobrecomprado
2016-04-26,95.86,82.08,Sobrecomprado
2016-04-27,80.39,75.59,Sobrecomprado
2016-04-28,34.60,52.80,Neutro
2016-04-29,26.06,49.34,Neutro
2016-05-02,22.65,44.42,Neutro
2016-05-03,11.07,37.93,Neutro
2016-05-04,0.00,34.52,Neutro
2016-05-05,0.00,31.76,Neutro
2016-05-06,4.22,28.25,Sobrevendido
2016-05-09,22.06,29.41,Sobrevendido
2016-05-10,27.11,26.43,Sobrevendido
2016-05-11,24.32,23.28,Sobrevendido
2016-05-12,20.09,14.94,Sobrevendido
2016-05-13,24.19,9.02,Sobrevendido
2016-05-16,48.54,18.28,Sobrevendido
2016-05-17,38.91,18.08,Sobrevendido
2016-05-18,32.50,27.23,Sobrevendido
2016-05-19,28.63,27.99,Sobrevendido
2016-05-20,46.53,36.98,Neutro
2016-05-23,65.62,41.11,Neutro
2016-05-24,72.41,49.36,Neutro
2016-05-25,63.64,55.00,Neutro
2016-05-26,69.01,50.69,Neutro
2016-05-27,69.86,48.27,Neutro
2016-05-31,87.68,50.96,Neutro
2016-06-01,84.82,58.54,Neutro
2016-06-02,87.86,75.00,Sobrecomprado
2016-06-03,62.58,68.03,Neutro
2016-06-06,72.27,68.72,Neutro
2016-06-07,75.00,72.60,Sobrecomprado
2016-06-08,77.35,74.47,Sobrecomprado
2016-06-09,66.94,74.47,Sobrecomprado
2016-06-10,50.92,60.78,Neutro
2016-06-13,62.15,69.43,Neutro
2016-06-14,72.14,68.93,Neutro
2016-06-15,57.05,63.51,Neutro
2016-06-16,59.66,66.07,Neutro
2016-06-17,47.95,61.03,Neutro
2016-06-20,52.63,59.45,Neutro
2016-06-21,62.50,56.14,Neutro
2016-06-22,32.80,54.49,Neutro
2016-06-23,35.88,61.67,Neutro
2016-06-24,27.65,46.37,Neutro
2016-06-27,19.90,43.31,Neutro
2016-06-28,48.44,48.18,Neutro
2016-06-29,51.30,51.96,Neutro
2016-06-30,57.35,59.64,Neutro
2016-07-01,60.98,52.79,Neutro
2016-07-05,58.82,51.67,Neutro
2016-07-06,77.27,55.64,Neutro
2016-07-07,96.23,58.61,Neutro
2016-07-08,96.19,69.96,Neutro
2016-07-11,96.40,71.69,Sobrecomprado
2016-07-12,96.81,76.04,Sobrecomprado
2016-07-13,96.30,75.62,Sobrecomprado
2016-07-14,96.51,75.48,Sobrecomprado
2016-07-15,95.67,86.70,Sobrecomprado
2016-07-18,95.61,95.91,Sobrecomprado
2016-07-19,56.15,74.67,Sobrecomprado
2016-07-20,55.79,75.22,Sobrecomprado
2016-07-21,37.17,68.55,Neutro
2016-07-22,31.98,63.70,Neutro
2016-07-25,30.41,64.35,Neutro
2016-07-26,56.88,72.94,Sobrecomprado
2016-07-27,55.38,72.24,Sobrecomprado
2016-07-28,89.95,77.86,Sobrecomprado
2016-07-29,80.79,72.14,Sobrecomprado
2016-08-01,88.38,71.41,Sobrecomprado
2016-08-02,82.58,66.76,Neutro
2016-08-03,83.23,67.40,Neutro
2016-08-04,73.84,66.30,Neutro
2016-08-05,73.12,65.27,Neutro
2016-08-08,35.47,72.70,Sobrecomprado
2016-08-09,39.78,69.17,Neutro
2016-08-10,24.38,71.75,Sobrecomprado
2016-08-11,44.44,73.89,Sobrecomprado
2016-08-12,25.19,71.03,Sobrecomprado
2016-08-15,36.29,65.10,Neutro
2016-08-16,21.95,58.19,Neutro
2016-08-17,23.84,30.51,Neutro
2016-08-18,22.50,31.67,Neutro
2016-08-19,20.22,22.19,Sobrevendido
2016-08-22,10.69,26.73,Sobrevendido
2016-08-23,25.31,25.25,Sobrevendido
2016-08-24,19.61,27.08,Sobrevendido
2016-08-25,26.09,23.66,Sobrevendido
2016-08-26,38.84,30.51,Neutro
2016-08-29,58.65,36.74,Neutro
2016-08-30,82.67,38.74,Neutro
2016-08-31,81.94,32.90,Neutro
2016-09-01,68.63,35.68,Neutro
2016-09-02,53.85,29.82,Sobrevendido
2016-09-06,62.50,38.01,Neutro
2016-09-07,74.39,53.20,Neutro
2016-09-08,47.00,52.94,Neutro
2016-09-09,23.47,39.85,Neutro
2016-09-12,34.78,46.03,Neutro
2016-09-13,29.74,35.94,Neutro
2016-09-14,31.25,35.83,Neutro
2016-09-15,49.86,51.61,Neutro
2016-09-16,42.95,49.61,Neutro
2016-09-19,59.20,56.47,Neutro
2016-09-20,85.53,61.54,Neutro
2016-09-21,60.74,50.91,Neutro
2016-09-22,75.12,57.55,Neutro
2016-09-23,74.25,58.22,Neutro
2016-09-26,57.91,54.13,Neutro
2016-09-27,56.93,50.85,Neutro
2016-09-28,44.15,51.74,Neutro
2016-09-29,23.70,51.37,Neutro
2016-09-30,52.62,56.56,Neutro
2016-10-03,35.61,57.67,Neutro
2016-10-04,34.58,56.56,Neutro
2016-10-05,43.83,51.71,Neutro
2016-10-06,46.82,52.46,Neutro
2016-10-07,52.12,47.92,Neutro
2016-10-10,78.57,43.10,Neutro
2016-10-11,26.63,44.91,Neutro
2016-10-12,31.47,34.38,Neutro
2016-10-13,35.16,34.74,Neutro
2016-10-14,19.11,35.48,Neutro
2016-10-17,13.61,36.23,Neutro
2016-10-18,22.56,41.83,Neutro
2016-10-19,31.72,56.57,Neutro
2016-10-20,47.97,35.62,Neutro
2016-10-21,50.39,40.37,Neutro
2016-10-24,66.67,53.57,Neutro
2016-10-25,70.18,45.73,Neutro
2016-10-26,65.92,42.33,Neutro
2016-10-27,41.31,33.16,Neutro
2016-10-28,19.18,23.81,Sobrevendido
2016-10-31,19.24,27.27,Sobrevendido
2016-11-01,15.86,25.00,Sobrevendido
2016-11-02,0.00,25.05,Sobrevendido
2016-11-03,0.00,25.59,Sobrevendido
2016-11-04,7.99,29.07,Sobrevendido
2016-11-07,32.73,36.08,Neutro
2016-11-08,47.81,31.14,Neutro
2016-11-09,69.23,45.04,Neutro
2016-11-10,83.33,50.75,Neutro
2016-11-11,85.94,50.89,Neutro
2016-11-14,93.79,55.66,Neutro
2016-11-15,90.76,55.51,Neutro
2016-11-16,85.92,59.91,Neutro
2016-11-17,93.29,74.64,Sobrecomprado
2016-11-18,89.52,77.01,Sobrecomprado
2016-11-21,89.11,85.34,Sobrecomprado
2016-11-22,83.56,85.34,Sobrecomprado
2016-11-23,84.11,91.30,Sobrecomprado
2016-11-25,92.26,91.16,Sobrecomprado
2016-11-28,67.77,79.07,Sobrecomprado
2016-11-29,59.65,79.50,Sobrecomprado
2016-11-30,63.35,75.27,Sobrecomprado
2016-12-01,35.83,60.18,Neutro
2016-12-02,29.15,47.17,Neutro
2016-12-05,26.15,46.31,Neutro
2016-12-06,27.43,50.11,Neutro
2016-12-07,35.11,50.92,Neutro
2016-12-08,51.97,55.60,Neutro
2016-12-09,52.16,57.71,Neutro
2016-12-12,64.25,48.99,Neutro
2016-12-13,80.12,47.51,Neutro
2016-12-14,60.00,39.08,Neutro
2016-12-15,49.70,35.67,Neutro
2016-12-16,29.47,31.96,Neutro
2016-12-19,11.48,31.11,Neutro
2016-12-20,0.00,25.58,Sobrevendido
2016-12-21,10.36,33.26,Neutro
2016-12-22,9.57,34.54,Neutro
2016-12-23,22.80,36.31,Neutro
2016-12-27,24.49,33.69,Neutro
2016-12-28,41.48,34.06,Neutro
2016-12-29,62.86,31.69,Neutro
2016-12-30,78.45,31.84,Neutro
2017-01-03,54.85,29.22,Sobrevendido
2017-01-04,68.24,30.66,Neutro
2017-01-05,44.64,30.53,Neutro
2017-01-06,40.78,30.66,Neutro
2017-01-09,30.77,35.37,Neutro
2017-01-10,43.16,50.65,Neutro
2017-01-11,33.70,51.66,Neutro
2017-01-12,33.83,42.95,Neutro
2017-01-13,32.12,45.95,Neutro
2017-01-17,34.92,38.81,Neutro
2017-01-18,36.51,38.33,Neutro
2017-01-19,42.51,36.28,Neutro
2017-01-20,19.05,34.95,Neutro
2017-01-23,18.30,28.13,Sobrevendido
2017-01-24,20.90,29.53,Sobrevendido
2017-01-25,20.74,28.36,Sobrevendido
2017-01-26,15.30,26.67,Sobrevendido
2017-01-27,34.89,35.71,Neutro
2017-01-30,33.20,37.44,Neutro
2017-01-31,33.47,28.10,Sobrevendido
2017-02-01,38.53,30.47,Neutro
2017-02-02,39.21,32.41,Neutro
2017-02-03,50.19,40.10,Neutro
2017-02-06,70.23,44.97,Neutro
2017-02-07,69.81,51.45,Neutro
2017-02-08,73.27,51.22,Neutro
2017-02-09,75.78,53.50,Neutro
2017-02-10,75.68,56.73,Neutro
2017-02-13,89.19,63.92,Neutro
2017-02-14,78.89,62.66,Neutro
2017-02-15,83.59,77.49,Sobrecomprado
2017-02-16,66.80,68.20,Neutro
2017-02-17,76.25,74.89,Sobrecomprado
2017-02-21,72.86,74.36,Sobrecomprado
2017-02-22,73.85,74.77,Sobrecomprado
2017-02-23,72.46,81.12,Sobrecomprado
2017-02-24,69.77,74.15,Sobrecomprado
2017-02-27,69.19,77.09,Sobrecomprado
2017-02-28,55.94,61.19,Neutro
2017-03-01,65.88,70.19,Sobrecomprado
2017-03-02,65.36,68.27,Neutro
2017-03-03,64.29,68.15,Neutro
2017-03-06,60.45,65.25,Neutro
2017-03-07,60.65,64.38,Neutro
2017-03-08,40.57,52.85,Neutro
2017-03-09,65.02,60.12,Neutro
2017-03-10,25.00,50.84,Neutro
2017-03-13,20.97,49.42,Neutro
2017-03-14,15.13,43.39,Neutro
2017-03-15,34.68,47.86,Neutro
2017-03-16,43.29,52.14,Neutro
2017-03-17,48.31,44.34,Neutro
2017-03-20,45.88,54.81,Neutro
2017-03-21,63.30,43.75,Neutro
2017-03-22,57.00,39.64,Neutro
2017-03-23,82.97,44.52,Neutro
2017-03-24,76.34,47.43,Neutro
2017-03-27,77.37,54.02,Neutro
2017-03-28,82.81,59.49,Neutro
2017-03-29,84.62,59.80,Neutro
2017-03-30,85.99,73.62,Sobrecomprado
2017-03-31,96.50,73.47,Sobrecomprado
2017-04-03,95.97,88.24,Sobrecomprado
2017-04-04,90.35,82.86,Sobrecomprado
2017-04-05,70.30,74.37,Sobrecomprado
2017-04-06,77.27,80.25,Sobrecomprado
2017-04-07,67.11,78.54,Sobrecomprado
2017-04-10,43.75,71.73,Sobrecomprado
2017-04-11,56.31,79.67,Sobrecomprado
2017-04-12,36.04,67.66,Neutro
2017-04-13,35.09,62.72,Neutro
2017-04-17,61.27,65.02,Neutro
2017-04-18,66.67,70.91,Sobrecomprado
2017-04-19,66.87,66.94,Neutro
2017-04-20,82.14,71.01,Sobrecomprado
2017-04-21,70.68,65.65,Neutro
2017-04-24,78.95,62.06,Neutro
2017-04-25,89.69,73.14,Sobrecomprado
2017-04-26,68.36,65.95,Neutro
2017-04-27,66.92,66.82,Neutro
2017-04-28,67.05,66.98,Neutro
2017-05-01,62.98,71.69,Sobrecomprado
2017-05-02,72.61,71.76,Sobrecomprado
2017-05-03,72.02,74.88,Sobrecomprado
2017-05-04,51.72,76.17,Sobrecomprado
2017-05-05,91.74,75.51,Sobrecomprado
2017-05-08,90.10,73.35,Sobrecomprado
2017-05-09,92.25,75.32,Sobrecomprado
2017-05-10,91.53,72.52,Sobrecomprado
2017-05-11,63.28,69.38,Neutro
2017-05-12,49.69,63.05,Neutro
2017-05-15,57.22,54.82,Neutro
2017-05-16,46.41,66.42,Neutro
2017-05-17,29.60,48.46,Neutro
2017-05-18,18.65,48.14,Neutro
2017-05-19,28.31,50.45,Neutro
2017-05-22,39.39,48.77,Neutro
2017-05-23,51.57,50.62,Neutro
2017-05-24,42.54,51.09,Neutro
2017-05-25,53.70,50.16,Neutro
2017-05-26,98.86,49.20,Neutro
2017-05-30,99.16,49.36,Neutro
2017-05-31,66.67,42.11,Neutro
2017-06-01,78.07,58.18,Neutro
2017-06-02,71.00,62.40,Neutro
2017-06-05,66.51,57.23,Neutro
2017-06-06,62.03,58.17,Neutro
2017-06-07,63.16,74.46,Sobrecomprado
2017-06-08,65.85,78.09,Sobrecomprado
2017-06-09,76.27,72.33,Sobrecomprado
2017-06-12,45.45,65.26,Neutro
2017-06-13,61.42,67.28,Neutro
2017-06-14,59.54,63.85,Neutro
2017-06-15,61.59,61.85,Neutro
2017-06-16,61.87,62.61,Neutro
2017-06-19,54.70,61.80,Neutro
2017-06-20,52.46,66.56,Neutro
2017-06-21,70.43,57.63,Neutro
2017-06-22,76.22,69.26,Neutro
2017-06-23,92.09,79.77,Sobrecomprado
2017-06-26,89.42,78.32,Sobrecomprado
2017-06-27,82.27,74.37,Sobrecomprado
2017-06-28,83.33,73.79,Sobrecomprado
2017-06-29,83.33,72.75,Sobrecomprado
2017-06-30,74.17,72.96,Sobrecomprado
2017-07-03,66.15,70.45,Sobrecomprado
2017-07-05,33.04,71.52,Sobrecomprado
2017-07-06,26.03,63.28,Neutro
2017-07-07,57.87,70.18,Sobrecomprado
2017-07-10,46.52,66.98,Neutro
2017-07-11,54.14,70.60,Sobrecomprado
2017-07-12,53.85,65.40,Neutro
2017-07-13,49.75,57.84,Neutro
2017-07-14,55.84,47.44,Neutro
2017-07-17,94.01,84.05,Sobrecomprado
2017-07-18,95.31,89.11,Sobrecomprado
2017-07-19,96.22,89.07,Sobrecomprado
2017-07-20,96.20,90.28,Sobrecomprado
2017-07-21,98.15,91.78,Sobrecomprado
2017-07-24,99.81,92.07,Sobrecomprado
2017-07-25,97.34,90.99,Sobrecomprado
2017-07-26,87.32,91.78,Sobrecomprado
2017-07-27,21.05,82.45,Sobrecomprado
2017-07-28,2.92,66.73,Neutro
2017-07-31,1.85,63.14,Neutro
2017-08-01,1.83,63.81,Neutro
2017-08-02,0.00,63.78,Neutro
2017-08-03,0.00,62.69,Neutro
2017-08-04,5.09,38.94,Neutro
2017-08-07,13.90,16.07,Sobrevendido
2017-08-08,35.27,12.21,Sobrevendido
2017-08-09,76.92,21.27,Sobrevendido
2017-08-10,63.24,20.05,Sobrevendido
2017-08-11,76.43,26.03,Sobrevendido
2017-08-14,75.71,26.09,Sobrevendido
2017-08-15,67.86,26.17,Sobrevendido
2017-08-16,60.73,30.00,Neutro
2017-08-17,53.70,46.33,Neutro
2017-08-18,39.50,56.95,Neutro
2017-08-21,54.19,59.21,Neutro
2017-08-22,52.06,67.13,Neutro
2017-08-23,59.06,69.88,Neutro
2017-08-24,69.62,68.45,Neutro
2017-08-25,45.83,53.79,Neutro
2017-08-28,61.09,56.91,Neutro
2017-08-29,76.34,62.44,Neutro
2017-08-30,73.77,67.01,Neutro
2017-08-31,70.98,64.21,Neutro
2017-09-01,76.54,71.50,Sobrecomprado
2017-09-05,76.20,74.39,Sobrecomprado
2017-09-06,97.84,77.38,Sobrecomprado
2017-09-07,97.87,83.58,Sobrecomprado
2017-09-08,81.97,78.49,Sobrecomprado
2017-09-11,85.12,78.15,Sobrecomprado
2017-09-12,86.52,77.72,Sobrecomprado
2017-09-13,76.35,76.48,Sobrecomprado
2017-09-14,58.24,69.28,Neutro
2017-09-15,42.63,75.52,Sobrecomprado
2017-09-18,79.97,86.12,Sobrecomprado
2017-09-19,88.60,87.24,Sobrecomprado
2017-09-20,88.43,87.75,Sobrecomprado
2017-09-21,83.77,84.38,Sobrecomprado
2017-09-22,84.59,83.09,Sobrecomprado
2017-09-25,90.63,83.05,Sobrecomprado
2017-09-26,88.46,78.24,Sobrecomprado
2017-09-27,60.27,72.52,Sobrecomprado
2017-09-28,56.82,79.11,Sobrecomprado
2017-09-29,53.76,77.63,Sobrecomprado
2017-10-02,55.72,75.13,Sobrecomprado
2017-10-03,56.45,75.87,Sobrecomprado
2017-10-04,50.54,76.62,Sobrecomprado
2017-10-05,55.64,77.86,Sobrecomprado
2017-10-06,66.48,63.02,Neutro
2017-10-09,40.91,51.58,Neutro
2017-10-10,50.00,52.61,Neutro
2017-10-11,67.16,59.51,Neutro
2017-10-12,50.38,54.06,Neutro
2017-10-13,45.12,48.41,Neutro
2017-10-16,30.95,43.06,Neutro
2017-10-17,31.31,47.10,Neutro
2017-10-18,23.64,29.50,Sobrevendido
2017-10-19,25.94,33.62,Neutro
2017-10-20,15.90,34.09,Neutro
2017-10-23,28.41,37.97,Neutro
2017-10-24,40.85,43.03,Neutro
2017-10-25,61.70,40.26,Neutro
2017-10-26,55.50,39.25,Neutro
2017-10-27,66.30,41.45,Neutro
2017-10-30,39.07,32.59,Neutro
2017-10-31,39.75,28.27,Sobrevendido
2017-11-01,29.13,28.80,Sobrevendido
2017-11-02,17.65,25.29,Sobrevendido
2017-11-03,25.83,34.74,Neutro
2017-11-06,25.21,33.21,Neutro
2017-11-07,7.69,26.48,Sobrevendido
2017-11-08,11.49,24.82,Sobrevendido
2017-11-09,31.38,34.92,Neutro
2017-11-10,27.85,28.36,Sobrevendido
2017-11-13,45.59,30.27,Neutro
2017-11-14,38.39,31.37,Neutro
2017-11-15,37.39,30.58,Neutro
2017-11-16,54.23,26.65,Sobrevendido
2017-11-17,52.85,31.38,Neutro
2017-11-20,41.72,35.25,Neutro
2017-11-21,73.88,41.84,Neutro
2017-11-22,69.57,53.40,Neutro
2017-11-24,82.09,55.78,Neutro
2017-11-27,40.03,38.89,Neutro
2017-11-28,41.20,46.33,Neutro
2017-11-29,47.66,49.59,Neutro
2017-11-30,47.12,45.36,Neutro
2017-12-01,51.03,57.16,Neutro
2017-12-04,57.58,60.15,Neutro
2017-12-05,48.09,56.97,Neutro
2017-12-06,84.63,60.20,Neutro
2017-12-07,80.62,57.88,Neutro
2017-12-08,80.62,60.81,Neutro
2017-12-11,77.78,58.91,Neutro
2017-12-12,62.65,54.72,Neutro
2017-12-13,45.96,55.05,Neutro
2017-12-14,67.50,51.20,Neutro
2017-12-15,56.49,78.02,Sobrecomprado
2017-12-18,80.28,80.49,Sobrecomprado
2017-12-19,84.14,82.16,Sobrecomprado
2017-12-20,92.20,86.47,Sobrecomprado
2017-12-21,84.79,77.53,Sobrecomprado
2017-12-22,82.73,73.44,Sobrecomprado
2017-12-26,82.26,79.51,Sobrecomprado
2017-12-27,82.97,78.16,Sobrecomprado
2017-12-28,71.85,74.55,Sobrecomprado
2017-12-29,55.06,66.63,Neutro
2018-01-02,31.03,70.68,Sobrecomprado
2018-01-03,50.81,74.40,Sobrecomprado
2018-01-04,69.42,77.52,Sobrecomprado
2018-01-05,72.99,78.46,Sobrecomprado
2018-01-08,71.52,78.20,Sobrecomprado
2018-01-09,66.04,69.12,Neutro
2018-01-10,76.62,65.25,Neutro
2018-01-11,71.86,52.82,Neutro
2018-01-12,64.67,58.37,Neutro
2018-01-16,49.02,62.02,Neutro
2018-01-17,51.67,65.38,Neutro
2018-01-18,46.18,61.93,Neutro
2018-01-19,72.83,68.23,Neutro
2018-01-22,80.51,78.27,Sobrecomprado
2018-01-23,69.35,70.65,Sobrecomprado
2018-01-24,75.70,70.38,Sobrecomprado
2018-01-25,76.70,66.12,Neutro
2018-01-26,71.94,63.28,Neutro
