Date,RSI_7,RSI_14,RSI_Sinal
2021-08-26,,,Neutro
2021-08-27,,,Neutro
2021-08-30,,,Neutro
2021-08-31,,,Neutro
2021-09-01,100.00,100.00,Sobrecomprado
2021-09-02,96.30,96.30,Sobrecomprado
2021-09-03,96.97,96.97,Sobrecomprado
2021-09-07,97.44,97.44,Sobrecomprado
2021-09-08,76.00,76.00,Sobrecomprado
2021-09-09,76.00,76.00,Sobrecomprado
2021-09-10,57.58,57.58,Neutro
2021-09-13,25.00,51.35,Neutro
2021-09-14,22.64,47.50,Neutro
2021-09-15,24.07,51.72,Neutro
2021-09-16,29.31,56.70,Neutro
2021-09-17,36.17,56.70,Neutro
2021-09-20,17.17,36.91,Neutro
2021-09-21,21.43,37.33,Neutro
2021-09-22,31.76,29.32,Sobrevendido
2021-09-23,44.68,36.73,Neutro
2021-09-24,40.23,34.04,Neutro
2021-09-27,32.47,31.11,Neutro
2021-09-28,32.47,33.87,Neutro
2021-09-29,29.76,22.95,Sobrevendido
2021-09-30,28.92,25.15,Sobrevendido
2021-10-01,20.27,26.42,Sobrevendido
2021-10-04,0.00,23.20,Sobrevendido
2021-10-05,0.00,20.11,Sobrevendido
2021-10-06,22.32,26.46,Sobrevendido
2021-10-07,28.69,30.15,Neutro
2021-10-08,55.56,40.82,Neutro
2021-10-11,55.56,40.41,Neutro
2021-10-12,39.77,30.86,Neutro
2021-10-13,62.12,26.80,Sobrevendido
2021-10-14,72.83,37.43,Neutro
2021-10-15,62.69,37.43,Neutro
2021-10-18,70.59,45.89,Neutro
2021-10-19,74.49,67.08,Neutro
2021-10-20,70.87,65.06,Neutro
2021-10-21,94.44,67.42,Neutro
2021-10-22,80.61,73.17,Sobrecomprado
2021-10-25,77.91,75.28,Sobrecomprado
2021-10-26,77.91,71.24,Sobrecomprado
2021-10-27,73.24,71.79,Sobrecomprado
2021-10-28,67.24,71.79,Sobrecomprado
2021-10-29,83.13,76.34,Sobrecomprado
2021-11-01,81.33,88.48,Sobrecomprado
2021-11-02,100.00,88.69,Sobrecomprado
2021-11-03,100.00,88.48,Sobrecomprado
2021-11-04,100.00,88.48,Sobrecomprado
2021-11-05,100.00,86.13,Sobrecomprado
2021-11-08,100.00,87.90,Sobrecomprado
2021-11-09,75.00,78.86,Sobrecomprado
2021-11-10,56.03,65.97,Neutro
2021-11-11,52.34,71.19,Sobrecomprado
2021-11-12,41.38,69.28,Neutro
2021-11-15,41.38,69.28,Neutro
2021-11-16,41.38,66.67,Neutro
2021-11-17,42.05,72.73,Sobrecomprado
2021-11-18,56.92,67.52,Neutro
2021-11-19,100.00,66.67,Neutro
2021-11-22,100.00,68.32,Neutro
2021-11-23,75.00,56.13,Neutro
2021-11-24,77.33,58.02,Neutro
2021-11-26,77.33,58.02,Neutro
2021-11-29,63.04,49.25,Neutro
2021-11-30,37.18,46.15,Neutro
2021-12-01,37.18,57.39,Neutro
2021-12-02,14.29,47.83,Neutro
2021-12-03,12.37,38.18,Neutro
2021-12-06,16.67,42.37,Neutro
2021-12-07,46.88,56.60,Neutro
2021-12-08,48.80,51.89,Neutro
2021-12-09,60.45,51.89,Neutro
2021-12-10,60.45,51.89,Neutro
2021-12-13,56.64,40.97,Neutro
2021-12-14,57.45,39.08,Neutro
2021-12-15,53.49,37.23,Neutro
2021-12-16,15.49,37.23,Neutro
2021-12-17,0.00,35.84,Neutro
2021-12-20,0.00,35.22,Neutro
2021-12-21,25.58,43.35,Neutro
2021-12-22,44.83,51.35,Neutro
2021-12-23,65.05,60.66,Neutro
2021-12-27,71.88,62.65,Neutro
2021-12-28,71.88,51.76,Neutro
2021-12-29,70.23,48.17,Neutro
2021-12-30,94.85,47.67,Neutro
2021-12-31,92.19,47.67,Neutro
2022-01-03,88.89,57.14,Neutro
2022-01-04,83.33,69.17,Neutro
2022-01-05,0.00,69.17,Neutro
2022-01-06,0.00,69.17,Neutro
2022-01-07,0.00,38.66,Neutro
2022-01-10,0.00,45.54,Neutro
2022-01-11,0.00,34.91,Neutro
2022-01-12,0.00,26.67,Sobrevendido
2022-01-13,0.00,18.52,Sobrevendido
2022-01-14,0.00,0.00,Sobrevendido
2022-01-18,0.00,0.00,Sobrevendido
2022-01-19,0.00,0.00,Sobrevendido
2022-01-20,0.00,0.00,Sobrevendido
2022-01-21,0.00,0.00,Sobrevendido
2022-01-24,0.00,0.00,Sobrevendido
2022-01-25,0.00,0.00,Sobrevendido
2022-01-26,0.00,0.00,Sobrevendido
2022-01-27,0.00,0.00,Sobrevendido
2022-01-28,17.07,12.73,Sobrevendido
2022-01-31,36.25,28.71,Sobrevendido
2022-02-01,60.38,30.77,Neutro
2022-02-02,68.09,30.77,Neutro
2022-02-03,55.17,25.91,Sobrevendido
2022-02-04,60.80,29.34,Sobrevendido
2022-02-07,58.02,32.62,Neutro
2022-02-08,55.65,36.44,Neutro
2022-02-09,36.78,36.44,Neutro
2022-02-10,32.10,48.13,Neutro
2022-02-11,22.61,43.06,Neutro
2022-02-14,39.76,48.74,Neutro
2022-02-15,29.58,49.49,Neutro
2022-02-16,38.18,52.15,Neutro
2022-02-17,17.07,46.06,Neutro
2022-02-18,9.33,24.07,Sobrevendido
2022-02-22,8.24,19.88,Sobrevendido
2022-02-23,13.73,19.88,Sobrevendido
2022-02-24,0.00,25.98,Sobrevendido
2022-02-25,0.00,18.26,Sobrevendido
2022-02-28,0.00,21.21,Sobrevendido
2022-03-01,0.00,8.24,Sobrevendido
2022-03-02,0.00,8.24,Sobrevendido
2022-03-03,,8.24,Sobrevendido
2022-03-04,0.00,11.29,Sobrevendido
2022-03-07,0.00,0.00,Sobrevendido
2022-03-08,0.00,0.00,Sobrevendido
2022-03-09,11.11,4.23,Sobrevendido
2022-03-10,11.11,4.23,Sobrevendido
2022-03-11,11.11,8.11,Sobrevendido
2022-03-14,7.50,7.50,Sobrevendido
2022-03-15,10.34,7.50,Sobrevendido
2022-03-16,18.75,7.50,Sobrevendido
2022-03-17,45.83,22.92,Sobrevendido
2022-03-18,62.86,40.32,Neutro
2022-03-21,77.19,55.95,Neutro
2022-03-22,77.19,55.95,Neutro
2022-03-23,100.00,55.95,Neutro
2022-03-24,100.00,64.38,Neutro
2022-03-25,100.00,78.33,Sobrecomprado
2022-03-28,100.00,78.33,Sobrecomprado
2022-03-29,100.00,77.19,Sobrecomprado
2022-03-30,100.00,90.00,Sobrecomprado
2022-03-31,100.00,90.00,Sobrecomprado
2022-04-01,100.00,100.00,Sobrecomprado
2022-04-04,100.00,100.00,Sobrecomprado
2022-04-05,70.87,79.59,Sobrecomprado
2022-04-06,70.87,78.42,Sobrecomprado
2022-04-07,70.87,76.00,Sobrecomprado
2022-04-08,0.00,70.87,Sobrecomprado
2022-04-11,0.00,70.87,Sobrecomprado
2022-04-12,0.00,70.87,Sobrecomprado
2022-04-13,0.00,70.87,Sobrecomprado
2022-04-14,0.00,35.27,Neutro
2022-04-18,0.00,35.27,Neutro
2022-04-19,20.61,42.74,Neutro
2022-04-20,17.88,14.92,Sobrevendido
2022-04-21,15.25,13.04,Sobrevendido
2022-04-22,12.86,11.25,Sobrevendido
2022-04-25,19.74,17.44,Sobrevendido
2022-04-26,26.95,16.61,Sobrevendido
2022-04-27,26.47,16.42,Sobrevendido
2022-04-28,30.17,26.13,Sobrevendido
2022-04-29,25.12,22.13,Sobrevendido
2022-05-02,36.32,26.74,Sobrevendido
2022-05-03,42.54,26.60,Sobrevendido
2022-05-04,47.47,32.63,Neutro
2022-05-05,44.55,36.77,Neutro
2022-05-06,42.53,35.55,Neutro
2022-05-09,26.36,28.07,Sobrevendido
2022-05-10,39.43,31.54,Neutro
2022-05-11,26.14,31.70,Neutro
2022-05-12,26.44,34.65,Neutro
2022-05-13,18.47,34.65,Neutro
2022-05-16,25.89,38.08,Neutro
2022-05-17,38.60,41.19,Neutro
2022-05-18,40.00,30.91,Neutro
2022-05-19,31.43,36.43,Neutro
2022-05-20,39.76,30.50,Neutro
2022-05-23,42.53,31.80,Neutro
2022-05-24,25.33,20.69,Sobrevendido
2022-05-25,33.82,28.89,Sobrevendido
2022-05-26,32.84,36.46,Neutro
2022-05-27,75.44,52.10,Neutro
2022-05-31,78.18,47.50,Neutro
2022-06-01,72.88,53.52,Neutro
2022-06-02,78.95,59.51,Neutro
2022-06-03,62.50,46.20,Neutro
2022-06-06,60.87,49.38,Neutro
2022-06-07,57.65,46.71,Neutro
2022-06-08,37.84,54.20,Neutro
2022-06-09,32.94,50.71,Neutro
2022-06-10,30.43,47.02,Neutro
2022-06-13,9.21,44.08,Neutro
2022-06-14,12.73,44.37,Neutro
2022-06-15,18.64,44.37,Neutro
2022-06-16,7.55,38.41,Neutro
2022-06-17,31.58,35.11,Neutro
2022-06-21,64.71,47.06,Neutro
2022-06-22,80.36,49.32,Neutro
2022-06-23,91.43,48.63,Neutro
2022-06-24,99.11,70.66,Sobrecomprado
2022-06-27,95.54,69.01,Neutro
2022-06-28,65.64,51.39,Neutro
2022-06-29,62.91,54.33,Neutro
2022-06-30,47.26,52.80,Neutro
2022-07-01,50.32,58.29,Neutro
2022-07-05,49.67,62.78,Neutro
2022-07-06,35.29,66.23,Neutro
2022-07-07,50.68,70.00,Neutro
2022-07-08,77.32,70.00,Neutro
2022-07-11,56.59,60.00,Neutro
2022-07-12,60.83,53.38,Neutro
2022-07-13,52.50,51.27,Neutro
2022-07-14,49.56,49.62,Neutro
2022-07-15,52.89,44.17,Neutro
2022-07-18,34.07,44.35,Neutro
2022-07-19,54.96,64.47,Neutro
2022-07-20,79.51,67.73,Neutro
2022-07-21,90.23,76.28,Sobrecomprado
2022-07-22,77.92,66.79,Neutro
2022-07-25,71.43,62.17,Neutro
2022-07-26,52.35,52.58,Neutro
2022-07-27,68.67,59.41,Neutro
2022-07-28,63.72,60.40,Neutro
2022-07-29,64.71,69.97,Neutro
2022-08-01,61.00,72.67,Sobrecomprado
2022-08-02,69.32,73.33,Sobrecomprado
2022-08-03,79.44,76.09,Sobrecomprado
2022-08-04,96.20,75.14,Sobrecomprado
2022-08-05,77.24,71.51,Sobrecomprado
2022-08-08,76.07,68.07,Neutro
2022-08-09,54.21,61.28,Neutro
2022-08-10,69.75,64.92,Neutro
2022-08-11,64.57,66.95,Neutro
2022-08-12,62.65,72.11,Sobrecomprado
2022-08-15,64.37,80.73,Sobrecomprado
2022-08-16,71.34,73.93,Sobrecomprado
2022-08-17,62.01,67.57,Neutro
2022-08-18,70.99,64.31,Neutro
2022-08-19,39.19,55.16,Neutro
2022-08-22,33.92,49.42,Neutro
2022-08-23,14.39,41.28,Neutro
2022-08-24,6.61,40.68,Neutro
2022-08-25,26.35,49.51,Neutro
2022-08-26,20.10,40.21,Neutro
2022-08-29,16.06,39.47,Neutro
2022-08-30,18.52,27.60,Sobrevendido
2022-08-31,22.58,28.53,Sobrevendido
2022-09-01,22.44,18.75,Sobrevendido
2022-09-02,17.22,12.96,Sobrevendido
2022-09-06,0.00,12.70,Sobrevendido
2022-09-07,28.00,23.20,Sobrevendido
2022-09-08,45.13,25.98,Sobrevendido
2022-09-09,62.20,36.08,Neutro
2022-09-12,72.34,46.28,Neutro
2022-09-13,41.80,34.25,Neutro
2022-09-14,51.69,36.78,Neutro
2022-09-15,47.10,29.19,Sobrevendido
2022-09-16,37.34,34.08,Neutro
2022-09-19,34.82,38.28,Neutro
2022-09-20,24.15,38.62,Neutro
2022-09-21,13.17,37.28,Neutro
2022-09-22,22.88,35.64,Neutro
2022-09-23,5.74,36.03,Neutro
2022-09-26,7.78,36.96,Neutro
2022-09-27,11.90,30.60,Neutro
2022-09-28,25.25,31.89,Neutro
2022-09-29,20.66,22.87,Sobrevendido
2022-09-30,20.66,15.95,Sobrevendido
2022-10-03,36.80,30.04,Neutro
2022-10-04,58.65,33.33,Neutro
2022-10-05,59.70,38.84,Neutro
2022-10-06,57.89,40.09,Neutro
2022-10-07,32.93,30.08,Neutro
2022-10-10,39.86,30.89,Neutro
2022-10-11,42.31,31.87,Neutro
2022-10-12,34.21,35.56,Neutro
2022-10-13,24.24,43.97,Neutro
2022-10-14,17.74,39.53,Neutro
2022-10-17,31.51,44.09,Neutro
2022-10-18,52.17,39.77,Neutro
2022-10-19,53.33,45.18,Neutro
2022-10-20,60.00,49.05,Neutro
2022-10-21,68.00,50.00,Neutro
2022-10-24,64.84,43.68,Neutro
2022-10-25,94.79,51.36,Neutro
2022-10-26,59.82,43.80,Neutro
2022-10-27,48.87,50.22,Neutro
2022-10-28,61.18,58.46,Neutro
2022-10-31,58.10,58.69,Neutro
2022-11-01,47.02,54.85,Neutro
2022-11-02,36.22,45.30,Neutro
2022-11-03,21.20,46.43,Neutro
2022-11-04,33.12,44.24,Neutro
2022-11-07,42.66,45.65,Neutro
2022-11-08,20.75,45.65,Neutro
2022-11-09,18.64,42.42,Neutro
2022-11-10,58.38,53.15,Neutro
2022-11-11,73.56,53.78,Neutro
2022-11-14,79.50,48.41,Neutro
2022-11-15,81.14,58.43,Neutro
2022-11-16,66.50,56.56,Neutro
2022-11-17,67.34,51.15,Neutro
2022-11-18,77.47,54.33,Neutro
2022-11-21,42.86,52.75,Neutro
2022-11-22,46.67,62.59,Neutro
