Date,RSI_7,RSI_14,RSI_Sinal
2021-11-05,,,Neutro
2021-11-08,0.00,0.00,Sobrevendido
2021-11-09,0.00,0.00,Sobrevendido
2021-11-10,0.00,0.00,Sobrevendido
2021-11-11,4.24,4.24,Sobrevendido
2021-11-12,7.27,7.27,Sobrevendido
2021-11-15,11.80,11.80,Sobrevendido
2021-11-16,11.46,11.46,Sobrevendido
2021-11-17,38.55,11.40,Sobrevendido
2021-11-18,63.90,11.33,Sobrevendido
2021-11-19,66.76,11.15,Sobrevendido
2021-11-22,49.69,10.93,Sobrevendido
2021-11-23,50.00,13.42,Sobrevendido
2021-11-24,32.50,14.00,Sobrevendido
2021-11-26,37.14,13.81,Sobrevendido
2021-11-29,37.86,38.38,Neutro
2021-11-30,39.59,55.52,Neutro
2021-12-01,29.89,51.21,Neutro
2021-12-02,38.33,44.99,Neutro
2021-12-03,10.17,33.21,Neutro
2021-12-06,3.95,18.59,Sobrevendido
2021-12-07,11.27,24.11,Sobrevendido
2021-12-08,26.02,31.42,Neutro
2021-12-09,49.43,45.90,Neutro
2021-12-10,71.38,51.21,Neutro
2021-12-13,60.65,51.21,Neutro
2021-12-14,62.46,39.48,Neutro
2021-12-15,67.08,40.91,Neutro
2021-12-16,61.47,41.67,Neutro
2021-12-17,57.58,43.28,Neutro
2021-12-20,31.77,43.20,Neutro
2021-12-21,31.05,54.94,Neutro
2021-12-22,49.43,56.61,Neutro
2021-12-23,87.92,72.83,Sobrecomprado
2021-12-27,88.48,75.70,Sobrecomprado
2021-12-28,96.00,74.57,Sobrecomprado
2021-12-29,79.13,66.98,Neutro
2021-12-30,82.23,59.91,Neutro
2021-12-31,74.79,55.37,Neutro
2022-01-03,73.57,63.09,Neutro
2022-01-04,48.30,71.47,Sobrecomprado
2022-01-05,87.14,87.50,Sobrecomprado
2022-01-06,78.15,82.31,Sobrecomprado
2022-01-07,75.85,76.68,Sobrecomprado
2022-01-10,72.70,75.19,Sobrecomprado
2022-01-11,76.06,75.74,Sobrecomprado
2022-01-12,81.05,79.54,Sobrecomprado
2022-01-13,83.13,78.30,Sobrecomprado
2022-01-14,82.38,84.30,Sobrecomprado
2022-01-18,94.01,88.89,Sobrecomprado
2022-01-19,84.82,82.07,Sobrecomprado
2022-01-20,81.58,78.91,Sobrecomprado
2022-01-21,84.96,82.59,Sobrecomprado
2022-01-24,61.31,66.72,Neutro
2022-01-25,57.71,64.57,Neutro
2022-01-26,37.76,48.98,Neutro
2022-01-27,22.78,51.11,Neutro
2022-01-28,26.41,52.39,Neutro
2022-01-31,28.29,52.98,Neutro
2022-02-01,8.18,51.73,Neutro
2022-02-02,12.35,46.94,Neutro
2022-02-03,12.36,44.77,Neutro
2022-02-04,46.69,39.31,Neutro
2022-02-07,31.61,24.64,Sobrevendido
2022-02-08,26.42,26.41,Sobrevendido
2022-02-09,26.02,27.76,Sobrevendido
2022-02-10,44.87,19.58,Sobrevendido
2022-02-11,59.38,30.36,Neutro
2022-02-14,59.67,30.43,Neutro
2022-02-15,60.77,54.23,Neutro
2022-02-16,73.30,52.69,Neutro
2022-02-17,82.56,57.39,Neutro
2022-02-18,67.03,50.54,Neutro
2022-02-22,44.19,44.48,Neutro
2022-02-23,47.47,52.09,Neutro
2022-02-24,54.25,56.52,Neutro
2022-02-25,45.28,52.54,Neutro
2022-02-28,38.79,54.00,Neutro
2022-03-01,21.57,54.33,Neutro
2022-03-02,33.96,55.00,Neutro
2022-03-03,47.93,45.20,Neutro
