Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,0.00,0.00,Sobrevendido
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,0.00,0.00,Sobrevendido
2016-01-11,0.00,0.00,Sobrevendido
2016-01-12,9.09,9.09,Sobrevendido
2016-01-13,7.44,7.44,Sobrevendido
2016-01-14,22.62,20.08,Sobrevendido
2016-01-15,32.41,26.02,Sobrevendido
2016-01-19,37.23,22.95,Sobrevendido
2016-01-20,50.00,26.79,Sobrevendido
2016-01-21,54.82,27.91,Sobrevendido
2016-01-22,55.09,31.49,Neutro
2016-01-25,55.76,28.42,Sobrevendido
2016-01-26,52.90,35.11,Neutro
2016-01-27,38.75,35.11,Neutro
2016-01-28,38.27,37.71,Neutro
2016-01-29,52.15,51.18,Neutro
2016-02-01,44.44,48.75,Neutro
2016-02-02,40.64,46.89,Neutro
2016-02-03,25.28,35.01,Neutro
2016-02-04,19.52,30.12,Neutro
2016-02-05,18.73,25.05,Sobrevendido
2016-02-08,18.90,25.10,Sobrevendido
2016-02-09,0.65,21.51,Sobrevendido
2016-02-10,0.71,20.62,Sobrevendido
2016-02-11,0.00,17.49,Sobrevendido
2016-02-12,5.51,20.04,Sobrevendido
2016-02-16,14.81,18.16,Sobrevendido
2016-02-17,46.85,26.94,Sobrevendido
2016-02-18,56.30,28.51,Sobrevendido
2016-02-19,74.00,18.67,Sobrevendido
2016-02-22,83.09,27.64,Sobrevendido
2016-02-23,78.47,26.04,Sobrevendido
2016-02-24,81.87,49.33,Neutro
2016-02-25,82.68,53.50,Neutro
2016-02-26,78.62,62.85,Neutro
2016-02-29,75.50,67.04,Neutro
2016-03-01,78.24,76.67,Sobrecomprado
2016-03-02,74.66,78.72,Sobrecomprado
2016-03-03,86.82,82.42,Sobrecomprado
2016-03-04,72.22,78.14,Sobrecomprado
2016-03-07,57.58,73.74,Sobrecomprado
2016-03-08,37.29,60.08,Neutro
2016-03-09,48.65,64.12,Neutro
2016-03-10,24.78,56.89,Neutro
2016-03-11,49.70,61.27,Neutro
2016-03-14,44.51,62.06,Neutro
2016-03-15,42.86,53.54,Neutro
2016-03-16,45.25,49.64,Neutro
2016-03-17,59.51,50.18,Neutro
2016-03-18,66.33,59.93,Neutro
2016-03-21,77.51,56.38,Neutro
2016-03-22,59.41,53.33,Neutro
2016-03-23,50.85,47.00,Neutro
2016-03-24,53.57,46.84,Neutro
2016-03-28,52.17,47.96,Neutro
2016-03-29,56.35,58.13,Neutro
2016-03-30,28.28,53.56,Neutro
2016-03-31,36.61,61.21,Neutro
2016-04-01,30.83,43.16,Neutro
2016-04-04,35.65,43.35,Neutro
2016-04-05,30.83,41.22,Neutro
2016-04-06,36.96,43.87,Neutro
2016-04-07,17.65,36.26,Neutro
2016-04-08,25.00,26.43,Sobrevendido
2016-04-11,13.43,23.98,Sobrevendido
2016-04-12,17.86,24.90,Sobrevendido
2016-04-13,35.83,35.74,Neutro
2016-04-14,43.00,36.05,Neutro
2016-04-15,27.97,32.81,Neutro
2016-04-18,33.33,24.26,Sobrevendido
2016-04-19,29.79,27.03,Sobrevendido
2016-04-20,34.57,21.40,Sobrevendido
2016-04-21,50.00,33.49,Neutro
2016-04-22,57.94,47.15,Neutro
2016-04-25,53.68,49.15,Neutro
2016-04-26,61.34,44.73,Neutro
2016-04-27,68.00,52.68,Neutro
2016-04-28,62.60,48.89,Neutro
2016-04-29,56.94,48.89,Neutro
2016-05-02,48.76,49.34,Neutro
2016-05-03,14.29,37.39,Neutro
2016-05-04,26.73,42.19,Neutro
2016-05-05,32.26,48.58,Neutro
2016-05-06,25.00,50.72,Neutro
2016-05-09,31.65,50.95,Neutro
2016-05-10,43.33,52.94,Neutro
2016-05-11,33.85,43.55,Neutro
2016-05-12,51.16,24.52,Sobrevendido
2016-05-13,40.00,30.15,Neutro
2016-05-16,46.15,36.36,Neutro
2016-05-17,37.50,29.03,Sobrevendido
2016-05-18,41.86,35.25,Neutro
2016-05-19,30.91,37.39,Neutro
2016-05-20,53.97,43.75,Neutro
2016-05-23,67.92,60.42,Neutro
2016-05-24,81.32,69.84,Neutro
2016-05-25,86.40,76.83,Sobrecomprado
2016-05-26,90.37,78.29,Sobrecomprado
2016-05-27,90.08,78.16,Sobrecomprado
2016-05-31,100.00,81.19,Sobrecomprado
2016-06-01,100.00,86.06,Sobrecomprado
2016-06-02,100.00,92.61,Sobrecomprado
2016-06-03,86.62,84.68,Sobrecomprado
2016-06-06,82.35,84.43,Sobrecomprado
2016-06-07,83.06,86.87,Sobrecomprado
2016-06-08,74.07,81.95,Sobrecomprado
2016-06-09,60.68,82.58,Sobrecomprado
2016-06-10,52.83,80.08,Sobrecomprado
2016-06-13,21.57,71.33,Sobrecomprado
2016-06-14,28.05,66.53,Neutro
2016-06-15,36.56,62.26,Neutro
2016-06-16,18.29,57.28,Neutro
2016-06-17,14.85,48.73,Neutro
2016-06-20,30.56,46.22,Neutro
2016-06-21,33.02,42.92,Neutro
2016-06-22,43.21,31.15,Neutro
2016-06-23,54.90,42.93,Neutro
2016-06-24,26.58,30.28,Neutro
2016-06-27,22.46,21.19,Sobrevendido
2016-06-28,27.27,22.35,Sobrevendido
2016-06-29,24.83,27.24,Sobrevendido
2016-06-30,32.93,32.97,Neutro
2016-07-01,33.74,36.89,Neutro
2016-07-05,19.53,32.84,Neutro
2016-07-06,51.11,37.88,Neutro
2016-07-07,73.15,41.02,Neutro
2016-07-08,80.92,53.92,Neutro
2016-07-11,82.74,55.52,Neutro
2016-07-12,84.07,59.60,Neutro
2016-07-13,85.57,61.90,Neutro
2016-07-14,92.74,57.18,Neutro
2016-07-15,79.75,66.78,Neutro
2016-07-18,78.71,76.43,Sobrecomprado
2016-07-19,64.46,73.63,Sobrecomprado
2016-07-20,63.87,74.91,Sobrecomprado
2016-07-21,45.65,71.17,Sobrecomprado
2016-07-22,39.76,71.84,Sobrecomprado
2016-07-25,48.61,80.08,Sobrecomprado
