Date,RSI_7,RSI_14,RSI_Sinal
2020-11-24,,,Neutro
2020-11-25,0.00,0.00,Sobrevendido
2020-11-27,5.63,5.63,Sobrevendido
2020-11-30,5.13,5.13,Sobrevendido
2020-12-01,4.88,4.88,Sobrevendido
2020-12-02,4.76,4.76,Sobrevendido
2020-12-03,4.60,4.60,Sobrevendido
2020-12-04,21.70,21.70,Sobrevendido
2020-12-07,60.00,22.43,Sobrevendido
2020-12-08,68.63,31.97,Neutro
2020-12-09,93.92,63.27,Neutro
2020-12-10,69.15,50.53,Neutro
2020-12-11,62.90,46.89,Neutro
2020-12-14,62.33,46.13,Neutro
2020-12-15,56.34,44.83,Neutro
2020-12-16,62.65,62.28,Neutro
2020-12-17,61.41,62.67,Neutro
2020-12-18,31.43,63.54,Neutro
2020-12-21,51.16,63.76,Neutro
2020-12-22,70.59,64.71,Neutro
2020-12-23,81.25,67.33,Neutro
2020-12-24,92.11,65.74,Neutro
2020-12-28,95.16,73.46,Sobrecomprado
2020-12-29,78.17,67.62,Neutro
2020-12-30,62.36,48.74,Neutro
2020-12-31,61.67,58.27,Neutro
2021-01-04,64.62,66.16,Neutro
2021-01-05,59.56,66.16,Neutro
2021-01-06,50.24,61.48,Neutro
2021-01-07,15.45,55.47,Neutro
2021-01-08,25.47,55.65,Neutro
2021-01-11,35.06,54.12,Neutro
2021-01-12,30.34,51.30,Neutro
2021-01-13,36.73,55.29,Neutro
2021-01-14,36.73,51.60,Neutro
2021-01-15,43.90,48.44,Neutro
2021-01-19,39.13,25.58,Sobrevendido
2021-01-20,48.15,36.92,Neutro
2021-01-21,52.53,44.89,Neutro
2021-01-22,58.43,44.38,Neutro
2021-01-25,34.29,35.71,Neutro
2021-01-26,33.33,35.29,Neutro
2021-01-27,25.53,34.09,Neutro
2021-01-28,27.91,33.71,Neutro
2021-01-29,0.00,28.89,Sobrevendido
2021-02-01,20.22,37.23,Neutro
2021-02-02,35.35,46.28,Neutro
2021-02-03,48.60,42.94,Neutro
2021-02-04,42.98,39.38,Neutro
2021-02-05,63.44,44.39,Neutro
