Date,RSI_7,RSI_14,RSI_Sinal
2025-09-10,,,Neutro
2025-09-11,100.00,100.00,Sobrecomprado
2025-09-12,93.75,93.75,Sobrecomprado
2025-09-15,96.00,96.00,Sobrecomprado
2025-09-16,84.21,84.21,Sobrecomprado
2025-09-17,82.76,82.76,Sobrecomprado
2025-09-18,87.01,87.01,Sobrecomprado
2025-09-19,88.76,88.76,Sobrecomprado
2025-09-22,84.38,89.36,Sobrecomprado
2025-09-23,83.08,86.60,Sobrecomprado
2025-09-24,54.55,72.41,Sobrecomprado
2025-09-25,53.73,67.74,Neutro
2025-09-26,63.86,71.63,Sobrecomprado
2025-09-29,62.03,74.36,Sobrecomprado
2025-09-30,55.22,74.36,Sobrecomprado
2025-10-01,41.56,60.99,Neutro
2025-10-02,44.74,62.41,Neutro
2025-10-03,57.63,56.00,Neutro
2025-10-06,74.24,63.91,Neutro
2025-10-07,50.00,57.82,Neutro
2025-10-08,50.00,56.64,Neutro
2025-10-09,39.51,46.62,Neutro
2025-10-10,24.43,30.77,Neutro
2025-10-13,40.72,41.98,Neutro
2025-10-14,42.94,46.72,Neutro
2025-10-15,41.21,50.65,Neutro
2025-10-16,39.53,42.37,Neutro
2025-10-17,38.10,41.38,Neutro
2025-10-20,51.12,47.49,Neutro
2025-10-21,82.11,52.36,Neutro
2025-10-22,57.27,47.29,Neutro
2025-10-23,61.16,50.52,Neutro
2025-10-24,62.99,50.68,Neutro
2025-10-27,81.34,57.84,Neutro
2025-10-28,78.40,55.29,Neutro
2025-10-29,70.30,58.06,Neutro
2025-10-30,53.04,68.07,Neutro
2025-10-31,71.00,63.81,Neutro
2025-11-03,61.80,61.43,Neutro
2025-11-04,36.45,50.85,Neutro
2025-11-05,26.88,59.03,Neutro
2025-11-06,19.23,48.24,Neutro
2025-11-07,20.31,42.36,Neutro
2025-11-10,45.07,48.64,Neutro
2025-11-11,39.71,52.97,Neutro
2025-11-12,40.91,49.32,Neutro
2025-11-13,35.76,36.05,Neutro
2025-11-14,28.26,27.71,Sobrevendido
2025-11-17,31.97,25.40,Sobrevendido
2025-11-18,26.76,23.70,Sobrevendido
2025-11-19,1.89,26.61,Sobrevendido
2025-11-20,1.34,19.65,Sobrevendido
2025-11-21,16.57,27.04,Sobrevendido
2025-11-24,41.88,38.91,Neutro
2025-11-25,50.27,40.81,Neutro
2025-11-26,61.80,49.67,Neutro
2025-11-28,72.99,52.22,Neutro
2025-12-01,68.31,43.94,Neutro
2025-12-02,92.57,46.80,Neutro
2025-12-03,91.60,48.69,Neutro
2025-12-04,88.78,59.69,Neutro
2025-12-05,87.78,62.64,Neutro
2025-12-08,72.62,65.27,Neutro
2025-12-09,67.14,71.31,Sobrecomprado
2025-12-10,85.19,73.48,Sobrecomprado
2025-12-11,81.43,88.99,Sobrecomprado
2025-12-12,54.65,76.96,Sobrecomprado
2025-12-15,52.44,72.22,Sobrecomprado
2025-12-16,40.91,67.95,Neutro
2025-12-17,30.00,50.57,Neutro
2025-12-18,45.22,53.51,Neutro
2025-12-19,42.20,60.53,Neutro
2025-12-22,50.40,61.54,Neutro
2025-12-23,66.36,61.14,Neutro
2025-12-24,68.97,62.12,Neutro
2025-12-26,66.95,57.61,Neutro
2025-12-29,84.04,57.61,Neutro
2025-12-30,75.00,56.28,Neutro
2025-12-31,50.00,45.25,Neutro
2026-01-02,30.00,43.78,Neutro
2026-01-05,41.67,56.42,Neutro
2026-01-06,47.50,60.20,Neutro
2026-01-07,42.22,56.25,Neutro
2026-01-08,46.34,66.48,Neutro
2026-01-09,60.38,66.09,Neutro
2026-01-12,73.03,62.89,Neutro
2026-01-13,73.86,56.08,Neutro
2026-01-14,54.22,48.39,Neutro
