Date,RSI_7,RSI_14,RSI_Sinal
2023-11-27,,,Neutro
2023-11-28,100.00,100.00,Sobrecomprado
2023-11-29,100.00,100.00,Sobrecomprado
2023-11-30,100.00,100.00,Sobrecomprado
2023-12-01,100.00,100.00,Sobrecomprado
2023-12-04,100.00,100.00,Sobrecomprado
2023-12-05,100.00,100.00,Sobrecomprado
2023-12-06,100.00,100.00,Sobrecomprado
2023-12-07,,100.00,Sobrecomprado
2023-12-08,,100.00,Sobrecomprado
2023-12-11,,100.00,Sobrecomprado
2023-12-12,100.00,100.00,Sobrecomprado
2023-12-13,100.00,100.00,Sobrecomprado
2023-12-14,100.00,100.00,Sobrecomprado
2023-12-15,50.00,85.71,Sobrecomprado
2023-12-18,50.00,50.00,Neutro
2023-12-19,66.67,66.67,Neutro
2023-12-20,66.67,66.67,Neutro
2023-12-21,50.00,66.67,Neutro
2023-12-22,50.00,66.67,Neutro
2023-12-26,50.00,66.67,Neutro
2023-12-27,100.00,75.00,Sobrecomprado
2023-12-28,100.00,75.00,Sobrecomprado
2023-12-29,100.00,75.00,Sobrecomprado
2024-01-02,100.00,83.33,Sobrecomprado
2024-01-03,100.00,83.33,Sobrecomprado
2024-01-04,100.00,83.33,Sobrecomprado
2024-01-05,100.00,83.33,Sobrecomprado
2024-01-08,100.00,100.00,Sobrecomprado
2024-01-09,100.00,100.00,Sobrecomprado
2024-01-10,100.00,100.00,Sobrecomprado
2024-01-11,100.00,100.00,Sobrecomprado
2024-01-12,100.00,100.00,Sobrecomprado
2024-01-16,100.00,100.00,Sobrecomprado
2024-01-17,100.00,100.00,Sobrecomprado
2024-01-18,60.00,75.00,Sobrecomprado
2024-01-19,75.00,81.82,Sobrecomprado
2024-01-22,54.55,64.29,Neutro
2024-01-23,44.44,58.33,Neutro
2024-01-24,50.00,61.54,Neutro
2024-01-25,45.45,57.14,Neutro
2024-01-26,45.45,57.14,Neutro
2024-01-29,55.56,57.14,Neutro
2024-01-30,33.33,57.14,Neutro
2024-01-31,75.00,60.00,Neutro
2024-02-01,80.00,57.14,Neutro
2024-02-02,66.67,53.85,Neutro
2024-02-05,100.00,53.85,Neutro
2024-02-06,100.00,53.85,Neutro
2024-02-07,100.00,69.23,Neutro
2024-02-08,100.00,60.00,Neutro
2024-02-09,60.00,66.67,Neutro
2024-02-12,50.00,66.67,Neutro
2024-02-13,50.00,57.14,Neutro
2024-02-14,50.00,66.67,Neutro
2024-02-15,66.67,75.00,Sobrecomprado
