Date,RSI_7,RSI_14,RSI_Sinal
2025-02-03,,,Neutro
2025-02-04,100.00,100.00,Sobrecomprado
2025-02-05,81.82,81.82,Sobrecomprado
2025-02-06,94.65,94.65,Sobrecomprado
2025-02-07,97.13,97.13,Sobrecomprado
2025-02-10,98.41,98.41,Sobrecomprado
2025-02-11,98.43,98.43,Sobrecomprado
2025-02-12,98.52,98.52,Sobrecomprado
2025-02-13,98.47,98.57,Sobrecomprado
2025-02-14,100.00,99.04,Sobrecomprado
2025-02-18,100.00,99.31,Sobrecomprado
2025-02-19,81.19,84.46,Sobrecomprado
2025-02-20,79.67,85.93,Sobrecomprado
2025-02-21,59.25,70.01,Sobrecomprado
2025-02-24,58.51,70.13,Sobrecomprado
2025-02-25,51.23,63.61,Neutro
2025-02-26,47.60,66.74,Neutro
2025-02-27,27.94,61.68,Neutro
2025-02-28,37.83,60.37,Neutro
2025-03-03,23.33,51.33,Neutro
2025-03-04,48.05,54.94,Neutro
2025-03-05,54.66,56.88,Neutro
2025-03-06,66.53,56.61,Neutro
2025-03-07,46.57,47.23,Neutro
2025-03-10,29.71,28.85,Sobrevendido
2025-03-11,35.21,36.34,Neutro
2025-03-12,40.77,32.66,Neutro
2025-03-13,29.92,38.02,Neutro
2025-03-14,34.70,43.95,Neutro
2025-03-17,34.14,47.60,Neutro
2025-03-18,31.57,37.40,Neutro
2025-03-19,51.56,38.03,Neutro
2025-03-20,34.24,34.89,Neutro
2025-03-21,45.27,42.56,Neutro
2025-03-24,54.64,41.14,Neutro
2025-03-25,43.01,37.87,Neutro
2025-03-26,41.05,36.84,Neutro
2025-03-27,56.77,39.14,Neutro
2025-03-28,51.11,51.36,Neutro
2025-03-31,57.21,44.43,Neutro
2025-04-01,59.77,51.27,Neutro
2025-04-02,43.07,50.48,Neutro
2025-04-03,29.43,36.63,Neutro
2025-04-04,34.20,37.97,Neutro
2025-04-07,28.56,40.55,Neutro
2025-04-08,32.51,41.50,Neutro
2025-04-09,49.90,52.72,Neutro
2025-04-10,28.47,41.09,Neutro
2025-04-11,45.57,44.73,Neutro
2025-04-14,52.63,42.86,Neutro
2025-04-15,50.14,43.56,Neutro
2025-04-16,65.11,47.48,Neutro
2025-04-17,70.44,52.93,Neutro
2025-04-21,57.06,52.68,Neutro
2025-04-22,87.70,49.56,Neutro
2025-04-23,62.94,49.62,Neutro
