Date,RSI_7,RSI_14,RSI_Sinal
2000-01-03,,,Neutro
2000-01-04,100.00,100.00,Sobrecomprado
2000-01-05,50.00,50.00,Neutro
2000-01-06,66.67,66.67,Neutro
2000-01-07,66.67,66.67,Neutro
2000-01-10,66.67,66.67,Neutro
2000-01-11,62.86,62.86,Neutro
2000-01-12,42.31,42.31,Neutro
2000-01-13,46.43,55.22,Neutro
2000-01-14,61.22,57.75,Neutro
2000-01-18,81.00,77.44,Sobrecomprado
2000-01-19,64.29,64.78,Neutro
2000-01-20,55.48,57.54,Neutro
2000-01-21,59.62,60.21,Neutro
2000-01-24,63.27,57.79,Neutro
2000-01-25,62.50,58.00,Neutro
2000-01-26,62.50,62.18,Neutro
2000-01-27,34.15,59.89,Neutro
2000-01-28,57.58,61.98,Neutro
2000-01-31,67.86,58.91,Neutro
2000-02-01,59.09,59.50,Neutro
2000-02-02,65.00,63.64,Neutro
2000-02-03,50.00,60.47,Neutro
2000-02-04,58.82,61.80,Neutro
2000-02-07,73.08,49.25,Neutro
2000-02-08,51.85,55.00,Neutro
2000-02-09,63.64,66.00,Neutro
2000-02-10,66.67,63.04,Neutro
2000-02-11,72.73,69.05,Neutro
2000-02-14,76.92,67.50,Neutro
2000-02-15,62.50,60.98,Neutro
2000-02-16,33.33,56.82,Neutro
2000-02-17,37.50,46.51,Neutro
2000-02-18,30.00,47.62,Neutro
2000-02-22,20.00,45.45,Neutro
2000-02-23,18.18,45.45,Neutro
2000-02-24,0.00,40.00,Neutro
2000-02-25,0.00,30.61,Neutro
2000-02-28,4.35,17.07,Sobrevendido
2000-02-29,18.18,26.32,Sobrevendido
2000-03-01,61.11,50.00,Neutro
2000-03-02,61.11,46.43,Neutro
2000-03-03,70.00,51.61,Neutro
2000-03-06,83.33,50.00,Neutro
2000-03-07,83.33,49.18,Neutro
2000-03-08,82.86,51.72,Neutro
2000-03-09,81.25,55.56,Neutro
2000-03-10,57.14,60.00,Neutro
2000-03-13,71.43,64.00,Neutro
2000-03-14,26.67,58.18,Neutro
2000-03-15,11.11,59.26,Neutro
2000-03-16,13.33,62.75,Neutro
2000-03-17,60.61,72.06,Sobrecomprado
2000-03-20,68.29,73.97,Sobrecomprado
2000-03-21,58.33,58.06,Neutro
2000-03-22,58.33,61.29,Neutro
2000-03-23,71.11,60.00,Neutro
2000-03-24,72.73,54.84,Neutro
2000-03-27,65.31,53.12,Neutro
2000-03-28,45.16,53.12,Neutro
2000-03-29,32.00,54.55,Neutro
2000-03-30,40.00,52.94,Neutro
2000-03-31,20.00,43.59,Neutro
2000-04-03,7.69,47.89,Neutro
2000-04-04,23.08,54.29,Neutro
2000-04-05,30.00,55.07,Neutro
2000-04-06,50.00,47.46,Neutro
2000-04-07,42.86,37.74,Neutro
2000-04-10,50.00,45.83,Neutro
2000-04-11,70.00,40.00,Neutro
2000-04-12,53.85,30.77,Neutro
2000-04-13,41.67,32.00,Neutro
2000-04-14,46.15,39.13,Neutro
2000-04-17,20.00,37.50,Neutro
2000-04-18,30.00,37.50,Neutro
2000-04-19,17.39,35.29,Neutro
2000-04-20,31.82,50.00,Neutro
2000-04-24,36.84,46.67,Neutro
2000-04-25,44.44,42.86,Neutro
2000-04-26,50.00,47.83,Neutro
2000-04-27,60.00,40.00,Neutro
2000-04-28,40.00,35.56,Neutro
2000-05-01,52.38,34.09,Neutro
2000-05-02,44.44,37.50,Neutro
2000-05-03,53.33,44.12,Neutro
2000-05-04,43.75,44.12,Neutro
2000-05-05,21.43,38.24,Neutro
2000-05-08,5.56,34.21,Neutro
2000-05-09,7.69,28.95,Sobrevendido
2000-05-10,14.29,37.14,Neutro
2000-05-11,14.29,31.25,Neutro
2000-05-12,12.50,32.26,Neutro
2000-05-15,12.50,28.13,Sobrevendido
2000-05-16,25.00,23.33,Sobrevendido
2000-05-17,40.00,17.86,Sobrevendido
2000-05-18,50.00,23.81,Sobrevendido
2000-05-19,20.00,16.67,Sobrevendido
2000-05-22,20.00,16.67,Sobrevendido
2000-05-23,40.00,23.08,Sobrevendido
2000-05-24,60.00,30.77,Neutro
2000-05-25,33.33,28.57,Sobrevendido
2000-05-26,33.33,36.36,Neutro
