Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,,,Neutro
2016-01-06,100.00,100.00,Sobrecomprado
2016-01-07,18.92,18.92,Sobrevendido
2016-01-08,9.59,9.59,Sobrevendido
2016-01-11,7.29,7.29,Sobrevendido
2016-01-12,6.25,6.25,Sobrevendido
2016-01-13,12.50,12.50,Sobrevendido
2016-01-14,17.97,17.97,Sobrevendido
2016-01-15,13.01,17.69,Sobrevendido
2016-01-19,12.40,13.86,Sobrevendido
2016-01-20,16.49,13.53,Sobrevendido
2016-01-21,21.33,13.45,Sobrevendido
2016-01-22,25.00,13.07,Sobrevendido
2016-01-25,9.30,11.17,Sobrevendido
2016-01-26,0.00,10.95,Sobrevendido
2016-01-27,3.61,9.22,Sobrevendido
2016-01-28,16.98,13.74,Sobrevendido
2016-01-29,18.37,17.12,Sobrevendido
2016-02-01,60.20,43.35,Neutro
2016-02-02,47.97,40.11,Neutro
2016-02-03,53.15,34.01,Neutro
2016-02-04,47.58,28.64,Sobrevendido
2016-02-05,40.58,26.70,Sobrevendido
2016-02-08,35.97,30.73,Neutro
2016-02-09,34.97,30.73,Neutro
2016-02-10,26.77,41.33,Neutro
2016-02-11,26.36,36.90,Neutro
2016-02-12,46.15,49.21,Neutro
2016-02-16,61.54,55.36,Neutro
2016-02-17,62.75,52.23,Neutro
2016-02-18,64.00,50.52,Neutro
2016-02-19,67.95,52.17,Neutro
2016-02-22,50.70,39.41,Neutro
2016-02-23,69.35,47.43,Neutro
2016-02-24,49.09,47.43,Neutro
2016-02-25,43.43,54.51,Neutro
2016-02-26,59.22,61.33,Neutro
2016-02-29,62.00,63.20,Neutro
2016-03-01,62.38,65.76,Neutro
2016-03-02,80.85,62.71,Neutro
2016-03-03,81.82,74.89,Sobrecomprado
2016-03-04,100.00,71.43,Sobrecomprado
2016-03-07,100.00,69.06,Neutro
2016-03-08,82.05,69.06,Neutro
2016-03-09,74.12,67.57,Neutro
2016-03-10,71.05,66.10,Neutro
