Date,RSI_7,RSI_14,RSI_Sinal
2016-01-04,,,Neutro
2016-01-05,0.00,0.00,Sobrevendido
2016-01-06,0.00,0.00,Sobrevendido
2016-01-07,0.00,0.00,Sobrevendido
2016-01-08,0.00,0.00,Sobrevendido
2016-01-11,0.00,0.00,Sobrevendido
2016-01-12,22.14,22.14,Sobrevendido
2016-01-13,16.58,16.58,Sobrevendido
2016-01-14,21.68,17.69,Sobrevendido
2016-01-15,21.50,16.02,Sobrevendido
2016-01-19,20.48,14.32,Sobrevendido
2016-01-20,22.54,14.10,Sobrevendido
2016-01-21,22.89,13.12,Sobrevendido
2016-01-22,18.44,20.30,Sobrevendido
2016-01-25,23.79,19.21,Sobrevendido
2016-01-26,25.12,23.10,Sobrevendido
2016-01-27,26.40,23.46,Sobrevendido
2016-01-28,28.79,23.54,Sobrevendido
2016-01-29,31.74,26.11,Sobrevendido
2016-02-01,49.31,33.08,Neutro
2016-02-02,25.51,21.18,Sobrevendido
2016-02-03,31.69,26.97,Sobrevendido
2016-02-04,27.17,25.90,Sobrevendido
2016-02-05,22.86,24.85,Sobrevendido
2016-02-08,22.63,25.95,Sobrevendido
2016-02-09,37.97,34.97,Neutro
2016-02-10,29.08,39.36,Neutro
2016-02-11,45.88,35.38,Neutro
2016-02-12,60.63,49.35,Neutro
2016-02-16,66.79,53.44,Neutro
2016-02-17,85.46,60.00,Neutro
2016-02-18,80.97,57.86,Neutro
2016-02-19,74.10,56.34,Neutro
2016-02-22,74.69,54.06,Neutro
2016-02-23,69.72,58.86,Neutro
2016-02-24,60.87,60.72,Neutro
2016-02-25,30.89,53.04,Neutro
2016-02-26,18.26,58.66,Neutro
2016-02-29,21.53,60.30,Neutro
2016-03-01,47.31,61.62,Neutro
2016-03-02,52.34,63.85,Neutro
2016-03-03,45.32,56.45,Neutro
2016-03-04,45.91,51.76,Neutro
2016-03-07,68.95,53.22,Neutro
2016-03-08,52.03,40.77,Neutro
2016-03-09,54.30,44.24,Neutro
2016-03-10,40.34,43.24,Neutro
2016-03-11,39.42,45.16,Neutro
2016-03-14,51.80,48.62,Neutro
2016-03-15,34.63,39.56,Neutro
2016-03-16,25.11,45.71,Neutro
2016-03-17,30.40,43.11,Neutro
2016-03-18,47.20,50.94,Neutro
2016-03-21,54.67,47.74,Neutro
2016-03-22,54.25,47.10,Neutro
2016-03-23,39.55,44.95,Neutro
2016-03-24,31.42,32.83,Neutro
2016-03-28,28.29,26.98,Sobrevendido
2016-03-29,34.78,33.10,Neutro
2016-03-30,22.28,34.20,Neutro
2016-03-31,21.02,37.44,Neutro
2016-04-01,19.86,36.69,Neutro
2016-04-04,27.78,34.52,Neutro
2016-04-05,71.94,38.97,Neutro
2016-04-06,84.62,42.64,Neutro
2016-04-07,64.40,43.56,Neutro
2016-04-08,63.23,35.74,Neutro
2016-04-11,43.76,29.27,Sobrevendido
2016-04-12,38.24,26.20,Sobrevendido
2016-04-13,54.99,40.61,Neutro
2016-04-14,59.03,63.13,Neutro
2016-04-15,49.55,65.48,Neutro
2016-04-18,64.96,64.66,Neutro
2016-04-19,58.50,60.85,Neutro
2016-04-20,81.26,58.81,Neutro
2016-04-21,84.85,60.45,Neutro
2016-04-22,78.91,62.71,Neutro
2016-04-25,63.67,60.83,Neutro
2016-04-26,61.25,54.49,Neutro
2016-04-27,59.44,62.45,Neutro
2016-04-28,25.19,37.23,Neutro
2016-04-29,25.19,42.04,Neutro
2016-05-02,33.67,50.06,Neutro
2016-05-03,28.67,42.08,Neutro
2016-05-04,28.62,39.50,Neutro
2016-05-05,27.55,37.46,Neutro
2016-05-06,28.08,36.96,Neutro
2016-05-09,77.45,44.97,Neutro
2016-05-10,77.25,44.78,Neutro
2016-05-11,41.78,36.25,Neutro
2016-05-12,44.04,33.94,Neutro
2016-05-13,64.94,40.98,Neutro
2016-05-16,62.49,39.64,Neutro
2016-05-17,61.92,39.62,Neutro
2016-05-18,54.47,67.51,Neutro
2016-05-19,45.09,62.16,Neutro
2016-05-20,75.39,58.23,Neutro
2016-05-23,74.82,58.62,Neutro
2016-05-24,75.30,69.91,Neutro
2016-05-25,84.21,72.87,Sobrecomprado
2016-05-26,79.08,70.35,Sobrecomprado
2016-05-27,77.00,66.01,Neutro
2016-05-31,93.48,67.75,Neutro
2016-06-01,90.80,81.52,Sobrecomprado
2016-06-02,92.34,82.67,Sobrecomprado
2016-06-03,48.51,61.76,Neutro
2016-06-06,56.30,69.17,Neutro
2016-06-07,47.22,60.82,Neutro
2016-06-08,47.47,59.36,Neutro
2016-06-09,32.79,54.35,Neutro
2016-06-10,29.54,45.59,Neutro
2016-06-13,20.14,42.21,Neutro
2016-06-14,22.49,32.55,Neutro
2016-06-15,4.32,26.67,Sobrevendido
2016-06-16,16.47,31.62,Neutro
2016-06-17,9.58,26.34,Sobrevendido
2016-06-20,20.41,26.82,Sobrevendido
2016-06-21,20.36,25.33,Sobrevendido
2016-06-22,29.55,24.58,Sobrevendido
2016-06-23,43.61,32.74,Neutro
2016-06-24,42.46,23.23,Sobrevendido
2016-06-27,27.83,22.65,Sobrevendido
2016-06-28,48.86,28.50,Sobrevendido
2016-06-29,49.77,35.70,Neutro
2016-06-30,61.43,42.05,Neutro
2016-07-01,64.23,48.37,Neutro
2016-07-05,56.56,50.69,Neutro
2016-07-06,72.46,58.36,Neutro
2016-07-07,88.14,55.05,Neutro
2016-07-08,86.48,65.04,Neutro
2016-07-11,77.82,61.22,Neutro
2016-07-12,78.38,68.32,Neutro
2016-07-13,51.34,59.05,Neutro
2016-07-14,59.63,57.81,Neutro
2016-07-15,52.64,64.94,Neutro
2016-07-18,56.10,74.81,Sobrecomprado
2016-07-19,48.38,70.92,Sobrecomprado
2016-07-20,69.17,73.51,Sobrecomprado
2016-07-21,47.86,63.55,Neutro
2016-07-22,62.04,55.71,Neutro
2016-07-25,60.96,60.17,Neutro
2016-07-26,59.95,55.84,Neutro
2016-07-27,62.75,59.20,Neutro
2016-07-28,77.14,66.39,Neutro
