Date,RSI_7,RSI_14,RSI_Sinal
2026-03-26,,,Neutro
2026-03-27,0.00,0.00,Sobrevendido
2026-03-30,73.02,73.02,Sobrecomprado
2026-03-31,85.95,85.95,Sobrecomprado
2026-04-01,85.25,85.25,Sobrecomprado
2026-04-02,88.54,88.54,Sobrecomprado
2026-04-06,79.89,79.89,Sobrecomprado
2026-04-07,81.18,81.18,Sobrecomprado
2026-04-08,90.95,83.80,Sobrecomprado
2026-04-09,88.46,84.02,Sobrecomprado
2026-04-10,69.57,77.97,Sobrecomprado
2026-04-13,75.00,79.84,Sobrecomprado
2026-04-14,72.58,81.49,Sobrecomprado
2026-04-15,79.65,79.79,Sobrecomprado
2026-04-16,62.40,73.63,Sobrecomprado
2026-04-17,64.93,80.48,Sobrecomprado
2026-04-20,62.69,76.55,Sobrecomprado
2026-04-21,56.38,62.12,Neutro
2026-04-22,55.78,65.02,Neutro
2026-04-23,39.33,54.38,Neutro
2026-04-24,44.08,59.25,Neutro
2026-04-27,43.51,51.97,Neutro
2026-04-28,23.73,45.63,Neutro
2026-04-29,18.06,38.75,Neutro
2026-04-30,33.57,45.21,Neutro
2026-05-01,29.63,43.26,Neutro
2026-05-04,29.63,34.74,Neutro
2026-05-05,35.81,40.00,Neutro
2026-05-06,58.93,51.55,Neutro
2026-05-07,49.25,39.81,Neutro
2026-05-08,67.71,45.53,Neutro
2026-05-11,56.99,47.02,Neutro
2026-05-12,48.51,40.95,Neutro
2026-05-13,55.37,44.23,Neutro
2026-05-14,48.43,42.35,Neutro
2026-05-15,18.34,38.58,Neutro
2026-05-18,21.38,37.57,Neutro
2026-05-19,0.00,37.36,Neutro
2026-05-20,31.47,44.10,Neutro
2026-05-21,39.68,44.25,Neutro
2026-05-22,42.93,48.80,Neutro
2026-05-26,51.97,50.52,Neutro
2026-05-27,70.17,45.14,Neutro
2026-05-28,77.66,53.15,Neutro
2026-05-29,100.00,49.35,Neutro
2026-06-01,93.75,51.88,Neutro
2026-06-02,93.02,56.36,Neutro
2026-06-03,72.92,52.72,Neutro
2026-06-04,65.33,55.26,Neutro
2026-06-05,35.04,56.38,Neutro
2026-06-08,20.95,57.34,Neutro
2026-06-09,33.06,69.93,Neutro
2026-06-10,31.30,57.71,Neutro
2026-06-11,55.22,66.55,Neutro
2026-06-12,55.22,60.94,Neutro
2026-06-15,53.61,56.88,Neutro
2026-06-16,74.68,57.82,Neutro
2026-06-17,62.43,47.62,Neutro
2026-06-18,62.83,51.11,Neutro
2026-06-22,59.70,48.49,Neutro
2026-06-23,41.73,49.71,Neutro
