Date,RSI_7,RSI_14,RSI_Sinal
2009-11-23,,,Neutro
2009-11-24,100.00,100.00,Sobrecomprado
2009-11-25,100.00,100.00,Sobrecomprado
2009-11-27,100.00,100.00,Sobrecomprado
2009-11-30,100.00,100.00,Sobrecomprado
2009-12-01,74.14,74.14,Sobrecomprado
2009-12-02,69.35,69.35,Neutro
2009-12-03,71.64,71.64,Sobrecomprado
2009-12-04,45.31,57.83,Neutro
2009-12-07,47.76,61.54,Neutro
2009-12-08,51.39,66.02,Neutro
2009-12-09,39.68,64.15,Neutro
2009-12-10,54.90,65.14,Neutro
2009-12-11,48.28,59.17,Neutro
2009-12-14,48.28,60.80,Neutro
2009-12-15,65.12,53.27,Neutro
2009-12-16,68.75,56.52,Neutro
2009-12-17,65.91,56.90,Neutro
2009-12-18,64.44,50.00,Neutro
2009-12-21,40.00,46.55,Neutro
2009-12-22,41.94,45.00,Neutro
2009-12-23,40.00,44.07,Neutro
2009-12-24,36.92,48.15,Neutro
2009-12-28,15.07,36.36,Neutro
2009-12-29,21.52,37.40,Neutro
2009-12-30,27.50,40.80,Neutro
2009-12-31,39.66,39.84,Neutro
2010-01-04,57.81,50.00,Neutro
2010-01-05,69.66,57.72,Neutro
2010-01-06,67.39,54.78,Neutro
2010-01-07,89.29,54.78,Neutro
2010-01-08,88.00,53.90,Neutro
2010-01-11,84.72,54.61,Neutro
2010-01-12,88.04,69.33,Neutro
2010-01-13,73.63,67.10,Neutro
2010-01-14,66.67,68.32,Neutro
2010-01-15,78.26,72.05,Sobrecomprado
2010-01-19,63.08,77.85,Sobrecomprado
2010-01-20,61.29,75.91,Sobrecomprado
2010-01-21,69.86,77.24,Sobrecomprado
2010-01-22,61.40,77.85,Sobrecomprado
2010-01-25,67.31,71.33,Sobrecomprado
2010-01-26,50.00,59.68,Neutro
2010-01-27,36.36,59.68,Neutro
2010-01-28,40.82,53.51,Neutro
2010-01-29,53.97,57.60,Neutro
2010-02-01,38.89,56.69,Neutro
2010-02-02,35.29,49.07,Neutro
2010-02-03,32.73,49.53,Neutro
2010-02-04,56.25,53.45,Neutro
2010-02-05,64.29,50.45,Neutro
2010-02-08,66.67,54.37,Neutro
2010-02-09,42.55,49.09,Neutro
2010-02-10,30.77,34.45,Neutro
2010-02-11,26.87,30.51,Neutro
2010-02-12,36.21,34.51,Neutro
2010-02-16,24.49,42.48,Neutro
2010-02-17,18.75,40.00,Neutro
2010-02-18,16.22,37.50,Neutro
2010-02-19,29.33,34.43,Neutro
2010-02-22,49.18,39.68,Neutro
2010-02-23,67.86,49.67,Neutro
2010-02-24,67.86,54.93,Neutro
2010-02-25,66.25,50.39,Neutro
2010-02-26,85.90,55.63,Neutro
2010-03-01,100.00,56.94,Neutro
2010-03-02,100.00,62.41,Neutro
2010-03-03,100.00,75.00,Sobrecomprado
2010-03-04,100.00,78.40,Sobrecomprado
2010-03-05,79.17,71.97,Sobrecomprado
2010-03-08,78.72,70.87,Sobrecomprado
2010-03-09,76.19,82.50,Sobrecomprado
2010-03-10,76.19,91.07,Sobrecomprado
2010-03-11,56.52,82.14,Sobrecomprado
2010-03-12,62.96,82.91,Sobrecomprado
2010-03-15,59.18,77.78,Sobrecomprado
2010-03-16,81.48,80.39,Sobrecomprado
2010-03-17,84.13,81.82,Sobrecomprado
2010-03-18,75.86,76.00,Sobrecomprado
2010-03-19,65.08,69.52,Neutro
2010-03-22,79.66,69.52,Neutro
2010-03-23,74.47,68.32,Neutro
2010-03-24,42.17,48.48,Neutro
2010-03-25,26.32,49.23,Neutro
2010-03-26,24.32,51.82,Neutro
2010-03-29,25.35,48.06,Neutro
2010-03-30,27.69,46.09,Neutro
2010-03-31,31.88,53.91,Neutro
2010-04-01,30.00,47.86,Neutro
2010-04-05,31.82,37.58,Neutro
2010-04-06,50.00,38.00,Neutro
2010-04-07,58.89,43.29,Neutro
2010-04-08,54.64,42.26,Neutro
2010-04-09,52.48,42.77,Neutro
2010-04-12,57.89,48.09,Neutro
2010-04-13,60.68,49.20,Neutro
2010-04-14,81.61,60.13,Neutro
2010-04-15,81.40,66.88,Neutro
2010-04-16,75.38,65.81,Neutro
2010-04-19,83.05,65.38,Neutro
2010-04-20,93.10,67.30,Neutro
2010-04-21,91.67,67.90,Neutro
2010-04-22,75.00,65.09,Neutro
2010-04-23,70.91,77.46,Sobrecomprado
2010-04-26,58.54,74.02,Sobrecomprado
2010-04-27,67.92,72.03,Sobrecomprado
2010-04-28,55.38,68.55,Neutro
2010-04-29,56.06,73.39,Sobrecomprado
2010-04-30,57.97,71.79,Sobrecomprado
2010-05-03,57.97,65.29,Neutro
2010-05-04,72.09,71.63,Sobrecomprado
2010-05-05,59.62,59.31,Neutro
2010-05-06,38.94,48.19,Neutro
2010-05-07,51.75,53.07,Neutro
2010-05-10,49.54,52.00,Neutro
2010-05-11,47.12,51.45,Neutro
2010-05-12,52.58,54.82,Neutro
2010-05-13,38.67,56.52,Neutro
2010-05-14,55.74,58.18,Neutro
2010-05-17,77.27,49.68,Neutro
2010-05-18,76.19,58.33,Neutro
2010-05-19,78.72,58.33,Neutro
2010-05-20,61.90,51.37,Neutro
