Date,RSI_7,RSI_14,RSI_Sinal
2021-05-14,,,Neutro
2021-05-17,100.00,100.00,Sobrecomprado
2021-05-18,100.00,100.00,Sobrecomprado
2021-05-19,100.00,100.00,Sobrecomprado
2021-05-20,100.00,100.00,Sobrecomprado
2021-05-21,100.00,100.00,Sobrecomprado
2021-05-24,100.00,100.00,Sobrecomprado
2021-05-25,97.36,97.36,Sobrecomprado
2021-05-26,94.26,94.74,Sobrecomprado
2021-05-27,83.10,84.53,Sobrecomprado
2021-05-28,63.39,75.69,Sobrecomprado
2021-06-01,12.13,65.71,Neutro
2021-06-02,8.11,66.16,Neutro
2021-06-03,3.11,62.02,Neutro
2021-06-04,3.17,61.41,Neutro
2021-06-07,2.66,54.12,Neutro
2021-06-08,24.74,58.19,Neutro
2021-06-09,33.16,49.96,Neutro
2021-06-10,43.58,27.02,Sobrevendido
2021-06-11,38.22,23.00,Sobrevendido
2021-06-14,56.22,27.57,Sobrevendido
2021-06-15,62.67,32.12,Neutro
2021-06-16,78.57,32.15,Neutro
2021-06-17,57.79,34.57,Neutro
2021-06-18,35.28,34.01,Neutro
2021-06-21,40.58,42.21,Neutro
2021-06-22,62.18,50.61,Neutro
2021-06-23,54.95,55.62,Neutro
2021-06-24,36.21,49.75,Neutro
2021-06-25,37.93,56.90,Neutro
2021-06-28,38.77,46.16,Neutro
2021-06-29,45.01,40.13,Neutro
2021-06-30,38.19,39.33,Neutro
2021-07-01,15.08,44.44,Neutro
2021-07-02,23.60,41.02,Neutro
2021-07-06,42.39,38.27,Neutro
2021-07-07,41.04,39.02,Neutro
2021-07-08,51.95,43.52,Neutro
2021-07-09,54.51,48.66,Neutro
2021-07-12,77.44,54.47,Neutro
2021-07-13,72.83,41.32,Neutro
2021-07-14,57.25,38.27,Neutro
2021-07-15,60.70,52.27,Neutro
2021-07-16,61.57,51.88,Neutro
2021-07-19,70.33,62.74,Neutro
2021-07-20,86.03,73.26,Sobrecomprado
2021-07-21,80.84,79.03,Sobrecomprado
2021-07-22,82.02,77.54,Sobrecomprado
2021-07-23,98.47,80.10,Sobrecomprado
2021-07-26,98.36,80.17,Sobrecomprado
2021-07-27,93.17,78.44,Sobrecomprado
2021-07-28,90.68,78.33,Sobrecomprado
2021-07-29,88.66,86.96,Sobrecomprado
2021-07-30,88.66,84.18,Sobrecomprado
2021-08-02,66.67,74.66,Sobrecomprado
2021-08-03,38.99,78.97,Sobrecomprado
2021-08-04,24.34,73.74,Sobrecomprado
2021-08-05,30.08,74.73,Sobrecomprado
2021-08-06,35.86,69.82,Neutro
2021-08-09,19.35,52.07,Neutro
2021-08-10,31.64,56.22,Neutro
2021-08-11,34.91,51.26,Neutro
2021-08-12,39.01,39.01,Neutro
2021-08-13,47.09,37.87,Neutro
2021-08-16,47.79,41.23,Neutro
2021-08-17,36.70,36.34,Neutro
2021-08-18,76.43,43.32,Neutro
2021-08-19,48.21,38.21,Neutro
2021-08-20,84.16,63.54,Neutro
2021-08-23,70.29,58.67,Neutro
2021-08-24,55.76,52.85,Neutro
2021-08-25,50.00,49.29,Neutro
2021-08-26,31.88,32.84,Neutro
2021-08-27,40.87,46.30,Neutro
2021-08-30,38.20,39.73,Neutro
2021-08-31,22.19,40.84,Neutro
2021-09-01,37.00,47.43,Neutro
2021-09-02,59.27,58.25,Neutro
2021-09-03,76.44,70.50,Sobrecomprado
2021-09-07,91.05,70.27,Sobrecomprado
2021-09-08,83.35,66.52,Neutro
2021-09-09,91.63,69.46,Neutro
2021-09-10,92.28,67.26,Neutro
2021-09-13,91.60,69.73,Neutro
2021-09-14,89.39,73.65,Sobrecomprado
2021-09-15,84.88,78.91,Sobrecomprado
2021-09-16,39.14,64.24,Neutro
2021-09-17,37.65,58.72,Neutro
2021-09-20,27.44,54.78,Neutro
2021-09-21,23.89,52.52,Neutro
2021-09-22,22.08,49.65,Neutro
2021-09-23,24.87,46.42,Neutro
2021-09-24,8.53,30.87,Neutro
2021-09-27,22.40,32.78,Neutro
2021-09-28,22.85,32.23,Neutro
2021-09-29,39.29,30.50,Neutro
2021-09-30,58.70,32.01,Neutro
2021-10-01,68.59,33.43,Neutro
2021-10-04,46.14,29.84,Sobrevendido
2021-10-05,40.03,17.74,Sobrevendido
2021-10-06,35.93,27.98,Sobrevendido
2021-10-07,52.09,34.26,Neutro
2021-10-08,41.19,40.26,Neutro
2021-10-11,39.87,48.87,Neutro
2021-10-12,46.57,56.80,Neutro
2021-10-13,56.50,51.24,Neutro
2021-10-14,57.90,48.08,Neutro
2021-10-15,45.48,40.82,Neutro
2021-10-18,50.07,50.95,Neutro
2021-10-19,61.52,51.84,Neutro
2021-10-20,59.43,49.96,Neutro
2021-10-21,40.10,43.64,Neutro
2021-10-22,45.70,50.87,Neutro
2021-10-25,60.60,59.22,Neutro
2021-10-26,84.95,62.75,Neutro
2021-10-27,57.88,53.39,Neutro
2021-10-28,56.77,59.46,Neutro
2021-10-29,65.20,62.31,Neutro
2021-11-01,57.77,50.04,Neutro
2021-11-02,55.06,50.64,Neutro
2021-11-03,60.13,60.32,Neutro
2021-11-04,44.44,60.59,Neutro
2021-11-05,65.43,62.45,Neutro
2021-11-08,66.04,62.47,Neutro
2021-11-09,75.13,71.53,Sobrecomprado
2021-11-10,75.00,68.27,Neutro
2021-11-11,67.39,63.04,Neutro
2021-11-12,64.64,62.83,Neutro
2021-11-15,74.43,62.18,Neutro
2021-11-16,72.51,69.40,Neutro
2021-11-17,71.39,68.96,Neutro
2021-11-18,67.80,71.91,Sobrecomprado
2021-11-19,87.56,80.87,Sobrecomprado
2021-11-22,67.47,67.43,Neutro
2021-11-23,60.77,62.52,Neutro
2021-11-24,60.82,66.87,Neutro
2021-11-26,66.35,68.75,Neutro
2021-11-29,68.73,69.69,Neutro
2021-11-30,69.82,69.16,Neutro
2021-12-01,55.67,67.08,Neutro
2021-12-02,54.28,59.73,Neutro
2021-12-03,56.85,58.59,Neutro
2021-12-06,60.42,60.59,Neutro
2021-12-07,46.88,56.30,Neutro
2021-12-08,32.57,49.21,Neutro
2021-12-09,16.96,44.49,Neutro
2021-12-10,19.70,39.66,Neutro
2021-12-13,27.62,44.73,Neutro
2021-12-14,26.22,45.18,Neutro
2021-12-15,4.20,42.97,Neutro
2021-12-16,4.98,34.52,Neutro
2021-12-17,55.85,37.19,Neutro
2021-12-20,27.28,20.60,Sobrevendido
2021-12-21,27.93,22.87,Sobrevendido
2021-12-22,32.33,29.79,Sobrevendido
2021-12-23,50.25,37.73,Neutro
2021-12-27,50.30,28.89,Sobrevendido
2021-12-28,57.94,36.90,Neutro
2021-12-29,51.48,53.00,Neutro
2021-12-30,95.15,52.69,Neutro
2021-12-31,96.12,57.30,Neutro
2022-01-03,96.61,62.57,Neutro
2022-01-04,80.97,62.54,Neutro
2022-01-05,48.89,49.56,Neutro
2022-01-06,48.75,53.36,Neutro
2022-01-07,34.72,42.00,Neutro
2022-01-10,36.42,53.97,Neutro
2022-01-11,32.16,55.34,Neutro
2022-01-12,23.09,53.56,Neutro
2022-01-13,22.28,43.85,Neutro
2022-01-14,34.53,43.12,Neutro
2022-01-18,18.36,37.49,Neutro
2022-01-19,35.10,34.82,Neutro
2022-01-20,22.92,33.27,Neutro
2022-01-21,7.95,26.32,Sobrevendido
2022-01-24,19.80,22.22,Sobrevendido
2022-01-25,28.07,23.42,Sobrevendido
2022-01-26,31.37,33.73,Neutro
2022-01-27,57.79,30.92,Neutro
2022-01-28,44.55,39.19,Neutro
2022-01-31,54.73,37.80,Neutro
2022-02-01,66.56,34.09,Neutro
2022-02-02,42.55,30.77,Neutro
2022-02-03,43.60,36.81,Neutro
2022-02-04,48.12,41.00,Neutro
2022-02-07,54.45,55.92,Neutro
2022-02-08,67.53,56.96,Neutro
2022-02-09,41.60,46.85,Neutro
2022-02-10,31.70,43.28,Neutro
2022-02-11,46.40,44.91,Neutro
2022-02-14,52.27,49.11,Neutro
2022-02-15,56.55,53.77,Neutro
2022-02-16,54.27,54.34,Neutro
2022-02-17,51.12,57.41,Neutro
2022-02-18,76.37,59.07,Neutro
2022-02-22,100.00,59.57,Neutro
2022-02-23,88.18,63.31,Neutro
2022-02-24,81.57,63.00,Neutro
2022-02-25,84.82,67.57,Neutro
2022-02-28,81.27,63.79,Neutro
2022-03-01,74.17,60.00,Neutro
2022-03-02,61.19,70.49,Sobrecomprado
2022-03-03,51.33,78.68,Sobrecomprado
2022-03-04,66.76,78.23,Sobrecomprado
2022-03-07,49.16,63.28,Neutro
2022-03-08,40.44,63.67,Neutro
2022-03-09,48.19,62.62,Neutro
2022-03-10,59.14,65.64,Neutro
2022-03-11,58.24,59.39,Neutro
2022-03-14,57.47,55.07,Neutro
2022-03-15,60.25,62.75,Neutro
2022-03-16,81.59,64.50,Neutro
2022-03-17,71.02,55.25,Neutro
2022-03-18,49.47,48.75,Neutro
2022-03-21,23.06,42.02,Neutro
2022-03-22,38.22,48.27,Neutro
2022-03-23,31.08,43.05,Neutro
2022-03-24,31.08,44.80,Neutro
2022-03-25,40.68,55.69,Neutro
2022-03-28,39.09,49.70,Neutro
2022-03-29,49.48,49.48,Neutro
2022-03-30,60.03,44.46,Neutro
2022-03-31,59.91,50.17,Neutro
2022-04-01,70.82,49.28,Neutro
2022-04-04,64.17,44.62,Neutro
2022-04-05,56.35,45.83,Neutro
2022-04-06,60.71,45.66,Neutro
2022-04-07,45.69,48.51,Neutro
2022-04-08,58.91,59.69,Neutro
2022-04-11,37.82,54.76,Neutro
2022-04-12,41.01,63.41,Neutro
2022-04-13,53.15,60.48,Neutro
